t,u,y,ysp
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0.53313,0,2
7,0.90923,0.10663,2
8,1.1747,0.27781,2
9,1.3596,0.48497,2
10,1.4842,0.7084,2
11,1.5624,0.93439,2
12,1.6045,1.1534,2
13,1.6184,1.359,2
14,1.6102,1.5468,2
15,1.5853,1.7141,2
16,1.5477,1.8598,2
17,1.5013,1.9833,2
18,1.449,2.0853,2
19,1.3936,2.1665,2
20,1.3373,2.2286,2
21,1.2817,2.2732,2
22,1.2283,2.3022,2
23,1.1783,2.3177,2
24,1.1324,2.3216,2
25,1.0911,2.3159,2
26,1.0547,2.3025,2
27,1.0234,2.2832,2
28,0.99714,2.2595,2
29,0.97569,2.233,2
30,0.95878,2.2049,2
31,0.94608,2.1761,2
32,0.93716,2.1477,2
33,0.93158,2.1204,2
34,0.92891,2.0947,2
35,0.92868,2.071,2
36,0.93046,2.0496,2
37,0.93384,2.0308,2
38,0.93844,2.0144,2
39,0.94391,2.0007,2
40,0.94993,1.9894,2
41,0.95625,1.9804,2
42,0.96263,1.9737,2
43,0.9689,1.9688,2
44,0.97489,1.9657,2
45,0.98048,1.9641,2
46,0.98561,1.9638,2
47,0.99021,1.9645,2
48,0.99424,1.9661,2
49,0.99771,1.9684,2
50,1.0006,1.9711,2
