t,u1,y,ysp
2.5,20.001,1.12,0.8
5,9.4183,1.1197,0.8
7.5,1.9956,1.1195,0.8
10,0,1.1192,0.8
12.5,0,1.119,0.8
15,0,1.1299,0.8
17.5,0,1.1458,0.8
20,0,1.1624,0.8
22.5,0,1.1745,0.8
25,0,1.1808,0.8
27.5,0.21372,1.1821,0.8
30,0.84557,1.179,0.8
32.5,1.7791,1.1721,0.8
35,2.923,1.162,0.8
37.5,4.2073,1.1491,0.8
40,5.5815,1.1336,0.8
42.5,7.0119,1.1157,0.8
45,8.4762,1.0956,0.8
47.5,9.9581,1.0736,0.8
50,11.444,1.0503,0.8
52.5,12.92,1.0261,0.8
55,14.37,1.0013,0.8
57.5,15.775,0.97652,0.8
60,17.114,0.95205,0.8
62.5,18.362,0.92829,0.8
65,19.492,0.90554,0.8
67.5,20.48,0.88409,0.8
70,21.304,0.86418,0.8
72.5,21.943,0.84601,0.8
75,22.388,0.82975,0.8
77.5,22.631,0.81549,0.8
80,22.679,0.80333,0.8
82.5,22.541,0.7933,0.8
85,22.238,0.78537,0.8
87.5,21.793,0.7795,0.8
90,21.238,0.7756,0.8
92.5,20.601,0.77353,0.8
95,19.916,0.77312,0.8
97.5,19.21,0.7742,0.8
100,18.512,0.77655,0.8
102.5,17.844,0.77996,0.8
105,17.223,0.78419,0.8
107.5,16.662,0.78903,0.8
110,16.17,0.79427,0.8
112.5,15.75,0.79971,0.8
115,15.404,0.80516,0.8
117.5,15.128,0.81047,0.8
120,14.918,0.8155,0.8
122.5,14.767,0.82015,0.8
125,14.669,0.82434,0.8
127.5,14.616,0.828,0.8
130,14.601,0.8311,0.8
132.5,14.616,0.83362,0.8
135,14.655,0.83558,0.8
137.5,14.713,0.83699,0.8
140,14.784,0.83788,0.8
142.5,14.863,0.83829,0.8
145,14.947,0.83826,0.8
147.5,15.033,0.83786,0.8
150,15.119,0.83714,0.8
152.5,15.202,0.83613,0.8
155,15.281,0.83491,0.8
157.5,15.355,0.83351,0.8
160,15.422,0.83199,0.8
162.5,15.484,0.83037,0.8
165,15.539,0.82871,0.8
167.5,15.587,0.82703,0.8
170,15.629,0.82535,0.8
172.5,15.664,0.82371,0.8
175,15.693,0.82213,0.8
177.5,15.717,0.8206,0.8
180,15.735,0.81916,0.8
182.5,15.749,0.8178,0.8
185,15.758,0.81653,0.8
187.5,15.763,0.81536,0.8
190,15.764,0.81429,0.8
192.5,15.76,0.8133,0.8
195,15.753,0.81241,0.8
197.5,15.741,0.81161,0.8
200,15.725,0.81089,0.8
202.5,15.704,0.81025,0.8
205,15.678,0.80968,0.8
207.5,15.647,0.80918,0.8
210,15.61,0.80875,0.8
212.5,15.567,0.80836,0.8
215,15.518,0.80803,0.8
217.5,15.464,0.80774,0.8
220,15.405,0.8075,0.8
222.5,15.341,0.80728,0.8
225,15.274,0.80709,0.8
227.5,15.205,0.80692,0.8
230,15.137,0.80676,0.8
232.5,15.07,0.80661,0.8
235,15.008,0.80646,0.8
237.5,14.953,0.80631,0.8
240,14.906,0.80614,0.8
242.5,14.868,0.80594,0.8
245,14.84,0.80572,0.8
247.5,14.823,0.80546,0.8
250,14.815,0.80515,0.8
252.5,14.833,0.8048,0.8
255,14.882,0.80439,0.8
257.5,14.963,0.80393,0.8
260,15.066,0.80341,0.8
262.5,15.184,0.80284,0.8
265,15.307,0.80222,0.8
267.5,15.431,0.80154,0.8
270,15.55,0.8008,0.8
272.5,15.662,0.80001,0.8
275,15.765,0.7992,0.8
277.5,15.856,0.79839,0.8
280,15.935,0.79761,0.8
282.5,15.999,0.79687,0.8
285,16.049,0.79619,0.8
287.5,16.085,0.7956,0.8
290,16.106,0.79511,0.8
292.5,16.113,0.79473,0.8
295,16.107,0.79446,0.8
297.5,16.089,0.7943,0.8
300,16.06,0.79427,0.8
302.5,16.022,0.79435,0.8
305,15.977,0.79453,0.8
307.5,15.924,0.79482,0.8
310,15.867,0.79519,0.8
312.5,15.806,0.79564,0.8
315,15.744,0.79615,0.8
317.5,15.681,0.79672,0.8
320,15.619,0.79731,0.8
322.5,15.56,0.79793,0.8
325,15.504,0.79856,0.8
327.5,15.453,0.79918,0.8
330,15.408,0.79979,0.8
332.5,15.369,0.80036,0.8
335,15.337,0.8009,0.8
337.5,15.312,0.80139,0.8
340,15.294,0.80182,0.8
342.5,15.284,0.8022,0.8
345,15.28,0.80251,0.8
347.5,15.283,0.80275,0.8
350,15.292,0.80292,0.8
352.5,15.305,0.80303,0.8
355,15.322,0.80307,0.8
357.5,15.343,0.80306,0.8
360,15.366,0.80299,0.8
362.5,15.39,0.80286,0.8
365,15.415,0.8027,0.8
367.5,15.439,0.8025,0.8
370,15.463,0.80227,0.8
372.5,15.486,0.80201,0.8
375,15.506,0.80175,0.8
377.5,15.525,0.80147,0.8
380,15.541,0.8012,0.8
382.5,15.555,0.80093,0.8
385,15.566,0.80067,0.8
387.5,15.575,0.80043,0.8
390,15.582,0.80021,0.8
392.5,15.587,0.80001,0.8
395,15.589,0.79983,0.8
397.5,15.59,0.79967,0.8
400,15.589,0.79954,0.8
402.5,15.587,0.79944,0.8
405,15.584,0.79936,0.8
407.5,15.58,0.7993,0.8
410,15.576,0.79927,0.8
412.5,15.571,0.79925,0.8
415,15.566,0.79925,0.8
417.5,15.561,0.79927,0.8
420,15.555,0.79929,0.8
422.5,15.55,0.79933,0.8
425,15.545,0.79938,0.8
427.5,15.54,0.79943,0.8
430,15.536,0.79949,0.8
432.5,15.532,0.79955,0.8
435,15.528,0.79961,0.8
437.5,15.524,0.79967,0.8
440,15.521,0.79972,0.8
442.5,15.518,0.79978,0.8
445,15.515,0.79983,0.8
447.5,15.513,0.79988,0.8
450,15.511,0.79992,0.8
452.5,15.51,0.79996,0.8
455,15.509,0.79999,0.8
457.5,15.508,0.80002,0.8
460,15.507,0.80004,0.8
462.5,15.507,0.80006,0.8
465,15.508,0.80007,0.8
467.5,15.509,0.80008,0.8
470,15.51,0.80008,0.8
472.5,15.512,0.80008,0.8
