t,u1,y,ysp
2.5,20.031,1.12,0.8
5,11.015,1.1197,0.8
7.5,4.9395,1.1195,0.8
10,1.2752,1.1192,0.8
12.5,0,1.119,0.8
15,0.020477,1.1299,0.8
17.5,0.83762,1.1446,0.8
20,2.0523,1.1592,0.8
22.5,3.3984,1.1712,0.8
25,4.7525,1.1787,0.8
27.5,6.0622,1.181,0.8
30,7.319,1.1781,0.8
32.5,8.5334,1.1705,0.8
35,9.7189,1.1589,0.8
37.5,10.884,1.1442,0.8
40,12.031,1.1271,0.8
42.5,13.153,1.1081,0.8
45,14.241,1.088,0.8
47.5,15.28,1.0672,0.8
50,16.254,1.0461,0.8
52.5,17.149,1.0251,0.8
55,17.951,1.0045,0.8
57.5,18.647,0.98454,0.8
60,19.231,0.96554,0.8
62.5,19.697,0.94766,0.8
65,20.044,0.93107,0.8
67.5,20.274,0.9159,0.8
70,20.393,0.90222,0.8
72.5,20.409,0.89009,0.8
75,20.334,0.87953,0.8
77.5,20.18,0.8705,0.8
80,19.961,0.86297,0.8
82.5,19.691,0.85686,0.8
85,19.383,0.85206,0.8
87.5,19.05,0.84846,0.8
90,18.704,0.84595,0.8
92.5,18.356,0.84438,0.8
95,18.014,0.84361,0.8
97.5,17.685,0.84351,0.8
100,17.376,0.84395,0.8
102.5,17.091,0.8448,0.8
105,16.831,0.84594,0.8
107.5,16.6,0.84727,0.8
110,16.398,0.84869,0.8
112.5,16.224,0.85012,0.8
115,16.077,0.85149,0.8
117.5,15.957,0.85275,0.8
120,15.86,0.85384,0.8
122.5,15.784,0.85474,0.8
125,15.728,0.85543,0.8
127.5,15.687,0.85588,0.8
130,15.659,0.8561,0.8
132.5,15.641,0.85608,0.8
135,15.628,0.85583,0.8
137.5,15.619,0.85537,0.8
140,15.609,0.85471,0.8
142.5,15.594,0.85388,0.8
145,15.573,0.85288,0.8
147.5,15.542,0.85175,0.8
150,15.498,0.85051,0.8
152.5,15.438,0.84917,0.8
155,15.363,0.84777,0.8
157.5,15.269,0.84633,0.8
160,15.157,0.84485,0.8
162.5,15.028,0.84336,0.8
165,14.882,0.84187,0.8
167.5,14.724,0.84038,0.8
170,14.555,0.83891,0.8
172.5,14.382,0.83745,0.8
175,14.21,0.83601,0.8
177.5,14.045,0.83458,0.8
180,13.894,0.83316,0.8
182.5,13.765,0.83172,0.8
185,13.663,0.83026,0.8
187.5,13.594,0.82876,0.8
190,13.56,0.8272,0.8
192.5,13.56,0.82557,0.8
195,13.59,0.82384,0.8
197.5,13.645,0.82202,0.8
200,13.778,0.82007,0.8
202.5,13.995,0.81801,0.8
205,14.288,0.81583,0.8
207.5,14.637,0.81355,0.8
210,15.014,0.81119,0.8
212.5,15.396,0.80872,0.8
215,15.759,0.80617,0.8
217.5,16.089,0.80353,0.8
220,16.376,0.80087,0.8
222.5,16.614,0.79824,0.8
225,16.802,0.7957,0.8
227.5,16.94,0.79333,0.8
230,17.031,0.7912,0.8
232.5,17.078,0.78936,0.8
235,17.085,0.78786,0.8
237.5,17.055,0.78671,0.8
240,16.994,0.78593,0.8
242.5,16.906,0.78552,0.8
245,16.795,0.78547,0.8
247.5,16.666,0.78574,0.8
250,16.524,0.78632,0.8
252.5,16.373,0.78717,0.8
255,16.217,0.78824,0.8
257.5,16.061,0.7895,0.8
260,15.908,0.79091,0.8
262.5,15.762,0.79241,0.8
265,15.625,0.79398,0.8
267.5,15.499,0.79557,0.8
270,15.386,0.79715,0.8
272.5,15.289,0.79867,0.8
275,15.206,0.80013,0.8
277.5,15.139,0.80148,0.8
280,15.087,0.80271,0.8
282.5,15.05,0.8038,0.8
285,15.027,0.80475,0.8
287.5,15.018,0.80554,0.8
290,15.019,0.80617,0.8
292.5,15.031,0.80664,0.8
295,15.052,0.80695,0.8
297.5,15.079,0.80712,0.8
300,15.112,0.80715,0.8
302.5,15.149,0.80705,0.8
305,15.188,0.80684,0.8
307.5,15.228,0.80653,0.8
310,15.268,0.80614,0.8
312.5,15.307,0.80568,0.8
315,15.343,0.80517,0.8
317.5,15.376,0.80463,0.8
320,15.406,0.80406,0.8
322.5,15.431,0.80348,0.8
325,15.452,0.8029,0.8
327.5,15.469,0.80233,0.8
330,15.481,0.80179,0.8
332.5,15.489,0.80127,0.8
335,15.494,0.80079,0.8
337.5,15.495,0.80035,0.8
340,15.494,0.79994,0.8
342.5,15.49,0.79958,0.8
345,15.486,0.79927,0.8
347.5,15.481,0.79899,0.8
350,15.476,0.79876,0.8
352.5,15.472,0.79856,0.8
355,15.47,0.79839,0.8
357.5,15.47,0.79825,0.8
360,15.473,0.79814,0.8
362.5,15.48,0.79805,0.8
365,15.49,0.79798,0.8
367.5,15.503,0.79792,0.8
370,15.52,0.79788,0.8
372.5,15.54,0.79784,0.8
375,15.563,0.7978,0.8
377.5,15.588,0.79777,0.8
380,15.615,0.79775,0.8
382.5,15.642,0.79773,0.8
385,15.669,0.79771,0.8
387.5,15.695,0.79769,0.8
390,15.719,0.79768,0.8
392.5,15.74,0.79768,0.8
395,15.757,0.7977,0.8
397.5,15.77,0.79772,0.8
400,15.777,0.79776,0.8
402.5,15.779,0.79783,0.8
405,15.775,0.79791,0.8
407.5,15.764,0.79802,0.8
410,15.747,0.79815,0.8
412.5,15.724,0.7983,0.8
415,15.697,0.79848,0.8
417.5,15.666,0.79869,0.8
420,15.632,0.79891,0.8
422.5,15.596,0.79916,0.8
425,15.56,0.79942,0.8
427.5,15.525,0.79969,0.8
430,15.492,0.79997,0.8
432.5,15.461,0.80025,0.8
435,15.433,0.80052,0.8
437.5,15.409,0.80078,0.8
440,15.389,0.80102,0.8
442.5,15.374,0.80124,0.8
445,15.363,0.80143,0.8
447.5,15.356,0.80159,0.8
450,15.354,0.80171,0.8
452.5,15.356,0.8018,0.8
455,15.361,0.80185,0.8
457.5,15.369,0.80187,0.8
460,15.381,0.80185,0.8
462.5,15.394,0.8018,0.8
465,15.41,0.80171,0.8
467.5,15.427,0.8016,0.8
470,15.444,0.80147,0.8
472.5,15.462,0.80131,0.8
475,15.48,0.80114,0.8
477.5,15.497,0.80095,0.8
480,15.513,0.80076,0.8
482.5,15.528,0.80057,0.8
485,15.542,0.80038,0.8
487.5,15.554,0.80019,0.8
490,15.564,0.80001,0.8
492.5,15.572,0.79985,0.8
495,15.579,0.7997,0.8
497.5,15.583,0.79956,0.8
500,15.586,0.79944,0.8
502.5,0,0.79934,0.2
505,0,0.79926,0.2
507.5,0,0.7992,0.2
510,0,0.79916,0.2
512.5,0,0.79913,0.2
515,0,0.80777,0.2
517.5,0,0.81276,0.2
520,0,0.81454,0.2
522.5,0,0.8135,0.2
525,0,0.80998,0.2
527.5,0,0.80431,0.2
530,0,0.79676,0.2
532.5,0,0.78759,0.2
535,0,0.77703,0.2
537.5,0,0.76529,0.2
540,0,0.75253,0.2
542.5,0,0.73893,0.2
545,0,0.72464,0.2
547.5,0,0.70978,0.2
550,0,0.69447,0.2
552.5,0,0.67881,0.2
555,0,0.66289,0.2
557.5,0,0.6468,0.2
560,0,0.63061,0.2
562.5,0,0.61438,0.2
565,0,0.59817,0.2
567.5,0,0.58203,0.2
570,0,0.566,0.2
572.5,0,0.55011,0.2
575,0,0.5344,0.2
577.5,0,0.51891,0.2
580,0,0.50364,0.2
582.5,0,0.48863,0.2
585,0,0.47389,0.2
587.5,0,0.45943,0.2
590,0,0.44527,0.2
592.5,0,0.43141,0.2
595,0,0.41786,0.2
597.5,0,0.40463,0.2
600,0,0.39172,0.2
602.5,0,0.37913,0.2
605,0,0.36687,0.2
607.5,0,0.35493,0.2
610,0,0.34332,0.2
612.5,0,0.33202,0.2
615,0.20319,0.32104,0.2
617.5,0.61321,0.31038,0.2
620,1.1405,0.30002,0.2
622.5,1.715,0.28997,0.2
625,2.2816,0.28022,0.2
627.5,2.803,0.27073,0.2
630,3.2565,0.2615,0.2
632.5,3.6303,0.2526,0.2
635,3.9196,0.24415,0.2
637.5,4.1246,0.23626,0.2
640,4.2487,0.22904,0.2
642.5,4.2972,0.22256,0.2
645,4.2768,0.21689,0.2
647.5,4.1949,0.21205,0.2
650,4.0591,0.20804,0.2
652.5,3.8771,0.20485,0.2
655,3.6564,0.20244,0.2
657.5,3.4045,0.20074,0.2
660,3.1283,0.19968,0.2
662.5,2.8345,0.19918,0.2
665,2.5297,0.19917,0.2
667.5,2.2203,0.19954,0.2
670,1.9127,0.20021,0.2
672.5,1.6134,0.20109,0.2
675,1.3288,0.2021,0.2
677.5,1.0656,0.20314,0.2
680,0.83006,0.20416,0.2
682.5,0.62817,0.20508,0.2
685,0.46491,0.20583,0.2
687.5,0.34364,0.20637,0.2
690,0.26512,0.20665,0.2
692.5,0.22639,0.20663,0.2
695,0.22313,0.20629,0.2
697.5,0.25034,0.20561,0.2
700,0.43638,0.2046,0.2
702.5,0.72517,0.20324,0.2
705,1.0707,0.20157,0.2
707.5,1.4369,0.1996,0.2
710,1.7955,0.19737,0.2
712.5,2.1277,0.19489,0.2
715,2.4218,0.19224,0.2
717.5,2.6715,0.18948,0.2
720,2.8743,0.18673,0.2
722.5,3.0305,0.18407,0.2
725,3.1422,0.18159,0.2
727.5,3.2128,0.17935,0.2
730,3.2465,0.17741,0.2
732.5,3.2482,0.17581,0.2
735,3.2227,0.17457,0.2
737.5,3.1752,0.17369,0.2
740,3.1105,0.17317,0.2
742.5,3.0332,0.17298,0.2
745,2.9475,0.17311,0.2
747.5,2.8574,0.17353,0.2
750,2.7662,0.17418,0.2
752.5,2.6767,0.17505,0.2
755,2.5916,0.17609,0.2
757.5,2.5127,0.17725,0.2
760,2.4417,0.17852,0.2
762.5,2.3799,0.17984,0.2
765,2.328,0.18119,0.2
767.5,2.2868,0.18254,0.2
770,2.2565,0.18387,0.2
772.5,2.2373,0.18516,0.2
775,2.2289,0.18639,0.2
777.5,2.2311,0.18754,0.2
780,2.2434,0.18862,0.2
782.5,2.265,0.18961,0.2
785,2.295,0.19051,0.2
787.5,2.3322,0.19133,0.2
790,2.3754,0.19206,0.2
792.5,2.4229,0.19272,0.2
795,2.4731,0.19331,0.2
797.5,2.524,0.19385,0.2
800,2.5736,0.19433,0.2
802.5,2.6198,0.19478,0.2
805,2.6608,0.1952,0.2
807.5,2.6948,0.19561,0.2
810,2.7206,0.19602,0.2
812.5,2.7354,0.19643,0.2
815,2.7357,0.19687,0.2
817.5,2.7188,0.19733,0.2
820,2.6832,0.19782,0.2
822.5,2.6289,0.19835,0.2
825,2.5578,0.19891,0.2
827.5,2.4727,0.19952,0.2
830,2.3775,0.20015,0.2
832.5,2.2764,0.20081,0.2
835,2.1738,0.20149,0.2
837.5,2.0741,0.20218,0.2
840,1.9811,0.20284,0.2
842.5,1.8981,0.20348,0.2
845,1.828,0.20406,0.2
847.5,1.773,0.20458,0.2
850,1.7344,0.20501,0.2
852.5,1.7132,0.20534,0.2
855,1.7096,0.20555,0.2
857.5,1.7234,0.20564,0.2
860,1.7538,0.20561,0.2
862.5,1.7995,0.20545,0.2
865,1.859,0.20516,0.2
867.5,1.9303,0.20475,0.2
870,2.0113,0.20424,0.2
872.5,2.0996,0.20364,0.2
875,2.1925,0.20296,0.2
877.5,2.2874,0.20222,0.2
880,2.3815,0.20145,0.2
882.5,2.4721,0.20065,0.2
885,2.5565,0.19987,0.2
887.5,2.6325,0.19911,0.2
890,2.698,0.1984,0.2
892.5,2.7513,0.19775,0.2
895,2.7914,0.19719,0.2
897.5,2.8166,0.19672,0.2
900,2.8257,0.19636,0.2
902.5,2.8178,0.19611,0.2
