t,u1,y,ysp
2.5,20.031,1.12,0.8
5,9.5274,1.1197,0.8
7.5,2.2158,1.1195,0.8
10,0,1.1192,0.8
12.5,0,1.119,0.8
15,0,1.1299,0.8
17.5,0,1.1457,0.8
20,0,1.1622,0.8
22.5,0,1.1744,0.8
25,1.5466e-06,1.1807,0.8
27.5,0.50022,1.182,0.8
30,1.3636,1.179,0.8
32.5,2.4825,1.1721,0.8
35,3.7737,1.1621,0.8
37.5,5.1747,1.1492,0.8
40,6.6446,1.1335,0.8
42.5,8.1569,1.1153,0.8
45,9.6936,1.0949,0.8
47.5,11.24,1.0727,0.8
50,12.782,1.0492,0.8
52.5,14.301,1.0248,0.8
55,15.779,1.0002,0.8
57.5,17.189,0.97563,0.8
60,18.506,0.95156,0.8
62.5,19.699,0.92833,0.8
65,20.741,0.90625,0.8
67.5,21.606,0.88561,0.8
70,22.273,0.86664,0.8
72.5,22.729,0.84952,0.8
75,22.97,0.8344,0.8
77.5,23.001,0.82139,0.8
80,22.835,0.81052,0.8
82.5,22.495,0.80182,0.8
85,22.007,0.79523,0.8
87.5,21.405,0.79067,0.8
90,20.723,0.788,0.8
92.5,19.994,0.78707,0.8
95,19.25,0.78769,0.8
97.5,18.52,0.78962,0.8
100,17.826,0.79265,0.8
102.5,17.187,0.79654,0.8
105,16.617,0.80106,0.8
107.5,16.122,0.80599,0.8
110,15.706,0.81112,0.8
112.5,15.368,0.81626,0.8
115,15.105,0.82125,0.8
117.5,14.912,0.82595,0.8
120,14.78,0.83025,0.8
122.5,14.702,0.83407,0.8
125,14.67,0.83735,0.8
127.5,14.675,0.84007,0.8
130,14.71,0.8422,0.8
132.5,14.767,0.84376,0.8
135,14.842,0.84477,0.8
137.5,14.927,0.84527,0.8
140,15.019,0.8453,0.8
142.5,15.113,0.84492,0.8
145,15.207,0.84417,0.8
147.5,15.298,0.84312,0.8
150,15.383,0.84182,0.8
152.5,15.463,0.84032,0.8
155,15.535,0.83867,0.8
157.5,15.6,0.83693,0.8
160,15.655,0.83512,0.8
162.5,15.703,0.83329,0.8
165,15.742,0.83147,0.8
167.5,15.774,0.82968,0.8
170,15.798,0.82795,0.8
172.5,15.814,0.82629,0.8
175,15.824,0.82471,0.8
177.5,15.828,0.82322,0.8
180,15.826,0.82184,0.8
182.5,15.819,0.82056,0.8
185,15.807,0.81937,0.8
187.5,15.79,0.81829,0.8
190,15.769,0.81731,0.8
192.5,15.743,0.81641,0.8
195,15.713,0.81561,0.8
197.5,15.679,0.81488,0.8
200,15.641,0.81423,0.8
202.5,15.598,0.81364,0.8
205,15.551,0.81312,0.8
207.5,15.5,0.81264,0.8
210,15.445,0.81221,0.8
212.5,15.387,0.81182,0.8
215,15.326,0.81146,0.8
217.5,15.263,0.81112,0.8
220,15.199,0.8108,0.8
222.5,15.135,0.81049,0.8
225,15.074,0.81019,0.8
227.5,15.017,0.80988,0.8
230,14.965,0.80957,0.8
232.5,14.921,0.80924,0.8
235,14.887,0.80889,0.8
237.5,14.864,0.80851,0.8
240,14.852,0.8081,0.8
242.5,14.852,0.80766,0.8
245,14.862,0.80716,0.8
247.5,14.881,0.80663,0.8
250,14.907,0.80604,0.8
252.5,14.956,0.80541,0.8
255,15.033,0.80473,0.8
257.5,15.136,0.80402,0.8
260,15.258,0.80326,0.8
262.5,15.389,0.80248,0.8
265,15.52,0.80168,0.8
267.5,15.647,0.80085,0.8
270,15.764,0.8,0.8
272.5,15.868,0.79914,0.8
275,15.959,0.79829,0.8
277.5,16.034,0.79749,0.8
280,16.093,0.79674,0.8
282.5,16.134,0.79608,0.8
285,16.158,0.79551,0.8
287.5,16.166,0.79505,0.8
290,16.159,0.79472,0.8
292.5,16.137,0.79451,0.8
295,16.103,0.79443,0.8
297.5,16.059,0.79447,0.8
300,16.005,0.79464,0.8
302.5,15.945,0.79491,0.8
305,15.879,0.79529,0.8
307.5,15.811,0.79575,0.8
310,15.741,0.79628,0.8
312.5,15.672,0.79687,0.8
315,15.604,0.7975,0.8
317.5,15.54,0.79815,0.8
320,15.481,0.79881,0.8
322.5,15.427,0.79946,0.8
325,15.38,0.80009,0.8
327.5,15.341,0.80069,0.8
330,15.309,0.80125,0.8
332.5,15.286,0.80175,0.8
335,15.27,0.80219,0.8
337.5,15.262,0.80257,0.8
340,15.262,0.80287,0.8
342.5,15.268,0.8031,0.8
345,15.28,0.80326,0.8
347.5,15.298,0.80334,0.8
350,15.319,0.80336,0.8
352.5,15.343,0.80332,0.8
355,15.369,0.80322,0.8
357.5,15.397,0.80306,0.8
360,15.424,0.80286,0.8
362.5,15.451,0.80263,0.8
365,15.477,0.80237,0.8
367.5,15.501,0.80209,0.8
370,15.522,0.8018,0.8
372.5,15.541,0.8015,0.8
375,15.557,0.80121,0.8
377.5,15.57,0.80092,0.8
380,15.58,0.80065,0.8
382.5,15.588,0.8004,0.8
385,15.593,0.80017,0.8
387.5,15.595,0.79997,0.8
390,15.596,0.7998,0.8
392.5,15.594,0.79965,0.8
395,15.591,0.79952,0.8
397.5,15.587,0.79943,0.8
400,15.582,0.79936,0.8
402.5,15.576,0.79932,0.8
405,15.57,0.79929,0.8
407.5,15.563,0.79929,0.8
410,15.557,0.7993,0.8
412.5,15.55,0.79932,0.8
415,15.544,0.79936,0.8
417.5,15.538,0.79941,0.8
420,15.533,0.79946,0.8
422.5,15.528,0.79952,0.8
425,15.523,0.79958,0.8
427.5,15.519,0.79964,0.8
430,15.515,0.7997,0.8
432.5,15.512,0.79975,0.8
435,15.51,0.79981,0.8
437.5,15.508,0.79985,0.8
440,15.507,0.7999,0.8
442.5,15.506,0.79994,0.8
445,15.505,0.79997,0.8
447.5,15.505,0.79999,0.8
450,15.506,0.80001,0.8
452.5,15.506,0.80003,0.8
455,15.508,0.80004,0.8
457.5,15.509,0.80004,0.8
460,15.511,0.80004,0.8
462.5,15.514,0.80004,0.8
465,15.517,0.80003,0.8
467.5,15.52,0.80002,0.8
470,15.523,0.8,0.8
472.5,15.526,0.79998,0.8
475,15.53,0.79996,0.8
477.5,15.534,0.79994,0.8
480,15.538,0.79992,0.8
482.5,15.542,0.7999,0.8
485,15.545,0.79988,0.8
487.5,15.549,0.79986,0.8
490,15.552,0.79985,0.8
492.5,15.554,0.79983,0.8
495,15.556,0.79982,0.8
497.5,15.558,0.79981,0.8
500,15.559,0.7998,0.8
502.5,0,0.7998,0.2
505,0,0.7998,0.2
507.5,0,0.7998,0.2
510,0,0.79981,0.2
512.5,0,0.79982,0.2
515,0,0.80848,0.2
517.5,0,0.81348,0.2
520,0,0.81526,0.2
522.5,0,0.81422,0.2
525,0,0.8107,0.2
527.5,0,0.80503,0.2
530,0,0.79747,0.2
532.5,0,0.7883,0.2
535,0,0.77773,0.2
537.5,0,0.76597,0.2
540,0,0.75321,0.2
