t,u1,y,ysp
2.5,20.031,1.12,0.8
5,11.018,1.1197,0.8
7.5,6.1492,1.1195,0.8
10,4.2826,1.1192,0.8
12.5,4.9242,1.119,0.8
15,6.5186,1.1299,0.8
17.5,8.1966,1.1446,0.8
20,9.5877,1.1582,0.8
22.5,10.597,1.1681,0.8
25,11.321,1.1725,0.8
27.5,11.889,1.1715,0.8
30,12.4,1.1659,0.8
32.5,12.908,1.1569,0.8
35,13.427,1.1455,0.8
37.5,13.951,1.1325,0.8
40,14.468,1.1184,0.8
42.5,14.965,1.1036,0.8
45,15.433,1.0884,0.8
47.5,15.868,1.073,0.8
50,16.267,1.0575,0.8
52.5,16.628,1.0422,0.8
55,16.95,1.0272,0.8
57.5,17.233,1.0127,0.8
60,17.476,0.99878,0.8
62.5,17.678,0.98551,0.8
65,17.842,0.97298,0.8
67.5,17.967,0.96123,0.8
70,18.055,0.95031,0.8
72.5,18.11,0.94021,0.8
75,18.132,0.93096,0.8
77.5,18.127,0.92253,0.8
80,18.095,0.9149,0.8
82.5,18.042,0.90804,0.8
85,17.971,0.90191,0.8
87.5,17.884,0.89647,0.8
90,17.786,0.89167,0.8
92.5,17.678,0.88746,0.8
95,17.566,0.88378,0.8
97.5,17.45,0.88058,0.8
100,17.333,0.8778,0.8
102.5,17.217,0.87539,0.8
105,17.105,0.87331,0.8
107.5,16.996,0.87149,0.8
110,16.892,0.86991,0.8
112.5,16.793,0.86851,0.8
115,16.701,0.86726,0.8
117.5,16.614,0.86613,0.8
120,16.533,0.86508,0.8
122.5,16.456,0.86409,0.8
125,16.384,0.86313,0.8
127.5,16.315,0.8622,0.8
130,16.248,0.86127,0.8
132.5,16.183,0.86034,0.8
135,16.117,0.85939,0.8
137.5,16.05,0.85842,0.8
140,15.98,0.85742,0.8
142.5,15.906,0.8564,0.8
145,15.827,0.85535,0.8
147.5,15.741,0.85427,0.8
150,15.649,0.85316,0.8
152.5,15.548,0.85204,0.8
155,15.44,0.85088,0.8
157.5,15.325,0.84971,0.8
160,15.203,0.84852,0.8
162.5,15.075,0.84731,0.8
165,14.945,0.84608,0.8
167.5,14.813,0.84484,0.8
170,14.684,0.84357,0.8
172.5,14.561,0.84227,0.8
175,14.448,0.84095,0.8
177.5,14.349,0.83959,0.8
180,14.268,0.83819,0.8
182.5,14.208,0.83674,0.8
185,14.169,0.83523,0.8
187.5,14.152,0.83365,0.8
190,14.154,0.832,0.8
192.5,14.169,0.83027,0.8
195,14.193,0.82846,0.8
197.5,14.222,0.82656,0.8
200,14.315,0.82458,0.8
202.5,14.481,0.82253,0.8
205,14.704,0.82043,0.8
207.5,14.959,0.81829,0.8
210,15.216,0.81612,0.8
212.5,15.452,0.81392,0.8
215,15.655,0.81168,0.8
217.5,15.822,0.8094,0.8
220,15.954,0.80712,0.8
222.5,16.056,0.8049,0.8
225,16.132,0.80279,0.8
