t,u1,y,ysp
2.5,20.031,1.12,0.8
5,12.918,1.1197,0.8
7.5,6.8235,1.1195,0.8
10,4.0995,1.1192,0.8
12.5,2.5039,1.119,0.8
15,2.7962,1.1299,0.8
17.5,3.0856,1.1431,0.8
20,4.3636,1.1566,0.8
22.5,5.1874,1.1672,0.8
25,6.5979,1.174,0.8
27.5,7.4704,1.1758,0.8
30,8.7958,1.1733,0.8
32.5,9.6216,1.1663,0.8
35,10.844,1.156,0.8
37.5,11.632,1.1426,0.8
40,12.752,1.1273,0.8
42.5,13.509,1.11,0.8
45,14.507,1.0919,0.8
47.5,15.218,1.0729,0.8
50,16.064,1.0538,0.8
52.5,16.697,1.0346,0.8
55,17.369,1.0159,0.8
57.5,17.886,0.99764,0.8
60,18.373,0.98025,0.8
62.5,18.746,0.96375,0.8
65,19.052,0.94838,0.8
67.5,19.267,0.93414,0.8
70,19.407,0.92117,0.8
72.5,19.47,0.90946,0.8
75,19.466,0.89906,0.8
77.5,19.402,0.88992,0.8
80,19.285,0.88202,0.8
82.5,19.124,0.8753,0.8
85,18.929,0.8697,0.8
87.5,18.708,0.86513,0.8
90,18.47,0.8615,0.8
92.5,18.222,0.8587,0.8
95,17.971,0.85665,0.8
97.5,17.723,0.85523,0.8
100,17.483,0.85434,0.8
102.5,17.256,0.85388,0.8
105,17.044,0.85377,0.8
107.5,16.849,0.85392,0.8
110,16.674,0.85424,0.8
112.5,16.518,0.85467,0.8
115,16.382,0.85515,0.8
117.5,16.266,0.85561,0.8
120,16.167,0.85603,0.8
122.5,16.085,0.85637,0.8
125,16.019,0.85659,0.8
127.5,15.964,0.85668,0.8
130,15.921,0.85662,0.8
132.5,15.885,0.85642,0.8
135,15.854,0.85606,0.8
137.5,15.824,0.85556,0.8
140,15.794,0.85491,0.8
142.5,15.76,0.85413,0.8
145,15.719,0.85324,0.8
147.5,15.669,0.85224,0.8
150,15.607,0.85115,0.8
152.5,15.53,0.84999,0.8
155,15.438,0.84877,0.8
157.5,15.33,0.84751,0.8
160,15.206,0.84622,0.8
162.5,15.067,0.84491,0.8
165,14.915,0.84359,0.8
167.5,14.753,0.84226,0.8
170,14.585,0.84094,0.8
172.5,14.416,0.83961,0.8
175,14.252,0.83829,0.8
177.5,14.099,0.83695,0.8
180,13.965,0.8356,0.8
182.5,13.855,0.83421,0.8
185,13.773,0.83279,0.8
187.5,13.723,0.8313,0.8
190,13.703,0.82974,0.8
192.5,13.711,0.82809,0.8
195,13.742,0.82634,0.8
197.5,13.791,0.82448,0.8
200,13.914,0.8225,0.8
202.5,14.104,0.82041,0.8
205,14.359,0.81821,0.8
207.5,14.657,0.81592,0.8
210,14.978,0.81356,0.8
212.5,15.301,0.81112,0.8
215,15.611,0.80861,0.8
217.5,15.893,0.80604,0.8
220,16.141,0.80345,0.8
222.5,16.35,0.8009,0.8
225,16.518,0.79845,0.8
227.5,16.646,0.79616,0.8
230,16.735,0.79407,0.8
232.5,16.787,0.79225,0.8
235,16.807,0.79071,0.8
237.5,16.795,0.78949,0.8
240,16.757,0.7886,0.8
242.5,16.697,0.78803,0.8
245,16.617,0.78777,0.8
247.5,16.522,0.78781,0.8
250,16.415,0.78812,0.8
252.5,16.3,0.78867,0.8
255,16.18,0.78944,0.8
257.5,16.059,0.79038,0.8
260,15.939,0.79145,0.8
262.5,15.823,0.79264,0.8
265,15.713,0.79389,0.8
267.5,15.61,0.79519,0.8
270,15.517,0.79648,0.8
272.5,15.434,0.79776,0.8
275,15.361,0.799,0.8
277.5,15.3,0.80016,0.8
280,15.251,0.80124,0.8
282.5,15.212,0.80222,0.8
285,15.184,0.80309,0.8
287.5,15.166,0.80384,0.8
290,15.157,0.80446,0.8
292.5,15.156,0.80496,0.8
295,15.162,0.80534,0.8
297.5,15.174,0.8056,0.8
300,15.191,0.80574,0.8
302.5,15.211,0.80578,0.8
305,15.234,0.80572,0.8
307.5,15.259,0.80558,0.8
310,15.284,0.80536,0.8
312.5,15.309,0.80508,0.8
315,15.333,0.80474,0.8
317.5,15.356,0.80436,0.8
320,15.376,0.80396,0.8
322.5,15.394,0.80353,0.8
325,15.409,0.80309,0.8
327.5,15.421,0.80265,0.8
330,15.43,0.80222,0.8
332.5,15.437,0.8018,0.8
335,15.441,0.80139,0.8
337.5,15.444,0.80101,0.8
340,15.444,0.80065,0.8
342.5,15.444,0.80031,0.8
345,15.443,0.80001,0.8
347.5,15.443,0.79973,0.8
350,15.442,0.79948,0.8
352.5,15.444,0.79925,0.8
355,15.446,0.79905,0.8
357.5,15.452,0.79887,0.8
360,15.459,0.79871,0.8
362.5,15.469,0.79857,0.8
365,15.482,0.79844,0.8
367.5,15.498,0.79832,0.8
370,15.517,0.79821,0.8
372.5,15.538,0.79812,0.8
375,15.561,0.79803,0.8
377.5,15.586,0.79795,0.8
380,15.611,0.79787,0.8
382.5,15.636,0.79781,0.8
385,15.661,0.79775,0.8
387.5,15.683,0.7977,0.8
390,15.704,0.79766,0.8
392.5,15.722,0.79764,0.8
395,15.736,0.79763,0.8
397.5,15.746,0.79764,0.8
400,15.753,0.79767,0.8
402.5,15.754,0.79772,0.8
405,15.75,0.7978,0.8
407.5,15.741,0.7979,0.8
410,15.726,0.79802,0.8
412.5,15.708,0.79817,0.8
415,15.685,0.79834,0.8
417.5,15.66,0.79853,0.8
420,15.632,0.79874,0.8
422.5,15.603,0.79897,0.8
425,15.573,0.79921,0.8
427.5,15.544,0.79947,0.8
430,15.516,0.79972,0.8
432.5,15.49,0.79998,0.8
435,15.466,0.80023,0.8
437.5,15.446,0.80047,0.8
440,15.428,0.8007,0.8
442.5,15.414,0.80091,0.8
445,15.403,0.80109,0.8
447.5,15.396,0.80125,0.8
450,15.392,0.80138,0.8
452.5,15.391,0.80148,0.8
455,15.393,0.80155,0.8
457.5,15.397,0.80158,0.8
460,15.404,0.80159,0.8
462.5,15.413,0.80157,0.8
465,15.424,0.80152,0.8
467.5,15.435,0.80145,0.8
470,15.448,0.80135,0.8
472.5,15.461,0.80124,0.8
475,15.474,0.80111,0.8
477.5,15.487,0.80097,0.8
480,15.5,0.80082,0.8
482.5,15.511,0.80067,0.8
485,15.522,0.80051,0.8
487.5,15.532,0.80036,0.8
490,15.541,0.80021,0.8
492.5,15.548,0.80007,0.8
495,15.554,0.79993,0.8
497.5,15.559,0.79981,0.8
500,15.563,0.7997,0.8
502.5,0,0.7996,0.2
505,0,0.79952,0.2
507.5,0,0.79945,0.2
510,0,0.7994,0.2
512.5,0,0.79936,0.2
515,0,0.80797,0.2
517.5,0,0.81294,0.2
520,0,0.81469,0.2
522.5,0,0.81362,0.2
525,0,0.81009,0.2
527.5,0,0.8044,0.2
530,0,0.79684,0.2
532.5,0,0.78766,0.2
535,0,0.77708,0.2
537.5,0,0.76532,0.2
540,0,0.75256,0.2
542.5,0,0.73895,0.2
545,0,0.72465,0.2
547.5,0,0.70978,0.2
550,0,0.69446,0.2
552.5,0,0.6788,0.2
555,0,0.66288,0.2
557.5,0,0.64679,0.2
560,0,0.63059,0.2
562.5,0,0.61436,0.2
