u1,y,ysp
0.0095278,1.12,1.12
0.0095314,1.1197,1.12
0.0095372,1.1195,1.12
0.0095444,1.1192,1.12
0.009552,1.119,1.12
0.0095595,1.1188,1.12
0.0095666,1.1186,1.12
0.0095729,1.1185,1.12
0.0095783,1.1183,1.12
0.0095829,1.1181,1.12
0.0095865,1.118,1.12
0.0095893,1.1178,1.12
0.0095914,1.1177,1.12
0.0095928,1.1176,1.12
0.0095937,1.1175,1.12
0.0095941,1.1174,1.12
0.0095942,1.1174,1.12
0.0095941,1.1173,1.12
0.0095938,1.1173,1.12
0.0095934,1.1174,1.12
0.009593,1.1174,1.12
0.0095926,1.1174,1.12
0.0095923,1.1175,1.12
0.009592,1.1175,1.12
0.0095918,1.1176,1.12
0.0095917,1.1177,1.12
0.0095916,1.1178,1.12
0.0095917,1.1178,1.12
0.0095919,1.1179,1.12
0.0095921,1.118,1.12
0.0095924,1.1181,1.12
0.0095927,1.1182,1.12
0.0095931,1.1182,1.12
0.0095935,1.1183,1.12
0.009594,1.1184,1.12
0.0095945,1.1184,1.12
0.0095949,1.1185,1.12
0.0095954,1.1186,1.12
0.0095959,1.1186,1.12
0.0095963,1.1187,1.12
0.0095968,1.1187,1.12
0.0095972,1.1188,1.12
0.0095976,1.1188,1.12
0.009598,1.1188,1.12
0.0095984,1.1189,1.12
0.0095988,1.1189,1.12
0.0095991,1.1189,1.12
0.0095994,1.119,1.12
0.0095997,1.119,1.12
0.0096,1.119,1.12
0.0056284,1.1191,0.8
0.0026856,1.1191,0.8
0.00061829,1.1191,0.8
0,1.1191,0.8
0,1.1192,0.8
0,1.1303,0.8
0,1.1464,0.8
0,1.1632,0.8
0,1.1757,0.8
0,1.1823,0.8
6.2648e-05,1.1839,0.8
0.00023937,1.181,0.8
0.00049822,1.1743,0.8
0.00081422,1.1644,0.8
0.0011683,1.1516,0.8
0.0015467,1.1362,0.8
0.0019404,1.1184,0.8
0.0023434,1.0983,0.8
0.0027514,1.0764,0.8
0.0031608,1.0531,0.8
0.0035678,1.0289,0.8
0.0039682,1.0041,0.8
0.0043567,0.97934,0.8
0.0047275,0.95485,0.8
0.0050738,0.93105,0.8
0.0053884,0.90825,0.8
0.0056644,0.88674,0.8
0.0058953,0.86674,0.8
0.0060759,0.84847,0.8
0.0062028,0.83208,0.8
0.0062744,0.81769,0.8
0.0062915,0.80538,0.8
0.0062573,0.79519,0.8
0.0061768,0.78709,0.8
0.0060567,0.78105,0.8
0.0059051,0.77698,0.8
0.0057305,0.77473,0.8
0.0055417,0.77417,0.8
0.0053468,0.77509,0.8
0.0051534,0.7773,0.8
0.0049678,0.78057,0.8
0.004795,0.7847,0.8
0.0046389,0.78944,0.8
0.0045017,0.7946,0.8
0.0043849,0.79996,0.8
0.0042885,0.80536,0.8
0.004212,0.81063,0.8
0.0041541,0.81564,0.8
0.004113,0.82027,0.8
0.0040869,0.82444,0.8
0.0040735,0.8281,0.8
0.0040708,0.8312,0.8
0.0040766,0.83373,0.8
0.004089,0.8357,0.8
0.004106,0.83711,0.8
0.0041261,0.83801,0.8
0.0041476,0.83844,0.8
0.0041693,0.83843,0.8
0.0041897,0.83805,0.8
0.0042078,0.83734,0.8
0.0042227,0.83637,0.8
0.0042333,0.83518,0.8
0.004239,0.83382,0.8
0.0042392,0.83235,0.8
0.0042334,0.83079,0.8
0.0042215,0.8292,0.8
0.0042033,0.8276,0.8
0.0041793,0.82602,0.8
0.0041499,0.82447,0.8
0.004116,0.82299,0.8
0.0040786,0.82156,0.8
0.0040393,0.82021,0.8
0.0039996,0.81892,0.8
0.0039613,0.8177,0.8
0.003926,0.81653,0.8
0.0038952,0.81541,0.8
0.0038699,0.8143,0.8
0.0038507,0.8132,0.8
0.0038377,0.81208,0.8
0.0038309,0.81093,0.8
0.0038418,0.80973,0.8
0.0038751,0.80846,0.8
0.0039307,0.80711,0.8
0.004003,0.80568,0.8
0.0040854,0.80416,0.8
0.0041724,0.80255,0.8
0.0042599,0.80081,0.8
0.0043445,0.79896,0.8
0.0044241,0.79702,0.8
0.0044969,0.79503,0.8
0.0045618,0.79305,0.8
0.0046175,0.79115,0.8
0.0046634,0.78937,0.8
0.0046988,0.78777,0.8
0.0047237,0.7864,0.8
0.004738,0.78528,0.8
0.0047421,0.78444,0.8
0.0047367,0.78389,0.8
0.0047224,0.78365,0.8
0.0047003,0.7837,0.8
0.0046712,0.78405,0.8
0.0046363,0.78467,0.8
0.0045968,0.78554,0.8
0.0045538,0.78663,0.8
0.0045085,0.78791,0.8
0.004462,0.78935,0.8
0.0044155,0.79091,0.8
0.0043701,0.79255,0.8
0.0043267,0.79424,0.8
0.0042863,0.79594,0.8
0.0042496,0.79762,0.8
0.0042172,0.79924,0.8
0.0041897,0.80077,0.8
0.0041674,0.8022,0.8
0.0041505,0.80349,0.8
0.0041389,0.80463,0.8
0.0041325,0.80561,0.8
0.004131,0.80641,0.8
0.0041341,0.80704,0.8
0.0041411,0.80748,0.8
0.0041516,0.80775,0.8
0.0041648,0.80786,0.8
0.0041801,0.8078,0.8
0.0041969,0.8076,0.8
0.0042145,0.80726,0.8
0.0042324,0.80682,0.8
0.0042499,0.80628,0.8
0.0042667,0.80567,0.8
0.0042823,0.80501,0.8
0.0042964,0.80431,0.8
0.0043088,0.8036,0.8
0.0043193,0.80289,0.8
0.0043278,0.8022,0.8
0.0043344,0.80153,0.8
0.004339,0.80091,0.8
0.0043417,0.80034,0.8
0.0043428,0.79983,0.8
0.0043424,0.79937,0.8
0.0043406,0.79899,0.8
0.0043379,0.79866,0.8
0.0043343,0.7984,0.8
0.0043302,0.79821,0.8
0.0043259,0.79806,0.8
0.0043215,0.79797,0.8
0.0043173,0.79793,0.8
0.0043136,0.79792,0.8
0.0043105,0.79795,0.8
0.0043082,0.798,0.8
0.0043068,0.79807,0.8
0.0043064,0.79815,0.8
0.004307,0.79825,0.8
0.0043086,0.79834,0.8
0.0043112,0.79843,0.8
0.0043147,0.79852,0.8
0.0043189,0.7986,0.8
0.0043238,0.79867,0.8
0.004329,0.79873,0.8
0.0043344,0.79879,0.8
0.0043399,0.79883,0.8
0.0043451,0.79886,0.8
0.0043499,0.79889,0.8
0.004354,0.79892,0.8
