t,u1,y,ysp
2.5,34.3,1.12,1.12
5,34.315,1.1197,1.12
7.5,34.34,1.1195,1.12
10,34.371,1.1192,1.12
12.5,34.403,1.119,1.12
15,34.435,1.1188,1.12
17.5,34.465,1.1186,1.12
20,34.492,1.1185,1.12
22.5,34.516,1.1183,1.12
25,34.535,1.1181,1.12
27.5,34.551,1.1179,1.12
30,34.563,1.1178,1.12
32.5,34.572,1.1176,1.12
35,34.578,1.1175,1.12
37.5,34.582,1.1174,1.12
40,34.584,1.1174,1.12
42.5,34.584,1.1173,1.12
45,34.583,1.1173,1.12
47.5,34.581,1.1173,1.12
50,34.579,1.1173,1.12
52.5,34.576,1.1174,1.12
55,34.573,1.1174,1.12
57.5,34.57,1.1175,1.12
60,34.567,1.1176,1.12
62.5,34.565,1.1177,1.12
65,34.563,1.1178,1.12
67.5,34.561,1.1179,1.12
70,34.559,1.118,1.12
72.5,34.558,1.1181,1.12
75,34.557,1.1182,1.12
77.5,34.557,1.1183,1.12
80,34.557,1.1184,1.12
82.5,34.557,1.1184,1.12
85,34.557,1.1185,1.12
87.5,34.557,1.1186,1.12
90,34.558,1.1187,1.12
92.5,34.559,1.1188,1.12
95,34.56,1.1188,1.12
97.5,34.561,1.1189,1.12
100,34.562,1.119,1.12
102.5,34.563,1.119,1.12
105,34.564,1.1191,1.12
107.5,34.565,1.1191,1.12
110,34.566,1.1191,1.12
112.5,34.567,1.1192,1.12
115,34.568,1.1192,1.12
117.5,34.569,1.1192,1.12
120,34.57,1.1193,1.12
122.5,34.571,1.1193,1.12
125,34.572,1.1193,1.12
127.5,27.532,1.1194,0.8
130,27.514,1.1194,0.8
132.5,27.494,1.1194,0.8
135,27.461,1.1194,0.8
137.5,26.86,1.1194,0.8
140,26.404,1.1249,0.8
142.5,25.131,1.1288,0.8
145,23.645,1.1312,0.8
147.5,21.911,1.1325,0.8
150,19.97,1.1332,0.8
152.5,17.694,1.1333,0.8
155,15.173,1.1336,0.8
157.5,12.294,1.1339,0.8
160,9.0061,1.1343,0.8
162.5,5.236,1.1349,0.8
165,3.0949,1.1356,0.8
167.5,3.688,1.1364,0.8
170,4.2007,1.1372,0.8
172.5,4.6391,1.138,0.8
175,5.0097,1.1388,0.8
177.5,5.4124,1.1379,0.8
180,5.969,1.1331,0.8
182.5,6.6458,1.1251,0.8
185,7.4104,1.1144,0.8
187.5,8.2328,1.1016,0.8
190,9.0894,1.0871,0.8
192.5,9.9622,1.0711,0.8
195,10.832,1.054,0.8
197.5,11.681,1.0359,0.8
200,12.493,1.0172,0.8
202.5,13.252,0.99822,0.8
205,13.948,0.9792,0.8
207.5,14.573,0.96041,0.8
210,15.122,0.94208,0.8
212.5,15.595,0.92442,0.8
215,16.161,0.90761,0.8
217.5,16.834,0.8918,0.8
220,17.535,0.8771,0.8
222.5,18.199,0.8636,0.8
225,18.781,0.85133,0.8
227.5,19.251,0.84023,0.8
230,19.591,0.83022,0.8
232.5,19.795,0.8213,0.8
235,19.865,0.8135,0.8
237.5,19.811,0.80687,0.8
240,19.647,0.80143,0.8
242.5,19.39,0.79719,0.8
245,19.061,0.79413,0.8
247.5,18.678,0.79219,0.8
250,18.263,0.79129,0.8
252.5,17.833,0.79134,0.8
255,17.406,0.79221,0.8
257.5,16.994,0.79378,0.8
260,16.608,0.79591,0.8
262.5,16.257,0.79847,0.8
265,15.945,0.80131,0.8
267.5,15.676,0.80432,0.8
270,15.449,0.80738,0.8
272.5,15.264,0.81038,0.8
275,15.119,0.81325,0.8
277.5,15.01,0.8159,0.8
280,14.934,0.81829,0.8
282.5,14.887,0.82038,0.8
285,14.864,0.82213,0.8
287.5,14.863,0.82355,0.8
290,14.879,0.82462,0.8
292.5,14.909,0.82535,0.8
295,14.95,0.82577,0.8
297.5,14.999,0.8259,0.8
300,15.054,0.82575,0.8
302.5,15.112,0.82537,0.8
305,15.172,0.82478,0.8
307.5,15.232,0.82401,0.8
310,15.291,0.8231,0.8
312.5,15.348,0.82207,0.8
315,15.402,0.82097,0.8
317.5,15.451,0.8198,0.8
320,15.496,0.8186,0.8
322.5,15.536,0.81739,0.8
325,15.571,0.81618,0.8
327.5,15.599,0.815,0.8
330,15.623,0.81386,0.8
332.5,15.64,0.81277,0.8
335,15.651,0.81174,0.8
337.5,15.657,0.81077,0.8
340,15.657,0.80987,0.8
342.5,15.651,0.80904,0.8
345,15.641,0.80829,0.8
347.5,15.625,0.80761,0.8
350,15.605,0.807,0.8
352.5,15.581,0.80646,0.8
355,15.553,0.80599,0.8
357.5,15.522,0.80557,0.8
360,15.488,0.80521,0.8
362.5,15.452,0.8049,0.8
365,15.414,0.80463,0.8
367.5,15.376,0.8044,0.8
370,15.336,0.8042,0.8
372.5,15.296,0.80402,0.8
375,15.257,0.80385,0.8
377.5,15.225,0.8037,0.8
380,15.201,0.80355,0.8
382.5,15.182,0.80341,0.8
385,15.167,0.80325,0.8
387.5,15.158,0.80309,0.8
390,15.154,0.8029,0.8
392.5,15.156,0.80269,0.8
395,15.164,0.80246,0.8
397.5,15.179,0.8022,0.8
400,15.202,0.80191,0.8
402.5,15.232,0.8016,0.8
405,15.27,0.80126,0.8
407.5,15.315,0.8009,0.8
410,15.367,0.80053,0.8
412.5,15.426,0.80013,0.8
415,15.491,0.79973,0.8
417.5,15.555,0.79932,0.8
420,15.617,0.7989,0.8
422.5,15.673,0.79849,0.8
