x,w1,w2,w3
0.06,0.9982,0.013276,2.179e-08
0.12,0.99283,0.015809,3.1065e-08
0.18,0.98393,0.018757,4.4127e-08
0.24,0.97161,0.022175,6.2456e-08
0.3,0.956,0.026121,8.8082e-08
0.36,0.93725,0.03066,1.2378e-07
0.42,0.91558,0.035858,1.7331e-07
0.48,0.89119,0.041786,2.4179e-07
0.54,0.86433,0.048519,3.3612e-07
0.6,0.83527,0.056135,4.6557e-07
0.66,0.80429,0.064713,6.4256e-07
0.72,0.77167,0.074333,8.8365e-07
0.78,0.73771,0.085077,1.2108e-06
0.84,0.70272,0.097024,1.6532e-06
0.9,0.66698,0.11025,2.2491e-06
0.96,0.63078,0.12483,3.0487e-06
1.02,0.5944,0.14083,4.1178e-06
1.08,0.55811,0.15831,5.5418e-06
1.14,0.52215,0.17732,7.4314e-06
1.2,0.48675,0.1979,9.9295e-06
1.26,0.45212,0.22007,1.322e-05
1.32,0.41845,0.24385,1.7537e-05
1.38,0.38589,0.26923,2.318e-05
1.44,0.35459,0.29618,3.053e-05
1.5,0.32465,0.32465,4.0065e-05
1.56,0.29618,0.35459,5.239e-05
1.62,0.26923,0.38589,6.8259e-05
1.68,0.24385,0.41845,8.8616e-05
1.74,0.22007,0.45212,0.00011463
1.8,0.1979,0.48675,0.00014775
1.86,0.17732,0.52215,0.00018975
1.92,0.15831,0.55811,0.00024282
1.98,0.14083,0.5944,0.00030961
2.04,0.12483,0.63078,0.00039335
2.1,0.11025,0.66698,0.00049796
2.16,0.097024,0.70272,0.00062811
2.22,0.085077,0.73771,0.00078943
2.28,0.074333,0.77167,0.00098862
2.34,0.064713,0.80429,0.0012336
2.4,0.056135,0.83527,0.0015338
2.46,0.048519,0.86433,0.0019002
2.52,0.041786,0.89119,0.0023456
2.58,0.035858,0.91558,0.0028851
2.64,0.03066,0.93725,0.0035359
2.7,0.026121,0.956,0.0043178
2.76,0.022175,0.97161,0.0052538
2.82,0.018757,0.98393,0.0063697
2.88,0.015809,0.99283,0.0076949
2.94,0.013276,0.9982,0.0092623
3,0.011109,1,0.011109
3.06,0.0092623,0.9982,0.013276
3.12,0.0076949,0.99283,0.015809
3.18,0.0063697,0.98393,0.018757
3.24,0.0052538,0.97161,0.022175
3.3,0.0043178,0.956,0.026121
3.36,0.0035359,0.93725,0.03066
3.42,0.0028851,0.91558,0.035858
3.48,0.0023456,0.89119,0.041786
3.54,0.0019002,0.86433,0.048519
3.6,0.0015338,0.83527,0.056135
3.66,0.0012336,0.80429,0.064713
3.72,0.00098862,0.77167,0.074333
3.78,0.00078943,0.73771,0.085077
3.84,0.00062811,0.70272,0.097024
3.9,0.00049796,0.66698,0.11025
3.96,0.00039335,0.63078,0.12483
4.02,0.00030961,0.5944,0.14083
4.08,0.00024282,0.55811,0.15831
4.14,0.00018975,0.52215,0.17732
4.2,0.00014775,0.48675,0.1979
4.26,0.00011463,0.45212,0.22007
4.32,8.8616e-05,0.41845,0.24385
4.38,6.8259e-05,0.38589,0.26923
4.44,5.239e-05,0.35459,0.29618
4.5,4.0065e-05,0.32465,0.32465
4.56,3.053e-05,0.29618,0.35459
4.62,2.318e-05,0.26923,0.38589
4.68,1.7537e-05,0.24385,0.41845
4.74,1.322e-05,0.22007,0.45212
4.8,9.9295e-06,0.1979,0.48675
4.86,7.4314e-06,0.17732,0.52215
4.92,5.5418e-06,0.15831,0.55811
4.98,4.1178e-06,0.14083,0.5944
5.04,3.0487e-06,0.12483,0.63078
5.1,2.2491e-06,0.11025,0.66698
5.16,1.6532e-06,0.097024,0.70272
5.22,1.2108e-06,0.085077,0.73771
5.28,8.8365e-07,0.074333,0.77167
5.34,6.4256e-07,0.064713,0.80429
5.4,4.6557e-07,0.056135,0.83527
5.46,3.3612e-07,0.048519,0.86433
5.52,2.4179e-07,0.041786,0.89119
5.58,1.7331e-07,0.035858,0.91558
5.64,1.2378e-07,0.03066,0.93725
5.7,8.8082e-08,0.026121,0.956
5.76,6.2456e-08,0.022175,0.97161
5.82,4.4127e-08,0.018757,0.98393
5.88,3.1065e-08,0.015809,0.99283
5.94,2.179e-08,0.013276,0.9982
6,1.523e-08,0.011109,1
