x,w1,w2,w3
0.06,0.98687,0.013125,2.1543e-08
0.12,0.98433,0.015673,3.0799e-08
0.18,0.98129,0.018707,4.4008e-08
0.24,0.97769,0.022313,6.2847e-08
0.3,0.9734,0.026597,8.9685e-08
0.36,0.96832,0.031676,1.2788e-07
0.42,0.96231,0.037688,1.8215e-07
0.48,0.95521,0.044788,2.5916e-07
0.54,0.94685,0.053151,3.6821e-07
0.6,0.93703,0.062973,5.2229e-07
0.66,0.92553,0.074468,7.3943e-07
0.72,0.91214,0.087864,1.0445e-06
0.78,0.8966,0.1034,1.4716e-06
0.84,0.87868,0.12132,2.0672e-06
0.9,0.85815,0.14185,2.8937e-06
0.96,0.83479,0.1652,4.0347e-06
1.02,0.80845,0.19154,5.6006e-06
1.08,0.77902,0.22097,7.7353e-06
1.14,0.74649,0.2535,1.0624e-05
1.2,0.71094,0.28905,1.4503e-05
1.26,0.67259,0.32739,1.9666e-05
1.32,0.6318,0.36818,2.6478e-05
1.38,0.58902,0.41095,3.5382e-05
1.44,0.54485,0.4551,4.6912e-05
1.5,0.49997,0.49997,6.1701e-05
1.56,0.45508,0.54484,8.0498e-05
1.62,0.41092,0.58898,0.00010418
1.68,0.36814,0.63173,0.00013378
1.74,0.32734,0.67249,0.0001705
1.8,0.28899,0.7108,0.00021575
1.86,0.25344,0.74629,0.0002712
1.92,0.2209,0.77876,0.00033882
1.98,0.19146,0.80811,0.00042093
2.04,0.16512,0.83436,0.00052031
2.1,0.14176,0.8576,0.00064027
2.16,0.12122,0.87799,0.00078477
2.22,0.1033,0.89574,0.00095853
2.28,0.087761,0.91107,0.0011672
2.34,0.074362,0.92422,0.0014176
2.4,0.062865,0.93542,0.0017177
2.46,0.053041,0.94488,0.0020773
2.52,0.044675,0.95282,0.0025078
2.58,0.037574,0.9594,0.0030232
2.64,0.031561,0.9648,0.0036398
2.7,0.026481,0.96914,0.0043772
2.76,0.022196,0.97255,0.0052589
2.82,0.018588,0.9751,0.0063125
2.88,0.015555,0.97687,0.0075712
2.94,0.013006,0.97792,0.0090741
3,0.010868,0.97826,0.010868
3.06,0.0090741,0.97792,0.013006
3.12,0.0075712,0.97687,0.015555
3.18,0.0063125,0.9751,0.018588
3.24,0.0052589,0.97255,0.022196
3.3,0.0043772,0.96914,0.026481
3.36,0.0036398,0.9648,0.031561
3.42,0.0030232,0.9594,0.037574
3.48,0.0025078,0.95282,0.044675
3.54,0.0020773,0.94488,0.053041
3.6,0.0017177,0.93542,0.062865
3.66,0.0014176,0.92422,0.074362
3.72,0.0011672,0.91107,0.087761
3.78,0.00095853,0.89574,0.1033
3.84,0.00078477,0.87799,0.12122
3.9,0.00064027,0.8576,0.14176
3.96,0.00052031,0.83436,0.16512
4.02,0.00042093,0.80811,0.19146
4.08,0.00033882,0.77876,0.2209
4.14,0.0002712,0.74629,0.25344
4.2,0.00021575,0.7108,0.28899
4.26,0.0001705,0.67249,0.32734
4.32,0.00013378,0.63173,0.36814
4.38,0.00010418,0.58898,0.41092
4.44,8.0498e-05,0.54484,0.45508
4.5,6.1701e-05,0.49997,0.49997
4.56,4.6912e-05,0.4551,0.54485
4.62,3.5382e-05,0.41095,0.58902
4.68,2.6478e-05,0.36818,0.6318
4.74,1.9666e-05,0.32739,0.67259
4.8,1.4503e-05,0.28905,0.71094
4.86,1.0624e-05,0.2535,0.74649
4.92,7.7353e-06,0.22097,0.77902
4.98,5.6006e-06,0.19154,0.80845
5.04,4.0347e-06,0.1652,0.83479
5.1,2.8937e-06,0.14185,0.85815
5.16,2.0672e-06,0.12132,0.87868
5.22,1.4716e-06,0.1034,0.8966
5.28,1.0445e-06,0.087864,0.91214
5.34,7.3943e-07,0.074468,0.92553
5.4,5.2229e-07,0.062973,0.93703
5.46,3.6821e-07,0.053151,0.94685
5.52,2.5916e-07,0.044788,0.95521
5.58,1.8215e-07,0.037688,0.96231
5.64,1.2788e-07,0.031676,0.96832
5.7,8.9685e-08,0.026597,0.9734
5.76,6.2847e-08,0.022313,0.97769
5.82,4.4008e-08,0.018707,0.98129
5.88,3.0799e-08,0.015673,0.98433
5.94,2.1543e-08,0.013125,0.98687
6,1.5063e-08,0.010987,0.98901
