u1,u2,u3,y,ysp
17.507,0.55,16.6,7,8.0423
18.483,0.55,16.6,7.0015,8.0423
18.768,0.55,16.6,7.1238,8.0423
18.511,0.55,16.6,7.3502,8.0423
17.779,0.55,16.6,7.736,8.0423
16.721,0.55,16.6,8.3565,8.0423
15.852,0.55,16.6,8.673,8.0423
15.474,0.55,16.6,8.6609,8.0423
15.667,0.55,16.6,8.4113,8.0423
16.211,0.55,16.6,8.0184,8.0423
16.711,0.55,16.6,7.7906,8.0423
16.983,0.55,16.6,7.7441,8.0423
17.008,0.55,16.6,7.8131,8.0423
16.839,0.55,16.6,7.9557,8.0423
16.583,0.55,16.6,8.1137,8.0423
16.366,0.55,16.6,8.2085,8.0423
16.278,0.55,16.6,8.2055,8.0423
16.328,0.55,16.6,8.1297,8.0423
16.455,0.55,16.6,8.0371,8.0423
16.58,0.55,16.6,7.9756,8.0423
16.65,0.55,16.6,7.9604,8.0423
16.652,0.55,16.6,7.9834,8.0423
16.603,0.55,16.6,8.0257,8.0423
16.536,0.55,16.6,8.0651,8.0423
16.485,0.55,16.6,8.0849,8.0423
16.469,0.55,16.6,8.0809,8.0423
16.485,0.55,16.6,8.061,8.0423
16.517,0.55,16.6,8.0385,8.0423
16.548,0.55,16.6,8.0239,8.0423
16.564,0.55,16.6,8.0212,8.0423
16.562,0.55,16.6,8.0283,8.0423
16.548,0.55,16.6,8.0396,8.0423
16.531,0.55,16.6,8.0491,8.0423
16.52,0.55,16.6,8.0532,8.0423
16.517,0.55,16.6,8.0515,8.0423
16.522,0.55,16.6,8.0462,8.0423
16.53,0.55,16.6,8.0406,8.0423
16.538,0.55,16.6,8.0373,8.0423
16.541,0.55,16.6,8.037,8.0423
16.54,0.55,16.6,8.039,8.0423
16.536,0.55,16.6,8.042,8.0423
16.532,0.55,16.6,8.0442,8.0423
10.46,0.55,16.6,8.0451,3.6464
7.9055,0.55,16.6,8.0445,3.6464
5.6715,0.55,16.6,7.1667,3.6464
4.0145,0.55,16.6,6.7502,3.6464
3.0338,0.55,16.6,6.4217,3.6464
2.768,0.55,16.6,6.1001,3.6464
3.3424,0.55,16.6,5.7084,3.6464
4.8579,0.55,16.6,4.9789,3.6464
5.9854,0.55,16.6,4.1524,3.6464
6.7972,0.55,16.6,3.8949,3.6464
7.426,0.55,16.6,3.7727,3.6464
7.9211,0.55,16.6,3.7032,3.6464
8.3096,0.55,16.6,3.6615,3.6464
8.61,0.55,16.6,3.6369,3.6464
8.8374,0.55,16.6,3.6235,3.6464
9.0044,0.55,16.6,3.6176,3.6464
9.1217,0.55,16.6,3.6169,3.6464
9.1991,0.55,16.6,3.6197,3.6464
9.245,0.55,16.6,3.6247,3.6464
9.2667,0.55,16.6,3.6309,3.6464
9.2703,0.55,16.6,3.6376,3.6464
9.261,0.55,16.6,3.6442,3.6464
9.2432,0.55,16.6,3.6504,3.6464
9.2202,0.55,16.6,3.6559,3.6464
9.1946,0.55,16.6,3.6605,3.6464
9.1684,0.55,16.6,3.6643,3.6464
9.143,0.55,16.6,3.6671,3.6464
9.1192,0.55,16.6,3.6692,3.6464
9.0978,0.55,16.6,3.6704,3.6464
9.0788,0.55,16.6,3.6711,3.6464
9.0624,0.55,16.6,3.6711,3.6464
9.0486,0.55,16.6,3.6708,3.6464
