u1,u2,u3,y,ysp
16.738,0.55,16.6,7,8.0423
17.73,0.55,16.6,7.0015,8.0423
18.072,0.55,16.6,7.0728,8.0423
17.861,0.55,16.6,7.2192,8.0423
17.425,0.55,16.6,7.4291,8.0423
16.991,0.55,16.6,7.6807,8.0423
16.683,0.55,16.6,7.9237,8.0423
16.517,0.55,16.6,8.0752,8.0423
16.456,0.55,16.6,8.1205,8.0423
16.457,0.55,16.6,8.106,8.0423
16.482,0.55,16.6,8.0735,8.0423
16.51,0.55,16.6,8.0457,8.0423
16.53,0.55,16.6,8.0293,8.0423
16.54,0.55,16.6,8.0236,8.0423
16.544,0.55,16.6,8.0248,8.0423
16.543,0.55,16.6,8.0291,8.0423
16.54,0.55,16.6,8.034,8.0423
16.537,0.55,16.6,8.038,8.0423
16.535,0.55,16.6,8.0408,8.0423
16.534,0.55,16.6,8.0424,8.0423
16.533,0.55,16.6,8.0431,8.0423
16.533,0.55,16.6,8.0433,8.0423
16.533,0.55,16.6,8.0433,8.0423
16.533,0.55,16.6,8.0433,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0431,8.0423
16.533,0.55,16.6,8.0431,8.0423
16.533,0.55,16.6,8.043,8.0423
16.533,0.55,16.6,8.043,8.0423
16.533,0.55,16.6,8.0429,8.0423
16.533,0.55,16.6,8.0428,8.0423
16.533,0.55,16.6,8.0428,8.0423
16.533,0.55,16.6,8.0427,8.0423
16.533,0.55,16.6,8.0426,8.0423
16.533,0.55,16.6,8.0426,8.0423
16.533,0.55,16.6,8.0425,8.0423
16.533,0.55,16.6,8.0425,8.0423
16.533,0.55,16.6,8.0424,8.0423
16.533,0.55,16.6,8.0424,8.0423
12.709,0.55,16.6,8.0424,3.6464
9.1745,0.55,16.6,8.0423,3.6464
5.9104,0.55,16.6,7.3587,3.6464
3.7338,0.55,16.6,6.8927,3.6464
2.9268,0.55,16.6,6.525,3.6464
3.2046,0.55,16.6,6.184,3.6464
4.011,0.55,16.6,5.8089,3.6464
4.8474,0.55,16.6,5.2514,3.6464
5.6051,0.55,16.6,4.3658,3.6464
6.303,0.55,16.6,3.9974,3.6464
6.935,0.55,16.6,3.8299,3.6464
7.4904,0.55,16.6,3.7345,3.6464
7.9625,0.55,16.6,3.6761,3.6464
8.3499,0.55,16.6,3.6402,3.6464
8.656,0.55,16.6,3.6193,3.6464
8.8876,0.55,16.6,3.6086,3.6464
9.0539,0.55,16.6,3.6052,3.6464
9.165,0.55,16.6,3.6066,3.6464
9.2315,0.55,16.6,3.6112,3.6464
