u1,u2,u3,y,ysp
16.738,0.55,16.6,7,8.0423
17.709,0.55,16.6,7.0015,8.0423
17.995,0.55,16.6,7.0728,8.0423
17.79,0.55,16.6,7.2174,8.0423
17.406,0.55,16.6,7.4178,8.0423
17.019,0.55,16.6,7.652,8.0423
16.725,0.55,16.6,7.8814,8.0423
16.55,0.55,16.6,8.04,8.0423
16.475,0.55,16.6,8.102,8.0423
16.464,0.55,16.6,8.1005,8.0423
16.482,0.55,16.6,8.0749,8.0423
16.507,0.55,16.6,8.0492,8.0423
16.527,0.55,16.6,8.0326,8.0423
16.538,0.55,16.6,8.0256,8.0423
16.542,0.55,16.6,8.0256,8.0423
16.542,0.55,16.6,8.0291,8.0423
16.54,0.55,16.6,8.0336,8.0423
16.538,0.55,16.6,8.0376,8.0423
16.535,0.55,16.6,8.0404,8.0423
16.534,0.55,16.6,8.0421,8.0423
16.533,0.55,16.6,8.0429,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0433,8.0423
16.533,0.55,16.6,8.0433,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0431,8.0423
16.533,0.55,16.6,8.0431,8.0423
16.533,0.55,16.6,8.0431,8.0423
16.533,0.55,16.6,8.043,8.0423
16.533,0.55,16.6,8.043,8.0423
16.533,0.55,16.6,8.0429,8.0423
16.533,0.55,16.6,8.0428,8.0423
16.533,0.55,16.6,8.0428,8.0423
16.533,0.55,16.6,8.0427,8.0423
16.533,0.55,16.6,8.0426,8.0423
16.533,0.55,16.6,8.0426,8.0423
16.533,0.55,16.6,8.0425,8.0423
16.533,0.55,16.6,8.0425,8.0423
16.533,0.55,16.6,8.0424,8.0423
16.533,0.55,16.6,8.0424,8.0423
12.709,0.55,16.6,8.0424,3.6464
8.7752,0.55,16.6,8.0423,3.6464
5.2219,0.55,16.6,7.3587,3.6464
3.5016,0.55,16.6,6.8739,3.6464
3.1827,0.55,16.6,6.4905,3.6464
3.4778,0.55,16.6,6.1462,3.6464
4.016,0.55,16.6,5.774,3.6464
4.7604,0.55,16.6,5.208,3.6464
5.558,0.55,16.6,4.3308,3.6464
6.3255,0.55,16.6,3.9781,3.6464
7.0166,0.55,16.6,3.8161,3.6464
7.6091,0.55,16.6,3.7247,3.6464
8.0959,0.55,16.6,3.6701,3.6464
8.4801,0.55,16.6,3.6376,3.6464
8.7709,0.55,16.6,3.6197,3.6464
8.9806,0.55,16.6,3.6116,3.6464
9.1227,0.55,16.6,3.6102,3.6464
