u1,u2,u3,y,ysp
16.738,0.55,16.6,7,8.0423
17.579,0.55,16.6,7.0015,8.0423
17.7,0.55,16.6,7.0728,8.0423
17.683,0.55,16.6,7.207,8.0423
17.304,0.55,16.6,7.3719,8.0423
17.083,0.55,16.6,7.5735,8.0423
16.805,0.55,16.6,7.7584,8.0423
16.662,0.55,16.6,7.9234,8.0423
16.563,0.55,16.6,8.0165,8.0423
16.522,0.55,16.6,8.0599,8.0423
16.508,0.55,16.6,8.0674,8.0423
16.51,0.55,16.6,8.0611,8.0423
16.518,0.55,16.6,8.0511,8.0423
16.525,0.55,16.6,8.043,8.0423
16.531,0.55,16.6,8.0381,8.0423
16.534,0.55,16.6,8.0362,8.0423
16.536,0.55,16.6,8.0362,8.0423
16.536,0.55,16.6,8.0373,8.0423
16.536,0.55,16.6,8.0388,8.0423
16.535,0.55,16.6,8.0402,8.0423
16.535,0.55,16.6,8.0413,8.0423
16.534,0.55,16.6,8.0422,8.0423
16.534,0.55,16.6,8.0427,8.0423
16.533,0.55,16.6,8.043,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0432,8.0423
16.533,0.55,16.6,8.0431,8.0423
16.533,0.55,16.6,8.043,8.0423
16.533,0.55,16.6,8.043,8.0423
16.533,0.55,16.6,8.0429,8.0423
16.533,0.55,16.6,8.0428,8.0423
16.533,0.55,16.6,8.0428,8.0423
16.533,0.55,16.6,8.0427,8.0423
16.533,0.55,16.6,8.0426,8.0423
16.533,0.55,16.6,8.0426,8.0423
16.533,0.55,16.6,8.0425,8.0423
16.533,0.55,16.6,8.0425,8.0423
16.533,0.55,16.6,8.0424,8.0423
16.533,0.55,16.6,8.0424,8.0423
12.709,0.55,16.6,8.0424,3.6464
9.528,0.55,16.6,8.0423,3.6464
6.7108,0.55,16.6,7.3587,3.6464
4.5843,0.55,16.6,6.9097,3.6464
3.9999,0.55,16.6,6.5626,3.6464
4.3458,0.55,16.6,6.2428,3.6464
5.0202,0.55,16.6,5.9192,3.6464
5.7216,0.55,16.6,5.528,3.6464
6.3664,0.55,16.6,4.8847,3.6464
6.9255,0.55,16.6,4.2733,3.6464
7.3975,0.55,16.6,4.022,3.6464
7.7896,0.55,16.6,3.8905,3.6464
8.1109,0.55,16.6,3.8107,3.6464
8.3701,0.55,16.6,3.759,3.6464
8.5756,0.55,16.6,3.7245,3.6464
8.7349,0.55,16.6,3.7015,3.6464
8.8552,0.55,16.6,3.6863,3.6464
8.9432,0.55,16.6,3.6766,3.6464
9.0049,0.55,16.6,3.6706,3.6464
9.0455,0.55,16.6,3.6672,3.6464
9.0699,0.55,16.6,3.6655,3.6464
9.0821,0.55,16.6,3.6649,3.6464
9.0853,0.55,16.6,3.6649,3.6464
9.0825,0.55,16.6,3.6652,3.6464
9.0757,0.55,16.6,3.6655,3.6464
9.0666,0.55,16.6,3.6658,3.6464
9.0564,0.55,16.6,3.6658,3.6464
9.0462,0.55,16.6,3.6656,3.6464
9.0365,0.55,16.6,3.6653,3.6464
9.0276,0.55,16.6,3.6647,3.6464
9.0198,0.55,16.6,3.664,3.6464
9.0132,0.55,16.6,3.6631,3.6464
9.0077,0.55,16.6,3.6622,3.6464
9.0033,0.55,16.6,3.6611,3.6464
8.9998,0.55,16.6,3.6601,3.6464
8.9972,0.55,16.6,3.659,3.6464
8.9953,0.55,16.6,3.658,3.6464
8.994,0.55,16.6,3.657,3.6464
8.9931,0.55,16.6,3.6561,3.6464
8.9926,0.55,16.6,3.6552,3.6464
8.9924,0.55,16.6,3.6544,3.6464
11.176,0.55,16.6,3.6536,5.4189
12.368,0.55,16.6,3.6529,5.4189
13.094,0.55,16.6,3.7029,5.4189
13.321,0.55,16.6,3.7872,5.4189
13.253,0.55,16.6,3.9065,5.4189
13.023,0.55,16.6,4.0611,5.4189
12.732,0.55,16.6,4.2573,5.4189
12.44,0.55,16.6,4.5013,5.4189
12.176,0.55,16.6,4.7683,5.4189
11.954,0.55,16.6,4.9846,5.4189
11.777,0.55,16.6,5.1252,5.4189
11.643,0.55,16.6,5.212,5.4189
11.549,0.55,16.6,5.2655,5.4189
11.486,0.55,16.6,5.2984,5.4189
11.448,0.55,16.6,5.3183,5.4189
11.429,0.55,16.6,5.3304,5.4189
11.422,0.55,16.6,5.3378,5.4189
11.423,0.55,16.6,5.3428,5.4189
11.428,0.55,16.6,5.3466,5.4189
11.436,0.55,16.6,5.3502,5.4189
11.444,0.55,16.6,5.3538,5.4189
11.451,0.55,16.6,5.3577,5.4189
11.458,0.55,16.6,5.3619,5.4189
11.463,0.55,16.6,5.3663,5.4189
11.466,0.55,16.6,5.3707,5.4189
11.469,0.55,16.6,5.375,5.4189
11.47,0.55,16.6,5.3792,5.4189
11.471,0.55,16.6,5.3832,5.4189
11.472,0.55,16.6,5.3868,5.4189
11.472,0.55,16.6,5.3902,5.4189
11.472,0.55,16.6,5.3933,5.4189
11.471,0.55,16.6,5.396,5.4189
11.471,0.55,16.6,5.3985,5.4189
11.471,0.55,16.6,5.4007,5.4189
11.471,0.55,16.6,5.4026,5.4189
11.47,0.55,16.6,5.4044,5.4189
11.47,0.55,16.6,5.4059,5.4189
