t,u1,u2,u3,y,ysp
10,16.737,0.55,16.6,7,8.0423
20,17.756,0.55,16.6,7.0015,8.0423
30,18.144,0.55,16.6,7.0727,8.0423
40,17.948,0.55,16.6,7.2212,8.0423
50,17.5,0.55,16.6,7.4404,8.0423
60,17.038,0.55,16.6,7.7138,8.0423
70,16.698,0.55,16.6,7.9887,8.0423
80,16.506,0.55,16.6,8.1572,8.0423
90,16.43,0.55,16.6,8.1995,8.0423
100,16.427,0.55,16.6,8.1714,8.0423
110,16.456,0.55,16.6,8.1216,8.0423
120,16.49,0.55,16.6,8.0776,8.0423
130,16.517,0.55,16.6,8.0488,8.0423
140,16.533,0.55,16.6,8.0346,8.0423
150,16.54,0.55,16.6,8.0306,8.0423
160,16.541,0.55,16.6,8.0321,8.0423
170,16.539,0.55,16.6,8.0356,8.0423
180,16.537,0.55,16.6,8.039,8.0423
190,16.534,0.55,16.6,8.0414,8.0423
200,16.533,0.55,16.6,8.0427,8.0423
210,16.532,0.55,16.6,8.0432,8.0423
220,16.532,0.55,16.6,8.0431,8.0423
230,16.532,0.55,16.6,8.0428,8.0423
240,16.533,0.55,16.6,8.0426,8.0423
250,16.533,0.55,16.6,8.0424,8.0423
260,16.533,0.55,16.6,8.0422,8.0423
270,16.533,0.55,16.6,8.0422,8.0423
280,16.533,0.55,16.6,8.0422,8.0423
290,16.533,0.55,16.6,8.0422,8.0423
300,16.533,0.55,16.6,8.0422,8.0423
310,16.533,0.55,16.6,8.0423,8.0423
320,16.533,0.55,16.6,8.0423,8.0423
330,16.533,0.55,16.6,8.0423,8.0423
340,16.533,0.55,16.6,8.0423,8.0423
350,16.533,0.55,16.6,8.0423,8.0423
360,16.533,0.55,16.6,8.0423,8.0423
370,16.533,0.55,16.6,8.0423,8.0423
380,16.533,0.55,16.6,8.0423,8.0423
390,16.533,0.55,16.6,8.0423,8.0423
400,16.533,0.55,16.6,8.0423,8.0423
410,16.533,0.55,16.6,8.0423,8.0423
420,16.533,0.55,16.6,8.0423,8.0423
430,12.709,0.55,16.6,8.0423,3.6464
440,9.1293,0.55,16.6,8.0423,3.6464
450,5.648,0.55,16.6,7.3587,3.6464
460,3.0695,0.55,16.6,6.8905,3.6464
470,1.8668,0.55,16.6,6.5149,3.6464
480,1.9152,0.55,16.6,6.1539,3.6464
490,2.6895,0.55,16.6,5.7234,3.6464
500,3.6304,0.55,16.6,4.903,3.6464
510,4.5292,0.55,16.6,4.0857,3.6464
520,5.3808,0.55,16.6,3.8193,3.6464
530,6.1701,0.55,16.6,3.6838,3.6464
540,6.8806,0.55,16.6,3.6035,3.6464
550,7.5006,0.55,16.6,3.5544,3.6464
560,8.0245,0.55,16.6,3.5252,3.6464
570,8.4525,0.55,16.6,3.51,3.6464
580,8.7891,0.55,16.6,3.5049,3.6464
