t,u1,u2,u3,y,ysp
10,16.739,0.55,16.6,7,8.0423
20,17.157,0.55,16.6,7.0015,8.0423
30,17.488,0.55,16.6,7.0728,8.0423
40,17.608,0.55,16.6,7.1742,8.0423
50,17.609,0.55,16.6,7.3125,8.0423
60,17.505,0.55,16.6,7.4882,8.0423
70,17.304,0.55,16.6,7.7127,8.0423
80,17.015,0.55,16.6,7.9887,8.0423
90,16.691,0.55,16.6,8.2481,8.0423
100,16.426,0.55,16.6,8.3858,8.0423
110,16.272,0.55,16.6,8.3983,8.0423
120,16.231,0.55,16.6,8.3226,8.0423
130,16.281,0.55,16.6,8.2004,8.0423
140,16.379,0.55,16.6,8.0808,8.0423
150,16.481,0.55,16.6,7.9976,8.0423
160,16.56,0.55,16.6,7.9573,8.0423
170,16.606,0.55,16.6,7.9519,8.0423
180,16.62,0.55,16.6,7.9699,8.0423
190,16.609,0.55,16.6,7.9999,8.0423
200,16.583,0.55,16.6,8.0315,8.0423
210,16.553,0.55,16.6,8.0566,8.0423
220,16.528,0.55,16.6,8.071,8.0423
230,16.512,0.55,16.6,8.0742,8.0423
240,16.506,0.55,16.6,8.0689,8.0423
250,16.509,0.55,16.6,8.059,8.0423
260,16.516,0.55,16.6,8.0486,8.0423
270,16.526,0.55,16.6,8.0403,8.0423
280,16.533,0.55,16.6,8.0354,8.0423
290,16.539,0.55,16.6,8.0339,8.0423
300,16.541,0.55,16.6,8.035,8.0423
310,16.54,0.55,16.6,8.0377,8.0423
320,16.538,0.55,16.6,8.0406,8.0423
330,16.535,0.55,16.6,8.0431,8.0423
340,16.533,0.55,16.6,8.0446,8.0423
350,16.531,0.55,16.6,8.0451,8.0423
360,16.531,0.55,16.6,8.0448,8.0423
370,16.531,0.55,16.6,8.044,8.0423
380,16.531,0.55,16.6,8.0431,8.0423
390,16.532,0.55,16.6,8.0423,8.0423
400,16.533,0.55,16.6,8.0418,8.0423
410,16.533,0.55,16.6,8.0416,8.0423
420,16.534,0.55,16.6,8.0416,8.0423
430,12.709,0.55,16.6,8.0418,3.6464
440,10.202,0.55,16.6,8.0421,3.6464
450,8.594,0.55,16.6,7.3587,3.6464
460,7.4677,0.55,16.6,6.9434,3.6464
470,6.684,0.55,16.6,6.6501,3.6464
480,6.1858,0.55,16.6,6.4041,3.6464
490,5.9238,0.55,16.6,6.1714,3.6464
500,5.8588,0.55,16.6,5.9261,3.6464
510,5.9723,0.55,16.6,5.6299,3.6464
520,6.289,0.55,16.6,5.1815,3.6464
530,6.821,0.55,16.6,4.5021,3.6464
540,7.3554,0.55,16.6,4.1338,3.6464
550,7.794,0.55,16.6,3.9602,3.6464
560,8.1291,0.55,16.6,3.8616,3.6464
570,8.3789,0.55,16.6,3.8,3.6464
580,8.5634,0.55,16.6,3.7595,3.6464
590,8.6987,0.55,16.6,3.7318,3.6464
600,8.7974,0.55,16.6,3.7126,3.6464
