u1,u2,u3,y,ysp
16.739,0.55,16.6,7,8.0423
17.265,0.55,16.6,7.0015,8.0423
17.424,0.55,16.6,7.0728,8.0423
17.439,0.55,16.6,7.1824,8.0423
17.386,0.55,16.6,7.3155,8.0423
17.286,0.55,16.6,7.4697,8.0423
17.141,0.55,16.6,7.647,8.0423
16.956,0.55,16.6,7.8446,8.0423
16.75,0.55,16.6,8.0379,8.0423
16.564,0.55,16.6,8.1777,8.0423
16.439,0.55,16.6,8.2355,8.0423
16.388,0.55,16.6,8.223,8.0423
16.397,0.55,16.6,8.1694,8.0423
16.44,0.55,16.6,8.1057,8.0423
16.491,0.55,16.6,8.0542,8.0423
16.533,0.55,16.6,8.0238,8.0423
16.557,0.55,16.6,8.0131,8.0423
16.565,0.55,16.6,8.0165,8.0423
16.561,0.55,16.6,8.027,8.0423
16.55,0.55,16.6,8.0388,8.0423
16.539,0.55,16.6,8.048,8.0423
16.531,0.55,16.6,8.0529,8.0423
16.526,0.55,16.6,8.0537,8.0423
16.525,0.55,16.6,8.0516,8.0423
16.526,0.55,16.6,8.0483,8.0423
16.529,0.55,16.6,8.0451,8.0423
16.531,0.55,16.6,8.0427,8.0423
16.533,0.55,16.6,8.0414,8.0423
16.534,0.55,16.6,8.041,8.0423
16.535,0.55,16.6,8.0413,8.0423
16.534,0.55,16.6,8.0419,8.0423
16.534,0.55,16.6,8.0425,8.0423
16.533,0.55,16.6,8.0429,8.0423
16.533,0.55,16.6,8.043,8.0423
16.532,0.55,16.6,8.043,8.0423
16.532,0.55,16.6,8.0428,8.0423
16.533,0.55,16.6,8.0426,8.0423
16.533,0.55,16.6,8.0425,8.0423
16.533,0.55,16.6,8.0423,8.0423
16.533,0.55,16.6,8.0423,8.0423
16.533,0.55,16.6,8.0423,8.0423
16.533,0.55,16.6,8.0423,8.0423
12.709,0.55,16.6,8.0423,3.6464
10.415,0.55,16.6,8.0423,3.6464
8.8149,0.55,16.6,7.3587,3.6464
7.7216,0.55,16.6,6.9544,3.6464
6.9875,0.55,16.6,6.6652,3.6464
6.515,0.55,16.6,6.424,3.6464
6.2361,0.55,16.6,6.1992,3.6464
6.1033,0.55,16.6,5.9674,3.6464
6.0908,0.55,16.6,5.6976,3.6464
6.2051,0.55,16.6,5.3175,3.6464
6.5053,0.55,16.6,4.6764,3.6464
6.9182,0.55,16.6,4.2094,3.6464
7.34,0.55,16.6,3.9923,3.6464
7.7247,0.55,16.6,3.8697,3.6464
8.0524,0.55,16.6,3.793,3.6464
8.3177,0.55,16.6,3.7428,3.6464
8.5241,0.55,16.6,3.7094,3.6464
8.6792,0.55,16.6,3.6872,3.6464
8.7927,0.55,16.6,3.6725,3.6464
8.8738,0.55,16.6,3.663,3.6464
8.9307,0.55,16.6,3.657,3.6464
8.9698,0.55,16.6,3.6534,3.6464
8.9962,0.55,16.6,3.6514,3.6464
9.0136,0.55,16.6,3.6504,3.6464
9.0247,0.55,16.6,3.6501,3.6464
9.0314,0.55,16.6,3.6502,3.6464
9.035,0.55,16.6,3.6505,3.6464
9.0366,0.55,16.6,3.6509,3.6464
9.0368,0.55,16.6,3.6514,3.6464
9.0361,0.55,16.6,3.6519,3.6464
9.0348,0.55,16.6,3.6523,3.6464
9.0331,0.55,16.6,3.6527,3.6464
9.0312,0.55,16.6,3.653,3.6464
9.0292,0.55,16.6,3.6533,3.6464
9.0272,0.55,16.6,3.6535,3.6464
9.0252,0.55,16.6,3.6536,3.6464
9.0233,0.55,16.6,3.6537,3.6464
9.0214,0.55,16.6,3.6537,3.6464
9.0195,0.55,16.6,3.6537,3.6464
9.0176,0.55,16.6,3.6536,3.6464
9.0159,0.55,16.6,3.6535,3.6464
11.198,0.55,16.6,3.6534,5.4189
12.579,0.55,16.6,3.6532,5.4189
13.287,0.55,16.6,3.7037,5.4189
13.633,0.55,16.6,3.7944,5.4189
13.773,0.55,16.6,3.9225,5.4189
13.763,0.55,16.6,4.0987,5.4189
13.608,0.55,16.6,4.3546,5.4189
13.281,0.55,16.6,4.734,5.4189
12.846,0.55,16.6,5.1056,5.4189
12.431,0.55,16.6,5.325,5.4189
12.096,0.55,16.6,5.4448,5.4189
