u1,u2,u3,y,ysp
16.738,0.55,16.6,7,8.0423
17.573,0.55,16.6,7.0015,8.0423
17.68,0.55,16.6,7.0728,8.0423
17.429,0.55,16.6,7.2065,8.0423
17.144,0.55,16.6,7.3692,8.0423
16.921,0.55,16.6,7.5321,8.0423
16.773,0.55,16.6,7.677,8.0423
16.681,0.55,16.6,7.7925,8.0423
16.623,0.55,16.6,7.877,8.0423
16.587,0.55,16.6,7.9349,8.0423
16.565,0.55,16.6,7.9728,8.0423
16.553,0.55,16.6,7.9968,8.0423
16.545,0.55,16.6,8.0119,8.0423
16.541,0.55,16.6,8.0214,8.0423
16.539,0.55,16.6,8.0277,8.0423
16.537,0.55,16.6,8.032,8.0423
16.536,0.55,16.6,8.035,8.0423
16.536,0.55,16.6,8.0373,8.0423
16.535,0.55,16.6,8.0389,8.0423
16.535,0.55,16.6,8.0401,8.0423
16.534,0.55,16.6,8.0411,8.0423
16.534,0.55,16.6,8.0417,8.0423
16.534,0.55,16.6,8.0422,8.0423
16.534,0.55,16.6,8.0426,8.0423
16.533,0.55,16.6,8.0428,8.0423
16.533,0.55,16.6,8.0429,8.0423
16.533,0.55,16.6,8.043,8.0423
16.533,0.55,16.6,8.0431,8.0423
16.533,0.55,16.6,8.0431,8.0423
16.533,0.55,16.6,8.043,8.0423
16.533,0.55,16.6,8.043,8.0423
16.533,0.55,16.6,8.043,8.0423
16.533,0.55,16.6,8.0429,8.0423
16.533,0.55,16.6,8.0428,8.0423
16.533,0.55,16.6,8.0428,8.0423
16.533,0.55,16.6,8.0427,8.0423
16.533,0.55,16.6,8.0427,8.0423
16.533,0.55,16.6,8.0426,8.0423
16.533,0.55,16.6,8.0426,8.0423
16.533,0.55,16.6,8.0425,8.0423
16.533,0.55,16.6,8.0425,8.0423
16.533,0.55,16.6,8.0424,8.0423
12.709,0.55,16.6,8.0424,3.6464
9.9575,0.55,16.6,8.0424,3.6464
7.2154,0.55,16.6,7.3587,3.6464
4.9991,0.55,16.6,6.931,3.6464
3.9831,0.55,16.6,6.5932,3.6464
3.7392,0.55,16.6,6.281,3.6464
3.8456,0.55,16.6,5.9593,3.6464
4.0574,0.55,16.6,5.5501,3.6464
4.31,0.55,16.6,4.7657,3.6464
4.6474,0.55,16.6,4.1117,3.6464
5.0506,0.55,16.6,3.8545,3.6464
5.4939,0.55,16.6,3.7103,3.6464
5.9565,0.55,16.6,3.6171,3.6464
6.4213,0.55,16.6,3.5534,3.6464
6.8743,0.55,16.6,3.5093,3.6464
7.3045,0.55,16.6,3.4793,3.6464
7.7031,0.55,16.6,3.46,3.6464
8.0637,0.55,16.6,3.4491,3.6464
8.3819,0.55,16.6,3.4449,3.6464
8.6553,0.55,16.6,3.4463,3.6464
8.8833,0.55,16.6,3.4521,3.6464
9.0668,0.55,16.6,3.4614,3.6464
9.2082,0.55,16.6,3.4736,3.6464
9.3111,0.55,16.6,3.4878,3.6464
9.3798,0.55,16.6,3.5034,3.6464
9.4193,0.55,16.6,3.5197,3.6464
9.4346,0.55,16.6,3.5363,3.6464
9.4307,0.55,16.6,3.5527,3.6464
9.4123,0.55,16.6,3.5684,3.6464
9.3835,0.55,16.6,3.5831,3.6464
9.3479,0.55,16.6,3.5965,3.6464
9.3084,0.55,16.6,3.6085,3.6464
9.2674,0.55,16.6,3.619,3.6464
9.2268,0.55,16.6,3.6279,3.6464
9.1878,0.55,16.6,3.6352,3.6464
9.1516,0.55,16.6,3.6412,3.6464
9.1186,0.55,16.6,3.6458,3.6464
9.0893,0.55,16.6,3.6493,3.6464
9.0637,0.55,16.6,3.6517,3.6464
9.0419,0.55,16.6,3.6533,3.6464
9.0237,0.55,16.6,3.6542,3.6464
11.191,0.55,16.6,3.6546,5.4189
12.847,0.55,16.6,3.6545,5.4189
13.368,0.55,16.6,3.7048,5.4189
13.425,0.55,16.6,3.8038,5.4189
13.28,0.55,16.6,3.937,5.4189
13.054,0.55,16.6,4.1056,5.4189
12.806,0.55,16.6,4.3198,5.4189
12.559,0.55,16.6,4.5892,5.4189
12.319,0.55,16.6,4.872,5.4189
12.092,0.55,16.6,5.0835,5.4189
11.886,0.55,16.6,5.2171,5.4189
11.712,0.55,16.6,5.2993,5.4189
11.574,0.55,16.6,5.3485,5.4189
11.473,0.55,16.6,5.3759,5.4189
11.407,0.55,16.6,5.3886,5.4189
11.371,0.55,16.6,5.392,5.4189
11.357,0.55,16.6,5.3897,5.4189
11.359,0.55,16.6,5.3848,5.4189
11.37,0.55,16.6,5.3791,5.4189
11.386,0.55,16.6,5.3742,5.4189
11.404,0.55,16.6,5.3706,5.4189
11.421,0.55,16.6,5.3687,5.4189
11.436,0.55,16.6,5.3685,5.4189
11.448,0.55,16.6,5.3696,5.4189
11.457,0.55,16.6,5.3719,5.4189
11.464,0.55,16.6,5.3749,5.4189
11.469,0.55,16.6,5.3784,5.4189
11.472,0.55,16.6,5.3821,5.4189
11.474,0.55,16.6,5.3858,5.4189
11.475,0.55,16.6,5.3894,5.4189
11.475,0.55,16.6,5.3927,5.4189
11.474,0.55,16.6,5.3957,5.4189
11.473,0.55,16.6,5.3984,5.4189
11.473,0.55,16.6,5.4008,5.4189
11.472,0.55,16.6,5.4029,5.4189
11.471,0.55,16.6,5.4048,5.4189
11.471,0.55,16.6,5.4064,5.4189
11.47,0.55,16.6,5.4078,5.4189
11.47,0.55,16.6,5.409,5.4189
12.802,0.55,16.6,5.41,6.7717
13.786,0.55,16.6,5.4109,6.7717
14.575,0.55,16.6,5.5074,6.7717
15.216,0.55,16.6,5.6404,6.7717
15.725,0.55,16.6,5.7793,6.7717
16.108,0.55,16.6,5.9128,6.7717
16.368,0.55,16.6,6.0379,6.7717
16.51,0.55,16.6,6.1544,6.7717
16.547,0.55,16.6,6.2625,6.7717
16.494,0.55,16.6,6.3624,6.7717
16.373,0.55,16.6,6.4538,6.7717
16.208,0.55,16.6,6.536,6.7717
16.022,0.55,16.6,6.6082,6.7717
15.831,0.55,16.6,6.6696,6.7717
15.649,0.55,16.6,6.7196,6.7717
15.483,0.55,16.6,6.7583,6.7717
15.338,0.55,16.6,6.7863,6.7717
15.216,0.55,16.6,6.8046,6.7717
15.116,0.55,16.6,6.8148,6.7717
15.039,0.55,16.6,6.8185,6.7717
14.982,0.55,16.6,6.8174,6.7717
14.942,0.55,16.6,6.813,6.7717
14.917,0.55,16.6,6.8066,6.7717
14.904,0.55,16.6,6.7992,6.7717
14.902,0.55,16.6,6.7916,6.7717
14.906,0.55,16.6,6.7844,6.7717
14.916,0.55,16.6,6.7779,6.7717
14.929,0.55,16.6,6.7723,6.7717
14.943,0.55,16.6,6.7678,6.7717
14.958,0.55,16.6,6.7644,6.7717
14.973,0.55,16.6,6.7619,6.7717
14.986,0.55,16.6,6.7604,6.7717
14.998,0.55,16.6,6.7596,6.7717
15.008,0.55,16.6,6.7595,6.7717
15.016,0.55,16.6,6.7599,6.7717
15.022,0.55,16.6,6.7607,6.7717
15.027,0.55,16.6,6.7617,6.7717
15.03,0.55,16.6,6.7628,6.7717
15.032,0.55,16.6,6.7641,6.7717
15.032,0.55,16.6,6.7653,6.7717
15.032,0.55,16.6,6.7664,6.7717
15.032,0.55,16.6,6.7675,6.7717
15.031,0.55,16.6,6.7684,6.7717
16.272,0.55,16.6,6.7692,7.7965
17.238,0.55,16.6,6.7699,7.7965
17.793,0.55,16.6,6.8244,7.7965
17.704,0.55,16.6,6.9238,7.7965
17.406,0.55,16.6,7.0588,7.7965
17.119,0.55,16.6,7.2012,7.7965
16.904,0.55,16.6,7.3347,7.7965
16.753,0.55,16.6,7.4512,7.7965
16.645,0.55,16.6,7.5478,7.7965
16.567,0.55,16.6,7.6242,7.7965
16.513,0.55,16.6,7.6812,7.7965
16.477,0.55,16.6,7.7209,7.7965
16.455,0.55,16.6,7.7468,7.7965
16.442,0.55,16.6,7.7629,7.7965
16.435,0.55,16.6,7.7726,7.7965
16.431,0.55,16.6,7.7784,7.7965
16.43,0.55,16.6,7.7821,7.7965
16.43,0.55,16.6,7.7846,7.7965
16.429,0.55,16.6,7.7865,7.7965
16.429,0.55,16.6,7.788,7.7965
16.429,0.55,16.6,7.7894,7.7965
16.429,0.55,16.6,7.7906,7.7965
16.429,0.55,16.6,7.7916,7.7965
16.429,0.55,16.6,7.7925,7.7965
16.428,0.55,16.6,7.7932,7.7965
16.428,0.55,16.6,7.7938,7.7965
16.428,0.55,16.6,7.7942,7.7965
16.428,0.55,16.6,7.7946,7.7965
16.428,0.55,16.6,7.7949,7.7965
16.428,0.55,16.6,7.7951,7.7965
16.428,0.55,16.6,7.7952,7.7965
16.427,0.55,16.6,7.7954,7.7965
16.427,0.55,16.6,7.7955,7.7965
16.427,0.55,16.6,7.7956,7.7965
16.427,0.55,16.6,7.7956,7.7965
16.427,0.55,16.6,7.7957,7.7965
16.428,0.55,16.6,7.7957,7.7965
16.428,0.55,16.6,7.7958,7.7965
16.428,0.55,16.6,7.7958,7.7965
16.428,0.55,16.6,7.7959,7.7965
16.428,0.55,16.6,7.7959,7.7965
16.428,0.55,16.6,7.796,7.7965
16.428,0.55,16.6,7.7961,7.7965
16.428,0.55,16.6,7.7961,7.7965
16.428,0.55,16.6,7.7962,7.7965
16.428,0.55,16.6,7.7962,7.7965
16.428,0.55,16.6,7.7962,7.7965
16.428,0.55,16.6,7.7963,7.7965
17.648,0.55,16.6,7.7963,9.1468
17.929,0.55,16.6,7.7963,9.1468
18.005,0.55,16.6,8.1451,9.1468
17.984,0.55,16.6,8.5763,9.1468
17.901,0.55,16.6,8.8426,9.1468
17.78,0.55,16.6,8.9995,9.1468
17.643,0.55,16.6,9.0981,9.1468
17.505,0.55,16.6,9.1609,9.1468
17.379,0.55,16.6,9.1993,9.1468
17.273,0.55,16.6,9.2201,9.1468
17.192,0.55,16.6,9.2281,9.1468
17.135,0.55,16.6,9.2269,9.1468
17.101,0.55,16.6,9.2194,9.1468
17.086,0.55,16.6,9.2082,9.1468
17.084,0.55,16.6,9.1953,9.1468
17.092,0.55,16.6,9.1823,9.1468
17.105,0.55,16.6,9.1705,9.1468
17.12,0.55,16.6,9.1605,9.1468
17.135,0.55,16.6,9.1528,9.1468
17.149,0.55,16.6,9.1472,9.1468
17.16,0.55,16.6,9.1436,9.1468
17.169,0.55,16.6,9.1417,9.1468
17.175,0.55,16.6,9.141,9.1468
17.179,0.55,16.6,9.1412,9.1468
17.181,0.55,16.6,9.1419,9.1468
17.182,0.55,16.6,9.1429,9.1468
17.181,0.55,16.6,9.144,9.1468
17.181,0.55,16.6,9.145,9.1468
17.179,0.55,16.6,9.1459,9.1468
17.178,0.55,16.6,9.1466,9.1468
17.177,0.55,16.6,9.1471,9.1468
17.176,0.55,16.6,9.1474,9.1468
17.175,0.55,16.6,9.1476,9.1468
17.174,0.55,16.6,9.1477,9.1468
17.174,0.55,16.6,9.1476,9.1468
17.174,0.55,16.6,9.1476,9.1468
17.174,0.55,16.6,9.1474,9.1468
17.174,0.55,16.6,9.1473,9.1468
17.174,0.55,16.6,9.1472,9.1468
15.67,0.55,16.6,9.1471,7.6933
15.169,0.55,16.6,9.147,7.6933
15.234,0.55,16.6,8.9879,7.6933
15.427,0.55,16.6,8.6888,7.6933
15.656,0.55,16.6,8.2432,7.6933
15.9,0.55,16.6,7.8786,7.6933
16.124,0.55,16.6,7.6971,7.6933
16.298,0.55,16.6,7.6124,7.6933
16.408,0.55,16.6,7.581,7.6933
16.458,0.55,16.6,7.5813,7.6933
16.464,0.55,16.6,7.5992,7.6933
16.449,0.55,16.6,7.6238,7.6933
16.427,0.55,16.6,7.6478,7.6933
16.405,0.55,16.6,7.667,7.6933
16.389,0.55,16.6,7.6804,7.6933
16.378,0.55,16.6,7.6885,7.6933
16.371,0.55,16.6,7.6925,7.6933
16.368,0.55,16.6,7.694,7.6933
16.367,0.55,16.6,7.694,7.6933
16.367,0.55,16.6,7.6934,7.6933
16.368,0.55,16.6,7.6926,7.6933
16.368,0.55,16.6,7.692,7.6933
16.369,0.55,16.6,7.6915,7.6933
16.37,0.55,16.6,7.6913,7.6933
16.37,0.55,16.6,7.6913,7.6933
16.371,0.55,16.6,7.6913,7.6933
16.371,0.55,16.6,7.6915,7.6933
16.371,0.55,16.6,7.6916,7.6933
16.371,0.55,16.6,7.6918,7.6933
16.371,0.55,16.6,7.692,7.6933
16.371,0.55,16.6,7.6922,7.6933
15.647,0.55,16.6,7.6923,6.9108
15.23,0.55,16.6,7.6924,6.9108
14.96,0.55,16.6,7.5686,6.9108
14.793,0.55,16.6,7.4271,6.9108
14.706,0.55,16.6,7.3011,6.9108
14.681,0.55,16.6,7.1961,6.9108
14.703,0.55,16.6,7.1109,6.9108
14.759,0.55,16.6,7.0426,6.9108
14.836,0.55,16.6,6.9888,6.9108
14.925,0.55,16.6,6.9473,6.9108
15.016,0.55,16.6,6.9162,6.9108
15.104,0.55,16.6,6.894,6.9108
15.184,0.55,16.6,6.8792,6.9108
15.254,0.55,16.6,6.8704,6.9108
15.311,0.55,16.6,6.8665,6.9108
15.356,0.55,16.6,6.8663,6.9108
15.389,0.55,16.6,6.8688,6.9108
15.412,0.55,16.6,6.8732,6.9108
15.425,0.55,16.6,6.8787,6.9108
15.43,0.55,16.6,6.8846,6.9108
