t,u1,u2,u3,y,ysp
10,16.738,0.55,16.6,7,8.0423
20,17.576,0.55,16.6,7.0015,8.0423
30,17.723,0.55,16.6,7.0728,8.0423
40,17.667,0.55,16.6,7.2067,8.0423
50,17.333,0.55,16.6,7.374,8.0423
60,17.067,0.55,16.6,7.5738,8.0423
70,16.812,0.55,16.6,7.765,8.0423
80,16.656,0.55,16.6,7.9263,8.0423
90,16.561,0.55,16.6,8.0213,8.0423
100,16.52,0.55,16.6,8.0623,8.0423
110,16.507,0.55,16.6,8.0691,8.0423
120,16.51,0.55,16.6,8.0618,8.0423
130,16.517,0.55,16.6,8.0514,8.0423
140,16.525,0.55,16.6,8.043,8.0423
150,16.531,0.55,16.6,8.038,8.0423
160,16.534,0.55,16.6,8.0361,8.0423
170,16.536,0.55,16.6,8.0361,8.0423
180,16.536,0.55,16.6,8.0373,8.0423
190,16.536,0.55,16.6,8.0388,8.0423
200,16.535,0.55,16.6,8.0402,8.0423
210,16.535,0.55,16.6,8.0414,8.0423
220,16.534,0.55,16.6,8.0422,8.0423
230,16.534,0.55,16.6,8.0427,8.0423
240,16.533,0.55,16.6,8.043,8.0423
250,16.533,0.55,16.6,8.0432,8.0423
260,16.533,0.55,16.6,8.0433,8.0423
270,16.533,0.55,16.6,8.0432,8.0423
280,16.533,0.55,16.6,8.0432,8.0423
290,16.533,0.55,16.6,8.0432,8.0423
300,16.533,0.55,16.6,8.0431,8.0423
310,16.533,0.55,16.6,8.043,8.0423
320,16.533,0.55,16.6,8.043,8.0423
330,16.533,0.55,16.6,8.0429,8.0423
340,16.533,0.55,16.6,8.0428,8.0423
350,16.533,0.55,16.6,8.0428,8.0423
360,16.533,0.55,16.6,8.0427,8.0423
370,16.533,0.55,16.6,8.0426,8.0423
380,16.533,0.55,16.6,8.0426,8.0423
390,16.533,0.55,16.6,8.0425,8.0423
400,16.533,0.55,16.6,8.0425,8.0423
410,16.533,0.55,16.6,8.0424,8.0423
420,16.533,0.55,16.6,8.0424,8.0423
430,12.709,0.55,16.6,8.0424,3.6464
440,9.1427,0.55,16.6,8.0423,3.6464
450,5.9364,0.55,16.6,7.3587,3.6464
460,4.2666,0.55,16.6,6.8912,3.6464
470,4.0411,0.55,16.6,6.5249,3.6464
480,4.4969,0.55,16.6,6.2009,3.6464
490,5.161,0.55,16.6,5.8745,3.6464
500,5.8151,0.55,16.6,5.4705,3.6464
510,6.409,0.55,16.6,4.7945,3.6464
520,6.9321,0.55,16.6,4.2364,3.6464
530,7.3843,0.55,16.6,4.0035,3.6464
540,7.7686,0.55,16.6,3.878,3.6464
550,8.0895,0.55,16.6,3.8007,3.6464
560,8.3523,0.55,16.6,3.7502,3.6464
570,8.563,0.55,16.6,3.7166,3.6464
580,8.7277,0.55,16.6,3.6942,3.6464
590,8.8529,0.55,16.6,3.6796,3.6464
600,8.9449,0.55,16.6,3.6704,3.6464
610,9.0095,0.55,16.6,3.665,3.6464
620,9.0521,0.55,16.6,3.6622,3.6464
630,9.0777,0.55,16.6,3.6611,3.6464
640,9.0903,0.55,16.6,3.661,3.6464
650,9.0935,0.55,16.6,3.6616,3.6464
660,9.0902,0.55,16.6,3.6623,3.6464
670,9.0827,0.55,16.6,3.6631,3.6464
680,9.0728,0.55,16.6,3.6637,3.6464
690,9.0618,0.55,16.6,3.6641,3.6464
700,9.0507,0.55,16.6,3.6642,3.6464
710,9.0401,0.55,16.6,3.6641,3.6464
720,9.0305,0.55,16.6,3.6638,3.6464
730,9.022,0.55,16.6,3.6632,3.6464
740,9.0148,0.55,16.6,3.6625,3.6464
750,9.0089,0.55,16.6,3.6616,3.6464
760,9.0041,0.55,16.6,3.6607,3.6464
770,9.0003,0.55,16.6,3.6597,3.6464
780,8.9975,0.55,16.6,3.6587,3.6464
790,8.9954,0.55,16.6,3.6577,3.6464
800,8.994,0.55,16.6,3.6568,3.6464
810,8.9931,0.55,16.6,3.6559,3.6464
820,8.9925,0.55,16.6,3.655,3.6464
830,8.9922,0.55,16.6,3.6542,3.6464
840,11.183,0.55,16.6,3.6535,5.4189
850,12.388,0.55,16.6,3.6528,5.4189
860,13.103,0.55,16.6,3.7029,5.4189
870,13.334,0.55,16.6,3.7878,5.4189
880,13.263,0.55,16.6,3.9076,5.4189
890,13.028,0.55,16.6,4.0631,5.4189
900,12.733,0.55,16.6,4.2607,5.4189
910,12.436,0.55,16.6,4.5066,5.4189
920,12.168,0.55,16.6,4.7743,5.4189
930,11.943,0.55,16.6,4.989,5.4189
940,11.766,0.55,16.6,5.1276,5.4189
950,11.634,0.55,16.6,5.2128,5.4189
960,11.541,0.55,16.6,5.2651,5.4189
970,11.481,0.55,16.6,5.2972,5.4189
980,11.446,0.55,16.6,5.3166,5.4189
990,11.428,0.55,16.6,5.3284,5.4189
1000,11.422,0.55,16.6,5.3358,5.4189
1010,11.424,0.55,16.6,5.3409,5.4189
1020,11.43,0.55,16.6,5.345,5.4189
1030,11.438,0.55,16.6,5.3488,5.4189
1040,11.446,0.55,16.6,5.3528,5.4189
1050,11.453,0.55,16.6,5.3569,5.4189
1060,11.459,0.55,16.6,5.3613,5.4189
1070,11.463,0.55,16.6,5.3658,5.4189
1080,11.467,0.55,16.6,5.3704,5.4189
1090,11.469,0.55,16.6,5.3748,5.4189
1100,11.471,0.55,16.6,5.3791,5.4189
1110,11.471,0.55,16.6,5.3831,5.4189
1120,11.472,0.55,16.6,5.3868,5.4189
1130,11.472,0.55,16.6,5.3902,5.4189
1140,11.472,0.55,16.6,5.3933,5.4189
1150,11.471,0.55,16.6,5.396,5.4189
1160,11.471,0.55,16.6,5.3985,5.4189
1170,11.471,0.55,16.6,5.4007,5.4189
1180,11.47,0.55,16.6,5.4026,5.4189
1190,11.47,0.55,16.6,5.4043,5.4189
1200,11.47,0.55,16.6,5.4059,5.4189
1210,11.47,0.55,16.6,5.4072,5.4189
1220,11.47,0.55,16.6,5.4084,5.4189
1230,12.805,0.55,16.6,5.4095,6.7717
1240,14.014,0.55,16.6,5.4104,6.7717
1250,15,0.55,16.6,5.5072,6.7717
1260,15.745,0.55,16.6,5.6528,6.7717
1270,16.255,0.55,16.6,5.8079,6.7717
1280,16.546,0.55,16.6,5.9557,6.7717
1290,16.649,0.55,16.6,6.0915,6.7717
1300,16.603,0.55,16.6,6.2143,6.7717
1310,16.453,0.55,16.6,6.3242,6.7717
1320,16.242,0.55,16.6,6.4209,6.7717
1330,16.008,0.55,16.6,6.5043,6.7717
1340,15.779,0.55,16.6,6.574,6.7717
1350,15.573,0.55,16.6,6.6302,6.7717
1360,15.399,0.55,16.6,6.6736,6.7717
1370,15.262,0.55,16.6,6.7055,6.7717
1380,15.159,0.55,16.6,6.7277,6.7717
1390,15.086,0.55,16.6,6.7422,6.7717
1400,15.038,0.55,16.6,6.7511,6.7717
1410,15.009,0.55,16.6,6.7561,6.7717
1420,14.993,0.55,16.6,6.7585,6.7717
1430,14.987,0.55,16.6,6.7594,6.7717
