t,u1,u2,u3,y,ysp
10,12.93,0.55,16.6,7,4
20,11.026,0.55,16.6,7.0015,4
30,9.359,0.55,16.6,6.8668,4
40,8.0102,0.55,16.6,6.6885,4
50,6.9724,0.55,16.6,6.4954,4
60,6.3111,0.55,16.6,6.2943,4
70,7.2822,0.55,16.6,6.078,4
80,8.128,0.55,16.6,5.8296,4
90,8.5697,0.55,16.6,5.5846,4
100,8.8523,0.55,16.6,5.3294,4
110,9.1142,0.55,16.6,5.0333,4
120,9.4002,0.55,16.6,4.7235,4
130,9.655,0.55,16.6,4.4969,4
140,9.84,0.55,16.6,4.3619,4
150,9.96,0.55,16.6,4.2817,4
160,10.033,0.55,16.6,4.2315,4
170,10.074,0.55,16.6,4.1981,4
180,10.097,0.55,16.6,4.1744,4
190,10.107,0.55,16.6,4.1565,4
200,10.111,0.55,16.6,4.1422,4
210,10.112,0.55,16.6,4.1303,4
220,10.11,0.55,16.6,4.12,4
230,10.107,0.55,16.6,4.1108,4
240,10.104,0.55,16.6,4.1026,4
250,10.1,0.55,16.6,4.0951,4
260,10.097,0.55,16.6,4.0882,4
270,10.094,0.55,16.6,4.0818,4
280,10.09,0.55,16.6,4.076,4
290,10.087,0.55,16.6,4.0706,4
300,10.085,0.55,16.6,4.0655,4
310,10.082,0.55,16.6,4.0609,4
320,10.079,0.55,16.6,4.0565,4
330,10.077,0.55,16.6,4.0525,4
340,10.075,0.55,16.6,4.0488,4
350,10.073,0.55,16.6,4.0453,4
360,10.071,0.55,16.6,4.0421,4
370,10.07,0.55,16.6,4.0391,4
380,10.068,0.55,16.6,4.0362,4
390,10.067,0.55,16.6,4.0336,4
400,10.065,0.55,16.6,4.0312,4
410,10.064,0.55,16.6,4.029,4
420,10.063,0.55,16.6,4.0269,4
430,10.062,0.55,16.6,4.0249,4
440,10.061,0.55,16.6,4.0231,4
450,10.06,0.55,16.6,4.0214,4
460,10.059,0.55,16.6,4.0198,4
470,10.059,0.55,16.6,4.0184,4
480,10.058,0.55,16.6,4.017,4
490,10.057,0.55,16.6,4.0158,4
500,10.057,0.55,16.6,4.0146,4
510,10.852,0.55,16.6,4.0135,5
520,11.295,0.55,16.6,4.0125,5
530,11.542,0.55,16.6,4.0506,5
540,11.676,0.55,16.6,4.113,5
550,11.741,0.55,16.6,4.1941,5
560,11.754,0.55,16.6,4.2915,5
570,11.725,0.55,16.6,4.4042,5
580,11.659,0.55,16.6,4.5287,5
590,11.563,0.55,16.6,4.6562,5
600,11.453,0.55,16.6,4.7729,5
610,11.346,0.55,16.6,4.8668,5
620,11.253,0.55,16.6,4.9346,5
630,11.181,0.55,16.6,4.9793,5
640,11.128,0.55,16.6,5.0063,5
650,11.091,0.55,16.6,5.0208,5
660,11.069,0.55,16.6,5.027,5
670,11.055,0.55,16.6,5.0278,5
680,11.049,0.55,16.6,5.0257,5
690,11.047,0.55,16.6,5.022,5
700,11.048,0.55,16.6,5.0179,5
