t,u1,u2,u3,y,ysp
10,17.951,0.55,16.6,7,8.0423
20,19.336,0.55,16.6,7.0015,8.0423
30,18.669,0.55,16.6,7.1555,8.0423
40,16.958,0.55,16.6,7.4974,8.0423
50,16.218,0.55,16.6,7.9897,8.0423
60,16.373,0.55,16.6,8.1314,8.0423
70,16.547,0.55,16.6,8.0198,8.0423
80,16.585,0.55,16.6,7.9742,8.0423
90,16.569,0.55,16.6,7.9861,8.0423
100,16.546,0.55,16.6,8.0081,8.0423
110,16.536,0.55,16.6,8.0232,8.0423
120,16.537,0.55,16.6,8.0296,8.0423
130,16.538,0.55,16.6,8.0321,8.0423
140,16.538,0.55,16.6,8.0346,8.0423
150,16.536,0.55,16.6,8.0372,8.0423
160,16.536,0.55,16.6,8.0393,8.0423
170,16.535,0.55,16.6,8.0407,8.0423
180,16.534,0.55,16.6,8.0418,8.0423
190,16.534,0.55,16.6,8.0424,8.0423
200,16.534,0.55,16.6,8.0429,8.0423
210,16.534,0.55,16.6,8.0432,8.0423
220,16.533,0.55,16.6,8.0435,8.0423
230,16.533,0.55,16.6,8.0436,8.0423
240,16.533,0.55,16.6,8.0436,8.0423
250,16.533,0.55,16.6,8.0436,8.0423
260,16.533,0.55,16.6,8.0436,8.0423
270,16.533,0.55,16.6,8.0435,8.0423
280,16.533,0.55,16.6,8.0434,8.0423
290,16.533,0.55,16.6,8.0433,8.0423
300,16.533,0.55,16.6,8.0432,8.0423
310,16.533,0.55,16.6,8.0431,8.0423
320,16.533,0.55,16.6,8.0431,8.0423
330,16.533,0.55,16.6,8.043,8.0423
340,16.533,0.55,16.6,8.0429,8.0423
350,16.533,0.55,16.6,8.0428,8.0423
360,16.533,0.55,16.6,8.0427,8.0423
370,16.533,0.55,16.6,8.0427,8.0423
380,16.533,0.55,16.6,8.0426,8.0423
390,16.533,0.55,16.6,8.0426,8.0423
400,16.533,0.55,16.6,8.0425,8.0423
410,16.533,0.55,16.6,8.0425,8.0423
420,16.533,0.55,16.6,8.0424,8.0423
430,9.6219,0.55,16.6,8.0424,3.6464
440,2.7962,0.55,16.6,8.0423,3.6464
450,0,0.55,16.6,7.1085,3.6464
460,0,0.55,16.6,6.5386,3.6464
470,0.32912,0.55,16.6,6.0747,3.6464
480,2.2147,0.55,16.6,5.5019,3.6464
490,3.9859,0.55,16.6,4.2981,3.6464
500,5.4929,0.55,16.6,3.868,3.6464
510,6.7295,0.55,16.6,3.7031,3.6464
520,7.7116,0.55,16.6,3.6206,3.6464
530,8.4609,0.55,16.6,3.5786,3.6464
540,9.003,0.55,16.6,3.5606,3.6464
550,9.3654,0.55,16.6,3.558,3.6464
560,9.5776,0.55,16.6,3.5655,3.6464
570,9.67,0.55,16.6,3.5791,3.6464
580,9.6727,0.55,16.6,3.596,3.6464
590,9.6145,0.55,16.6,3.6138,3.6464
600,9.5206,0.55,16.6,3.6306,3.6464
610,9.4122,0.55,16.6,3.6452,3.6464
620,9.3047,0.55,16.6,3.6568,3.6464
630,9.2085,0.55,16.6,3.6652,3.6464
640,9.1289,0.55,16.6,3.6705,3.6464
650,9.0675,0.55,16.6,3.6731,3.6464
660,9.0235,0.55,16.6,3.6737,3.6464
670,8.9944,0.55,16.6,3.6729,3.6464
680,8.9772,0.55,16.6,3.6711,3.6464
690,8.9689,0.55,16.6,3.6688,3.6464
700,8.9666,0.55,16.6,3.6664,3.6464
710,8.9683,0.55,16.6,3.664,3.6464
720,8.972,0.55,16.6,3.6617,3.6464
730,8.9766,0.55,16.6,3.6598,3.6464
740,8.9812,0.55,16.6,3.6581,3.6464
750,8.9853,0.55,16.6,3.6566,3.6464
760,8.9888,0.55,16.6,3.6554,3.6464
770,8.9914,0.55,16.6,3.6544,3.6464
780,8.9933,0.55,16.6,3.6535,3.6464
790,8.9946,0.55,16.6,3.6528,3.6464
800,8.9954,0.55,16.6,3.6522,3.6464
810,8.9957,0.55,16.6,3.6517,3.6464
820,8.9958,0.55,16.6,3.6513,3.6464
830,8.9957,0.55,16.6,3.6509,3.6464
840,13.506,0.55,16.6,3.6505,5.4189
850,16.65,0.55,16.6,3.6502,5.4189
860,16.71,0.55,16.6,3.7609,5.4189
870,14.872,0.55,16.6,4.025,5.4189
880,13.025,0.55,16.6,4.5361,5.4189
890,11.792,0.55,16.6,5.0973,5.4189
900,11.16,0.55,16.6,5.2961,5.4189
910,10.965,0.55,16.6,5.3377,5.4189
920,11.025,0.55,16.6,5.3193,5.4189
930,11.184,0.55,16.6,5.2843,5.4189
940,11.34,0.55,16.6,5.2569,5.4189
950,11.448,0.55,16.6,5.2471,5.4189
960,11.502,0.55,16.6,5.2535,5.4189
970,11.517,0.55,16.6,5.2696,5.4189
980,11.511,0.55,16.6,5.2889,5.4189
990,11.498,0.55,16.6,5.3072,5.4189
1000,11.485,0.55,16.6,5.3228,5.4189
1010,11.476,0.55,16.6,5.3353,5.4189
