t,u1,u2,u3,y,ysp
10,12.998,0.55,16.6,7,4
20,10.77,0.55,16.6,7.0015,4
30,8.6348,0.55,16.6,6.87,4
40,6.9179,0.55,16.6,6.6811,4
50,5.8155,0.55,16.6,6.4658,4
60,5.3653,0.55,16.6,6.2339,4
70,5.5223,0.55,16.6,5.9773,4
80,6.0621,0.55,16.6,5.6657,4
90,6.7759,0.55,16.6,5.2092,4
100,7.5026,0.55,16.6,4.5406,4
110,8.1668,0.55,16.6,4.183,4
120,8.7393,0.55,16.6,4.0221,4
130,9.2112,0.55,16.6,3.9376,4
140,9.5843,0.55,16.6,3.8927,4
150,9.8662,0.55,16.6,3.8714,4
160,10.068,0.55,16.6,3.8657,4
170,10.202,0.55,16.6,3.8702,4
180,10.28,0.55,16.6,3.8815,4
190,10.316,0.55,16.6,3.8969,4
200,10.321,0.55,16.6,3.9144,4
210,10.304,0.55,16.6,3.9322,4
220,10.274,0.55,16.6,3.9491,4
230,10.238,0.55,16.6,3.9644,4
240,10.2,0.55,16.6,3.9773,4
250,10.164,0.55,16.6,3.9876,4
260,10.132,0.55,16.6,3.9955,4
270,10.104,0.55,16.6,4.0011,4
280,10.082,0.55,16.6,4.0047,4
290,10.065,0.55,16.6,4.0068,4
300,10.053,0.55,16.6,4.0076,4
310,10.045,0.55,16.6,4.0075,4
320,10.04,0.55,16.6,4.0069,4
330,10.038,0.55,16.6,4.006,4
340,10.037,0.55,16.6,4.0049,4
350,10.038,0.55,16.6,4.0039,4
360,10.039,0.55,16.6,4.0029,4
370,10.041,0.55,16.6,4.002,4
380,10.043,0.55,16.6,4.0013,4
390,10.045,0.55,16.6,4.0007,4
400,10.047,0.55,16.6,4.0003,4
410,10.048,0.55,16.6,4,4
420,10.049,0.55,16.6,3.9998,4
430,10.05,0.55,16.6,3.9997,4
440,10.051,0.55,16.6,3.9996,4
450,10.051,0.55,16.6,3.9996,4
460,10.052,0.55,16.6,3.9996,4
470,10.052,0.55,16.6,3.9997,4
480,10.052,0.55,16.6,3.9997,4
490,10.052,0.55,16.6,3.9998,4
500,10.052,0.55,16.6,3.9998,4
510,10.847,0.55,16.6,3.9999,5
520,11.641,0.55,16.6,3.9999,5
530,12.15,0.55,16.6,4.038,5
540,12.341,0.55,16.6,4.1202,5
550,12.299,0.55,16.6,4.246,5
560,12.121,0.55,16.6,4.4124,5
570,11.883,0.55,16.6,4.6063,5
580,11.641,0.55,16.6,4.7907,5
590,11.428,0.55,16.6,4.9276,5
600,11.259,0.55,16.6,5.0123,5
610,11.137,0.55,16.6,5.0577,5
620,11.056,0.55,16.6,5.0764,5
630,11.01,0.55,16.6,5.0781,5
640,10.99,0.55,16.6,5.0697,5
650,10.988,0.55,16.6,5.0563,5
660,10.996,0.55,16.6,5.0416,5
670,11.009,0.55,16.6,5.0277,5
680,11.024,0.55,16.6,5.0162,5
690,11.037,0.55,16.6,5.0074,5
700,11.049,0.55,16.6,5.0013,5
710,11.057,0.55,16.6,4.9976,5
720,11.063,0.55,16.6,4.9957,5
730,11.067,0.55,16.6,4.9952,5
740,11.069,0.55,16.6,4.9955,5
750,11.069,0.55,16.6,4.9962,5
760,11.069,0.55,16.6,4.9971,5
770,11.068,0.55,16.6,4.998,5
780,11.067,0.55,16.6,4.9988,5
790,11.067,0.55,16.6,4.9994,5
800,11.066,0.55,16.6,4.9998,5
810,11.065,0.55,16.6,5.0001,5
820,11.065,0.55,16.6,5.0002,5
830,11.065,0.55,16.6,5.0003,5
840,11.064,0.55,16.6,5.0003,5
850,11.064,0.55,16.6,5.0002,5
860,11.064,0.55,16.6,5.0002,5
870,11.064,0.55,16.6,5.0001,5
880,11.064,0.55,16.6,5.0001,5
890,11.064,0.55,16.6,5.0001,5
900,11.065,0.55,16.6,5,5
910,11.065,0.55,16.6,5,5
920,11.065,0.55,16.6,5,5
930,11.065,0.55,16.6,5,5
940,11.065,0.55,16.6,5,5
950,11.065,0.55,16.6,5,5
960,11.065,0.55,16.6,5,5
970,11.065,0.55,16.6,5,5
980,11.065,0.55,16.6,5,5
990,11.065,0.55,16.6,5,5
1000,11.065,0.55,16.6,5,5
1010,11.859,0.55,16.6,5,6
1020,12.543,0.55,16.6,5,6
1030,13.027,0.55,16.6,5.1001,6
1040,13.331,0.55,16.6,5.2522,6
1050,13.492,0.55,16.6,5.4051,6
1060,13.547,0.55,16.6,5.5377,6
1070,13.528,0.55,16.6,5.647,6
1080,13.46,0.55,16.6,5.7357,6
1090,13.364,0.55,16.6,5.8067,6
1100,13.256,0.55,16.6,5.8631,6
1110,13.145,0.55,16.6,5.9072,6
1120,13.04,0.55,16.6,5.941,6
1130,12.945,0.55,16.6,5.9663,6
1140,12.862,0.55,16.6,5.9847,6
1150,12.794,0.55,16.6,5.9974,6
1160,12.739,0.55,16.6,6.0057,6
1170,12.696,0.55,16.6,6.0107,6
1180,12.664,0.55,16.6,6.0131,6
1190,12.642,0.55,16.6,6.0137,6
1200,12.628,0.55,16.6,6.013,6
1210,12.619,0.55,16.6,6.0117,6
1220,12.615,0.55,16.6,6.0099,6
1230,12.615,0.55,16.6,6.0081,6
1240,12.616,0.55,16.6,6.0062,6
1250,12.619,0.55,16.6,6.0046,6
1260,12.623,0.55,16.6,6.0031,6
1270,12.627,0.55,16.6,6.0019,6
1280,12.63,0.55,16.6,6.001,6
1290,12.634,0.55,16.6,6.0003,6
1300,12.637,0.55,16.6,5.9998,6
1310,12.639,0.55,16.6,5.9995,6
1320,12.641,0.55,16.6,5.9993,6
1330,12.642,0.55,16.6,5.9992,6
1340,12.643,0.55,16.6,5.9992,6
1350,12.644,0.55,16.6,5.9993,6
1360,12.644,0.55,16.6,5.9994,6
1370,12.644,0.55,16.6,5.9995,6
1380,12.644,0.55,16.6,5.9996,6
1390,12.644,0.55,16.6,5.9997,6
1400,12.644,0.55,16.6,5.9997,6
1410,12.644,0.55,16.6,5.9998,6
1420,12.644,0.55,16.6,5.9999,6
1430,12.644,0.55,16.6,5.9999,6
1440,12.643,0.55,16.6,6,6
1450,12.643,0.55,16.6,6,6
1460,12.643,0.55,16.6,6,6
1470,12.643,0.55,16.6,6,6
1480,12.643,0.55,16.6,6,6
1490,12.643,0.55,16.6,6,6
1500,12.643,0.55,16.6,6,6
1510,13.441,0.55,16.6,6,7
1520,14.423,0.55,16.6,6,7
1530,15.218,0.55,16.6,6.0291,7
1540,15.771,0.55,16.6,6.089,7
1550,16.144,0.55,16.6,6.1679,7
1560,16.388,0.55,16.6,6.2546,7
1570,16.532,0.55,16.6,6.3434,7
1580,16.597,0.55,16.6,6.4312,7
1590,16.599,0.55,16.6,6.5165,7
1600,16.555,0.55,16.6,6.5981,7
1610,16.476,0.55,16.6,6.675,7
1620,16.374,0.55,16.6,6.7464,7
1630,16.258,0.55,16.6,6.8112,7
1640,16.137,0.55,16.6,6.8682,7
1650,16.019,0.55,16.6,6.9168,7
1660,15.908,0.55,16.6,6.9564,7
1670,15.809,0.55,16.6,6.9868,7
1680,15.725,0.55,16.6,7.0085,7
1690,15.657,0.55,16.6,7.0226,7
1700,15.605,0.55,16.6,7.0303,7
1710,15.567,0.55,16.6,7.0332,7
1720,15.541,0.55,16.6,7.0327,7
1730,15.525,0.55,16.6,7.0299,7
1740,15.516,0.55,16.6,7.026,7
1750,15.512,0.55,16.6,7.0215,7
1760,15.512,0.55,16.6,7.0171,7
1770,15.515,0.55,16.6,7.013,7
1780,15.519,0.55,16.6,7.0093,7
1790,15.524,0.55,16.6,7.0063,7
1800,15.529,0.55,16.6,7.0038,7
1810,15.534,0.55,16.6,7.002,7
1820,15.538,0.55,16.6,7.0006,7
1830,15.541,0.55,16.6,6.9996,7
1840,15.544,0.55,16.6,6.999,7
1850,15.547,0.55,16.6,6.9986,7
1860,15.548,0.55,16.6,6.9985,7
1870,15.55,0.55,16.6,6.9985,7
1880,15.551,0.55,16.6,6.9986,7
1890,15.551,0.55,16.6,6.9988,7
1900,15.551,0.55,16.6,6.9989,7
1910,15.551,0.55,16.6,6.9991,7
1920,15.551,0.55,16.6,6.9993,7
1930,15.551,0.55,16.6,6.9995,7
1940,15.551,0.55,16.6,6.9996,7
1950,15.551,0.55,16.6,6.9998,7
1960,15.55,0.55,16.6,6.9999,7
1970,15.55,0.55,16.6,6.9999,7
1980,15.55,0.55,16.6,7,7
1990,15.55,0.55,16.6,7,7
2000,15.55,0.55,16.6,7.0001,7
2010,16.4,0.55,16.6,7.0001,8
2020,17.292,0.55,16.6,7.0001,8
2030,17.844,0.55,16.6,7.0502,8
2040,17.91,0.55,16.6,7.1604,8
2050,17.627,0.55,16.6,7.3312,8
2060,17.22,0.55,16.6,7.5547,8
2070,16.85,0.55,16.6,7.8063,8
2080,16.594,0.55,16.6,8.0186,8
2090,16.461,0.55,16.6,8.1232,8
2100,16.419,0.55,16.6,8.1339,8
2110,16.429,0.55,16.6,8.0993,8
2120,16.457,0.55,16.6,8.056,8
2130,16.487,0.55,16.6,8.0217,8
2140,16.508,0.55,16.6,8.001,8
2150,16.52,0.55,16.6,7.9918,8
2160,16.524,0.55,16.6,7.99,8
2170,16.524,0.55,16.6,7.9919,8
2180,16.522,0.55,16.6,7.995,8
2190,16.52,0.55,16.6,7.9978,8
2200,16.518,0.55,16.6,7.9996,8
2210,16.517,0.55,16.6,8.0005,8
2220,16.516,0.55,16.6,8.0008,8
2230,16.516,0.55,16.6,8.0007,8
2240,16.516,0.55,16.6,8.0004,8
2250,16.517,0.55,16.6,8.0002,8
2260,16.517,0.55,16.6,8.0001,8
2270,16.517,0.55,16.6,8,8
2280,16.517,0.55,16.6,7.9999,8
2290,16.517,0.55,16.6,7.9999,8
2300,16.517,0.55,16.6,8,8
2310,16.517,0.55,16.6,8,8
2320,16.517,0.55,16.6,8,8
2330,16.517,0.55,16.6,8,8
2340,16.517,0.55,16.6,8,8
2350,16.517,0.55,16.6,8,8
2360,16.517,0.55,16.6,8,8
2370,16.517,0.55,16.6,8,8
2380,16.517,0.55,16.6,8,8
2390,16.517,0.55,16.6,8,8
2400,16.517,0.55,16.6,8,8
2410,16.517,0.55,16.6,8,8
2420,16.517,0.55,16.6,8,8
2430,16.517,0.55,16.6,8,8
2440,16.517,0.55,16.6,8,8
2450,16.517,0.55,16.6,8,8
2460,16.517,0.55,16.6,8,8
2470,16.517,0.55,16.6,8,8
2480,16.517,0.55,16.6,8,8
2490,16.517,0.55,16.6,8,8
2500,16.517,0.55,16.6,8,8
2510,17.204,0.55,16.6,8,9
2520,17.582,0.55,16.6,8,9
2530,17.648,0.55,16.6,8.2252,9
2540,17.558,0.55,16.6,8.5384,9
2550,17.415,0.55,16.6,8.756,9
2560,17.273,0.55,16.6,8.8831,9
2570,17.157,0.55,16.6,8.9555,9
2580,17.074,0.55,16.6,8.9946,9
2590,17.021,0.55,16.6,9.0132,9
2600,16.992,0.55,16.6,9.0193,9
2610,16.982,0.55,16.6,9.0184,9
2620,16.981,0.55,16.6,9.0143,9
2630,16.987,0.55,16.6,9.0094,9
2640,16.993,0.55,16.6,9.005,9
2650,17,0.55,16.6,9.0017,9
2660,17.005,0.55,16.6,8.9996,9
2670,17.008,0.55,16.6,8.9986,9
2680,17.01,0.55,16.6,8.9983,9
2690,17.011,0.55,16.6,8.9984,9
2700,17.011,0.55,16.6,8.9988,9
2710,17.011,0.55,16.6,8.9992,9
2720,17.01,0.55,16.6,8.9995,9
2730,17.01,0.55,16.6,8.9998,9
2740,17.009,0.55,16.6,9,9
2750,17.009,0.55,16.6,9.0001,9
2760,17.009,0.55,16.6,9.0001,9
2770,17.009,0.55,16.6,9.0001,9
2780,17.009,0.55,16.6,9.0001,9
2790,17.009,0.55,16.6,9.0001,9
2800,17.009,0.55,16.6,9,9
2810,17.009,0.55,16.6,9,9
2820,17.009,0.55,16.6,9,9
2830,17.009,0.55,16.6,9,9
2840,17.009,0.55,16.6,9,9
2850,17.009,0.55,16.6,9,9
2860,17.009,0.55,16.6,9,9
2870,17.009,0.55,16.6,9,9
2880,17.009,0.55,16.6,9,9
2890,17.009,0.55,16.6,9,9
2900,17.009,0.55,16.6,9,9
2910,17.009,0.55,16.6,9,9
2920,17.009,0.55,16.6,9,9
2930,17.009,0.55,16.6,9,9
2940,17.009,0.55,16.6,9,9
2950,17.009,0.55,16.6,9,9
2960,17.009,0.55,16.6,9,9
2970,17.009,0.55,16.6,9,9
2980,17.009,0.55,16.6,9,9
2990,17.009,0.55,16.6,9,9
3000,17.009,0.55,16.6,9,9
3010,17.698,0.55,16.6,9,10
3020,18.374,0.55,16.6,9,10
3030,19.025,0.55,16.6,9.0777,10
