t,u1,u2,u3,y,ysp
10,12.999,0.55,16.6,7,4
20,11.266,0.55,16.6,7.0015,4
30,9.6435,0.55,16.6,6.87,4
40,8.2709,0.55,16.6,6.7001,4
50,7.1971,0.55,16.6,6.5139,4
60,6.5013,0.55,16.6,6.3183,4
70,7.3094,0.55,16.6,6.1085,4
80,8.1527,0.55,16.6,5.8711,4
90,8.5827,0.55,16.6,5.6368,4
100,8.8418,0.55,16.6,5.3994,4
110,9.0681,0.55,16.6,5.1278,4
120,9.3276,0.55,16.6,4.8218,4
130,9.5858,0.55,16.6,4.5661,4
140,9.7876,0.55,16.6,4.4054,4
150,9.9242,0.55,16.6,4.3097,4
160,10.01,0.55,16.6,4.2505,4
170,10.06,0.55,16.6,4.2117,4
180,10.088,0.55,16.6,4.1845,4
190,10.102,0.55,16.6,4.1644,4
200,10.108,0.55,16.6,4.1486,4
210,10.11,0.55,16.6,4.1356,4
220,10.109,0.55,16.6,4.1245,4
230,10.107,0.55,16.6,4.1147,4
240,10.104,0.55,16.6,4.106,4
250,10.101,0.55,16.6,4.0981,4
260,10.097,0.55,16.6,4.0909,4
270,10.094,0.55,16.6,4.0843,4
280,10.091,0.55,16.6,4.0782,4
290,10.088,0.55,16.6,4.0725,4
300,10.085,0.55,16.6,4.0673,4
310,10.082,0.55,16.6,4.0625,4
320,10.08,0.55,16.6,4.058,4
330,10.078,0.55,16.6,4.0539,4
340,10.075,0.55,16.6,4.05,4
350,10.073,0.55,16.6,4.0464,4
360,10.072,0.55,16.6,4.0431,4
370,10.07,0.55,16.6,4.04,4
380,10.068,0.55,16.6,4.0371,4
390,10.067,0.55,16.6,4.0344,4
400,10.066,0.55,16.6,4.0319,4
410,10.064,0.55,16.6,4.0296,4
420,10.063,0.55,16.6,4.0275,4
430,10.062,0.55,16.6,4.0255,4
440,10.061,0.55,16.6,4.0236,4
450,10.06,0.55,16.6,4.0219,4
460,10.06,0.55,16.6,4.0203,4
470,10.059,0.55,16.6,4.0188,4
480,10.058,0.55,16.6,4.0174,4
490,10.057,0.55,16.6,4.0161,4
500,10.057,0.55,16.6,4.0149,4
510,10.852,0.55,16.6,4.0138,5
520,11.293,0.55,16.6,4.0128,5
530,11.54,0.55,16.6,4.0508,5
540,11.675,0.55,16.6,4.1132,5
550,11.74,0.55,16.6,4.1941,5
560,11.754,0.55,16.6,4.2915,5
570,11.725,0.55,16.6,4.4041,5
580,11.659,0.55,16.6,4.5285,5
590,11.563,0.55,16.6,4.656,5
600,11.453,0.55,16.6,4.7727,5
610,11.346,0.55,16.6,4.8666,5
620,11.253,0.55,16.6,4.9344,5
630,11.181,0.55,16.6,4.9792,5
640,11.128,0.55,16.6,5.0063,5
650,11.092,0.55,16.6,5.0208,5
660,11.069,0.55,16.6,5.0269,5
670,11.056,0.55,16.6,5.0278,5
680,11.049,0.55,16.6,5.0257,5
690,11.047,0.55,16.6,5.022,5
700,11.048,0.55,16.6,5.0179,5
710,11.05,0.55,16.6,5.0139,5
720,11.053,0.55,16.6,5.0104,5
730,11.056,0.55,16.6,5.0075,5
740,11.058,0.55,16.6,5.0052,5
750,11.06,0.55,16.6,5.0035,5
760,11.062,0.55,16.6,5.0023,5
770,11.063,0.55,16.6,5.0015,5
780,11.063,0.55,16.6,5.001,5
790,11.063,0.55,16.6,5.0006,5
800,11.063,0.55,16.6,5.0003,5
810,11.063,0.55,16.6,5.0001,5
820,11.063,0.55,16.6,4.9999,5
830,11.063,0.55,16.6,4.9997,5
840,11.063,0.55,16.6,4.9996,5
850,11.064,0.55,16.6,4.9994,5
860,11.064,0.55,16.6,4.9993,5
870,11.064,0.55,16.6,4.9993,5
880,11.065,0.55,16.6,4.9993,5
890,11.065,0.55,16.6,4.9993,5
900,11.065,0.55,16.6,4.9994,5
910,11.065,0.55,16.6,4.9995,5
920,11.065,0.55,16.6,4.9996,5
930,11.065,0.55,16.6,4.9997,5
940,11.065,0.55,16.6,4.9997,5
950,11.065,0.55,16.6,4.9998,5
960,11.065,0.55,16.6,4.9999,5
970,11.065,0.55,16.6,4.9999,5
980,11.065,0.55,16.6,5,5
990,11.065,0.55,16.6,5,5
1000,11.065,0.55,16.6,5,5
1010,11.859,0.55,16.6,5,6
1020,12.3,0.55,16.6,5,6
1030,12.498,0.55,16.6,5.1001,6
1040,12.556,0.55,16.6,5.2278,6
1050,12.549,0.55,16.6,5.3437,6
1060,12.522,0.55,16.6,5.4376,6
1070,12.494,0.55,16.6,5.5117,6
1080,12.472,0.55,16.6,5.5704,6
1090,12.457,0.55,16.6,5.6176,6
1100,12.449,0.55,16.6,5.6563,6
1110,12.446,0.55,16.6,5.6888,6
1120,12.447,0.55,16.6,5.7164,6
1130,12.45,0.55,16.6,5.7403,6
1140,12.455,0.55,16.6,5.7612,6
1150,12.46,0.55,16.6,5.7797,6
1160,12.467,0.55,16.6,5.7962,6
1170,12.474,0.55,16.6,5.8111,6
1180,12.481,0.55,16.6,5.8245,6
1190,12.488,0.55,16.6,5.8366,6
1200,12.495,0.55,16.6,5.8477,6
1210,12.502,0.55,16.6,5.8579,6
1220,12.509,0.55,16.6,5.8672,6
1230,12.515,0.55,16.6,5.8758,6
1240,12.521,0.55,16.6,5.8837,6
1250,12.527,0.55,16.6,5.8911,6
1260,12.533,0.55,16.6,5.8978,6
1270,12.539,0.55,16.6,5.9041,6
1280,12.544,0.55,16.6,5.91,6
1290,12.549,0.55,16.6,5.9154,6
1300,12.554,0.55,16.6,5.9205,6
1310,12.559,0.55,16.6,5.9253,6
1320,12.563,0.55,16.6,5.9297,6
1330,12.568,0.55,16.6,5.9338,6
1340,12.571,0.55,16.6,5.9377,6
1350,12.575,0.55,16.6,5.9414,6
1360,12.579,0.55,16.6,5.9448,6
