t,u1,u2,u3,y,ysp
10,17.951,0.55,16.6,7,8.0423
20,17.384,0.55,16.6,7.0015,8.0423
30,18.689,0.55,16.6,7.1555,8.0423
40,17.902,0.55,16.6,7.2819,8.0423
50,17.609,0.55,16.6,7.6056,8.0423
60,17.024,0.55,16.6,7.9521,8.0423
70,16.393,0.55,16.6,8.3147,8.0423
80,16.041,0.55,16.6,8.4432,8.0423
90,16.04,0.55,16.6,8.3534,8.0423
100,16.279,0.55,16.6,8.15,8.0423
110,16.549,0.55,16.6,7.9811,8.0423
120,16.707,0.55,16.6,7.9157,8.0423
130,16.729,0.55,16.6,7.9339,8.0423
140,16.657,0.55,16.6,7.9966,8.0423
150,16.553,0.55,16.6,8.0628,8.0423
160,16.475,0.55,16.6,8.1005,8.0423
170,16.451,0.55,16.6,8.1002,8.0423
180,16.474,0.55,16.6,8.0746,8.0423
190,16.516,0.55,16.6,8.0448,8.0423
200,16.55,0.55,16.6,8.0261,8.0423
210,16.564,0.55,16.6,8.0227,8.0423
220,16.559,0.55,16.6,8.0303,8.0423
230,16.543,0.55,16.6,8.0414,8.0423
240,16.528,0.55,16.6,8.0496,8.0423
250,16.521,0.55,16.6,8.052,8.0423
260,16.521,0.55,16.6,8.0494,8.0423
270,16.527,0.55,16.6,8.0448,8.0423
280,16.533,0.55,16.6,8.0409,8.0423
290,16.537,0.55,16.6,8.0393,8.0423
300,16.538,0.55,16.6,8.0398,8.0423
310,16.536,0.55,16.6,8.0414,8.0423
320,16.533,0.55,16.6,8.043,8.0423
330,16.531,0.55,16.6,8.0438,8.0423
340,16.531,0.55,16.6,8.0437,8.0423
350,16.532,0.55,16.6,8.043,8.0423
360,16.533,0.55,16.6,8.0423,8.0423
370,16.533,0.55,16.6,8.0419,8.0423
380,16.534,0.55,16.6,8.0419,8.0423
390,16.533,0.55,16.6,8.042,8.0423
400,16.533,0.55,16.6,8.0423,8.0423
410,16.533,0.55,16.6,8.0425,8.0423
420,16.533,0.55,16.6,8.0425,8.0423
430,9.6218,0.55,16.6,8.0425,3.6464
440,6.9223,0.55,16.6,8.0423,3.6464
450,3.1734,0.55,16.6,7.1084,3.6464
460,1.4303,0.55,16.6,6.683,3.6464
470,2.0407,0.55,16.6,6.2942,3.6464
480,3.0429,0.55,16.6,5.8766,3.6464
490,4.4267,0.55,16.6,5.2809,3.6464
500,5.9652,0.55,16.6,4.3065,3.6464
510,7.0361,0.55,16.6,3.9532,3.6464
520,7.6935,0.55,16.6,3.8122,3.6464
530,8.1235,0.55,16.6,3.74,3.6464
540,8.4267,0.55,16.6,3.6983,3.6464
550,8.6482,0.55,16.6,3.6731,3.6464
560,8.8106,0.55,16.6,3.6579,3.6464
570,8.9275,0.55,16.6,3.6493,3.6464
580,9.009,0.55,16.6,3.6451,3.6464
590,9.0629,0.55,16.6,3.6437,3.6464
600,9.0954,0.55,16.6,3.6443,3.6464
610,9.1121,0.55,16.6,3.646,3.6464
620,9.1173,0.55,16.6,3.6482,3.6464
630,9.1145,0.55,16.6,3.6506,3.6464
640,9.1066,0.55,16.6,3.6529,3.6464
650,9.0957,0.55,16.6,3.655,3.6464
660,9.0833,0.55,16.6,3.6567,3.6464
670,9.0708,0.55,16.6,3.658,3.6464
680,9.0587,0.55,16.6,3.6589,3.6464
690,9.0476,0.55,16.6,3.6595,3.6464
700,9.0377,0.55,16.6,3.6597,3.6464
710,9.0291,0.55,16.6,3.6597,3.6464
720,9.0219,0.55,16.6,3.6594,3.6464
730,9.0159,0.55,16.6,3.659,3.6464
740,9.0111,0.55,16.6,3.6585,3.6464
750,9.0073,0.55,16.6,3.6579,3.6464
760,9.0044,0.55,16.6,3.6572,3.6464
770,9.0023,0.55,16.6,3.6565,3.6464
780,9.0007,0.55,16.6,3.6558,3.6464
790,8.9996,0.55,16.6,3.6551,3.6464
800,8.9986,0.55,16.6,3.6545,3.6464
810,8.9979,0.55,16.6,3.6539,3.6464
820,8.9972,0.55,16.6,3.6533,3.6464
830,8.9966,0.55,16.6,3.6528,3.6464
840,13.496,0.55,16.6,3.6522,5.4189
850,13.308,0.55,16.6,3.6518,5.4189
860,15.631,0.55,16.6,3.7625,5.4189
870,15.159,0.55,16.6,3.8854,5.4189
880,14.974,0.55,16.6,4.1673,5.4189
890,14.155,0.55,16.6,4.6273,5.4189
900,13.028,0.55,16.6,5.1827,5.4189
910,12.224,0.55,16.6,5.445,5.4189
920,11.737,0.55,16.6,5.5485,5.4189
930,11.453,0.55,16.6,5.5834,5.4189
940,11.304,0.55,16.6,5.5848,5.4189
950,11.242,0.55,16.6,5.5691,5.4189
