t,u1,u2,u3,y,ysp
10,16.519,0.55,16.6,7,8.0423
20,17.312,0.55,16.6,7.0015,8.0423
30,17.898,0.55,16.6,7.059,8.0423
40,18.25,0.55,16.6,7.1713,8.0423
50,18.411,0.55,16.6,7.3499,8.0423
60,18.359,0.55,16.6,7.6364,8.0423
70,17.747,0.55,16.6,8.1646,8.0423
80,16.631,0.55,16.6,8.6916,8.0423
90,15.633,0.55,16.6,8.8696,8.0423
100,14.952,0.55,16.6,8.8259,8.0423
110,14.697,0.55,16.6,8.5627,8.0423
120,15.154,0.55,16.6,7.9998,8.0423
130,15.897,0.55,16.6,7.5961,8.0423
140,16.605,0.55,16.6,7.4365,8.0423
150,17.178,0.55,16.6,7.4042,8.0423
160,17.579,0.55,16.6,7.4593,8.0423
170,17.779,0.55,16.6,7.5991,8.0423
180,17.687,0.55,16.6,7.8555,8.0423
190,17.117,0.55,16.6,8.2643,8.0423
200,16.276,0.55,16.6,8.5932,8.0423
210,15.55,0.55,16.6,8.6837,8.0423
220,15.139,0.55,16.6,8.5612,8.0423
230,15.268,0.55,16.6,8.1915,8.0423
240,15.826,0.55,16.6,7.7777,8.0423
250,16.453,0.55,16.6,7.5668,8.0423
260,16.994,0.55,16.6,7.5008,8.0423
270,17.387,0.55,16.6,7.5314,8.0423
280,17.593,0.55,16.6,7.6488,8.0423
290,17.528,0.55,16.6,7.8724,8.0423
300,17.053,0.55,16.6,8.2205,8.0423
310,16.314,0.55,16.6,8.5201,8.0423
320,15.654,0.55,16.6,8.6125,8.0423
330,15.291,0.55,16.6,8.4969,8.0423
340,15.427,0.55,16.6,8.1571,8.0423
350,15.941,0.55,16.6,7.7915,8.0423
360,16.519,0.55,16.6,7.6004,8.0423
370,17.016,0.55,16.6,7.5435,8.0423
380,17.366,0.55,16.6,7.5818,8.0423
390,17.524,0.55,16.6,7.7084,8.0423
400,17.396,0.55,16.6,7.9428,8.0423
410,16.881,0.55,16.6,8.2757,8.0423
420,16.181,0.55,16.6,8.5228,8.0423
430,10.535,0.55,16.6,8.5706,3.6464
440,5.8796,0.55,16.6,8.4126,3.6464
450,4.3613,0.55,16.6,7.2503,3.6464
460,4.1378,0.55,16.6,6.7088,3.6464
470,4.1296,0.55,16.6,6.3504,3.6464
480,4.1562,0.55,16.6,6.0356,3.6464
490,4.1697,0.55,16.6,5.678,3.6464
500,4.3702,0.55,16.6,5.0829,3.6464
510,4.8828,0.55,16.6,4.2601,3.6464
520,5.1389,0.55,16.6,3.93,3.6464
530,5.2915,0.55,16.6,3.7657,3.6464
540,5.4861,0.55,16.6,3.6598,3.6464
550,5.7247,0.55,16.6,3.5833,3.6464
560,5.992,0.55,16.6,3.5262,3.6464
570,6.2755,0.55,16.6,3.483,3.6464
580,6.566,0.55,16.6,3.4504,3.6464
590,6.8567,0.55,16.6,3.4263,3.6464
600,7.1426,0.55,16.6,3.4091,3.6464
610,7.4202,0.55,16.6,3.3976,3.6464
620,7.6866,0.55,16.6,3.3909,3.6464
630,7.9397,0.55,16.6,3.3883,3.6464
640,8.178,0.55,16.6,3.3894,3.6464
650,8.4002,0.55,16.6,3.3935,3.6464
660,8.6055,0.55,16.6,3.4005,3.6464
670,8.7932,0.55,16.6,3.4098,3.6464
680,8.9629,0.55,16.6,3.4213,3.6464
690,9.1144,0.55,16.6,3.4346,3.6464
700,9.2476,0.55,16.6,3.4496,3.6464
710,9.3625,0.55,16.6,3.4659,3.6464
720,9.4594,0.55,16.6,3.4833,3.6464
730,9.5385,0.55,16.6,3.5016,3.6464
740,9.6004,0.55,16.6,3.5206,3.6464
750,9.6456,0.55,16.6,3.5399,3.6464
760,9.6749,0.55,16.6,3.5593,3.6464
770,9.689,0.55,16.6,3.5786,3.6464
780,9.689,0.55,16.6,3.5974,3.6464
790,9.6759,0.55,16.6,3.6155,3.6464
800,9.6511,0.55,16.6,3.6326,3.6464
810,9.6159,0.55,16.6,3.6484,3.6464
820,9.5719,0.55,16.6,3.6627,3.6464
830,9.5207,0.55,16.6,3.6753,3.6464
840,11.166,0.55,16.6,3.686,5.4189
850,12.706,0.55,16.6,3.6947,5.4189
860,14.095,0.55,16.6,3.7449,5.4189
870,15.172,0.55,16.6,3.8442,5.4189
880,15.957,0.55,16.6,4.0201,5.4189
890,16.298,0.55,16.6,4.3593,5.4189
900,15.647,0.55,16.6,5.0485,5.4189
910,14.279,0.55,16.6,5.5236,5.4189
920,12.722,0.55,16.6,5.7478,5.4189
930,11.408,0.55,16.6,5.8493,5.4189
940,10.579,0.55,16.6,5.8691,5.4189
950,10.142,0.55,16.6,5.8315,5.4189
960,9.9482,0.55,16.6,5.7584,5.4189
970,9.9069,0.55,16.6,5.6636,5.4189
980,9.9768,0.55,16.6,5.5545,5.4189
990,10.14,0.55,16.6,5.4355,5.4189
1000,10.383,0.55,16.6,5.3123,5.4189
1010,10.687,0.55,16.6,5.1953,5.4189
1020,11.014,0.55,16.6,5.1007,5.4189
1030,11.31,0.55,16.6,5.0446,5.4189
1040,11.519,0.55,16.6,5.0339,5.4189
1050,11.611,0.55,16.6,5.0616,5.4189
1060,11.59,0.55,16.6,5.1111,5.4189
1070,11.495,0.55,16.6,5.1635,5.4189
1080,11.371,0.55,16.6,5.2059,5.4189
1090,11.259,0.55,16.6,5.2326,5.4189
1100,11.181,0.55,16.6,5.2437,5.4189
1110,11.146,0.55,16.6,5.2425,5.4189
1120,11.148,0.55,16.6,5.2337,5.4189
1130,11.178,0.55,16.6,5.222,5.4189
1140,11.222,0.55,16.6,5.2116,5.4189
1150,11.269,0.55,16.6,5.2051,5.4189
1160,11.311,0.55,16.6,5.2039,5.4189
1170,11.344,0.55,16.6,5.2076,5.4189
1180,11.367,0.55,16.6,5.2153,5.4189
1190,11.382,0.55,16.6,5.2256,5.4189
1200,11.391,0.55,16.6,5.237,5.4189
1210,11.397,0.55,16.6,5.2486,5.4189
1220,11.401,0.55,16.6,5.2598,5.4189
1230,12.817,0.55,16.6,5.2703,6.7717
1240,13.792,0.55,16.6,5.2801,6.7717
1250,14.409,0.55,16.6,5.4091,6.7717
1260,14.817,0.55,16.6,5.5696,6.7717
1270,15.145,0.55,16.6,5.7189,6.7717
1280,15.45,0.55,16.6,5.8497,6.7717
