t,u1,u2,u3,y,ysp
10,12.999,0.55,16.6,7,4
20,10.382,0.55,16.6,7.0015,4
30,9.062,0.55,16.6,6.87,4
40,8.2662,0.55,16.6,6.6665,4
50,7.7961,0.55,16.6,6.4684,4
60,7.5186,0.55,16.6,6.2791,4
70,7.2304,0.55,16.6,6.0914,4
80,7.2232,0.55,16.6,5.8936,4
90,7.3803,0.55,16.6,5.6595,4
100,7.4423,0.55,16.6,5.3555,4
110,7.423,0.55,16.6,4.9125,4
120,7.7474,0.55,16.6,4.4464,4
130,8.1551,0.55,16.6,4.1758,4
140,8.5505,0.55,16.6,4.029,4
150,8.9096,0.55,16.6,3.9425,4
160,9.2217,0.55,16.6,3.8898,4
170,9.4831,0.55,16.6,3.8586,4
180,9.6948,0.55,16.6,3.8421,4
190,9.8606,0.55,16.6,3.836,4
200,9.9857,0.55,16.6,3.8373,4
210,10.076,0.55,16.6,3.844,4
220,10.137,0.55,16.6,3.8543,4
230,10.175,0.55,16.6,3.867,4
240,10.194,0.55,16.6,3.881,4
250,10.201,0.55,16.6,3.8955,4
260,10.198,0.55,16.6,3.9097,4
270,10.188,0.55,16.6,3.9233,4
280,10.176,0.55,16.6,3.9358,4
290,10.161,0.55,16.6,3.947,4
300,10.147,0.55,16.6,3.9569,4
310,10.132,0.55,16.6,3.9655,4
320,10.119,0.55,16.6,3.9727,4
330,10.107,0.55,16.6,3.9788,4
340,10.097,0.55,16.6,3.9838,4
350,10.088,0.55,16.6,3.9878,4
360,10.081,0.55,16.6,3.991,4
370,10.074,0.55,16.6,3.9935,4
380,10.069,0.55,16.6,3.9954,4
390,10.065,0.55,16.6,3.9969,4
400,10.062,0.55,16.6,3.9981,4
410,10.059,0.55,16.6,3.9989,4
420,10.057,0.55,16.6,3.9995,4
430,10.055,0.55,16.6,3.9999,4
440,10.054,0.55,16.6,4.0001,4
450,10.053,0.55,16.6,4.0003,4
460,10.052,0.55,16.6,4.0004,4
470,10.052,0.55,16.6,4.0005,4
480,10.051,0.55,16.6,4.0005,4
490,10.051,0.55,16.6,4.0004,4
500,10.051,0.55,16.6,4.0004,4
510,10.846,0.55,16.6,4.0004,5
520,11.528,0.55,16.6,4.0003,5
530,11.886,0.55,16.6,4.0384,5
540,12.018,0.55,16.6,4.1139,5
550,12.01,0.55,16.6,4.2192,5
560,11.937,0.55,16.6,4.3494,5
570,11.845,0.55,16.6,4.4981,5
