t,u1,u2,u3,y,ysp
10,17.951,0.55,16.6,7,8.0423
20,17.826,0.55,16.6,7.0015,8.0423
30,18.193,0.55,16.6,7.1555,8.0423
40,17.532,0.55,16.6,7.3236,8.0423
50,16.978,0.55,16.6,7.5882,8.0423
60,16.644,0.55,16.6,7.8295,8.0423
70,16.529,0.55,16.6,7.972,8.0423
80,16.517,0.55,16.6,8.0132,8.0423
90,16.53,0.55,16.6,8.0154,8.0423
100,16.54,0.55,16.6,8.0136,8.0423
110,16.543,0.55,16.6,8.0159,8.0423
120,16.542,0.55,16.6,8.0211,8.0423
130,16.54,0.55,16.6,8.0266,8.0423
140,16.538,0.55,16.6,8.0312,8.0423
150,16.537,0.55,16.6,8.0347,8.0423
160,16.536,0.55,16.6,8.0372,8.0423
170,16.535,0.55,16.6,8.0391,8.0423
180,16.535,0.55,16.6,8.0404,8.0423
190,16.534,0.55,16.6,8.0413,8.0423
200,16.534,0.55,16.6,8.042,8.0423
210,16.534,0.55,16.6,8.0425,8.0423
220,16.534,0.55,16.6,8.0429,8.0423
230,16.533,0.55,16.6,8.0431,8.0423
240,16.533,0.55,16.6,8.0432,8.0423
250,16.533,0.55,16.6,8.0433,8.0423
260,16.533,0.55,16.6,8.0433,8.0423
270,16.533,0.55,16.6,8.0433,8.0423
280,16.533,0.55,16.6,8.0432,8.0423
290,16.533,0.55,16.6,8.0432,8.0423
300,16.533,0.55,16.6,8.0431,8.0423
310,16.533,0.55,16.6,8.043,8.0423
320,16.533,0.55,16.6,8.043,8.0423
330,16.533,0.55,16.6,8.0429,8.0423
340,16.533,0.55,16.6,8.0428,8.0423
350,16.533,0.55,16.6,8.0428,8.0423
360,16.533,0.55,16.6,8.0427,8.0423
370,16.533,0.55,16.6,8.0426,8.0423
380,16.533,0.55,16.6,8.0426,8.0423
390,16.533,0.55,16.6,8.0425,8.0423
400,16.533,0.55,16.6,8.0425,8.0423
410,16.533,0.55,16.6,8.0424,8.0423
420,16.533,0.55,16.6,8.0424,8.0423
430,9.6219,0.55,16.6,8.0424,3.6464
440,4.3259,0.55,16.6,8.0423,3.6464
450,1.3715,0.55,16.6,7.1085,3.6464
460,1.241,0.55,16.6,6.5902,3.6464
470,2.1171,0.55,16.6,6.164,3.6464
480,3.613,0.55,16.6,5.707,3.6464
490,5.0717,0.55,16.6,4.8886,3.6464
500,6.2409,0.55,16.6,4.1321,3.6464
510,7.1342,0.55,16.6,3.8916,3.6464
520,7.8084,0.55,16.6,3.7776,3.6464
530,8.312,0.55,16.6,3.7153,3.6464
540,8.6798,0.55,16.6,3.6803,3.6464
550,8.9381,0.55,16.6,3.6617,3.6464
560,9.1083,0.55,16.6,3.6534,3.6464
570,9.2089,0.55,16.6,3.6515,3.6464
580,9.2563,0.55,16.6,3.6536,3.6464
590,9.2652,0.55,16.6,3.6576,3.6464
600,9.2484,0.55,16.6,3.6624,3.6464
610,9.2164,0.55,16.6,3.6671,3.6464
620,9.1773,0.55,16.6,3.6709,3.6464
630,9.1373,0.55,16.6,3.6737,3.6464
640,9.1003,0.55,16.6,3.6754,3.6464
650,9.0683,0.55,16.6,3.676,3.6464
660,9.0424,0.55,16.6,3.6756,3.6464
670,9.0225,0.55,16.6,3.6746,3.6464
680,9.008,0.55,16.6,3.6731,3.6464
690,8.9982,0.55,16.6,3.6713,3.6464
700,8.9919,0.55,16.6,3.6693,3.6464
710,8.9885,0.55,16.6,3.6673,3.6464
720,8.9869,0.55,16.6,3.6653,3.6464
730,8.9867,0.55,16.6,3.6634,3.6464
740,8.9873,0.55,16.6,3.6617,3.6464
750,8.9883,0.55,16.6,3.6602,3.6464
760,8.9895,0.55,16.6,3.6587,3.6464
770,8.9906,0.55,16.6,3.6575,3.6464
780,8.9917,0.55,16.6,3.6564,3.6464
790,8.9925,0.55,16.6,3.6554,3.6464
800,8.9932,0.55,16.6,3.6545,3.6464
810,8.9938,0.55,16.6,3.6538,3.6464
820,8.9942,0.55,16.6,3.6531,3.6464
830,8.9944,0.55,16.6,3.6525,3.6464
840,13.505,0.55,16.6,3.6519,5.4189
850,14.733,0.55,16.6,3.6514,5.4189
860,15.022,0.55,16.6,3.7624,5.4189
870,14.266,0.55,16.6,3.9405,5.4189
880,13.258,0.55,16.6,4.2139,5.4189
890,12.424,0.55,16.6,4.59,5.4189
900,11.865,0.55,16.6,4.9368,5.4189
910,11.549,0.55,16.6,5.117,5.4189
920,11.405,0.55,16.6,5.1961,5.4189
930,11.365,0.55,16.6,5.2296,5.4189
940,11.377,0.55,16.6,5.2443,5.4189
950,11.407,0.55,16.6,5.2535,5.4189
960,11.437,0.55,16.6,5.2628,5.4189
970,11.459,0.55,16.6,5.274,5.4189
980,11.473,0.55,16.6,5.2867,5.4189
990,11.479,0.55,16.6,5.3,5.4189
1000,11.48,0.55,16.6,5.313,5.4189
1010,11.479,0.55,16.6,5.325,5.4189
1020,11.477,0.55,16.6,5.3358,5.4189
1030,11.475,0.55,16.6,5.3453,5.4189
1040,11.473,0.55,16.6,5.3535,5.4189
1050,11.472,0.55,16.6,5.3607,5.4189
1060,11.472,0.55,16.6,5.367,5.4189
1070,11.471,0.55,16.6,5.3726,5.4189
1080,11.471,0.55,16.6,5.3774,5.4189
1090,11.471,0.55,16.6,5.3818,5.4189
1100,11.47,0.55,16.6,5.3856,5.4189
1110,11.47,0.55,16.6,5.3891,5.4189
1120,11.47,0.55,16.6,5.3921,5.4189
1130,11.47,0.55,16.6,5.3949,5.4189
1140,11.47,0.55,16.6,5.3974,5.4189
1150,11.47,0.55,16.6,5.3996,5.4189
1160,11.47,0.55,16.6,5.4016,5.4189
1170,11.47,0.55,16.6,5.4033,5.4189
1180,11.47,0.55,16.6,5.4049,5.4189
1190,11.47,0.55,16.6,5.4064,5.4189
1200,11.47,0.55,16.6,5.4077,5.4189
1210,11.469,0.55,16.6,5.4088,5.4189
1220,11.469,0.55,16.6,5.4098,5.4189
1230,14.285,0.55,16.6,5.4107,6.7717
1240,16.12,0.55,16.6,5.4115,6.7717
1250,17.122,0.55,16.6,5.6008,6.7717
1260,17.554,0.55,16.6,5.8211,6.7717
1270,17.556,0.55,16.6,6.0176,6.7717
1280,17.285,0.55,16.6,6.1864,6.7717
1290,16.883,0.55,16.6,6.3294,6.7717
1300,16.446,0.55,16.6,6.4484,6.7717
1310,16.033,0.55,16.6,6.5446,6.7717
1320,15.683,0.55,16.6,6.6189,6.7717
1330,15.41,0.55,16.6,6.6729,6.7717
1340,15.215,0.55,16.6,6.7092,6.7717
1350,15.088,0.55,16.6,6.7315,6.7717
1360,15.013,0.55,16.6,6.7438,6.7717
1370,14.976,0.55,16.6,6.7496,6.7717
1380,14.963,0.55,16.6,6.7517,6.7717
1390,14.965,0.55,16.6,6.7521,6.7717
1400,14.974,0.55,16.6,6.7518,6.7717
1410,14.985,0.55,16.6,6.7517,6.7717
1420,14.997,0.55,16.6,6.752,6.7717
1430,15.006,0.55,16.6,6.7527,6.7717
1440,15.013,0.55,16.6,6.7537,6.7717
1450,15.018,0.55,16.6,6.7551,6.7717
1460,15.022,0.55,16.6,6.7566,6.7717
1470,15.023,0.55,16.6,6.7581,6.7717
1480,15.024,0.55,16.6,6.7597,6.7717
1490,15.024,0.55,16.6,6.7611,6.7717
1500,15.024,0.55,16.6,6.7624,6.7717
1510,15.023,0.55,16.6,6.7635,6.7717
1520,15.023,0.55,16.6,6.7646,6.7717
1530,15.022,0.55,16.6,6.7654,6.7717
1540,15.022,0.55,16.6,6.7662,6.7717
1550,15.021,0.55,16.6,6.7668,6.7717
1560,15.021,0.55,16.6,6.7674,6.7717
1570,15.021,0.55,16.6,6.7679,6.7717
1580,15.021,0.55,16.6,6.7683,6.7717
1590,15.021,0.55,16.6,6.7687,6.7717
1600,15.021,0.55,16.6,6.769,6.7717
1610,15.021,0.55,16.6,6.7693,6.7717
1620,15.021,0.55,16.6,6.7696,6.7717
1630,15.021,0.55,16.6,6.7698,6.7717
1640,15.021,0.55,16.6,6.77,6.7717
1650,15.021,0.55,16.6,6.7702,6.7717
1660,17.524,0.55,16.6,6.7703,7.7965
1670,17.389,0.55,16.6,6.7705,7.7965
1680,18.277,0.55,16.6,6.8834,7.7965
1690,18.021,0.55,16.6,6.9922,7.7965
1700,17.658,0.55,16.6,7.1689,7.7965
1710,17.071,0.55,16.6,7.3596,7.7965
1720,16.654,0.55,16.6,7.5539,7.7965
1730,16.462,0.55,16.6,7.688,7.7965
1740,16.411,0.55,16.6,7.7454,7.7965
1750,16.414,0.55,16.6,7.7584,7.7965
1760,16.427,0.55,16.6,7.759,7.7965
1770,16.436,0.55,16.6,7.7603,7.7965
1780,16.438,0.55,16.6,7.7643,7.7965
1790,16.437,0.55,16.6,7.7698,7.7965
1800,16.435,0.55,16.6,7.7751,7.7965
1810,16.433,0.55,16.6,7.7797,7.7965
1820,16.432,0.55,16.6,7.7832,7.7965
1830,16.431,0.55,16.6,7.786,7.7965
1840,16.43,0.55,16.6,7.7881,7.7965
1850,16.429,0.55,16.6,7.7897,7.7965
1860,16.429,0.55,16.6,7.791,7.7965
1870,16.429,0.55,16.6,7.792,7.7965
1880,16.428,0.55,16.6,7.7928,7.7965
1890,16.428,0.55,16.6,7.7935,7.7965
1900,16.428,0.55,16.6,7.794,7.7965
1910,16.428,0.55,16.6,7.7944,7.7965
1920,16.428,0.55,16.6,7.7947,7.7965
1930,16.428,0.55,16.6,7.795,7.7965
1940,16.428,0.55,16.6,7.7951,7.7965
1950,16.428,0.55,16.6,7.7953,7.7965
1960,16.427,0.55,16.6,7.7954,7.7965
1970,16.427,0.55,16.6,7.7955,7.7965
1980,16.427,0.55,16.6,7.7956,7.7965
1990,16.427,0.55,16.6,7.7956,7.7965
2000,16.427,0.55,16.6,7.7957,7.7965
2010,16.428,0.55,16.6,7.7957,7.7965
2020,16.428,0.55,16.6,7.7958,7.7965
2030,16.428,0.55,16.6,7.7958,7.7965
2040,16.428,0.55,16.6,7.7959,7.7965
2050,16.428,0.55,16.6,7.796,7.7965
2060,16.428,0.55,16.6,7.7961,7.7965
2070,16.428,0.55,16.6,7.7961,7.7965
2080,16.428,0.55,16.6,7.7962,7.7965
2090,16.428,0.55,16.6,7.7963,7.7965
2100,16.428,0.55,16.6,7.7963,7.7965
2110,16.428,0.55,16.6,7.7963,7.7965
2120,16.428,0.55,16.6,7.7963,7.7965
2130,16.428,0.55,16.6,7.7963,7.7965
2140,18.642,0.55,16.6,7.7963,9.1468
2150,18.564,0.55,16.6,7.7963,9.1468
2160,18.072,0.55,16.6,8.4748,9.1468
2170,17.687,0.55,16.6,8.8811,9.1468
2180,17.442,0.55,16.6,9.035,9.1468
2190,17.298,0.55,16.6,9.1032,9.1468
2200,17.22,0.55,16.6,9.1343,9.1468
2210,17.182,0.55,16.6,9.1472,9.1468
2220,17.168,0.55,16.6,9.1513,9.1468
2230,17.167,0.55,16.6,9.1515,9.1468
2240,17.169,0.55,16.6,9.1504,9.1468
2250,17.173,0.55,16.6,9.1493,9.1468
2260,17.175,0.55,16.6,9.1486,9.1468
2270,17.177,0.55,16.6,9.1482,9.1468
2280,17.177,0.55,16.6,9.1481,9.1468
2290,17.177,0.55,16.6,9.1482,9.1468
2300,17.176,0.55,16.6,9.1483,9.1468
2310,17.176,0.55,16.6,9.1484,9.1468
2320,17.175,0.55,16.6,9.1484,9.1468
2330,17.175,0.55,16.6,9.1483,9.1468
2340,17.175,0.55,16.6,9.1483,9.1468
2350,17.175,0.55,16.6,9.1482,9.1468
2360,17.174,0.55,16.6,9.1481,9.1468
2370,17.174,0.55,16.6,9.148,9.1468
2380,17.174,0.55,16.6,9.1478,9.1468
2390,17.174,0.55,16.6,9.1477,9.1468
2400,17.174,0.55,16.6,9.1476,9.1468
2410,17.174,0.55,16.6,9.1475,9.1468
2420,17.174,0.55,16.6,9.1475,9.1468
2430,17.174,0.55,16.6,9.1474,9.1468
2440,17.174,0.55,16.6,9.1473,9.1468
2450,17.174,0.55,16.6,9.1473,9.1468
2460,17.174,0.55,16.6,9.1472,9.1468
2470,17.174,0.55,16.6,9.1472,9.1468
2480,17.174,0.55,16.6,9.1471,9.1468
2490,17.174,0.55,16.6,9.1471,9.1468
2500,17.174,0.55,16.6,9.1471,9.1468
2510,17.174,0.55,16.6,9.147,9.1468
2520,17.174,0.55,16.6,9.147,9.1468
2530,14.305,0.55,16.6,9.147,7.6933
2540,14.249,0.55,16.6,9.147,7.6933
2550,15.175,0.55,16.6,8.7828,7.6933
2560,15.965,0.55,16.6,8.0542,7.6933
2570,16.367,0.55,16.6,7.7086,7.6933
2580,16.486,0.55,16.6,7.6321,7.6933
2590,16.471,0.55,16.6,7.6382,7.6933
2600,16.422,0.55,16.6,7.665,7.6933
2610,16.384,0.55,16.6,7.6869,7.6933
2620,16.366,0.55,16.6,7.6975,7.6933
2630,16.361,0.55,16.6,7.6996,7.6933
2640,16.362,0.55,16.6,7.6979,7.6933
2650,16.364,0.55,16.6,7.6954,7.6933
2660,16.367,0.55,16.6,7.6935,7.6933
2670,16.368,0.55,16.6,7.6922,7.6933
2680,16.369,0.55,16.6,7.6916,7.6933
2690,16.369,0.55,16.6,7.6913,7.6933
2700,16.37,0.55,16.6,7.6911,7.6933
2710,16.37,0.55,16.6,7.6911,7.6933
2720,16.37,0.55,16.6,7.6912,7.6933
2730,16.37,0.55,16.6,7.6912,7.6933
2740,16.37,0.55,16.6,7.6913,7.6933
2750,16.37,0.55,16.6,7.6914,7.6933
2760,16.37,0.55,16.6,7.6915,7.6933
2770,16.37,0.55,16.6,7.6917,7.6933
2780,16.371,0.55,16.6,7.6918,7.6933
2790,16.371,0.55,16.6,7.6919,7.6933
2800,16.371,0.55,16.6,7.692,7.6933
2810,16.371,0.55,16.6,7.6922,7.6933
2820,16.371,0.55,16.6,7.6923,7.6933
2830,16.371,0.55,16.6,7.6924,7.6933
2840,15.048,0.55,16.6,7.6924,6.9108
2850,14.543,0.55,16.6,7.6925,6.9108
2860,14.432,0.55,16.6,7.4841,6.9108
2870,14.489,0.55,16.6,7.3002,6.9108
2880,14.626,0.55,16.6,7.1682,6.9108
2890,14.792,0.55,16.6,7.0754,6.9108
2900,14.954,0.55,16.6,7.011,6.9108
2910,15.092,0.55,16.6,6.9675,6.9108
2920,15.2,0.55,16.6,6.9395,6.9108
2930,15.278,0.55,16.6,6.9225,6.9108
2940,15.328,0.55,16.6,6.9131,6.9108
2950,15.358,0.55,16.6,6.9087,6.9108
2960,15.373,0.55,16.6,6.9073,6.9108
2970,15.379,0.55,16.6,6.9076,6.9108
2980,15.378,0.55,16.6,6.9085,6.9108
2990,15.375,0.55,16.6,6.9097,6.9108
3000,15.371,0.55,16.6,6.9107,6.9108
3010,15.368,0.55,16.6,6.9114,6.9108
3020,15.364,0.55,16.6,6.9119,6.9108
3030,15.362,0.55,16.6,6.9121,6.9108
3040,15.361,0.55,16.6,6.9121,6.9108
3050,15.36,0.55,16.6,6.912,6.9108
3060,15.36,0.55,16.6,6.9119,6.9108
3070,15.36,0.55,16.6,6.9117,6.9108
3080,15.36,0.55,16.6,6.9116,6.9108
3090,15.36,0.55,16.6,6.9114,6.9108
3100,15.36,0.55,16.6,6.9113,6.9108
3110,15.361,0.55,16.6,6.9112,6.9108
3120,15.361,0.55,16.6,6.9111,6.9108
3130,15.361,0.55,16.6,6.9111,6.9108
3140,15.361,0.55,16.6,6.911,6.9108
3150,15.361,0.55,16.6,6.911,6.9108
3160,15.361,0.55,16.6,6.911,6.9108
3170,15.361,0.55,16.6,6.911,6.9108
3180,15.361,0.55,16.6,6.911,6.9108
3190,15.361,0.55,16.6,6.911,6.9108
3200,15.361,0.55,16.6,6.9109,6.9108
3210,15.361,0.55,16.6,6.9109,6.9108
3220,15.361,0.55,16.6,6.9109,6.9108
3230,15.361,0.55,16.6,6.9109,6.9108
3240,15.361,0.55,16.6,6.9109,6.9108
3250,15.361,0.55,16.6,6.9109,6.9108
3260,15.361,0.55,16.6,6.9109,6.9108
3270,15.361,0.55,16.6,6.9109,6.9108
3280,15.361,0.55,16.6,6.9109,6.9108
3290,15.361,0.55,16.6,6.9109,6.9108
3300,15.361,0.55,16.6,6.9109,6.9108
3310,9.3845,0.55,16.6,6.9109,4.3867
3320,5.6403,0.55,16.6,6.9109,4.3867
3330,5.3277,0.55,16.6,6.6579,4.3867
3340,5.232,0.55,16.6,6.3522,4.3867
3350,6.3851,0.55,16.6,6.0781,4.3867
3360,7.9625,0.55,16.6,5.783,4.3867
3370,9.255,0.55,16.6,5.4663,4.3867
3380,10.08,0.55,16.6,5.1501,4.3867
3390,10.518,0.55,16.6,4.9052,4.3867
3400,10.698,0.55,16.6,4.7748,4.3867
3410,10.732,0.55,16.6,4.7195,4.3867
3420,10.703,0.55,16.6,4.6953,4.3867
3430,10.658,0.55,16.6,4.6785,4.3867
3440,10.621,0.55,16.6,4.6595,4.3867
3450,10.598,0.55,16.6,4.6365,4.3867
3460,10.588,0.55,16.6,4.6112,4.3867
3470,10.586,0.55,16.6,4.586,4.3867
3480,10.588,0.55,16.6,4.5624,4.3867
3490,10.592,0.55,16.6,4.5414,4.3867
3500,10.595,0.55,16.6,4.5231,4.3867
3510,10.598,0.55,16.6,4.5073,4.3867
3520,10.6,0.55,16.6,4.4937,4.3867
3530,10.602,0.55,16.6,4.482,4.3867
3540,10.602,0.55,16.6,4.4718,4.3867
3550,10.603,0.55,16.6,4.4628,4.3867
3560,21.674,0.55,16.6,4.4549,9.7778
3570,28.493,0.55,16.6,4.4479,9.7778
3580,28.335,0.55,16.6,5.6114,9.7778
3590,27.037,0.55,16.6,6.2884,9.7778
3600,25.191,0.55,16.6,6.8342,9.7778
3610,23.49,0.55,16.6,8.114,9.7778
3620,22.229,0.55,16.6,9.3953,9.7778
3630,21.237,0.55,16.6,9.6569,9.7778
3640,20.448,0.55,16.6,9.7819,9.7778
3650,19.831,0.55,16.6,9.8486,9.7778
3660,19.362,0.55,16.6,9.8826,9.7778
3670,19.019,0.55,16.6,9.8962,9.7778
3680,18.78,0.55,16.6,9.8966,9.7778
3690,18.625,0.55,16.6,9.8887,9.7778
3700,18.536,0.55,16.6,9.8758,9.7778
3710,18.496,0.55,16.6,9.8604,9.7778
3720,18.491,0.55,16.6,9.8443,9.7778
3730,18.509,0.55,16.6,9.8288,9.7778
3740,18.541,0.55,16.6,9.8148,9.7778
3750,18.58,0.55,16.6,9.8028,9.7778
3760,18.619,0.55,16.6,9.793,9.7778
3770,18.657,0.55,16.6,9.7854,9.7778
3780,18.69,0.55,16.6,9.7798,9.7778
3790,18.718,0.55,16.6,9.776,9.7778
3800,18.741,0.55,16.6,9.7735,9.7778
3810,18.758,0.55,16.6,9.7722,9.7778
3820,18.771,0.55,16.6,9.7717,9.7778
3830,18.779,0.55,16.6,9.7718,9.7778
3840,18.785,0.55,16.6,9.7722,9.7778
3850,18.788,0.55,16.6,9.7728,9.7778
3860,18.79,0.55,16.6,9.7736,9.7778
3870,18.79,0.55,16.6,9.7743,9.7778
3880,18.79,0.55,16.6,9.7749,9.7778
3890,18.789,0.55,16.6,9.7755,9.7778
3900,18.788,0.55,16.6,9.776,9.7778
3910,18.786,0.55,16.6,9.7765,9.7778
3920,18.785,0.55,16.6,9.7768,9.7778
3930,18.784,0.55,16.6,9.7771,9.7778
3940,18.783,0.55,16.6,9.7773,9.7778
3950,18.783,0.55,16.6,9.7774,9.7778
3960,18.782,0.55,16.6,9.7775,9.7778
3970,18.782,0.55,16.6,9.7776,9.7778
3980,18.782,0.55,16.6,9.7776,9.7778
3990,18.781,0.55,16.6,9.7776,9.7778
4000,18.781,0.55,16.6,9.7777,9.7778
4010,18.781,0.55,16.6,9.7777,9.7778
4020,18.781,0.55,16.6,9.7777,9.7778
4030,18.781,0.55,16.6,9.7777,9.7778
4040,18.781,0.55,16.6,9.7777,9.7778
4050,18.781,0.55,16.6,9.7777,9.7778
4060,18.781,0.55,16.6,9.7777,9.7778
4070,18.781,0.55,16.6,9.7777,9.7778
4080,18.781,0.55,16.6,9.7777,9.7778
4090,18.781,0.55,16.6,9.7777,9.7778
4100,18.781,0.55,16.6,9.7777,9.7778
4110,18.781,0.55,16.6,9.7777,9.7778
4120,18.781,0.55,16.6,9.7777,9.7778
4130,18.781,0.55,16.6,9.7777,9.7778
4140,18.781,0.55,16.6,9.7777,9.7778
4150,18.781,0.55,16.6,9.7777,9.7778
4160,18.781,0.55,16.6,9.7777,9.7778
4170,18.781,0.55,16.6,9.7777,9.7778
4180,18.781,0.55,16.6,9.7777,9.7778
4190,18.781,0.55,16.6,9.7777,9.7778
4200,18.781,0.55,16.6,9.7777,9.7778
4210,13.633,0.55,16.6,9.7777,7.8463
4220,14.509,0.55,16.6,9.7777,7.8463
4230,12.025,0.55,16.6,9.6089,7.8463
4240,12.7,0.55,16.6,9.4501,7.8463
4250,14.286,0.55,16.6,9.036,7.8463
4260,15.867,0.55,16.6,8.0623,7.8463
4270,16.8,0.55,16.6,7.5601,7.8463
4280,16.962,0.55,16.6,7.501,7.8463
4290,16.789,0.55,16.6,7.584,7.8463
4300,16.585,0.55,16.6,7.7004,7.8463
4310,16.466,0.55,16.6,7.7872,7.8463
4320,16.425,0.55,16.6,7.8248,7.8463
4330,16.423,0.55,16.6,7.8306,7.8463
4340,16.432,0.55,16.6,7.8258,7.8463
4350,16.441,0.55,16.6,7.8211,7.8463
4360,16.446,0.55,16.6,7.8192,7.8463
4370,16.448,0.55,16.6,7.8196,7.8463
4380,16.449,0.55,16.6,7.8212,7.8463
4390,16.45,0.55,16.6,7.8231,7.8463
4400,16.45,0.55,16.6,7.8251,7.8463
4410,16.45,0.55,16.6,7.8269,7.8463
4420,16.451,0.55,16.6,7.8286,7.8463
4430,16.451,0.55,16.6,7.8303,7.8463
4440,16.451,0.55,16.6,7.8318,7.8463
4450,16.451,0.55,16.6,7.8332,7.8463
4460,16.451,0.55,16.6,7.8345,7.8463
4470,16.452,0.55,16.6,7.8357,7.8463
4480,16.452,0.55,16.6,7.8368,7.8463
4490,16.452,0.55,16.6,7.8378,7.8463
4500,16.452,0.55,16.6,7.8387,7.8463
4510,16.452,0.55,16.6,7.8395,7.8463
4520,16.452,0.55,16.6,7.8403,7.8463
4530,16.452,0.55,16.6,7.841,7.8463
4540,16.452,0.55,16.6,7.8416,7.8463
4550,16.452,0.55,16.6,7.8421,7.8463
4560,16.452,0.55,16.6,7.8426,7.8463
4570,16.452,0.55,16.6,7.8431,7.8463
4580,16.452,0.55,16.6,7.8434,7.8463
4590,16.452,0.55,16.6,7.8438,7.8463
4600,16.452,0.55,16.6,7.8441,7.8463
4610,16.452,0.55,16.6,7.8444,7.8463
4620,16.452,0.55,16.6,7.8446,7.8463
4630,16.452,0.55,16.6,7.8449,7.8463
4640,16.452,0.55,16.6,7.8451,7.8463
4650,16.452,0.55,16.6,7.8452,7.8463
4660,16.452,0.55,16.6,7.8454,7.8463
4670,16.452,0.55,16.6,7.8455,7.8463
4680,18.747,0.55,16.6,7.8457,9.2622
4690,18.742,0.55,16.6,7.8458,9.2622
