t,u1,u2,u3,y,ysp
10,16.49,0.55,16.6,7,8.0423
20,17.311,0.55,16.6,7.0015,8.0423
30,17.715,0.55,16.6,7.0571,8.0423
40,17.754,0.55,16.6,7.1693,8.0423
50,17.552,0.55,16.6,7.329,8.0423
60,17.205,0.55,16.6,7.529,8.0423
70,16.823,0.55,16.6,7.755,8.0423
80,16.552,0.55,16.6,7.9538,8.0423
90,16.46,0.55,16.6,8.0517,8.0423
100,16.477,0.55,16.6,8.0566,8.0423
110,16.518,0.55,16.6,8.0321,8.0423
120,16.543,0.55,16.6,8.0161,8.0423
130,16.55,0.55,16.6,8.0144,8.0423
140,16.546,0.55,16.6,8.0207,8.0423
150,16.541,0.55,16.6,8.0283,8.0423
160,16.537,0.55,16.6,8.0341,8.0423
170,16.535,0.55,16.6,8.0375,8.0423
180,16.534,0.55,16.6,8.0394,8.0423
190,16.534,0.55,16.6,8.0404,8.0423
200,16.534,0.55,16.6,8.0411,8.0423
210,16.534,0.55,16.6,8.0417,8.0423
220,16.534,0.55,16.6,8.0422,8.0423
230,16.534,0.55,16.6,8.0426,8.0423
240,16.533,0.55,16.6,8.0429,8.0423
250,16.533,0.55,16.6,8.043,8.0423
260,16.533,0.55,16.6,8.0431,8.0423
270,16.533,0.55,16.6,8.0432,8.0423
280,16.533,0.55,16.6,8.0432,8.0423
290,16.533,0.55,16.6,8.0431,8.0423
300,16.533,0.55,16.6,8.0431,8.0423
310,16.533,0.55,16.6,8.043,8.0423
320,16.533,0.55,16.6,8.043,8.0423
330,16.533,0.55,16.6,8.0429,8.0423
340,16.533,0.55,16.6,8.0428,8.0423
350,16.533,0.55,16.6,8.0428,8.0423
360,16.533,0.55,16.6,8.0427,8.0423
370,16.533,0.55,16.6,8.0427,8.0423
380,16.533,0.55,16.6,8.0426,8.0423
390,16.533,0.55,16.6,8.0425,8.0423
400,16.533,0.55,16.6,8.0425,8.0423
410,16.533,0.55,16.6,8.0425,8.0423
420,16.533,0.55,16.6,8.0424,8.0423
430,11.5,0.55,16.6,8.0424,3.6464
440,6.4383,0.55,16.6,8.0424,3.6464
450,4.6411,0.55,16.6,7.247,3.6464
460,3.8726,0.55,16.6,6.7289,3.6464
470,3.6476,0.55,16.6,6.3739,3.6464
480,3.8258,0.55,16.6,6.0495,3.6464
490,4.3089,0.55,16.6,5.6719,3.6464
500,4.933,0.55,16.6,5.0296,3.6464
510,5.5464,0.55,16.6,4.2411,3.6464
520,6.0818,0.55,16.6,3.943,3.6464
530,6.5455,0.55,16.6,3.7929,3.6464
540,6.9517,0.55,16.6,3.7014,3.6464
550,7.3098,0.55,16.6,3.641,3.6464
560,7.6256,0.55,16.6,3.5999,3.6464
570,7.9032,0.55,16.6,3.5718,3.6464
580,8.1456,0.55,16.6,3.5531,3.6464
590,8.3553,0.55,16.6,3.5415,3.6464
600,8.5347,0.55,16.6,3.5352,3.6464
610,8.6861,0.55,16.6,3.5332,3.6464
620,8.8119,0.55,16.6,3.5343,3.6464
630,8.9143,0.55,16.6,3.538,3.6464
640,8.9956,0.55,16.6,3.5436,3.6464
650,9.0581,0.55,16.6,3.5505,3.6464
660,9.1042,0.55,16.6,3.5583,3.6464
670,9.1361,0.55,16.6,3.5668,3.6464
680,9.1561,0.55,16.6,3.5754,3.6464
690,9.1661,0.55,16.6,3.5841,3.6464
700,9.1682,0.55,16.6,3.5925,3.6464
710,9.1641,0.55,16.6,3.6004,3.6464
720,9.1555,0.55,16.6,3.6078,3.6464
730,9.1436,0.55,16.6,3.6146,3.6464
740,9.1297,0.55,16.6,3.6207,3.6464
750,9.1148,0.55,16.6,3.626,3.6464
760,9.0996,0.55,16.6,3.6306,3.6464
770,9.0847,0.55,16.6,3.6346,3.6464
780,9.0706,0.55,16.6,3.6379,3.6464
790,9.0576,0.55,16.6,3.6406,3.6464
800,9.0458,0.55,16.6,3.6427,3.6464
810,9.0353,0.55,16.6,3.6444,3.6464
820,9.0262,0.55,16.6,3.6457,3.6464
830,9.0185,0.55,16.6,3.6467,3.6464
840,10.715,0.55,16.6,3.6473,5.4189
850,12.3,0.55,16.6,3.6478,5.4189
860,13.277,0.55,16.6,3.6866,5.4189
870,13.723,0.55,16.6,3.7676,5.4189
880,13.742,0.55,16.6,3.8904,5.4189
890,13.45,0.55,16.6,4.0617,5.4189
