t,u1,u2,u3,y,ysp
10,16.489,0.55,16.6,7,8.0423
20,17.328,0.55,16.6,7.0015,8.0423
30,17.763,0.55,16.6,7.0571,8.0423
40,17.821,0.55,16.6,7.1705,8.0423
50,17.624,0.55,16.6,7.3351,8.0423
60,17.268,0.55,16.6,7.5467,8.0423
70,16.855,0.55,16.6,7.7948,8.0423
80,16.544,0.55,16.6,8.0199,8.0423
90,16.431,0.55,16.6,8.1262,8.0423
100,16.448,0.55,16.6,8.1198,8.0423
110,16.497,0.55,16.6,8.0772,8.0423
120,16.53,0.55,16.6,8.046,8.0423
130,16.543,0.55,16.6,8.0342,8.0423
140,16.542,0.55,16.6,8.0343,8.0423
150,16.537,0.55,16.6,8.0382,8.0423
160,16.534,0.55,16.6,8.0415,8.0423
170,16.532,0.55,16.6,8.043,8.0423
180,16.532,0.55,16.6,8.0431,8.0423
190,16.532,0.55,16.6,8.0427,8.0423
200,16.533,0.55,16.6,8.0424,8.0423
210,16.533,0.55,16.6,8.0422,8.0423
220,16.533,0.55,16.6,8.0422,8.0423
230,16.533,0.55,16.6,8.0422,8.0423
240,16.533,0.55,16.6,8.0423,8.0423
250,16.533,0.55,16.6,8.0423,8.0423
260,16.533,0.55,16.6,8.0423,8.0423
270,16.533,0.55,16.6,8.0423,8.0423
280,16.533,0.55,16.6,8.0423,8.0423
290,16.533,0.55,16.6,8.0423,8.0423
300,16.533,0.55,16.6,8.0423,8.0423
310,16.533,0.55,16.6,8.0423,8.0423
320,16.533,0.55,16.6,8.0423,8.0423
330,16.533,0.55,16.6,8.0423,8.0423
340,16.533,0.55,16.6,8.0423,8.0423
350,16.533,0.55,16.6,8.0423,8.0423
360,16.533,0.55,16.6,8.0423,8.0423
370,16.533,0.55,16.6,8.0423,8.0423
380,16.533,0.55,16.6,8.0423,8.0423
390,16.533,0.55,16.6,8.0423,8.0423
400,16.533,0.55,16.6,8.0423,8.0423
410,16.533,0.55,16.6,8.0423,8.0423
420,16.533,0.55,16.6,8.0423,8.0423
430,11.5,0.55,16.6,8.0423,3.6464
440,6.3357,0.55,16.6,8.0423,3.6464
450,4.3332,0.55,16.6,7.247,3.6464
460,3.3126,0.55,16.6,6.725,3.6464
470,2.8584,0.55,16.6,6.3613,3.6464
480,2.8448,0.55,16.6,6.0177,3.6464
490,3.1847,0.55,16.6,5.5846,3.6464
500,3.8119,0.55,16.6,4.7004,3.6464
510,4.4865,0.55,16.6,4.0432,3.6464
520,5.0995,0.55,16.6,3.8022,3.6464
530,5.6485,0.55,16.6,3.6711,3.6464
540,6.143,0.55,16.6,3.5884,3.6464
550,6.59,0.55,16.6,3.533,3.6464
560,6.9937,0.55,16.6,3.4952,3.6464
570,7.3571,0.55,16.6,3.4696,3.6464
580,7.6824,0.55,16.6,3.4532,3.6464
590,7.9715,0.55,16.6,3.4438,3.6464
600,8.2262,0.55,16.6,3.4398,3.6464
610,8.4484,0.55,16.6,3.4403,3.6464
620,8.6398,0.55,16.6,3.4444,3.6464
630,8.8024,0.55,16.6,3.4513,3.6464
640,8.9381,0.55,16.6,3.4604,3.6464
650,9.0489,0.55,16.6,3.4714,3.6464
660,9.137,0.55,16.6,3.4838,3.6464
670,9.2045,0.55,16.6,3.4971,3.6464
680,9.2537,0.55,16.6,3.5109,3.6464
690,9.2866,0.55,16.6,3.5251,3.6464
700,9.3055,0.55,16.6,3.5392,3.6464
710,9.3126,0.55,16.6,3.553,3.6464
720,9.3099,0.55,16.6,3.5664,3.6464
730,9.2993,0.55,16.6,3.5789,3.6464
740,9.2827,0.55,16.6,3.5907,3.6464
750,9.2617,0.55,16.6,3.6014,3.6464
760,9.2379,0.55,16.6,3.611,3.6464
770,9.2124,0.55,16.6,3.6195,3.6464
780,9.1863,0.55,16.6,3.6269,3.6464
790,9.1606,0.55,16.6,3.6332,3.6464
800,9.1359,0.55,16.6,3.6384,3.6464
810,9.1127,0.55,16.6,3.6427,3.6464
820,9.0914,0.55,16.6,3.6461,3.6464
830,9.0722,0.55,16.6,3.6487,3.6464
840,10.759,0.55,16.6,3.6506,5.4189
850,12.485,0.55,16.6,3.6519,5.4189
860,13.681,0.55,16.6,3.6918,5.4189
870,14.315,0.55,16.6,3.7785,5.4189
880,14.466,0.55,16.6,3.9188,5.4189
