t,u1,u2,u3,y,ysp
10,16.49,0.55,16.6,7,8.0423
20,17.13,0.55,16.6,7.0015,8.0423
30,17.517,0.55,16.6,7.0571,8.0423
40,17.661,0.55,16.6,7.1559,8.0423
50,17.571,0.55,16.6,7.2945,8.0423
60,17.303,0.55,16.6,7.4731,8.0423
70,16.983,0.55,16.6,7.6854,8.0423
80,16.732,0.55,16.6,7.8965,8.0423
90,16.585,0.55,16.6,8.0443,8.0423
100,16.522,0.55,16.6,8.1084,8.0423
110,16.509,0.55,16.6,8.1178,8.0423
120,16.514,0.55,16.6,8.1054,8.0423
130,16.521,0.55,16.6,8.0899,8.0423
140,16.527,0.55,16.6,8.078,8.0423
150,16.529,0.55,16.6,8.0701,8.0423
160,16.53,0.55,16.6,8.0649,8.0423
170,16.53,0.55,16.6,8.061,8.0423
180,16.53,0.55,16.6,8.0579,8.0423
190,16.53,0.55,16.6,8.0552,8.0423
200,16.531,0.55,16.6,8.0528,8.0423
210,16.531,0.55,16.6,8.0508,8.0423
220,16.531,0.55,16.6,8.0491,8.0423
230,16.532,0.55,16.6,8.0478,8.0423
240,16.532,0.55,16.6,8.0467,8.0423
250,16.532,0.55,16.6,8.0458,8.0423
260,16.532,0.55,16.6,8.0451,8.0423
270,16.532,0.55,16.6,8.0446,8.0423
280,16.533,0.55,16.6,8.0441,8.0423
290,16.533,0.55,16.6,8.0438,8.0423
300,16.533,0.55,16.6,8.0435,8.0423
310,16.533,0.55,16.6,8.0433,8.0423
320,16.533,0.55,16.6,8.0431,8.0423
330,16.533,0.55,16.6,8.043,8.0423
340,16.533,0.55,16.6,8.0428,8.0423
350,16.533,0.55,16.6,8.0427,8.0423
360,16.533,0.55,16.6,8.0427,8.0423
370,16.533,0.55,16.6,8.0426,8.0423
380,16.533,0.55,16.6,8.0426,8.0423
390,16.533,0.55,16.6,8.0425,8.0423
400,16.533,0.55,16.6,8.0425,8.0423
410,16.533,0.55,16.6,8.0425,8.0423
420,16.533,0.55,16.6,8.0424,8.0423
430,11.5,0.55,16.6,8.0424,3.6464
440,11.19,0.55,16.6,8.0424,3.6464
450,10.022,0.55,16.6,7.247,3.6464
460,8.6404,0.55,16.6,6.9389,3.6464
470,7.3552,0.55,16.6,6.7007,3.6464
480,6.2786,0.55,16.6,6.4811,3.6464
490,5.5052,0.55,16.6,6.2612,3.6464
500,5.2396,0.55,16.6,6.0217,3.6464
510,5.844,0.55,16.6,5.728,3.6464
520,7.065,0.55,16.6,5.2907,3.6464
530,8.1538,0.55,16.6,4.6082,3.6464
540,8.7548,0.55,16.6,4.2374,3.6464
550,9.0335,0.55,16.6,4.0915,3.6464
560,9.1625,0.55,16.6,4.0164,3.6464
570,9.2197,0.55,16.6,3.969,3.6464
580,9.2408,0.55,16.6,3.9349,3.6464
590,9.2432,0.55,16.6,3.9082,3.6464
600,9.2359,0.55,16.6,3.8859,3.6464
610,9.2236,0.55,16.6,3.8667,3.6464
620,9.2091,0.55,16.6,3.8497,3.6464
630,9.1937,0.55,16.6,3.8343,3.6464
640,9.1783,0.55,16.6,3.8204,3.6464
650,9.1634,0.55,16.6,3.8076,3.6464
660,9.1491,0.55,16.6,3.7958,3.6464
670,9.1357,0.55,16.6,3.785,3.6464
680,9.1232,0.55,16.6,3.7749,3.6464
690,9.1115,0.55,16.6,3.7656,3.6464
700,9.1008,0.55,16.6,3.7569,3.6464
710,9.0909,0.55,16.6,3.7489,3.6464
720,9.0818,0.55,16.6,3.7414,3.6464
730,9.0734,0.55,16.6,3.7345,3.6464
740,9.0658,0.55,16.6,3.728,3.6464
750,9.0589,0.55,16.6,3.722,3.6464
760,9.0526,0.55,16.6,3.7164,3.6464
770,9.0469,0.55,16.6,3.7113,3.6464
780,9.0417,0.55,16.6,3.7064,3.6464
790,9.0371,0.55,16.6,3.702,3.6464
800,9.0328,0.55,16.6,3.6978,3.6464
810,9.029,0.55,16.6,3.6939,3.6464
820,9.0255,0.55,16.6,3.6903,3.6464
830,9.0223,0.55,16.6,3.687,3.6464
840,10.722,0.55,16.6,3.6839,5.4189
850,12.019,0.55,16.6,3.6811,5.4189
860,12.957,0.55,16.6,3.7196,5.4189
870,13.52,0.55,16.6,3.7949,5.4189
880,13.695,0.55,16.6,3.9103,5.4189
890,13.54,0.55,16.6,4.0765,5.4189
900,13.196,0.55,16.6,4.3151,5.4189
910,12.767,0.55,16.6,4.6473,5.4189
920,12.332,0.55,16.6,4.9817,5.4189
930,12.009,0.55,16.6,5.189,5.4189
940,11.803,0.55,16.6,5.2992,5.4189
950,11.678,0.55,16.6,5.3587,5.4189
960,11.602,0.55,16.6,5.392,5.4189
970,11.555,0.55,16.6,5.4111,5.4189
980,11.526,0.55,16.6,5.422,5.4189
990,11.508,0.55,16.6,5.4281,5.4189
1000,11.496,0.55,16.6,5.4315,5.4189
