t,u1,u2,u3,y,ysp
10,16.49,0.55,16.6,7,8.0423
20,16.378,0.55,16.6,7.0015,8.0423
30,17.106,0.55,16.6,7.0571,8.0423
40,16.866,0.55,16.6,7.1034,8.0423
50,17.365,0.55,16.6,7.2023,8.0423
60,17.166,0.55,16.6,7.2844,8.0423
70,17.346,0.55,16.6,7.4246,8.0423
80,17.202,0.55,16.6,7.5578,8.0423
90,17.066,0.55,16.6,7.748,8.0423
100,16.854,0.55,16.6,7.9445,8.0423
110,16.617,0.55,16.6,8.1215,8.0423
120,16.437,0.55,16.6,8.2208,8.0423
130,16.359,0.55,16.6,8.2282,8.0423
140,16.374,0.55,16.6,8.1733,8.0423
150,16.437,0.55,16.6,8.0998,8.0423
160,16.506,0.55,16.6,8.0419,8.0423
170,16.554,0.55,16.6,8.0123,8.0423
180,16.575,0.55,16.6,8.0076,8.0423
190,16.574,0.55,16.6,8.0181,8.0423
200,16.56,0.55,16.6,8.034,8.0423
210,16.542,0.55,16.6,8.0479,8.0423
220,16.529,0.55,16.6,8.0558,8.0423
230,16.521,0.55,16.6,8.0572,8.0423
240,16.521,0.55,16.6,8.0541,8.0423
250,16.524,0.55,16.6,8.0491,8.0423
260,16.529,0.55,16.6,8.0445,8.0423
270,16.533,0.55,16.6,8.0415,8.0423
280,16.535,0.55,16.6,8.0404,8.0423
290,16.536,0.55,16.6,8.0407,8.0423
300,16.535,0.55,16.6,8.0416,8.0423
310,16.534,0.55,16.6,8.0426,8.0423
320,16.533,0.55,16.6,8.0433,8.0423
330,16.532,0.55,16.6,8.0435,8.0423
340,16.532,0.55,16.6,8.0434,8.0423
350,16.532,0.55,16.6,8.0431,8.0423
360,16.532,0.55,16.6,8.0427,8.0423
370,16.533,0.55,16.6,8.0424,8.0423
380,16.533,0.55,16.6,8.0423,8.0423
390,16.533,0.55,16.6,8.0422,8.0423
400,16.533,0.55,16.6,8.0423,8.0423
410,16.533,0.55,16.6,8.0423,8.0423
420,16.533,0.55,16.6,8.0424,8.0423
430,11.5,0.55,16.6,8.0424,3.6464
440,8.7413,0.55,16.6,8.0424,3.6464
450,7.5454,0.55,16.6,7.247,3.6464
460,6.6432,0.55,16.6,6.8237,3.6464
470,6.5315,0.55,16.6,6.5342,3.6464
480,6.5192,0.55,16.6,6.2841,3.6464
490,6.6,0.55,16.6,6.053,3.6464
500,6.7127,0.55,16.6,5.8106,3.6464
510,6.8377,0.55,16.6,5.5185,3.6464
520,7.0705,0.55,16.6,5.0868,3.6464
530,7.4583,0.55,16.6,4.5143,3.6464
540,7.8365,0.55,16.6,4.1892,3.6464
550,8.1325,0.55,16.6,4.0239,3.6464
560,8.3451,0.55,16.6,3.926,3.6464
570,8.4962,0.55,16.6,3.8619,3.6464
580,8.6064,0.55,16.6,3.817,3.6464
590,8.6898,0.55,16.6,3.784,3.6464
600,8.7549,0.55,16.6,3.759,3.6464
610,8.807,0.55,16.6,3.7395,3.6464
620,8.8491,0.55,16.6,3.7241,3.6464
630,8.8836,0.55,16.6,3.7119,3.6464
640,8.9119,0.55,16.6,3.702,3.6464
650,8.935,0.55,16.6,3.6941,3.6464
660,8.954,0.55,16.6,3.6876,3.6464
670,8.9694,0.55,16.6,3.6823,3.6464
680,8.9818,0.55,16.6,3.6781,3.6464
690,8.9917,0.55,16.6,3.6745,3.6464
700,8.9995,0.55,16.6,3.6716,3.6464
710,9.0055,0.55,16.6,3.6693,3.6464
720,9.0101,0.55,16.6,3.6673,3.6464
730,9.0134,0.55,16.6,3.6656,3.6464
740,9.0158,0.55,16.6,3.6642,3.6464
750,9.0173,0.55,16.6,3.663,3.6464
760,9.0181,0.55,16.6,3.662,3.6464
770,9.0184,0.55,16.6,3.6611,3.6464
780,9.0183,0.55,16.6,3.6602,3.6464
790,9.0178,0.55,16.6,3.6595,3.6464
800,9.0171,0.55,16.6,3.6589,3.6464
810,9.0162,0.55,16.6,3.6582,3.6464
820,9.0151,0.55,16.6,3.6577,3.6464
830,9.0139,0.55,16.6,3.6571,3.6464
840,10.713,0.55,16.6,3.6566,5.4189
850,10.969,0.55,16.6,3.6561,5.4189
860,12.169,0.55,16.6,3.6948,5.4189
870,12.293,0.55,16.6,3.7397,5.4189
880,12.936,0.55,16.6,3.8211,5.4189
890,13.098,0.55,16.6,3.9143,5.4189
900,13.314,0.55,16.6,4.0506,5.4189
910,13.349,0.55,16.6,4.2316,5.4189
920,13.218,0.55,16.6,4.4997,5.4189
930,12.896,0.55,16.6,4.8555,5.4189
940,12.517,0.55,16.6,5.1488,5.4189
950,12.197,0.55,16.6,5.3205,5.4189
960,11.956,0.55,16.6,5.4167,5.4189
970,11.78,0.55,16.6,5.4704,5.4189
980,11.654,0.55,16.6,5.4992,5.4189
990,11.565,0.55,16.6,5.5126,5.4189
1000,11.504,0.55,16.6,5.5161,5.4189
1010,11.464,0.55,16.6,5.5135,5.4189
1020,11.439,0.55,16.6,5.507,5.4189
1030,11.424,0.55,16.6,5.4985,5.4189
1040,11.418,0.55,16.6,5.4889,5.4189
1050,11.417,0.55,16.6,5.4792,5.4189
1060,11.419,0.55,16.6,5.4698,5.4189
1070,11.423,0.55,16.6,5.4612,5.4189
1080,11.429,0.55,16.6,5.4535,5.4189
1090,11.435,0.55,16.6,5.4468,5.4189
1100,11.441,0.55,16.6,5.4411,5.4189
1110,11.446,0.55,16.6,5.4364,5.4189
1120,11.451,0.55,16.6,5.4326,5.4189
1130,11.455,0.55,16.6,5.4295,5.4189
1140,11.459,0.55,16.6,5.4271,5.4189
1150,11.462,0.55,16.6,5.4252,5.4189
1160,11.464,0.55,16.6,5.4238,5.4189
1170,11.466,0.55,16.6,5.4227,5.4189
1180,11.467,0.55,16.6,5.4219,5.4189
1190,11.467,0.55,16.6,5.4213,5.4189
1200,11.467,0.55,16.6,5.4209,5.4189
1210,11.467,0.55,16.6,5.4205,5.4189
1220,11.467,0.55,16.6,5.4202,5.4189
1230,12.85,0.55,16.6,5.4199,6.7717
1240,13.842,0.55,16.6,5.4196,6.7717
1250,14.531,0.55,16.6,5.5174,6.7717
1260,14.984,0.55,16.6,5.6509,6.7717
1270,15.28,0.55,16.6,5.7852,6.7717
