t,u1,u2,u3,y,ysp
10,16.49,0.55,16.6,7,8.0423
20,17.143,0.55,16.6,7.0015,8.0423
30,17.31,0.55,16.6,7.0571,8.0423
40,17.256,0.55,16.6,7.1568,8.0423
50,17.168,0.55,16.6,7.2766,8.0423
60,17.065,0.55,16.6,7.4032,8.0423
70,16.949,0.55,16.6,7.534,8.0423
80,16.829,0.55,16.6,7.6645,8.0423
90,16.72,0.55,16.6,7.7855,8.0423
100,16.637,0.55,16.6,7.8843,8.0423
110,16.583,0.55,16.6,7.953,8.0423
120,16.554,0.55,16.6,7.9935,8.0423
130,16.542,0.55,16.6,8.0143,8.0423
140,16.537,0.55,16.6,8.0241,8.0423
150,16.536,0.55,16.6,8.0289,8.0423
160,16.536,0.55,16.6,8.0318,8.0423
170,16.536,0.55,16.6,8.0342,8.0423
180,16.536,0.55,16.6,8.0362,8.0423
190,16.535,0.55,16.6,8.038,8.0423
200,16.535,0.55,16.6,8.0395,8.0423
210,16.534,0.55,16.6,8.0406,8.0423
220,16.534,0.55,16.6,8.0414,8.0423
230,16.534,0.55,16.6,8.042,8.0423
240,16.534,0.55,16.6,8.0424,8.0423
250,16.533,0.55,16.6,8.0427,8.0423
260,16.533,0.55,16.6,8.0429,8.0423
270,16.533,0.55,16.6,8.043,8.0423
280,16.533,0.55,16.6,8.0431,8.0423
290,16.533,0.55,16.6,8.0431,8.0423
300,16.533,0.55,16.6,8.0431,8.0423
310,16.533,0.55,16.6,8.043,8.0423
320,16.533,0.55,16.6,8.043,8.0423
330,16.533,0.55,16.6,8.0429,8.0423
340,16.533,0.55,16.6,8.0429,8.0423
350,16.533,0.55,16.6,8.0428,8.0423
360,16.533,0.55,16.6,8.0428,8.0423
370,16.533,0.55,16.6,8.0427,8.0423
380,16.533,0.55,16.6,8.0426,8.0423
390,16.533,0.55,16.6,8.0426,8.0423
400,16.533,0.55,16.6,8.0425,8.0423
410,16.533,0.55,16.6,8.0425,8.0423
420,16.533,0.55,16.6,8.0425,8.0423
430,11.5,0.55,16.6,8.0424,3.6464
440,7.9404,0.55,16.6,8.0424,3.6464
450,6.0194,0.55,16.6,7.247,3.6464
460,5.4658,0.55,16.6,6.7895,3.6464
470,5.3213,0.55,16.6,6.4605,3.6464
480,5.3347,0.55,16.6,6.1828,3.6464
490,5.397,0.55,16.6,5.905,3.6464
500,5.4619,0.55,16.6,5.5684,3.6464
510,5.5753,0.55,16.6,5.014,3.6464
520,5.7572,0.55,16.6,4.3235,3.6464
530,5.993,0.55,16.6,4.011,3.6464
540,6.2623,0.55,16.6,3.8434,3.6464
550,6.5478,0.55,16.6,3.7363,3.6464
560,6.8361,0.55,16.6,3.6624,3.6464
570,7.1177,0.55,16.6,3.6096,3.6464
580,7.386,0.55,16.6,3.5713,3.6464
590,7.6368,0.55,16.6,3.5438,3.6464
600,7.8673,0.55,16.6,3.5245,3.6464
610,8.076,0.55,16.6,3.5116,3.6464
620,8.2624,0.55,16.6,3.5038,3.6464
630,8.4267,0.55,16.6,3.5001,3.6464
640,8.5695,0.55,16.6,3.4996,3.6464
650,8.6918,0.55,16.6,3.5019,3.6464
