t,u1,u2,u3,y,ysp
10,16.49,0.55,16.6,7,8.0423
20,16.685,0.55,16.6,7.0015,8.0423
30,17.255,0.55,16.6,7.0571,8.0423
40,17.1,0.55,16.6,7.1242,8.0423
50,17.362,0.55,16.6,7.2365,8.0423
60,17.152,0.55,16.6,7.3427,8.0423
70,17.125,0.55,16.6,7.4915,8.0423
80,16.915,0.55,16.6,7.6318,8.0423
90,16.752,0.55,16.6,7.7884,8.0423
100,16.624,0.55,16.6,7.9104,8.0423
110,16.556,0.55,16.6,7.9877,8.0423
120,16.53,0.55,16.6,8.0217,8.0423
130,16.527,0.55,16.6,8.0311,8.0423
140,16.53,0.55,16.6,8.0316,8.0423
150,16.534,0.55,16.6,8.0309,8.0423
160,16.537,0.55,16.6,8.0314,8.0423
170,16.537,0.55,16.6,8.0332,8.0423
180,16.537,0.55,16.6,8.0354,8.0423
190,16.536,0.55,16.6,8.0375,8.0423
200,16.535,0.55,16.6,8.0392,8.0423
210,16.535,0.55,16.6,8.0405,8.0423
220,16.534,0.55,16.6,8.0414,8.0423
230,16.534,0.55,16.6,8.042,8.0423
240,16.534,0.55,16.6,8.0425,8.0423
250,16.533,0.55,16.6,8.0427,8.0423
260,16.533,0.55,16.6,8.0429,8.0423
270,16.533,0.55,16.6,8.043,8.0423
280,16.533,0.55,16.6,8.0431,8.0423
290,16.533,0.55,16.6,8.0431,8.0423
300,16.533,0.55,16.6,8.0431,8.0423
310,16.533,0.55,16.6,8.043,8.0423
320,16.533,0.55,16.6,8.043,8.0423
330,16.533,0.55,16.6,8.0429,8.0423
340,16.533,0.55,16.6,8.0429,8.0423
350,16.533,0.55,16.6,8.0428,8.0423
360,16.533,0.55,16.6,8.0428,8.0423
370,16.533,0.55,16.6,8.0427,8.0423
380,16.533,0.55,16.6,8.0426,8.0423
390,16.533,0.55,16.6,8.0426,8.0423
400,16.533,0.55,16.6,8.0425,8.0423
410,16.533,0.55,16.6,8.0425,8.0423
420,16.533,0.55,16.6,8.0425,8.0423
430,11.5,0.55,16.6,8.0424,3.6464
440,8.2271,0.55,16.6,8.0424,3.6464
450,6.979,0.55,16.6,7.247,3.6464
460,5.897,0.55,16.6,6.8016,3.6464
470,5.6898,0.55,16.6,6.5001,3.6464
480,5.7348,0.55,16.6,6.2314,3.6464
490,5.907,0.55,16.6,5.9702,3.6464
