t,u1,u2,u3,y,ysp
10,16.49,0.55,16.6,7,8.0423
20,16.766,0.55,16.6,7.0015,8.0423
30,17.308,0.55,16.6,7.0571,8.0423
40,17.304,0.55,16.6,7.1299,8.0423
50,17.446,0.55,16.6,7.2471,8.0423
60,17.285,0.55,16.6,7.3755,8.0423
70,17.078,0.55,16.6,7.5422,8.0423
80,16.831,0.55,16.6,7.7163,8.0423
90,16.653,0.55,16.6,7.8741,8.0423
100,16.561,0.55,16.6,7.9749,8.0423
110,16.528,0.55,16.6,8.0187,8.0423
120,16.524,0.55,16.6,8.0301,8.0423
130,16.529,0.55,16.6,8.03,8.0423
140,16.534,0.55,16.6,8.0287,8.0423
150,16.537,0.55,16.6,8.0291,8.0423
160,16.538,0.55,16.6,8.031,8.0423
170,16.537,0.55,16.6,8.0337,8.0423
180,16.536,0.55,16.6,8.0362,8.0423
190,16.536,0.55,16.6,8.0383,8.0423
200,16.535,0.55,16.6,8.0399,8.0423
210,16.534,0.55,16.6,8.041,8.0423
220,16.534,0.55,16.6,8.0417,8.0423
230,16.534,0.55,16.6,8.0422,8.0423
240,16.534,0.55,16.6,8.0426,8.0423
250,16.533,0.55,16.6,8.0428,8.0423
260,16.533,0.55,16.6,8.043,8.0423
270,16.533,0.55,16.6,8.043,8.0423
280,16.533,0.55,16.6,8.0431,8.0423
290,16.533,0.55,16.6,8.0431,8.0423
300,16.533,0.55,16.6,8.0431,8.0423
310,16.533,0.55,16.6,8.043,8.0423
320,16.533,0.55,16.6,8.043,8.0423
330,16.533,0.55,16.6,8.0429,8.0423
340,16.533,0.55,16.6,8.0429,8.0423
350,16.533,0.55,16.6,8.0428,8.0423
360,16.533,0.55,16.6,8.0427,8.0423
370,16.533,0.55,16.6,8.0427,8.0423
380,16.533,0.55,16.6,8.0426,8.0423
390,16.533,0.55,16.6,8.0426,8.0423
400,16.533,0.55,16.6,8.0425,8.0423
410,16.533,0.55,16.6,8.0425,8.0423
420,16.533,0.55,16.6,8.0424,8.0423
430,11.5,0.55,16.6,8.0424,3.6464
440,9.3105,0.55,16.6,8.0424,3.6464
450,7.3778,0.55,16.6,7.247,3.6464
460,6.6163,0.55,16.6,6.8489,3.6464
470,6.2023,0.55,16.6,6.5457,3.6464
480,5.956,0.55,16.6,6.2928,3.6464
490,5.8147,0.55,16.6,6.0503,3.6464
500,5.9328,0.55,16.6,5.7827,3.6464
510,6.2712,0.55,16.6,5.425,3.6464
520,6.6708,0.55,16.6,4.8222,3.6464
530,7.0398,0.55,16.6,4.2848,3.6464
540,7.3576,0.55,16.6,4.0431,3.6464
550,7.6279,0.55,16.6,3.9092,3.6464
560,7.8588,0.55,16.6,3.8237,3.6464
570,8.0572,0.55,16.6,3.765,3.6464
580,8.2283,0.55,16.6,3.7232,3.6464
590,8.3759,0.55,16.6,3.6929,3.6464
600,8.5029,0.55,16.6,3.6707,3.6464
