t,u1,u2,u3,y,ysp
10,11.949,0.55,16.6,7,4
20,9.3733,0.55,16.6,7.0015,4
30,7.3607,0.55,16.6,6.8223,4
40,5.8945,0.55,16.6,6.596,4
50,4.9034,0.55,16.6,6.3575,4
60,4.7585,0.55,16.6,6.1021,4
70,7.135,0.55,16.6,5.7967,4
80,8.0867,0.55,16.6,5.3651,4
90,8.8492,0.55,16.6,4.893,4
100,9.5215,0.55,16.6,4.5034,4
110,9.8511,0.55,16.6,4.3173,4
120,9.9766,0.55,16.6,4.2365,4
130,10.023,0.55,16.6,4.1949,4
140,10.042,0.55,16.6,4.168,4
150,10.05,0.55,16.6,4.1477,4
160,10.055,0.55,16.6,4.1311,4
170,10.057,0.55,16.6,4.1171,4
180,10.059,0.55,16.6,4.105,4
190,10.059,0.55,16.6,4.0945,4
200,10.059,0.55,16.6,4.0852,4
210,10.059,0.55,16.6,4.0769,4
220,10.059,0.55,16.6,4.0696,4
230,10.059,0.55,16.6,4.063,4
240,10.058,0.55,16.6,4.0572,4
250,10.057,0.55,16.6,4.0519,4
260,10.057,0.55,16.6,4.0471,4
270,10.056,0.55,16.6,4.0428,4
280,10.056,0.55,16.6,4.0389,4
290,10.055,0.55,16.6,4.0354,4
300,10.055,0.55,16.6,4.0322,4
310,10.054,0.55,16.6,4.0292,4
320,10.054,0.55,16.6,4.0266,4
330,10.053,0.55,16.6,4.0242,4
340,10.053,0.55,16.6,4.022,4
350,10.053,0.55,16.6,4.02,4
360,10.052,0.55,16.6,4.0182,4
370,10.052,0.55,16.6,4.0165,4
380,10.052,0.55,16.6,4.015,4
390,10.052,0.55,16.6,4.0137,4
400,10.052,0.55,16.6,4.0124,4
410,12.078,0.55,16.6,4.0113,5
420,12.445,0.55,16.6,4.0102,5
430,12.443,0.55,16.6,4.1154,5
440,12.314,0.55,16.6,4.2632,5
450,12.081,0.55,16.6,4.4441,5
460,11.765,0.55,16.6,4.6447,5
470,11.45,0.55,16.6,4.8224,5
480,11.224,0.55,16.6,4.9389,5
490,11.102,0.55,16.6,4.9969,5
500,11.05,0.55,16.6,5.0182,5
510,11.037,0.55,16.6,5.0212,5
520,11.04,0.55,16.6,5.0172,5
530,11.048,0.55,16.6,5.0119,5
540,11.055,0.55,16.6,5.0075,5
550,11.06,0.55,16.6,5.0046,5
560,11.063,0.55,16.6,5.0029,5
570,11.065,0.55,16.6,5.002,5
580,11.065,0.55,16.6,5.0016,5
590,11.065,0.55,16.6,5.0015,5
600,11.065,0.55,16.6,5.0014,5
610,11.065,0.55,16.6,5.0014,5
620,11.065,0.55,16.6,5.0013,5
630,11.065,0.55,16.6,5.0012,5
640,11.065,0.55,16.6,5.0011,5
650,11.065,0.55,16.6,5.001,5
660,11.065,0.55,16.6,5.0009,5
670,11.065,0.55,16.6,5.0008,5
680,11.065,0.55,16.6,5.0008,5
690,11.065,0.55,16.6,5.0007,5
700,11.065,0.55,16.6,5.0006,5
710,11.065,0.55,16.6,5.0006,5
720,11.065,0.55,16.6,5.0005,5
730,11.065,0.55,16.6,5.0005,5
740,11.065,0.55,16.6,5.0004,5
750,11.065,0.55,16.6,5.0004,5
760,11.065,0.55,16.6,5.0004,5
770,11.064,0.55,16.6,5.0003,5
780,11.064,0.55,16.6,5.0003,5
790,11.063,0.55,16.6,5.0002,5
800,11.063,0.55,16.6,5.0001,5
810,13.082,0.55,16.6,4.9999,6
820,13.44,0.55,16.6,4.9997,6
830,13.187,0.55,16.6,5.2345,6
840,12.932,0.55,16.6,5.4247,6
850,12.785,0.55,16.6,5.5431,6
860,12.708,0.55,16.6,5.6201,6
870,12.668,0.55,16.6,5.6751,6
880,12.645,0.55,16.6,5.7176,6
890,12.633,0.55,16.6,5.7519,6
900,12.627,0.55,16.6,5.7806,6
910,12.624,0.55,16.6,5.805,6
920,12.624,0.55,16.6,5.826,6
930,12.625,0.55,16.6,5.8445,6
940,12.627,0.55,16.6,5.8607,6
950,12.63,0.55,16.6,5.8751,6
960,12.632,0.55,16.6,5.8879,6
970,12.635,0.55,16.6,5.8994,6
980,12.637,0.55,16.6,5.9097,6
990,12.64,0.55,16.6,5.919,6
1000,12.641,0.55,16.6,5.9273,6
1010,12.643,0.55,16.6,5.9348,6
1020,12.644,0.55,16.6,5.9416,6
1030,12.645,0.55,16.6,5.9478,6
1040,12.646,0.55,16.6,5.9533,6
1050,12.647,0.55,16.6,5.9582,6
1060,12.647,0.55,16.6,5.9627,6
1070,12.647,0.55,16.6,5.9667,6
1080,12.647,0.55,16.6,5.9703,6
1090,12.647,0.55,16.6,5.9736,6
1100,12.647,0.55,16.6,5.9765,6
1110,12.647,0.55,16.6,5.979,6
1120,12.646,0.55,16.6,5.9814,6
1130,12.646,0.55,16.6,5.9834,6
1140,12.646,0.55,16.6,5.9853,6
1150,12.646,0.55,16.6,5.9869,6
1160,12.645,0.55,16.6,5.9884,6
1170,12.645,0.55,16.6,5.9897,6
1180,12.645,0.55,16.6,5.9908,6
1190,12.645,0.55,16.6,5.9918,6
1200,12.645,0.55,16.6,5.9928,6
1210,14.226,0.55,16.6,5.9936,7
1220,15.027,0.55,16.6,5.9943,7
1230,15.515,0.55,16.6,6.0522,7
1240,15.901,0.55,16.6,6.1297,7
1250,16.204,0.55,16.6,6.213,7
1260,16.422,0.55,16.6,6.2985,7
1270,16.56,0.55,16.6,6.3846,7
1280,16.63,0.55,16.6,6.4699,7
1290,16.643,0.55,16.6,6.5533,7
1300,16.611,0.55,16.6,6.6339,7
1310,16.54,0.55,16.6,6.7108,7
1320,16.44,0.55,16.6,6.7829,7
1330,16.319,0.55,16.6,6.8491,7
1340,16.183,0.55,16.6,6.9077,7
1350,16.045,0.55,16.6,6.9574,7
1360,15.914,0.55,16.6,6.997,7
1370,15.8,0.55,16.6,7.026,7
1380,15.706,0.55,16.6,7.0448,7
1390,15.633,0.55,16.6,7.0548,7
1400,15.58,0.55,16.6,7.058,7
1410,15.544,0.55,16.6,7.0563,7
1420,15.52,0.55,16.6,7.0516,7
1430,15.507,0.55,16.6,7.0452,7
1440,15.5,0.55,16.6,7.0382,7
1450,15.499,0.55,16.6,7.0312,7
1460,15.502,0.55,16.6,7.0247,7
1470,15.507,0.55,16.6,7.0189,7
1480,15.513,0.55,16.6,7.0139,7
1490,15.519,0.55,16.6,7.0099,7
