t,u1,u2,u3,y,ysp
10,12.832,0.55,16.6,7,4
20,10.644,0.55,16.6,7.0015,4
30,8.9569,0.55,16.6,6.8622,4
40,7.6942,0.55,16.6,6.6707,4
50,6.7933,0.55,16.6,6.4682,4
60,6.2306,0.55,16.6,6.2608,4
70,5.9347,0.55,16.6,6.0392,4
80,5.8095,0.55,16.6,5.7821,4
90,5.8782,0.55,16.6,5.4328,4
100,6.3406,0.55,16.6,4.8181,4
110,7.0766,0.55,16.6,4.2523,4
120,7.759,0.55,16.6,4.0092,4
130,8.3205,0.55,16.6,3.8871,4
140,8.7646,0.55,16.6,3.8191,4
150,9.1106,0.55,16.6,3.7808,4
160,9.379,0.55,16.6,3.7605,4
170,9.5869,0.55,16.6,3.752,4
180,9.7483,0.55,16.6,3.7517,4
190,9.8736,0.55,16.6,3.757,4
200,9.9708,0.55,16.6,3.7664,4
210,10.046,0.55,16.6,3.7787,4
220,10.103,0.55,16.6,3.793,4
230,10.147,0.55,16.6,3.8087,4
240,10.178,0.55,16.6,3.8252,4
250,10.2,0.55,16.6,3.8421,4
260,10.214,0.55,16.6,3.8591,4
270,10.221,0.55,16.6,3.8758,4
280,10.222,0.55,16.6,3.892,4
290,10.219,0.55,16.6,3.9074,4
300,10.213,0.55,16.6,3.922,4
310,10.204,0.55,16.6,3.9355,4
320,10.192,0.55,16.6,3.9477,4
330,10.18,0.55,16.6,3.9588,4
340,10.167,0.55,16.6,3.9685,4
350,10.153,0.55,16.6,3.977,4
360,10.14,0.55,16.6,3.9842,4
370,10.127,0.55,16.6,3.9902,4
380,10.115,0.55,16.6,3.9951,4
390,10.104,0.55,16.6,3.9991,4
400,10.094,0.55,16.6,4.0021,4
410,10.973,0.55,16.6,4.0043,5
420,11.646,0.55,16.6,4.0059,5
430,12.143,0.55,16.6,4.0503,5
440,12.486,0.55,16.6,4.1336,5
450,12.678,0.55,16.6,4.2611,5
460,12.709,0.55,16.6,4.4461,5
470,12.556,0.55,16.6,4.6972,5
480,12.249,0.55,16.6,4.9597,5
490,11.879,0.55,16.6,5.1496,5
500,11.522,0.55,16.6,5.2609,5
510,11.212,0.55,16.6,5.3159,5
520,10.963,0.55,16.6,5.3313,5
530,10.78,0.55,16.6,5.3179,5
540,10.66,0.55,16.6,5.2828,5
550,10.601,0.55,16.6,5.2312,5
560,10.597,0.55,16.6,5.1683,5
570,10.639,0.55,16.6,5.0997,5
580,10.718,0.55,16.6,5.0323,5
590,10.82,0.55,16.6,4.9732,5
600,10.93,0.55,16.6,4.9286,5
610,11.033,0.55,16.6,4.9017,5
620,11.119,0.55,16.6,4.8926,5
630,11.18,0.55,16.6,4.8989,5
640,11.214,0.55,16.6,4.9166,5
650,11.223,0.55,16.6,4.9409,5
660,11.21,0.55,16.6,4.9671,5
670,11.184,0.55,16.6,4.9914,5
680,11.149,0.55,16.6,5.0115,5
690,11.112,0.55,16.6,5.0258,5
700,11.078,0.55,16.6,5.0341,5
710,11.049,0.55,16.6,5.0369,5
720,11.029,0.55,16.6,5.0351,5
730,11.017,0.55,16.6,5.0298,5
740,11.013,0.55,16.6,5.0223,5
750,11.015,0.55,16.6,5.0139,5
760,11.023,0.55,16.6,5.0057,5
770,11.033,0.55,16.6,4.9987,5
780,11.045,0.55,16.6,4.9933,5
790,11.057,0.55,16.6,4.9898,5
800,11.067,0.55,16.6,4.9882,5
810,11.963,0.55,16.6,4.9884,6
820,12.648,0.55,16.6,4.9898,6
830,13.093,0.55,16.6,5.1041,6
840,13.326,0.55,16.6,5.2653,6
850,13.411,0.55,16.6,5.4196,6
860,13.405,0.55,16.6,5.5481,6
870,13.352,0.55,16.6,5.6507,6
880,13.276,0.55,16.6,5.7317,6
890,13.194,0.55,16.6,5.7955,6
900,13.113,0.55,16.6,5.8458,6
910,13.038,0.55,16.6,5.8854,6
920,12.972,0.55,16.6,5.9165,6
930,12.914,0.55,16.6,5.9407,6
940,12.864,0.55,16.6,5.9595,6
950,12.821,0.55,16.6,5.9739,6
960,12.786,0.55,16.6,5.9849,6
970,12.756,0.55,16.6,5.9931,6
980,12.732,0.55,16.6,5.999,6
990,12.712,0.55,16.6,6.0033,6
1000,12.695,0.55,16.6,6.0062,6
1010,12.682,0.55,16.6,6.0081,6
1020,12.672,0.55,16.6,6.0092,6
1030,12.663,0.55,16.6,6.0096,6
1040,12.657,0.55,16.6,6.0097,6
1050,12.652,0.55,16.6,6.0094,6
1060,12.648,0.55,16.6,6.009,6
1070,12.645,0.55,16.6,6.0084,6
1080,12.643,0.55,16.6,6.0077,6
1090,12.641,0.55,16.6,6.007,6
1100,12.64,0.55,16.6,6.0063,6
1110,12.64,0.55,16.6,6.0056,6
1120,12.639,0.55,16.6,6.0049,6
1130,12.639,0.55,16.6,6.0043,6
1140,12.639,0.55,16.6,6.0037,6
1150,12.639,0.55,16.6,6.0032,6
1160,12.64,0.55,16.6,6.0027,6
1170,12.64,0.55,16.6,6.0023,6
1180,12.64,0.55,16.6,6.002,6
1190,12.641,0.55,16.6,6.0017,6
1200,12.641,0.55,16.6,6.0014,6
