t,u1,u2,u3,y,ysp
10,14.955,0.55,16.6,7,5
20,14.432,0.55,16.6,7.0015,5
30,13.968,0.55,16.6,6.9683,5
40,13.552,0.55,16.6,6.9136,5
50,13.172,0.55,16.6,6.8466,5
60,12.825,0.55,16.6,6.7738,5
70,12.506,0.55,16.6,6.6989,5
80,12.212,0.55,16.6,6.6237,5
90,11.943,0.55,16.6,6.5492,5
100,11.697,0.55,16.6,6.4757,5
110,11.474,0.55,16.6,6.4032,5
120,11.272,0.55,16.6,6.3316,5
130,11.093,0.55,16.6,6.2607,5
140,10.938,0.55,16.6,6.1899,5
150,10.806,0.55,16.6,6.1192,5
160,10.701,0.55,16.6,6.0481,5
170,10.624,0.55,16.6,5.9765,5
180,10.575,0.55,16.6,5.9042,5
190,10.555,0.55,16.6,5.8313,5
200,10.56,0.55,16.6,5.758,5
210,10.586,0.55,16.6,5.6848,5
220,10.624,0.55,16.6,5.6125,5
230,10.67,0.55,16.6,5.5419,5
240,10.716,0.55,16.6,5.474,5
250,10.761,0.55,16.6,5.4097,5
260,10.803,0.55,16.6,5.3497,5
270,10.84,0.55,16.6,5.2947,5
280,10.873,0.55,16.6,5.2451,5
290,10.903,0.55,16.6,5.201,5
300,10.929,0.55,16.6,5.1625,5
310,10.953,0.55,16.6,5.1295,5
320,10.973,0.55,16.6,5.1017,5
330,10.991,0.55,16.6,5.0787,5
340,11.007,0.55,16.6,5.06,5
350,11.02,0.55,16.6,5.045,5
360,11.031,0.55,16.6,5.0333,5
370,11.04,0.55,16.6,5.0243,5
380,11.048,0.55,16.6,5.0176,5
390,11.054,0.55,16.6,5.0127,5
400,11.059,0.55,16.6,5.0093,5
410,11.063,0.55,16.6,5.0071,5
420,11.065,0.55,16.6,5.0056,5
430,11.067,0.55,16.6,5.0048,5
440,11.069,0.55,16.6,5.0045,5
450,11.07,0.55,16.6,5.0044,5
460,11.07,0.55,16.6,5.0045,5
470,11.07,0.55,16.6,5.0047,5
480,11.07,0.55,16.6,5.005,5
490,11.07,0.55,16.6,5.0052,5
500,11.069,0.55,16.6,5.0054,5
510,11.919,0.55,16.6,5.0056,8
520,12.583,0.55,16.6,5.0057,8
530,13.093,0.55,16.6,5.1117,8
540,13.492,0.55,16.6,5.2646,8
550,13.827,0.55,16.6,5.4191,8
560,14.139,0.55,16.6,5.5582,8
570,14.452,0.55,16.6,5.6806,8
580,14.775,0.55,16.6,5.7901,8
590,15.103,0.55,16.6,5.8904,8
600,15.43,0.55,16.6,5.9847,8
610,15.75,0.55,16.6,6.075,8
620,16.055,0.55,16.6,6.163,8
630,16.344,0.55,16.6,6.2496,8
640,16.611,0.55,16.6,6.336,8
650,16.857,0.55,16.6,6.423,8
660,17.077,0.55,16.6,6.5117,8
670,17.272,0.55,16.6,6.603,8
680,17.437,0.55,16.6,6.6984,8
690,17.569,0.55,16.6,6.7995,8
700,17.662,0.55,16.6,6.9086,8
710,17.708,0.55,16.6,7.0289,8
720,17.694,0.55,16.6,7.1649,8
730,17.611,0.55,16.6,7.323,8
