t,u1,u2,u3,y,ysp
10,13.776,0.55,16.6,7,5
20,12.425,0.55,16.6,7.0015,5
30,11.351,0.55,16.6,6.9074,5
40,10.5,0.55,16.6,6.7744,5
50,9.8461,0.55,16.6,6.631,5
60,9.3554,0.55,16.6,6.4874,5
70,9.0053,0.55,16.6,6.3458,5
80,8.8122,0.55,16.6,6.205,5
90,8.9203,0.55,16.6,6.0619,5
100,9.4955,0.55,16.6,5.9141,5
110,10.068,0.55,16.6,5.7656,5
120,10.409,0.55,16.6,5.6363,5
130,10.599,0.55,16.6,5.5334,5
140,10.71,0.55,16.6,5.45,5
150,10.781,0.55,16.6,5.3802,5
160,10.831,0.55,16.6,5.3201,5
170,10.87,0.55,16.6,5.2677,5
180,10.904,0.55,16.6,5.2218,5
190,10.933,0.55,16.6,5.182,5
200,10.959,0.55,16.6,5.1479,5
210,10.983,0.55,16.6,5.1194,5
220,11.003,0.55,16.6,5.0959,5
230,11.02,0.55,16.6,5.077,5
240,11.033,0.55,16.6,5.0621,5
250,11.044,0.55,16.6,5.0505,5
260,11.052,0.55,16.6,5.0417,5
270,11.058,0.55,16.6,5.0351,5
280,11.062,0.55,16.6,5.0301,5
290,11.064,0.55,16.6,5.0263,5
300,11.066,0.55,16.6,5.0233,5
310,13.451,0.55,16.6,5.021,8
320,14.771,0.55,16.6,5.0191,8
330,15.392,0.55,16.6,5.2835,8
340,15.676,0.55,16.6,5.5484,8
350,15.885,0.55,16.6,5.7521,8
360,16.329,0.55,16.6,5.9105,8
370,17.089,0.55,16.6,6.0418,8
380,17.892,0.55,16.6,6.1651,8
390,18.579,0.55,16.6,6.2955,8
400,19.112,0.55,16.6,6.4379,8
410,19.491,0.55,16.6,6.5952,8
420,19.705,0.55,16.6,6.774,8
430,19.645,0.55,16.6,6.9903,8
440,18.602,0.55,16.6,7.2849,8
450,17.463,0.55,16.6,7.7986,8
460,16.822,0.55,16.6,8.4655,8
470,16.532,0.55,16.6,8.6703,8
480,16.418,0.55,16.6,8.6811,8
490,16.379,0.55,16.6,8.6237,8
500,16.377,0.55,16.6,8.5376,8
510,16.394,0.55,16.6,8.4407,8
520,16.422,0.55,16.6,8.3458,8
530,16.451,0.55,16.6,8.2634,8
540,16.475,0.55,16.6,8.1991,8
550,16.492,0.55,16.6,8.1524,8
560,16.502,0.55,16.6,8.1199,8
570,16.508,0.55,16.6,8.0971,8
580,16.511,0.55,16.6,8.0806,8
590,16.512,0.55,16.6,8.0681,8
600,16.513,0.55,16.6,8.058,8
610,16.514,0.55,16.6,8.0497,8
620,16.514,0.55,16.6,8.0426,8
630,16.514,0.55,16.6,8.0365,8
640,16.515,0.55,16.6,8.0313,8
650,16.515,0.55,16.6,8.0268,8
660,16.516,0.55,16.6,8.0231,8
670,16.516,0.55,16.6,8.0199,8
680,16.516,0.55,16.6,8.0171,8
690,16.516,0.55,16.6,8.0148,8
700,16.516,0.55,16.6,8.0129,8
710,14.11,0.55,16.6,8.0112,4.5
720,13.388,0.55,16.6,8.0097,4.5
730,13.187,0.55,16.6,7.5133,4.5
740,12.043,0.55,16.6,7.2174,4.5
750,10.707,0.55,16.6,7.0306,4.5
760,9.5449,0.55,16.6,6.8467,4.5
770,8.6281,0.55,16.6,6.6619,4.5
780,7.9318,0.55,16.6,6.4807,4.5
790,7.4393,0.55,16.6,6.3013,4.5
800,7.2927,0.55,16.6,6.1171,4.5
810,8.0585,0.55,16.6,5.9174,4.5
820,8.9211,0.55,16.6,5.6909,4.5
830,9.4249,0.55,16.6,5.4612,4.5
840,9.7521,0.55,16.6,5.2434,4.5
850,10.008,0.55,16.6,5.0353,4.5
860,10.226,0.55,16.6,4.853,4.5
870,10.406,0.55,16.6,4.7173,4.5
880,10.54,0.55,16.6,4.6294,4.5
890,10.632,0.55,16.6,4.5774,4.5
900,10.69,0.55,16.6,4.5489,4.5
910,10.724,0.55,16.6,4.535,4.5
920,10.741,0.55,16.6,4.5295,4.5
930,10.747,0.55,16.6,4.5287,4.5
940,10.747,0.55,16.6,4.5299,4.5
950,10.743,0.55,16.6,4.5317,4.5
960,10.737,0.55,16.6,4.5334,4.5
970,10.732,0.55,16.6,4.5344,4.5
980,10.726,0.55,16.6,4.5347,4.5
990,10.722,0.55,16.6,4.5343,4.5
1000,15.55,0.55,16.6,4.5333,4.5
