t,u1,u2,u3,y,ysp
10,13.172,0.55,16.6,7,4.5
20,11.528,0.55,16.6,7.0015,4.5
30,10.309,0.55,16.6,6.8782,4.5
40,9.3333,0.55,16.6,6.7163,4.5
50,8.5518,0.55,16.6,6.549,4.5
60,7.9561,0.55,16.6,6.3818,4.5
70,7.5657,0.55,16.6,6.2115,4.5
80,7.4483,0.55,16.6,6.0316,4.5
90,7.7238,0.55,16.6,5.8317,4.5
100,8.3951,0.55,16.6,5.5969,4.5
110,9.1362,0.55,16.6,5.3107,4.5
120,9.7401,0.55,16.6,4.9859,4.5
130,10.2,0.55,16.6,4.717,4.5
140,10.503,0.55,16.6,4.5666,4.5
150,10.68,0.55,16.6,4.4993,4.5
160,10.771,0.55,16.6,4.4762,4.5
170,10.809,0.55,16.6,4.4754,4.5
180,10.815,0.55,16.6,4.4849,4.5
190,10.805,0.55,16.6,4.498,4.5
200,10.787,0.55,16.6,4.5107,4.5
210,10.768,0.55,16.6,4.5212,4.5
220,10.751,0.55,16.6,4.5287,4.5
230,10.736,0.55,16.6,4.5332,4.5
240,10.725,0.55,16.6,4.5352,4.5
250,10.718,0.55,16.6,4.5353,4.5
260,10.712,0.55,16.6,4.534,4.5
270,10.709,0.55,16.6,4.532,4.5
280,10.707,0.55,16.6,4.5295,4.5
290,10.706,0.55,16.6,4.5268,4.5
300,10.706,0.55,16.6,4.5242,4.5
310,10.706,0.55,16.6,4.5218,4.5
320,10.706,0.55,16.6,4.5195,4.5
330,10.706,0.55,16.6,4.5175,4.5
340,10.707,0.55,16.6,4.5157,4.5
350,10.707,0.55,16.6,4.5141,4.5
360,10.707,0.55,16.6,4.5127,4.5
370,10.707,0.55,16.6,4.5114,4.5
380,10.707,0.55,16.6,4.5103,4.5
390,10.707,0.55,16.6,4.5093,4.5
400,10.707,0.55,16.6,4.5084,4.5
410,10.707,0.55,16.6,4.5076,4.5
420,10.707,0.55,16.6,4.5069,4.5
430,10.707,0.55,16.6,4.5062,4.5
440,10.707,0.55,16.6,4.5056,4.5
450,10.707,0.55,16.6,4.5051,4.5
460,10.707,0.55,16.6,4.5046,4.5
470,10.707,0.55,16.6,4.5042,4.5
480,10.707,0.55,16.6,4.5038,4.5
490,10.707,0.55,16.6,4.5034,4.5
500,11.342,0.385,16.6,4.5031,4.5
510,11.798,0.385,16.6,4.5028,4.5
520,12.055,0.385,16.6,4.4,4.5
530,12.185,0.385,16.6,4.3606,4.5
540,12.241,0.385,16.6,4.3504,4.5
550,12.257,0.385,16.6,4.3533,4.5
560,12.254,0.385,16.6,4.3612,4.5
570,12.245,0.385,16.6,4.3699,4.5
580,12.236,0.385,16.6,4.3777,4.5
590,12.231,0.385,16.6,4.384,4.5
600,12.228,0.385,16.6,4.3887,4.5
610,12.23,0.385,16.6,4.3925,4.5
620,12.234,0.385,16.6,4.3957,4.5
630,12.24,0.385,16.6,4.3988,4.5
640,12.247,0.385,16.6,4.402,4.5
650,12.253,0.385,16.6,4.4055,4.5
660,12.26,0.385,16.6,4.4093,4.5
670,12.266,0.385,16.6,4.4136,4.5
680,12.271,0.385,16.6,4.4181,4.5
690,12.276,0.385,16.6,4.4229,4.5
700,12.279,0.385,16.6,4.4278,4.5
710,12.282,0.385,16.6,4.4328,4.5
720,12.285,0.385,16.6,4.4377,4.5
730,12.287,0.385,16.6,4.4425,4.5
740,12.288,0.385,16.6,4.4471,4.5
750,12.289,0.385,16.6,4.4514,4.5
760,12.29,0.385,16.6,4.4556,4.5
770,12.29,0.385,16.6,4.4594,4.5
780,12.29,0.385,16.6,4.463,4.5
790,12.29,0.385,16.6,4.4663,4.5
800,12.29,0.385,16.6,4.4693,4.5
810,12.29,0.385,16.6,4.472,4.5
820,12.29,0.385,16.6,4.4744,4.5
830,12.29,0.385,16.6,4.4765,4.5
840,12.29,0.385,16.6,4.4785,4.5
850,12.291,0.385,16.6,4.4803,4.5
860,12.291,0.385,16.6,4.482,4.5
870,12.292,0.385,16.6,4.4835,4.5
880,12.292,0.385,16.6,4.4849,4.5
890,12.293,0.385,16.6,4.4863,4.5
900,12.293,0.385,16.6,4.4875,4.5
910,12.293,0.385,16.6,4.4887,4.5
920,12.293,0.385,16.6,4.4898,4.5
930,12.293,0.385,16.6,4.4909,4.5
940,12.293,0.385,16.6,4.4918,4.5
950,12.293,0.385,16.6,4.4926,4.5
960,12.293,0.385,16.6,4.4934,4.5
970,12.293,0.385,16.6,4.4941,4.5
980,12.293,0.385,16.6,4.4947,4.5
990,12.293,0.385,16.6,4.4952,4.5
1000,15.55,0.385,16.6,4.4957,4.5
