t,u1,u2,u3,y,ysp
10,10.707,0.55,16.6,4.5096,4.5
20,10.707,0.55,16.6,4.5087,4.5
30,10.707,0.55,16.6,4.5079,4.5
40,10.707,0.55,16.6,4.5072,4.5
50,10.707,0.55,16.6,4.5065,4.5
60,10.707,0.55,16.6,4.5059,4.5
70,10.707,0.55,16.6,4.5053,4.5
80,10.707,0.55,16.6,4.5048,4.5
90,10.707,0.55,16.6,4.5043,4.5
100,10.707,0.55,16.6,4.5039,4.5
110,11.91,0.44,16.6,4.5035,4.5
120,11.806,0.44,16.6,4.5032,4.5
130,11.734,0.44,16.6,4.52,4.5
140,11.685,0.44,16.6,4.5231,4.5
150,11.656,0.44,16.6,4.5172,4.5
160,11.642,0.44,16.6,4.5062,4.5
170,11.64,0.44,16.6,4.4928,4.5
180,11.645,0.44,16.6,4.4794,4.5
190,11.656,0.44,16.6,4.4672,4.5
200,11.669,0.44,16.6,4.457,4.5
210,11.682,0.44,16.6,4.4491,4.5
220,11.695,0.44,16.6,4.4434,4.5
230,11.708,0.44,16.6,4.4397,4.5
240,11.718,0.44,16.6,4.4379,4.5
250,11.727,0.44,16.6,4.4375,4.5
260,11.735,0.44,16.6,4.4384,4.5
270,11.741,0.44,16.6,4.4401,4.5
280,11.747,0.44,16.6,4.4426,4.5
290,11.751,0.44,16.6,4.4455,4.5
300,11.754,0.44,16.6,4.4487,4.5
310,11.756,0.44,16.6,4.452,4.5
320,11.758,0.44,16.6,4.4554,4.5
330,11.76,0.44,16.6,4.4588,4.5
340,11.761,0.44,16.6,4.462,4.5
350,11.761,0.44,16.6,4.4651,4.5
360,11.762,0.44,16.6,4.4681,4.5
370,11.762,0.44,16.6,4.4708,4.5
380,11.762,0.44,16.6,4.4734,4.5
390,11.762,0.44,16.6,4.4757,4.5
400,11.762,0.44,16.6,4.4779,4.5
410,11.762,0.44,16.6,4.4798,4.5
420,11.762,0.44,16.6,4.4816,4.5
430,11.762,0.44,16.6,4.4831,4.5
440,11.762,0.44,16.6,4.4845,4.5
450,11.763,0.44,16.6,4.4858,4.5
460,11.763,0.44,16.6,4.487,4.5
470,11.763,0.44,16.6,4.4881,4.5
480,11.764,0.44,16.6,4.4891,4.5
490,11.764,0.44,16.6,4.49,4.5
500,11.764,0.44,16.6,4.4909,4.5
510,11.764,0.44,16.6,4.4917,4.5
520,11.764,0.44,16.6,4.4925,4.5
530,11.764,0.44,16.6,4.4932,4.5
540,11.764,0.44,16.6,4.4939,4.5
550,11.764,0.44,16.6,4.4944,4.5
560,11.764,0.44,16.6,4.495,4.5
570,11.764,0.44,16.6,4.4955,4.5
580,11.764,0.44,16.6,4.4959,4.5
590,11.764,0.44,16.6,4.4963,4.5
600,11.764,0.44,16.6,4.4967,4.5
610,15.55,0.44,16.6,4.497,4.5
