t,u1,u2,u3,y,ysp
10,10.707,0.55,16.6,4.5086,4.5
20,10.707,0.55,16.6,4.5078,4.5
30,10.707,0.55,16.6,4.5071,4.5
40,10.707,0.55,16.6,4.5064,4.5
50,10.707,0.55,16.6,4.5058,4.5
60,10.707,0.55,16.6,4.5052,4.5
70,10.707,0.55,16.6,4.5047,4.5
80,10.707,0.55,16.6,4.5043,4.5
90,10.707,0.55,16.6,4.5039,4.5
100,10.707,0.55,16.6,4.5035,4.5
110,12.856,0.385,16.6,4.5032,4.5
120,12.521,0.385,16.6,4.5029,4.5
130,12.296,0.385,16.6,4.5711,4.5
140,12.187,0.385,16.6,4.5934,4.5
150,12.196,0.385,16.6,4.5845,4.5
160,12.233,0.385,16.6,4.5623,4.5
170,12.268,0.385,16.6,4.5437,4.5
180,12.29,0.385,16.6,4.5319,4.5
190,12.297,0.385,16.6,4.5256,4.5
200,12.289,0.385,16.6,4.5228,4.5
210,12.272,0.385,16.6,4.521,4.5
220,12.249,0.385,16.6,4.5184,4.5
230,12.227,0.385,16.6,4.5139,4.5
240,12.208,0.385,16.6,4.5072,4.5
250,12.196,0.385,16.6,4.4984,4.5
260,12.19,0.385,16.6,4.4884,4.5
270,12.189,0.385,16.6,4.478,4.5
280,12.2,0.385,16.6,4.4681,4.5
290,12.216,0.385,16.6,4.4591,4.5
300,12.232,0.385,16.6,4.4524,4.5
310,12.247,0.385,16.6,4.4482,4.5
320,12.26,0.385,16.6,4.4464,4.5
330,12.27,0.385,16.6,4.4464,4.5
340,12.277,0.385,16.6,4.4478,4.5
350,12.283,0.385,16.6,4.4503,4.5
360,12.286,0.385,16.6,4.4533,4.5
370,12.289,0.385,16.6,4.4567,4.5
380,12.29,0.385,16.6,4.4601,4.5
390,12.291,0.385,16.6,4.4635,4.5
400,12.291,0.385,16.6,4.4667,4.5
410,12.291,0.385,16.6,4.4697,4.5
420,12.291,0.385,16.6,4.4725,4.5
430,12.291,0.385,16.6,4.4749,4.5
440,12.291,0.385,16.6,4.4771,4.5
450,12.291,0.385,16.6,4.4791,4.5
460,12.291,0.385,16.6,4.4809,4.5
470,12.292,0.385,16.6,4.4825,4.5
480,12.292,0.385,16.6,4.484,4.5
490,12.292,0.385,16.6,4.4854,4.5
500,12.292,0.385,16.6,4.4868,4.5
510,12.293,0.385,16.6,4.488,4.5
520,12.293,0.385,16.6,4.4891,4.5
530,12.293,0.385,16.6,4.4902,4.5
540,12.293,0.385,16.6,4.4911,4.5
550,12.293,0.385,16.6,4.492,4.5
560,12.293,0.385,16.6,4.4928,4.5
570,12.293,0.385,16.6,4.4935,4.5
580,12.293,0.385,16.6,4.4942,4.5
590,12.293,0.385,16.6,4.4948,4.5
600,12.293,0.385,16.6,4.4953,4.5
610,15.55,0.385,16.6,4.4957,4.5
