t,u1,u2,u3,y,ysp
10,10.707,0.55,16.6,4.5084,4.5
20,10.707,0.55,16.6,4.5076,4.5
30,10.707,0.55,16.6,4.5069,4.5
40,10.707,0.55,16.6,4.5062,4.5
50,10.707,0.55,16.6,4.5056,4.5
60,10.707,0.55,16.6,4.5051,4.5
70,10.707,0.55,16.6,4.5046,4.5
80,10.707,0.55,16.6,4.5042,4.5
90,10.707,0.55,16.6,4.5038,4.5
100,10.707,0.55,16.6,4.5034,4.5
110,10.707,0.385,16.6,4.5031,4.5
120,10.707,0.385,16.6,4.5028,4.5
130,10.879,0.385,16.6,4.34,4.5
140,11.091,0.385,16.6,4.2238,4.5
150,11.297,0.385,16.6,4.1481,4.5
160,11.485,0.385,16.6,4.1003,4.5
170,11.652,0.385,16.6,4.0718,4.5
180,11.795,0.385,16.6,4.0572,4.5
190,11.916,0.385,16.6,4.0528,4.5
200,12.016,0.385,16.6,4.0563,4.5
210,12.095,0.385,16.6,4.0659,4.5
220,12.158,0.385,16.6,4.0801,4.5
230,12.205,0.385,16.6,4.0978,4.5
240,12.24,0.385,16.6,4.1181,4.5
250,12.266,0.385,16.6,4.14,4.5
260,12.284,0.385,16.6,4.1629,4.5
270,12.297,0.385,16.6,4.1863,4.5
280,12.306,0.385,16.6,4.2097,4.5
290,12.311,0.385,16.6,4.2327,4.5
300,12.314,0.385,16.6,4.2551,4.5
310,12.316,0.385,16.6,4.2766,4.5
320,12.316,0.385,16.6,4.2971,4.5
330,12.315,0.385,16.6,4.3163,4.5
340,12.313,0.385,16.6,4.3343,4.5
350,12.311,0.385,16.6,4.3509,4.5
360,12.308,0.385,16.6,4.3661,4.5
370,12.306,0.385,16.6,4.38,4.5
380,12.303,0.385,16.6,4.3925,4.5
390,12.301,0.385,16.6,4.4038,4.5
400,12.299,0.385,16.6,4.4139,4.5
410,12.297,0.385,16.6,4.4229,4.5
420,12.295,0.385,16.6,4.4308,4.5
430,12.294,0.385,16.6,4.4378,4.5
440,12.293,0.385,16.6,4.444,4.5
450,12.292,0.385,16.6,4.4495,4.5
460,12.292,0.385,16.6,4.4544,4.5
470,12.292,0.385,16.6,4.4587,4.5
480,12.292,0.385,16.6,4.4627,4.5
490,12.292,0.385,16.6,4.4662,4.5
500,12.293,0.385,16.6,4.4694,4.5
510,12.293,0.385,16.6,4.4724,4.5
520,12.293,0.385,16.6,4.475,4.5
530,12.293,0.385,16.6,4.4775,4.5
540,12.293,0.385,16.6,4.4797,4.5
550,12.293,0.385,16.6,4.4817,4.5
560,12.293,0.385,16.6,4.4835,4.5
570,12.293,0.385,16.6,4.4852,4.5
580,12.293,0.385,16.6,4.4866,4.5
590,12.293,0.385,16.6,4.4879,4.5
600,12.293,0.385,16.6,4.4891,4.5
610,15.55,0.385,16.6,4.4902,4.5
