t,u1,u2,u3,y,ysp
10,10.707,0.55,16.6,4.5084,4.5
20,10.707,0.55,16.6,4.5076,4.5
30,10.707,0.55,16.6,4.5069,4.5
40,10.707,0.55,16.6,4.5062,4.5
50,10.707,0.55,16.6,4.5056,4.5
60,10.707,0.55,16.6,4.5051,4.5
70,10.707,0.55,16.6,4.5046,4.5
80,10.707,0.55,16.6,4.5042,4.5
90,10.707,0.55,16.6,4.5038,4.5
100,10.707,0.55,16.6,4.5034,4.5
110,10.707,0.44,16.6,4.5031,4.5
120,10.707,0.44,16.6,4.5028,4.5
130,10.827,0.44,16.6,4.3897,4.5
140,11.526,0.44,16.6,4.3025,4.5
150,11.723,0.44,16.6,4.243,4.5
160,11.702,0.44,16.6,4.245,4.5
170,11.664,0.44,16.6,4.262,4.5
180,11.719,0.44,16.6,4.2761,4.5
190,11.653,0.44,16.6,4.2861,4.5
200,11.71,0.44,16.6,4.2999,4.5
210,11.653,0.44,16.6,4.3071,4.5
220,11.701,0.44,16.6,4.3186,4.5
230,11.689,0.44,16.6,4.324,4.5
240,11.667,0.44,16.6,4.3334,4.5
250,11.687,0.44,16.6,4.3408,4.5
260,11.688,0.44,16.6,4.3456,4.5
270,11.698,0.44,16.6,4.3519,4.5
280,11.71,0.44,16.6,4.3577,4.5
290,11.723,0.44,16.6,4.3638,4.5
300,11.735,0.44,16.6,4.3707,4.5
310,11.744,0.44,16.6,4.3782,4.5
320,11.752,0.44,16.6,4.3862,4.5
330,11.757,0.44,16.6,4.3944,4.5
340,11.761,0.44,16.6,4.4028,4.5
350,11.764,0.44,16.6,4.411,4.5
360,11.766,0.44,16.6,4.4189,4.5
370,11.766,0.44,16.6,4.4265,4.5
380,11.766,0.44,16.6,4.4335,4.5
390,11.766,0.44,16.6,4.44,4.5
400,11.765,0.44,16.6,4.4459,4.5
410,11.765,0.44,16.6,4.4512,4.5
420,11.764,0.44,16.6,4.456,4.5
430,11.764,0.44,16.6,4.4603,4.5
440,11.763,0.44,16.6,4.4641,4.5
450,11.763,0.44,16.6,4.4675,4.5
460,11.763,0.44,16.6,4.4705,4.5
470,11.763,0.44,16.6,4.4732,4.5
480,11.764,0.44,16.6,4.4757,4.5
490,11.764,0.44,16.6,4.478,4.5
500,11.764,0.44,16.6,4.4801,4.5
510,11.765,0.44,16.6,4.482,4.5
520,11.765,0.44,16.6,4.4837,4.5
530,11.765,0.44,16.6,4.4854,4.5
540,11.765,0.44,16.6,4.4868,4.5
550,11.765,0.44,16.6,4.4882,4.5
560,11.764,0.44,16.6,4.4894,4.5
570,11.764,0.44,16.6,4.4905,4.5
580,11.764,0.44,16.6,4.4914,4.5
590,11.764,0.44,16.6,4.4923,4.5
600,11.764,0.44,16.6,4.493,4.5
610,15.55,0.44,16.6,4.4937,4.5
