t,u1,u2,u3,y,ysp
10,10.707,0.55,16.6,4.5084,4.5
20,10.707,0.55,16.6,4.5076,4.5
30,10.707,0.55,16.6,4.5069,4.5
40,10.707,0.55,16.6,4.5062,4.5
50,10.707,0.55,16.6,4.5056,4.5
60,10.707,0.55,16.6,4.5051,4.5
70,10.707,0.55,16.6,4.5046,4.5
80,10.707,0.55,16.6,4.5042,4.5
90,10.707,0.55,16.6,4.5038,4.5
100,10.707,0.55,16.6,4.5034,4.5
110,10.707,0.44,16.6,4.5031,4.5
120,10.707,0.44,16.6,4.5028,4.5
130,10.827,0.44,16.6,4.3897,4.5
140,10.979,0.44,16.6,4.3025,4.5
150,11.127,0.44,16.6,4.243,4.5
160,11.26,0.44,16.6,4.2051,4.5
170,11.374,0.44,16.6,4.183,4.5
180,11.469,0.44,16.6,4.1724,4.5
190,11.546,0.44,16.6,4.1705,4.5
200,11.609,0.44,16.6,4.175,4.5
210,11.658,0.44,16.6,4.1844,4.5
220,11.695,0.44,16.6,4.1973,4.5
230,11.723,0.44,16.6,4.2127,4.5
240,11.744,0.44,16.6,4.2298,4.5
250,11.759,0.44,16.6,4.248,4.5
260,11.769,0.44,16.6,4.2666,4.5
270,11.776,0.44,16.6,4.2852,4.5
280,11.78,0.44,16.6,4.3035,4.5
290,11.782,0.44,16.6,4.3211,4.5
300,11.782,0.44,16.6,4.3378,4.5
310,11.781,0.44,16.6,4.3536,4.5
320,11.78,0.44,16.6,4.3682,4.5
330,11.778,0.44,16.6,4.3816,4.5
340,11.776,0.44,16.6,4.3939,4.5
350,11.774,0.44,16.6,4.405,4.5
360,11.772,0.44,16.6,4.415,4.5
370,11.771,0.44,16.6,4.4239,4.5
380,11.769,0.44,16.6,4.4319,4.5
390,11.767,0.44,16.6,4.439,4.5
400,11.766,0.44,16.6,4.4453,4.5
410,11.765,0.44,16.6,4.4509,4.5
420,11.764,0.44,16.6,4.4558,4.5
430,11.763,0.44,16.6,4.4601,4.5
440,11.763,0.44,16.6,4.4639,4.5
450,11.763,0.44,16.6,4.4673,4.5
460,11.763,0.44,16.6,4.4703,4.5
470,11.763,0.44,16.6,4.4731,4.5
480,11.764,0.44,16.6,4.4755,4.5
490,11.764,0.44,16.6,4.4778,4.5
500,11.764,0.44,16.6,4.4799,4.5
510,11.764,0.44,16.6,4.4818,4.5
520,11.765,0.44,16.6,4.4836,4.5
530,11.765,0.44,16.6,4.4852,4.5
540,11.765,0.44,16.6,4.4867,4.5
550,11.765,0.44,16.6,4.4881,4.5
560,11.764,0.44,16.6,4.4893,4.5
570,11.764,0.44,16.6,4.4904,4.5
580,11.764,0.44,16.6,4.4913,4.5
590,11.764,0.44,16.6,4.4922,4.5
600,11.764,0.44,16.6,4.493,4.5
610,15.55,0.44,16.6,4.4936,4.5
