t,u1,u2,u3,y,ysp
10,13.172,0.55,16.6,7,4.5
20,11.528,0.55,16.6,7.0015,4.5
30,10.309,0.55,16.6,6.8782,4.5
40,9.3333,0.55,16.6,6.7163,4.5
50,8.5518,0.55,16.6,6.549,4.5
60,7.9561,0.55,16.6,6.3818,4.5
70,7.5657,0.55,16.6,6.2115,4.5
80,7.4483,0.55,16.6,6.0316,4.5
90,7.7238,0.55,16.6,5.8317,4.5
100,8.3951,0.55,16.6,5.5969,4.5
110,9.1362,0.55,16.6,5.3107,4.5
120,9.7401,0.55,16.6,4.9859,4.5
130,10.2,0.55,16.6,4.717,4.5
140,10.503,0.55,16.6,4.5666,4.5
150,10.68,0.55,16.6,4.4993,4.5
160,10.771,0.55,16.6,4.4762,4.5
170,10.809,0.55,16.6,4.4754,4.5
180,10.815,0.55,16.6,4.4849,4.5
190,10.805,0.55,16.6,4.498,4.5
200,10.787,0.55,16.6,4.5107,4.5
210,10.768,0.55,16.6,4.5212,4.5
220,10.751,0.55,16.6,4.5287,4.5
230,10.736,0.55,16.6,4.5332,4.5
240,10.725,0.55,16.6,4.5352,4.5
250,10.718,0.55,16.6,4.5353,4.5
260,10.712,0.55,16.6,4.534,4.5
270,10.709,0.55,16.6,4.532,4.5
280,10.707,0.55,16.6,4.5295,4.5
290,10.706,0.55,16.6,4.5268,4.5
300,10.706,0.55,16.6,4.5242,4.5
310,10.706,0.55,16.6,4.5218,4.5
320,10.706,0.55,16.6,4.5195,4.5
330,10.706,0.55,16.6,4.5175,4.5
340,10.707,0.55,16.6,4.5157,4.5
350,10.707,0.55,16.6,4.5141,4.5
360,10.707,0.55,16.6,4.5127,4.5
370,10.707,0.55,16.6,4.5114,4.5
380,10.707,0.55,16.6,4.5103,4.5
390,10.707,0.55,16.6,4.5093,4.5
400,10.707,0.55,16.6,4.5084,4.5
410,10.707,0.55,16.6,4.5076,4.5
420,10.707,0.55,16.6,4.5069,4.5
430,10.707,0.55,16.6,4.5062,4.5
440,10.707,0.55,16.6,4.5056,4.5
450,10.707,0.55,16.6,4.5051,4.5
460,10.707,0.55,16.6,4.5046,4.5
470,10.707,0.55,16.6,4.5042,4.5
480,10.707,0.55,16.6,4.5038,4.5
490,10.707,0.55,16.6,4.5034,4.5
500,10.707,0.385,16.6,4.5031,4.5
510,10.707,0.385,16.6,4.5028,4.5
520,10.879,0.385,16.6,4.34,4.5
530,11.091,0.385,16.6,4.2238,4.5
540,11.297,0.385,16.6,4.1481,4.5
550,11.485,0.385,16.6,4.1003,4.5
560,11.652,0.385,16.6,4.0718,4.5
570,11.795,0.385,16.6,4.0572,4.5
580,11.916,0.385,16.6,4.0528,4.5
590,12.016,0.385,16.6,4.0563,4.5
600,12.095,0.385,16.6,4.0659,4.5
610,12.158,0.385,16.6,4.0801,4.5
620,12.205,0.385,16.6,4.0978,4.5
630,12.24,0.385,16.6,4.1181,4.5
640,12.266,0.385,16.6,4.14,4.5
650,12.284,0.385,16.6,4.1629,4.5
660,12.297,0.385,16.6,4.1863,4.5
670,12.306,0.385,16.6,4.2097,4.5
680,12.311,0.385,16.6,4.2327,4.5
690,12.314,0.385,16.6,4.2551,4.5
700,12.316,0.385,16.6,4.2766,4.5
710,12.316,0.385,16.6,4.2971,4.5
720,12.315,0.385,16.6,4.3163,4.5
730,12.313,0.385,16.6,4.3343,4.5
740,12.311,0.385,16.6,4.3509,4.5
750,12.308,0.385,16.6,4.3661,4.5
760,12.306,0.385,16.6,4.38,4.5
770,12.303,0.385,16.6,4.3925,4.5
780,12.301,0.385,16.6,4.4038,4.5
790,12.299,0.385,16.6,4.4139,4.5
800,12.297,0.385,16.6,4.4229,4.5
810,12.295,0.385,16.6,4.4308,4.5
820,12.294,0.385,16.6,4.4378,4.5
830,12.293,0.385,16.6,4.444,4.5
840,12.292,0.385,16.6,4.4495,4.5
850,12.292,0.385,16.6,4.4544,4.5
860,12.292,0.385,16.6,4.4587,4.5
870,12.292,0.385,16.6,4.4627,4.5
880,12.292,0.385,16.6,4.4662,4.5
890,12.293,0.385,16.6,4.4694,4.5
900,12.293,0.385,16.6,4.4724,4.5
910,12.293,0.385,16.6,4.475,4.5
920,12.293,0.385,16.6,4.4775,4.5
930,12.293,0.385,16.6,4.4797,4.5
940,12.293,0.385,16.6,4.4817,4.5
950,12.293,0.385,16.6,4.4835,4.5
960,12.293,0.385,16.6,4.4852,4.5
970,12.293,0.385,16.6,4.4866,4.5
980,12.293,0.385,16.6,4.4879,4.5
990,12.293,0.385,16.6,4.4891,4.5
1000,15.55,0.385,16.6,4.4902,4.5
