t,u1,u2,u3,y,ysp
10,12.162,0.55,16.6,7,5
20,10.613,0.55,16.6,7.0015,5
30,9.9607,0.55,16.6,6.8317,5
40,9.7377,0.55,16.6,6.6474,5
50,9.7125,0.55,16.6,6.4827,5
60,9.7738,0.55,16.6,6.3384,5
70,9.8695,0.55,16.6,6.2098,5
80,9.975,0.55,16.6,6.0929,5
90,10.081,0.55,16.6,5.9847,5
100,10.182,0.55,16.6,5.8831,5
110,10.275,0.55,16.6,5.7866,5
120,10.36,0.55,16.6,5.6943,5
130,10.44,0.55,16.6,5.6057,5
140,10.512,0.55,16.6,5.5205,5
150,10.576,0.55,16.6,5.4392,5
160,10.635,0.55,16.6,5.3621,5
170,10.688,0.55,16.6,5.29,5
180,10.737,0.55,16.6,5.2237,5
190,10.78,0.55,16.6,5.164,5
200,10.817,0.55,16.6,5.1115,5
210,10.851,0.55,16.6,5.0666,5
220,10.882,0.55,16.6,5.029,5
230,10.908,0.55,16.6,4.9985,5
240,10.932,0.55,16.6,4.9743,5
250,10.952,0.55,16.6,4.9556,5
260,10.971,0.55,16.6,4.9418,5
270,10.986,0.55,16.6,4.9321,5
280,11,0.55,16.6,4.9259,5
290,11.011,0.55,16.6,4.9223,5
300,11.022,0.55,16.6,4.9211,5
310,11.029,0.55,16.6,4.9215,5
320,11.037,0.55,16.6,4.9234,5
330,11.044,0.55,16.6,4.9261,5
340,11.048,0.55,16.6,4.9297,5
350,11.053,0.55,16.6,4.9338,5
360,11.056,0.55,16.6,4.9381,5
370,11.058,0.55,16.6,4.9426,5
380,11.061,0.55,16.6,4.9471,5
390,11.063,0.55,16.6,4.9514,5
400,11.064,0.55,16.6,4.9558,5
410,11.066,0.55,16.6,4.9599,5
420,11.066,0.55,16.6,4.9638,5
430,11.067,0.55,16.6,4.9675,5
440,11.067,0.55,16.6,4.9709,5
450,11.067,0.55,16.6,4.9741,5
460,11.068,0.55,16.6,4.977,5
470,11.068,0.55,16.6,4.9796,5
480,11.068,0.55,16.6,4.982,5
490,11.067,0.55,16.6,4.9842,5
500,11.067,0.55,16.6,4.9861,5
510,15.186,0.55,16.6,4.9879,8
520,17.066,0.55,16.6,4.9894,8
530,17.898,0.55,16.6,5.4148,8
540,18.222,0.55,16.6,5.7505,8
550,18.291,0.55,16.6,5.9956,8
560,18.231,0.55,16.6,6.191,8
570,18.103,0.55,16.6,6.3577,8
580,17.946,0.55,16.6,6.5067,8
590,17.776,0.55,16.6,6.6444,8
600,17.61,0.55,16.6,6.7747,8
610,17.453,0.55,16.6,6.9001,8
620,17.308,0.55,16.6,7.0224,8
630,17.179,0.55,16.6,7.1424,8
640,17.066,0.55,16.6,7.2607,8
650,16.969,0.55,16.6,7.3771,8
660,16.886,0.55,16.6,7.4908,8
670,16.817,0.55,16.6,7.6003,8
680,16.759,0.55,16.6,7.7031,8
690,16.711,0.55,16.6,7.7962,8
700,16.671,0.55,16.6,7.8769,8
710,16.638,0.55,16.6,7.9432,8
720,16.612,0.55,16.6,7.9947,8
730,16.591,0.55,16.6,8.0325,8
740,16.575,0.55,16.6,8.0587,8
750,16.562,0.55,16.6,8.0755,8
760,16.552,0.55,16.6,8.0852,8
770,16.543,0.55,16.6,8.0897,8
780,16.537,0.55,16.6,8.0902,8
790,16.531,0.55,16.6,8.088,8
800,16.528,0.55,16.6,8.0839,8
810,16.525,0.55,16.6,8.0785,8
820,16.522,0.55,16.6,8.0725,8
830,16.521,0.55,16.6,8.0663,8
840,16.52,0.55,16.6,8.06,8
850,16.519,0.55,16.6,8.0543,8
860,16.518,0.55,16.6,8.0489,8
870,16.518,0.55,16.6,8.0438,8
880,16.517,0.55,16.6,8.039,8
890,16.517,0.55,16.6,8.0347,8
900,16.518,0.55,16.6,8.0307,8
910,16.517,0.55,16.6,8.0272,8
920,16.517,0.55,16.6,8.0242,8
930,16.517,0.55,16.6,8.0213,8
940,16.517,0.55,16.6,8.0187,8
950,16.517,0.55,16.6,8.0167,8
960,16.517,0.55,16.6,8.0147,8
970,16.517,0.55,16.6,8.0132,8
980,16.517,0.55,16.6,8.0117,8
990,16.517,0.55,16.6,8.0103,8
1000,16.517,0.55,16.6,8.0092,8
1010,12.129,0.55,16.6,8.0082,4.5
1020,10.126,0.55,16.6,8.0073,4.5
1030,9.2916,0.55,16.6,7.2929,4.5
1040,9.0148,0.55,16.6,6.9091,4.5
1050,8.9938,0.55,16.6,6.6533,4.5
1060,9.0816,0.55,16.6,6.4565,4.5
1070,9.2096,0.55,16.6,6.292,4.5
1080,9.3471,0.55,16.6,6.1466,4.5
1090,9.4806,0.55,16.6,6.0128,4.5
1100,9.6058,0.55,16.6,5.8858,4.5
1110,9.7209,0.55,16.6,5.7619,4.5
1120,9.8272,0.55,16.6,5.6385,4.5
1130,9.9238,0.55,16.6,5.5132,4.5
1140,10.011,0.55,16.6,5.3845,4.5
1150,10.091,0.55,16.6,5.2516,4.5
1160,10.163,0.55,16.6,5.1158,4.5
1170,10.228,0.55,16.6,4.9824,4.5
1180,10.288,0.55,16.6,4.8593,4.5
1190,10.341,0.55,16.6,4.754,4.5
1200,10.389,0.55,16.6,4.6692,4.5
1210,10.431,0.55,16.6,4.6032,4.5
1220,10.469,0.55,16.6,4.5528,4.5
1230,10.503,0.55,16.6,4.5145,4.5
1240,10.533,0.55,16.6,4.4857,4.5
1250,10.56,0.55,16.6,4.4644,4.5
1260,10.582,0.55,16.6,4.4488,4.5
1270,10.603,0.55,16.6,4.4379,4.5
1280,10.62,0.55,16.6,4.4305,4.5
1290,10.636,0.55,16.6,4.426,4.5
1300,10.649,0.55,16.6,4.4237,4.5
1310,10.66,0.55,16.6,4.4232,4.5
1320,10.669,0.55,16.6,4.4242,4.5
1330,10.677,0.55,16.6,4.4263,4.5
1340,10.684,0.55,16.6,4.429,4.5
1350,10.689,0.55,16.6,4.4323,4.5
1360,10.694,0.55,16.6,4.4361,4.5
1370,10.698,0.55,16.6,4.4401,4.5
1380,10.701,0.55,16.6,4.4443,4.5
1390,10.703,0.55,16.6,4.4484,4.5
1400,10.706,0.55,16.6,4.4525,4.5
1410,10.707,0.55,16.6,4.4566,4.5
1420,10.71,0.55,16.6,4.4605,4.5
1430,10.711,0.55,16.6,4.4642,4.5
1440,10.711,0.55,16.6,4.4678,4.5
1450,10.711,0.55,16.6,4.4713,4.5
1460,10.712,0.55,16.6,4.4744,4.5
1470,10.712,0.55,16.6,4.4773,4.5
1480,10.712,0.55,16.6,4.48,4.5
1490,10.711,0.55,16.6,4.4825,4.5
1500,10.711,0.55,16.6,4.4846,4.5
1510,10.711,0.55,16.6,4.4866,4.5
1520,10.71,0.55,16.6,4.4884,4.5
1530,10.711,0.55,16.6,4.4899,4.5
1540,10.711,0.55,16.6,4.4913,4.5
1550,10.71,0.55,16.6,4.4926,4.5
1560,10.71,0.55,16.6,4.4937,4.5
1570,10.71,0.55,16.6,4.4946,4.5
1580,10.71,0.55,16.6,4.4954,4.5
