t,u1,u2,u3,y,ysp
10,10.59,0.55,16.6,7,5
20,7.9835,0.55,16.6,7.0015,5
30,6.9196,0.55,16.6,6.7645,5
40,6.7825,0.55,16.6,6.5069,5
50,7.1417,0.55,16.6,6.2696,5
60,7.7179,0.55,16.6,6.0475,5
70,8.3488,0.55,16.6,5.831,5
80,8.9454,0.55,16.6,5.6114,5
90,9.47,0.55,16.6,5.3824,5
100,9.9074,0.55,16.6,5.1468,5
110,10.26,0.55,16.6,4.9313,5
120,10.534,0.55,16.6,4.7744,5
130,10.742,0.55,16.6,4.6832,5
140,10.896,0.55,16.6,4.6408,5
150,11.005,0.55,16.6,4.6309,5
160,11.078,0.55,16.6,4.6426,5
170,11.124,0.55,16.6,4.6681,5
180,11.151,0.55,16.6,4.7017,5
190,11.163,0.55,16.6,4.7391,5
200,11.165,0.55,16.6,4.7771,5
210,11.162,0.55,16.6,4.8133,5
220,11.154,0.55,16.6,4.8463,5
230,11.144,0.55,16.6,4.8755,5
240,11.132,0.55,16.6,4.9006,5
250,11.12,0.55,16.6,4.9216,5
260,11.11,0.55,16.6,4.9386,5
270,11.102,0.55,16.6,4.9523,5
280,11.093,0.55,16.6,4.9632,5
290,11.087,0.55,16.6,4.9719,5
300,11.081,0.55,16.6,4.9785,5
310,17.105,0.55,16.6,4.9836,8
320,20.268,0.55,16.6,4.9874,8
330,21.634,0.55,16.6,5.5491,8
340,21.885,0.55,16.6,5.9618,8
350,21.477,0.55,16.6,6.279,8
360,20.72,0.55,16.6,6.5609,8
370,19.829,0.55,16.6,6.8422,8
380,18.95,0.55,16.6,7.157,8
390,18.171,0.55,16.6,7.5718,8
400,17.536,0.55,16.6,8.2309,8
410,17.056,0.55,16.6,8.6878,8
420,16.72,0.55,16.6,8.8327,8
430,16.502,0.55,16.6,8.8631,8
440,16.378,0.55,16.6,8.8347,8
450,16.32,0.55,16.6,8.7686,8
460,16.307,0.55,16.6,8.6757,8
470,16.322,0.55,16.6,8.5644,8
480,16.352,0.55,16.6,8.4455,8
490,16.385,0.55,16.6,8.3322,8
500,16.418,0.55,16.6,8.2366,8
510,16.447,0.55,16.6,8.1629,8
520,16.471,0.55,16.6,8.11,8
530,16.489,0.55,16.6,8.074,8
540,16.503,0.55,16.6,8.0505,8
550,16.512,0.55,16.6,8.0357,8
560,16.516,0.55,16.6,8.0271,8
570,16.518,0.55,16.6,8.0223,8
580,16.52,0.55,16.6,8.0194,8
590,16.52,0.55,16.6,8.0175,8
600,16.521,0.55,16.6,8.0165,8
610,16.521,0.55,16.6,8.0155,8
620,16.52,0.55,16.6,8.015,8
630,16.519,0.55,16.6,8.0144,8
640,16.518,0.55,16.6,8.0137,8
650,16.517,0.55,16.6,8.0128,8
660,16.518,0.55,16.6,8.0117,8
670,16.518,0.55,16.6,8.0103,8
680,16.517,0.55,16.6,8.0093,8
690,16.516,0.55,16.6,8.0085,8
700,16.516,0.55,16.6,8.0075,8
710,10.093,0.55,16.6,8.0065,4.5
720,6.7204,0.55,16.6,8.0054,4.5
730,5.3651,0.55,16.6,7.1328,4.5
740,5.2145,0.55,16.6,6.6876,4.5
750,5.6974,0.55,16.6,6.3662,4.5
760,6.4493,0.55,16.6,6.0877,4.5
770,7.2603,0.55,16.6,5.8144,4.5
780,8.019,0.55,16.6,5.5139,4.5
790,8.6807,0.55,16.6,5.1426,4.5
800,9.2311,0.55,16.6,4.7224,4.5
810,9.6716,0.55,16.6,4.4483,4.5
820,10.017,0.55,16.6,4.3116,4.5
830,10.279,0.55,16.6,4.2432,4.5
840,10.475,0.55,16.6,4.212,4.5
850,10.614,0.55,16.6,4.2033,4.5
860,10.711,0.55,16.6,4.2091,4.5
870,10.773,0.55,16.6,4.2244,4.5
880,10.811,0.55,16.6,4.2459,4.5
890,10.83,0.55,16.6,4.2711,4.5
900,10.834,0.55,16.6,4.2981,4.5
910,10.831,0.55,16.6,4.3254,4.5
920,10.821,0.55,16.6,4.3516,4.5
930,10.81,0.55,16.6,4.3762,4.5
940,10.797,0.55,16.6,4.3983,4.5
950,10.784,0.55,16.6,4.4178,4.5
960,10.77,0.55,16.6,4.4346,4.5
970,10.758,0.55,16.6,4.4488,4.5
980,10.748,0.55,16.6,4.4604,4.5
990,10.739,0.55,16.6,4.4697,4.5
1000,15.55,0.55,16.6,4.4772,4.5
