t,y,yref
10,7,7
20,7.1467,7.0015
30,7.2282,6.8648
40,7.1677,6.6808
50,6.9496,6.4844
60,6.5896,6.281
70,6.117,6.0617
80,5.5667,5.8039
90,4.9936,5.4723
100,4.4946,5.0783
110,4.0988,4.6656
120,3.8039,4.4106
130,3.6009,4.2817
140,3.4749,4.213
150,3.4074,4.1738
160,3.3811,4.1497
170,3.3819,4.1337
180,3.3991,4.1222
190,3.4253,4.1131
200,3.4556,4.1054
210,3.4869,4.0987
220,3.5173,4.0925
230,3.5457,4.0868
240,3.5717,4.0814
250,3.5951,4.0764
260,3.6159,4.0716
270,3.6342,4.067
280,3.6503,4.0628
290,3.6643,4.0587
300,3.6765,4.0549
310,3.687,4.0513
320,3.696,4.0479
330,3.7038,4.0448
340,3.7104,4.0418
350,3.716,4.039
360,3.7207,4.0363
370,3.7247,4.0339
380,3.7281,4.0316
390,3.7308,4.0294
400,3.7331,4.0274
410,3.7349,4.0255
420,3.7364,4.0237
430,3.7784,4.0619
440,3.8629,4.1251
450,3.9788,4.2073
460,4.1135,4.3062
470,4.2557,4.4203
480,4.3965,4.5457
490,4.529,4.6727
500,4.648,4.7869
510,4.7499,4.8776
520,4.8328,4.9421
530,4.8968,4.9843
540,4.9435,5.0095
550,4.9755,5.0227
560,4.9957,5.028
570,5.0071,5.0283
580,5.0123,5.0258
590,5.0134,5.022
600,5.0119,5.0179
610,5.009,5.0139
620,5.0056,5.0104
630,5.0022,5.0075
640,4.999,5.0053
650,4.9963,5.0036
660,4.994,5.0025
670,4.9922,5.0017
680,4.9907,5.0012
690,4.9896,5.0009
700,4.9887,5.0007
710,4.988,5.0006
720,4.9875,5.0006
730,4.9871,5.0006
740,4.9868,5.0006
750,4.9865,5.0006
760,4.9863,5.0006
770,4.9861,5.0005
780,4.9858,5.0005
790,4.9856,5.0004
800,4.9854,5.0002
810,4.9852,5
820,4.9849,4.9998
830,5.0254,5.0997
840,5.1085,5.2273
850,5.2209,5.3431
860,5.347,5.4371
870,5.4749,5.5111
880,5.597,5.5698
890,5.7095,5.6171
900,5.8113,5.6559
910,5.9024,5.6885
920,5.9838,5.7164
930,6.0566,5.7405
940,6.122,5.7618
950,6.181,5.7807
960,6.2347,5.7977
970,6.2838,5.8131
980,6.3289,5.8272
990,6.3706,5.8401
1000,6.4092,5.852
1010,6.4452,5.8629
1020,6.4789,5.8731
1030,6.5104,5.8826
1040,6.5399,5.8914
1050,6.5677,5.8996
1060,6.5938,5.9073
1070,6.6184,5.9145
1080,6.6415,5.9211
1090,6.6632,5.9274
1100,6.6836,5.9332
1110,6.7028,5.9386
1120,6.7207,5.9436
1130,6.7376,5.9483
1140,6.7534,5.9527
1150,6.7681,5.9567
1160,6.7818,5.9604
1170,6.7947,5.9639
1180,6.8066,5.9671
1190,6.8176,5.97
1200,6.8279,5.9727
1210,6.8374,5.9752
1220,6.8461,5.9775
1230,6.898,6.0111
1240,7.0005,6.0613
1250,7.1488,6.1203
1260,7.3352,6.1849
1270,7.5519,6.2529
1280,7.791,6.3228
1290,8.0448,6.3934
1300,8.3055,6.4637
1310,8.5663,6.5328
1320,8.821,6.6002
1330,9.065,6.6651
1340,9.2943,6.7272
1350,9.506,6.7855
1360,9.6982,6.8395
1370,9.8695,6.8882
1380,10.019,6.9309
1390,10.148,6.9669
1400,10.255,6.9957
1410,10.342,7.0174
1420,10.412,7.0326
1430,10.464,7.0419
1440,10.503,7.0465
1450,10.531,7.0475
1460,10.549,7.046
1470,10.559,7.0427
1480,10.565,7.0385
1490,10.566,7.0338
1500,10.564,7.029
1510,10.561,7.0244
1520,10.557,7.0201
1530,10.553,7.0163
1540,10.548,7.0129
1550,10.544,7.0099
1560,10.54,7.0075
1570,10.536,7.0055
1580,10.534,7.0039
1590,10.531,7.0026
1600,10.53,7.0017
1610,10.529,7.0009
1620,10.528,7.0004
1630,10.573,7.0525
1640,10.675,7.1496
1650,10.827,7.2915
1660,11.006,7.4765
1670,11.179,7.665
1680,11.318,7.8001
1690,11.424,7.8899
1700,11.501,7.9488
1710,11.557,7.9854
1720,11.596,8.0059
1730,11.625,8.0157
1740,11.645,8.0189
1750,11.66,8.0186
1760,11.671,8.0167
1770,11.679,8.0143
1780,11.685,8.012
1790,11.69,8.01
1800,11.694,8.0083
1810,11.698,8.0069
1820,11.701,8.0058
1830,11.704,8.0049
1840,11.707,8.0042
1850,11.709,8.0036
1860,11.711,8.0031
1870,11.713,8.0026
1880,11.715,8.0023
1890,11.716,8.002
1900,11.718,8.0017
1910,11.719,8.0015
1920,11.72,8.0013
1930,11.721,8.0011
1940,11.722,8.0009
1950,11.723,8.0008
1960,11.724,8.0007
1970,11.724,8.0006
1980,11.725,8.0005
1990,11.726,8.0005
