t,u1,u2,u3,y,ysp
10,12.935,0.55,16.6,7,4
20,10.596,0.55,16.6,7.0015,4
30,8.6351,0.55,16.6,6.867,4
40,7.204,0.55,16.6,6.6724,4
50,6.3336,0.55,16.6,6.459,4
60,5.9944,0.55,16.6,6.2371,4
70,6.12,0.55,16.6,5.9993,4
80,6.5439,0.55,16.6,5.7243,4
90,6.9581,0.55,16.6,5.3602,4
100,7.2646,0.55,16.6,4.8025,4
110,7.6579,0.55,16.6,4.3317,4
120,8.089,0.55,16.6,4.1011,4
130,8.5113,0.55,16.6,3.974,4
140,8.8979,0.55,16.6,3.8979,4
150,9.2351,0.55,16.6,3.852,4
160,9.5175,0.55,16.6,3.8259,4
170,9.7449,0.55,16.6,3.8138,4
180,9.9205,0.55,16.6,3.8116,4
190,10.05,0.55,16.6,3.8167,4
200,10.139,0.55,16.6,3.8268,4
210,10.194,0.55,16.6,3.8405,4
220,10.224,0.55,16.6,3.8562,4
230,10.235,0.55,16.6,3.8729,4
240,10.231,0.55,16.6,3.8897,4
250,10.219,0.55,16.6,3.9058,4
260,10.202,0.55,16.6,3.9208,4
270,10.183,0.55,16.6,3.9344,4
280,10.164,0.55,16.6,3.9463,4
290,10.146,0.55,16.6,3.9566,4
300,10.13,0.55,16.6,3.9653,4
310,10.115,0.55,16.6,3.9725,4
320,10.103,0.55,16.6,3.9785,4
330,10.093,0.55,16.6,3.9833,4
340,10.085,0.55,16.6,3.9872,4
350,10.078,0.55,16.6,3.9902,4
360,10.073,0.55,16.6,3.9927,4
370,10.068,0.55,16.6,3.9946,4
380,10.065,0.55,16.6,3.9961,4
390,10.062,0.55,16.6,3.9972,4
400,10.059,0.55,16.6,3.9981,4
410,10.853,0.55,16.6,3.9988,5
420,11.599,0.55,16.6,3.9993,5
430,12.029,0.55,16.6,4.0377,5
440,12.172,0.55,16.6,4.1173,5
450,12.134,0.55,16.6,4.2336,5
460,12.01,0.55,16.6,4.3807,5
470,11.866,0.55,16.6,4.5487,5
480,11.721,0.55,16.6,4.7164,5
490,11.574,0.55,16.6,4.8588,5
500,11.431,0.55,16.6,4.9643,5
510,11.304,0.55,16.6,5.0349,5
520,11.2,0.55,16.6,5.0776,5
530,11.122,0.55,16.6,5.0993,5
540,11.07,0.55,16.6,5.1062,5
550,11.038,0.55,16.6,5.1033,5
560,11.023,0.55,16.6,5.0943,5
570,11.019,0.55,16.6,5.0823,5
580,11.021,0.55,16.6,5.0695,5
590,11.027,0.55,16.6,5.0572,5
600,11.034,0.55,16.6,5.0463,5
610,11.041,0.55,16.6,5.037,5
620,11.047,0.55,16.6,5.0295,5
630,11.052,0.55,16.6,5.0237,5
640,11.056,0.55,16.6,5.0191,5
650,11.059,0.55,16.6,5.0157,5
660,11.061,0.55,16.6,5.0131,5
670,11.062,0.55,16.6,5.0111,5
680,11.063,0.55,16.6,5.0096,5
690,11.064,0.55,16.6,5.0083,5
700,11.064,0.55,16.6,5.0074,5
710,11.064,0.55,16.6,5.0065,5
720,11.064,0.55,16.6,5.0058,5
730,11.064,0.55,16.6,5.0052,5
740,11.064,0.55,16.6,5.0046,5
750,11.064,0.55,16.6,5.0041,5
760,11.064,0.55,16.6,5.0037,5
770,11.064,0.55,16.6,5.0032,5
780,11.064,0.55,16.6,5.0028,5
790,11.064,0.55,16.6,5.0025,5
800,11.064,0.55,16.6,5.0021,5
810,11.859,0.55,16.6,5.0018,6
820,12.514,0.55,16.6,5.0015,6
830,12.978,0.55,16.6,5.1012,6
840,13.282,0.55,16.6,5.2502,6
850,13.46,0.55,16.6,5.3998,6
860,13.544,0.55,16.6,5.5306,6
870,13.559,0.55,16.6,5.6399,6
880,13.524,0.55,16.6,5.7298,6
890,13.457,0.55,16.6,5.8033,6
900,13.372,0.55,16.6,5.8629,6
910,13.279,0.55,16.6,5.9107,6
920,13.185,0.55,16.6,5.9486,6
930,13.096,0.55,16.6,5.978,6
940,13.012,0.55,16.6,6.0004,6
950,12.938,0.55,16.6,6.0169,6
960,12.872,0.55,16.6,6.0285,6
970,12.815,0.55,16.6,6.0362,6
980,12.767,0.55,16.6,6.0407,6
990,12.728,0.55,16.6,6.0427,6
1000,12.696,0.55,16.6,6.0428,6
1010,12.671,0.55,16.6,6.0415,6
1020,12.651,0.55,16.6,6.0392,6
1030,12.637,0.55,16.6,6.0362,6
1040,12.627,0.55,16.6,6.0328,6
1050,12.62,0.55,16.6,6.0293,6
1060,12.617,0.55,16.6,6.0257,6
1070,12.615,0.55,16.6,6.0223,6
1080,12.615,0.55,16.6,6.0191,6
1090,12.616,0.55,16.6,6.0161,6
1100,12.617,0.55,16.6,6.0134,6
1110,12.62,0.55,16.6,6.0111,6
1120,12.622,0.55,16.6,6.009,6
1130,12.625,0.55,16.6,6.0072,6
1140,12.627,0.55,16.6,6.0057,6
1150,12.63,0.55,16.6,6.0045,6
1160,12.632,0.55,16.6,6.0035,6
1170,12.634,0.55,16.6,6.0026,6
1180,12.636,0.55,16.6,6.002,6
1190,12.637,0.55,16.6,6.0014,6
1200,12.639,0.55,16.6,6.001,6
1210,13.49,0.55,16.6,6.0007,7
1220,14.359,0.55,16.6,6.0005,7
1230,15.061,0.55,16.6,6.0312,7
1240,15.591,0.55,16.6,6.0887,7
1250,15.98,0.55,16.6,6.1623,7
1260,16.253,0.55,16.6,6.2439,7
1270,16.428,0.55,16.6,6.3284,7
1280,16.525,0.55,16.6,6.4132,7
1290,16.557,0.55,16.6,6.4963,7
1300,16.54,0.55,16.6,6.5766,7
1310,16.486,0.55,16.6,6.6532,7
1320,16.405,0.55,16.6,6.725,7
1330,16.307,0.55,16.6,6.7912,7
1340,16.201,0.55,16.6,6.8507,7
1350,16.093,0.55,16.6,6.9026,7
1360,15.988,0.55,16.6,6.9463,7
1370,15.891,0.55,16.6,6.9815,7
1380,15.805,0.55,16.6,7.0083,7
1390,15.732,0.55,16.6,7.0273,7
1400,15.671,0.55,16.6,7.0394,7
1410,15.623,0.55,16.6,7.0458,7
1420,15.586,0.55,16.6,7.0478,7
1430,15.558,0.55,16.6,7.0467,7
1440,15.539,0.55,16.6,7.0434,7
1450,15.527,0.55,16.6,7.0389,7
1460,15.52,0.55,16.6,7.0338,7
1470,15.517,0.55,16.6,7.0286,7
1480,15.517,0.55,16.6,7.0235,7
1490,15.519,0.55,16.6,7.019,7
1500,15.522,0.55,16.6,7.0149,7
1510,15.526,0.55,16.6,7.0114,7
1520,15.529,0.55,16.6,7.0085,7
1530,15.533,0.55,16.6,7.0062,7
1540,15.537,0.55,16.6,7.0043,7
1550,15.54,0.55,16.6,7.0029,7
1560,15.543,0.55,16.6,7.0019,7
1570,15.545,0.55,16.6,7.0011,7
1580,15.547,0.55,16.6,7.0006,7
1590,15.548,0.55,16.6,7.0003,7
1600,15.549,0.55,16.6,7.0001,7
1610,16.422,0.55,16.6,7,8
1620,17.276,0.55,16.6,7,8
1630,17.792,0.55,16.6,7.0515,8
1640,17.882,0.55,16.6,7.1606,8
1650,17.64,0.55,16.6,7.3263,8
1660,17.25,0.55,16.6,7.5441,8
1670,16.876,0.55,16.6,7.7948,8
1680,16.605,0.55,16.6,8.0144,8
1690,16.457,0.55,16.6,8.128,8
1700,16.407,0.55,16.6,8.1419,8
1710,16.415,0.55,16.6,8.1048,8
1720,16.447,0.55,16.6,8.0566,8
1730,16.482,0.55,16.6,8.0181,8
1740,16.507,0.55,16.6,7.9949,8
1750,16.521,0.55,16.6,7.9849,8
1760,16.526,0.55,16.6,7.9837,8
1770,16.526,0.55,16.6,7.9868,8
1780,16.523,0.55,16.6,7.9912,8
1790,16.52,0.55,16.6,7.9949,8
1800,16.518,0.55,16.6,7.9974,8
1810,16.516,0.55,16.6,7.9986,8
1820,16.516,0.55,16.6,7.9991,8
1830,16.516,0.55,16.6,7.999,8
1840,16.516,0.55,16.6,7.9988,8
1850,16.517,0.55,16.6,7.9987,8
1860,16.517,0.55,16.6,7.9986,8
1870,16.517,0.55,16.6,7.9987,8
1880,16.517,0.55,16.6,7.9988,8
1890,16.517,0.55,16.6,7.9989,8
1900,16.517,0.55,16.6,7.999,8
1910,16.517,0.55,16.6,7.9992,8
1920,16.517,0.55,16.6,7.9993,8
1930,16.517,0.55,16.6,7.9993,8
1940,16.517,0.55,16.6,7.9994,8
1950,16.517,0.55,16.6,7.9995,8
1960,16.517,0.55,16.6,7.9995,8
1970,16.517,0.55,16.6,7.9996,8
1980,16.517,0.55,16.6,7.9996,8
1990,16.517,0.55,16.6,7.9997,8
