t,u1,u2,u3,y,ysp
10,12.578,0.55,16.6,7,4
20,10.007,0.55,16.6,7.0015,4
30,8.0775,0.55,16.6,6.8505,4
40,6.7731,0.55,16.6,6.6388,4
50,6.0484,0.55,16.6,6.4146,4
60,5.8491,0.55,16.6,6.1837,4
70,6.0875,0.55,16.6,5.9338,4
80,6.524,0.55,16.6,5.6356,4
90,6.7654,0.55,16.6,5.2147,4
100,7.0454,0.55,16.6,4.6037,4
110,7.4944,0.55,16.6,4.2136,4
120,8.0078,0.55,16.6,4.0197,4
130,8.5143,0.55,16.6,3.9098,4
140,8.9737,0.55,16.6,3.845,4
150,9.3659,0.55,16.6,3.8081,4
160,9.6836,0.55,16.6,3.7902,4
170,9.9279,0.55,16.6,3.7859,4
180,10.105,0.55,16.6,3.7912,4
190,10.223,0.55,16.6,3.8034,4
200,10.294,0.55,16.6,3.8202,4
210,10.327,0.55,16.6,3.8399,4
220,10.332,0.55,16.6,3.861,4
230,10.319,0.55,16.6,3.8821,4
240,10.295,0.55,16.6,3.9023,4
250,10.264,0.55,16.6,3.9209,4
260,10.232,0.55,16.6,3.9375,4
270,10.201,0.55,16.6,3.9518,4
280,10.173,0.55,16.6,3.9638,4
290,10.147,0.55,16.6,3.9735,4
300,10.126,0.55,16.6,3.9813,4
310,10.108,0.55,16.6,3.9873,4
320,10.093,0.55,16.6,3.9918,4
330,10.082,0.55,16.6,3.9952,4
340,10.073,0.55,16.6,3.9976,4
350,10.066,0.55,16.6,3.9992,4
360,10.06,0.55,16.6,4.0003,4
370,10.056,0.55,16.6,4.0009,4
380,10.054,0.55,16.6,4.0013,4
390,10.052,0.55,16.6,4.0014,4
400,10.05,0.55,16.6,4.0014,4
410,11.115,0.55,16.6,4.0013,5
420,11.803,0.55,16.6,4.0011,5
430,12.125,0.55,16.6,4.0528,5
440,12.195,0.55,16.6,4.146,5
450,12.118,0.55,16.6,4.274,5
460,11.982,0.55,16.6,4.4308,5
470,11.837,0.55,16.6,4.6036,5
480,11.687,0.55,16.6,4.7681,5
490,11.531,0.55,16.6,4.9014,5
500,11.384,0.55,16.6,4.9961,5
510,11.259,0.55,16.6,5.0566,5
520,11.162,0.55,16.6,5.0906,5
530,11.093,0.55,16.6,5.1055,5
540,11.049,0.55,16.6,5.1073,5
550,11.026,0.55,16.6,5.1007,5
560,11.016,0.55,16.6,5.0895,5
570,11.016,0.55,16.6,5.0764,5
580,11.021,0.55,16.6,5.0632,5
590,11.029,0.55,16.6,5.0511,5
600,11.036,0.55,16.6,5.0408,5
610,11.044,0.55,16.6,5.0323,5
620,11.05,0.55,16.6,5.0255,5
630,11.054,0.55,16.6,5.0204,5
640,11.058,0.55,16.6,5.0165,5
650,11.061,0.55,16.6,5.0135,5
660,11.062,0.55,16.6,5.0114,5
670,11.063,0.55,16.6,5.0098,5
680,11.064,0.55,16.6,5.0085,5
690,11.064,0.55,16.6,5.0075,5
700,11.064,0.55,16.6,5.0067,5
710,11.064,0.55,16.6,5.006,5
720,11.064,0.55,16.6,5.0054,5
730,11.064,0.55,16.6,5.0048,5
740,11.064,0.55,16.6,5.0043,5
750,11.064,0.55,16.6,5.0038,5
760,11.064,0.55,16.6,5.0034,5
770,11.064,0.55,16.6,5.003,5
780,11.064,0.55,16.6,5.0026,5
790,11.064,0.55,16.6,5.0023,5
800,11.064,0.55,16.6,5.002,5
810,12.046,0.55,16.6,5.0017,6
820,12.779,0.55,16.6,5.0014,6
830,13.275,0.55,16.6,5.1232,6
840,13.58,0.55,16.6,5.2916,6
850,13.733,0.55,16.6,5.4519,6
860,13.77,0.55,16.6,5.5876,6
870,13.728,0.55,16.6,5.6982,6
880,13.637,0.55,16.6,5.7872,6
890,13.521,0.55,16.6,5.8581,6
900,13.396,0.55,16.6,5.9138,6
910,13.273,0.55,16.6,5.9569,6
920,13.158,0.55,16.6,5.9897,6
930,13.053,0.55,16.6,6.0138,6
940,12.961,0.55,16.6,6.031,6
950,12.881,0.55,16.6,6.0426,6
960,12.814,0.55,16.6,6.0496,6
970,12.758,0.55,16.6,6.053,6
980,12.713,0.55,16.6,6.0537,6
990,12.678,0.55,16.6,6.0523,6
1000,12.65,0.55,16.6,6.0495,6
1010,12.631,0.55,16.6,6.0457,6
1020,12.617,0.55,16.6,6.0413,6
1030,12.608,0.55,16.6,6.0367,6
1040,12.603,0.55,16.6,6.032,6
1050,12.601,0.55,16.6,6.0275,6
1060,12.601,0.55,16.6,6.0233,6
1070,12.603,0.55,16.6,6.0194,6
1080,12.606,0.55,16.6,6.0159,6
1090,12.61,0.55,16.6,6.0128,6
1100,12.614,0.55,16.6,6.0101,6
1110,12.618,0.55,16.6,6.0079,6
1120,12.622,0.55,16.6,6.006,6
1130,12.625,0.55,16.6,6.0045,6
1140,12.629,0.55,16.6,6.0032,6
1150,12.632,0.55,16.6,6.0023,6
1160,12.634,0.55,16.6,6.0015,6
1170,12.636,0.55,16.6,6.0009,6
1180,12.638,0.55,16.6,6.0005,6
1190,12.64,0.55,16.6,6.0002,6
1200,12.641,0.55,16.6,6,6
1210,13.73,0.55,16.6,5.9999,7
1220,14.595,0.55,16.6,5.9998,7
1230,15.248,0.55,16.6,6.0393,7
1240,15.734,0.55,16.6,6.1038,7
1250,16.086,0.55,16.6,6.1816,7
1260,16.327,0.55,16.6,6.2655,7
1270,16.476,0.55,16.6,6.3511,7
1280,16.551,0.55,16.6,6.4362,7
1290,16.566,0.55,16.6,6.5191,7
1300,16.535,0.55,16.6,6.5989,7
1310,16.47,0.55,16.6,6.6745,7
1320,16.382,0.55,16.6,6.7451,7
1330,16.279,0.55,16.6,6.8096,7
1340,16.171,0.55,16.6,6.8672,7
1350,16.062,0.55,16.6,6.9169,7
1360,15.959,0.55,16.6,6.9582,7
1370,15.864,0.55,16.6,6.9909,7
1380,15.782,0.55,16.6,7.0153,7
1390,15.711,0.55,16.6,7.032,7
1400,15.654,0.55,16.6,7.0422,7
1410,15.609,0.55,16.6,7.0471,7
1420,15.575,0.55,16.6,7.0479,7
1430,15.551,0.55,16.6,7.046,7
1440,15.534,0.55,16.6,7.0422,7
1450,15.524,0.55,16.6,7.0373,7
1460,15.518,0.55,16.6,7.0321,7
1470,15.516,0.55,16.6,7.0268,7
1480,15.517,0.55,16.6,7.0219,7
1490,15.519,0.55,16.6,7.0175,7
1500,15.523,0.55,16.6,7.0136,7
1510,15.527,0.55,16.6,7.0103,7
1520,15.531,0.55,16.6,7.0076,7
1530,15.534,0.55,16.6,7.0054,7
1540,15.538,0.55,16.6,7.0037,7
1550,15.541,0.55,16.6,7.0024,7
1560,15.544,0.55,16.6,7.0015,7
1570,15.546,0.55,16.6,7.0008,7
1580,15.547,0.55,16.6,7.0004,7
1590,15.549,0.55,16.6,7.0001,7
1600,15.55,0.55,16.6,7,7
1610,16.645,0.55,16.6,6.9999,8
1620,17.443,0.55,16.6,6.9999,8
1630,17.811,0.55,16.6,7.0653,8
1640,17.822,0.55,16.6,7.188,8
1650,17.561,0.55,16.6,7.361,8
1660,17.183,0.55,16.6,7.5809,8
1670,16.829,0.55,16.6,7.8265,8
1680,16.58,0.55,16.6,8.0304,8
1690,16.449,0.55,16.6,8.1276,8
1700,16.41,0.55,16.6,8.1331,8
1710,16.423,0.55,16.6,8.0947,8
1720,16.455,0.55,16.6,8.049,8
1730,16.487,0.55,16.6,8.014,8
1740,16.51,0.55,16.6,7.9936,8
1750,16.522,0.55,16.6,7.9855,8
1760,16.526,0.55,16.6,7.9851,8
1770,16.525,0.55,16.6,7.9883,8
1780,16.522,0.55,16.6,7.9923,8
1790,16.52,0.55,16.6,7.9957,8
1800,16.517,0.55,16.6,7.9978,8
1810,16.516,0.55,16.6,7.9989,8
1820,16.516,0.55,16.6,7.9992,8
1830,16.516,0.55,16.6,7.9991,8
1840,16.516,0.55,16.6,7.9989,8
1850,16.517,0.55,16.6,7.9988,8
1860,16.517,0.55,16.6,7.9987,8
1870,16.517,0.55,16.6,7.9988,8
1880,16.517,0.55,16.6,7.9989,8
1890,16.517,0.55,16.6,7.999,8
1900,16.517,0.55,16.6,7.9991,8
1910,16.517,0.55,16.6,7.9993,8
1920,16.517,0.55,16.6,7.9993,8
1930,16.517,0.55,16.6,7.9994,8
1940,16.517,0.55,16.6,7.9995,8
1950,16.517,0.55,16.6,7.9995,8
1960,16.517,0.55,16.6,7.9996,8
1970,16.517,0.55,16.6,7.9996,8
1980,16.517,0.55,16.6,7.9997,8
1990,16.517,0.55,16.6,7.9997,8
2000,16.517,0.55,16.6,7.9998,8
2010,17.384,0.55,16.6,7.9998,9
2020,17.743,0.55,16.6,7.9999,9
2030,17.754,0.55,16.6,8.2866,9
2040,17.607,0.55,16.6,8.6215,9
2050,17.418,0.55,16.6,8.8269,9
2060,17.244,0.55,16.6,8.94,9
2070,17.111,0.55,16.6,8.9999,9
2080,17.023,0.55,16.6,9.0278,9
2090,16.973,0.55,16.6,9.0363,9
2100,16.954,0.55,16.6,9.0337,9
2110,16.953,0.55,16.6,9.0258,9
2120,16.963,0.55,16.6,9.0163,9
2130,16.976,0.55,16.6,9.0078,9
2140,16.989,0.55,16.6,9.0013,9
2150,17,0.55,16.6,8.9972,9
2160,17.007,0.55,16.6,8.9951,9
2170,17.011,0.55,16.6,8.9946,9
2180,17.013,0.55,16.6,8.995,9
