t,u1,u2,u3,y,ysp
10,12.933,0.55,16.6,7,4
20,10.566,0.55,16.6,7.0015,4
30,8.5088,0.55,16.6,6.867,4
40,6.9474,0.55,16.6,6.6712,4
50,5.9497,0.55,16.6,6.454,4
60,5.5137,0.55,16.6,6.2245,4
70,5.6084,0.55,16.6,5.9726,4
80,6.1029,0.55,16.6,5.6673,4
90,6.7879,0.55,16.6,5.2208,4
100,7.498,0.55,16.6,4.5579,4
110,8.1537,0.55,16.6,4.1924,4
120,8.7227,0.55,16.6,4.028,4
130,9.1941,0.55,16.6,3.9416,4
140,9.5685,0.55,16.6,3.8953,4
150,9.8527,0.55,16.6,3.8731,4
160,10.057,0.55,16.6,3.8666,4
170,10.193,0.55,16.6,3.8706,4
180,10.275,0.55,16.6,3.8815,4
190,10.313,0.55,16.6,3.8966,4
200,10.319,0.55,16.6,3.9139,4
210,10.304,0.55,16.6,3.9316,4
220,10.275,0.55,16.6,3.9485,4
230,10.239,0.55,16.6,3.9637,4
240,10.201,0.55,16.6,3.9767,4
250,10.165,0.55,16.6,3.9871,4
260,10.133,0.55,16.6,3.9951,4
270,10.105,0.55,16.6,4.0008,4
280,10.083,0.55,16.6,4.0045,4
290,10.066,0.55,16.6,4.0066,4
300,10.054,0.55,16.6,4.0075,4
310,10.046,0.55,16.6,4.0075,4
320,10.041,0.55,16.6,4.0069,4
330,10.038,0.55,16.6,4.006,4
340,10.037,0.55,16.6,4.005,4
350,10.038,0.55,16.6,4.0039,4
360,10.039,0.55,16.6,4.0029,4
370,10.041,0.55,16.6,4.002,4
380,10.043,0.55,16.6,4.0013,4
390,10.045,0.55,16.6,4.0007,4
400,10.047,0.55,16.6,4.0003,4
410,10.844,0.55,16.6,4,5
420,11.639,0.55,16.6,3.9998,5
430,12.149,0.55,16.6,4.0377,5
440,12.341,0.55,16.6,4.1197,5
450,12.3,0.55,16.6,4.2454,5
460,12.122,0.55,16.6,4.4117,5
470,11.884,0.55,16.6,4.6056,5
480,11.642,0.55,16.6,4.7901,5
490,11.429,0.55,16.6,4.9272,5
500,11.26,0.55,16.6,5.0122,5
510,11.137,0.55,16.6,5.0576,5
520,11.056,0.55,16.6,5.0764,5
530,11.01,0.55,16.6,5.0781,5
540,10.99,0.55,16.6,5.0697,5
550,10.988,0.55,16.6,5.0564,5
560,10.996,0.55,16.6,5.0416,5
570,11.009,0.55,16.6,5.0278,5
580,11.024,0.55,16.6,5.0162,5
590,11.037,0.55,16.6,5.0074,5
600,11.049,0.55,16.6,5.0013,5
610,11.057,0.55,16.6,4.9976,5
620,11.063,0.55,16.6,4.9957,5
630,11.067,0.55,16.6,4.9952,5
640,11.069,0.55,16.6,4.9955,5
650,11.069,0.55,16.6,4.9962,5
660,11.069,0.55,16.6,4.9971,5
670,11.068,0.55,16.6,4.998,5
680,11.067,0.55,16.6,4.9988,5
690,11.067,0.55,16.6,4.9994,5
700,11.066,0.55,16.6,4.9998,5
710,11.065,0.55,16.6,5.0001,5
720,11.065,0.55,16.6,5.0002,5
730,11.065,0.55,16.6,5.0003,5
740,11.064,0.55,16.6,5.0003,5
750,11.064,0.55,16.6,5.0002,5
760,11.064,0.55,16.6,5.0002,5
770,11.064,0.55,16.6,5.0001,5
780,11.064,0.55,16.6,5.0001,5
790,11.064,0.55,16.6,5.0001,5
800,11.065,0.55,16.6,5,5
810,11.859,0.55,16.6,5,6
820,12.543,0.55,16.6,5,6
830,13.028,0.55,16.6,5.1,6
840,13.336,0.55,16.6,5.2522,6
850,13.504,0.55,16.6,5.4052,6
860,13.569,0.55,16.6,5.5381,6
870,13.561,0.55,16.6,5.648,6
880,13.503,0.55,16.6,5.7375,6
890,13.415,0.55,16.6,5.8097,6
900,13.313,0.55,16.6,5.8674,6
910,13.206,0.55,16.6,5.9129,6
920,13.103,0.55,16.6,5.9482,6
930,13.007,0.55,16.6,5.975,6
940,12.922,0.55,16.6,5.9947,6
