t,u1,u2,u3,y,ysp
10,12.935,0.55,16.6,7,4
20,11.029,0.55,16.6,7.0015,4
30,9.4232,0.55,16.6,6.867,4
40,8.0948,0.55,16.6,6.6888,4
50,7.0492,0.55,16.6,6.4977,4
60,6.2952,0.55,16.6,6.2989,4
70,6.1999,0.55,16.6,6.0851,4
80,7.3353,0.55,16.6,5.8368,4
90,8.1345,0.55,16.6,5.5281,4
100,8.6661,0.55,16.6,5.1727,4
110,9.136,0.55,16.6,4.7732,4
120,9.522,0.55,16.6,4.4822,4
130,9.7836,0.55,16.6,4.3275,4
140,9.9433,0.55,16.6,4.2445,4
150,10.035,0.55,16.6,4.1969,4
160,10.084,0.55,16.6,4.1675,4
170,10.109,0.55,16.6,4.1481,4
180,10.12,0.55,16.6,4.134,4
190,10.123,0.55,16.6,4.1231,4
200,10.122,0.55,16.6,4.1141,4
210,10.119,0.55,16.6,4.1063,4
220,10.115,0.55,16.6,4.0992,4
230,10.111,0.55,16.6,4.0927,4
240,10.106,0.55,16.6,4.0867,4
250,10.102,0.55,16.6,4.0811,4
260,10.098,0.55,16.6,4.0758,4
270,10.094,0.55,16.6,4.0709,4
280,10.091,0.55,16.6,4.0662,4
290,10.088,0.55,16.6,4.0618,4
300,10.085,0.55,16.6,4.0577,4
310,10.082,0.55,16.6,4.0539,4
320,10.079,0.55,16.6,4.0502,4
330,10.077,0.55,16.6,4.0469,4
340,10.075,0.55,16.6,4.0437,4
350,10.073,0.55,16.6,4.0407,4
360,10.071,0.55,16.6,4.0379,4
370,10.069,0.55,16.6,4.0353,4
380,10.068,0.55,16.6,4.0329,4
390,10.066,0.55,16.6,4.0306,4
400,10.065,0.55,16.6,4.0284,4
410,10.859,0.55,16.6,4.0264,5
420,11.3,0.55,16.6,4.0246,5
430,11.545,0.55,16.6,4.0628,5
440,11.678,0.55,16.6,4.1259,5
450,11.74,0.55,16.6,4.2081,5
460,11.751,0.55,16.6,4.307,5
470,11.718,0.55,16.6,4.4211,5
480,11.648,0.55,16.6,4.5465,5
490,11.55,0.55,16.6,4.6733,5
500,11.439,0.55,16.6,4.7874,5
510,11.333,0.55,16.6,4.8779,5
520,11.243,0.55,16.6,4.9423,5
530,11.173,0.55,16.6,4.9844,5
540,11.122,0.55,16.6,5.0095,5
550,11.088,0.55,16.6,5.0227,5
560,11.067,0.55,16.6,5.0279,5
570,11.054,0.55,16.6,5.0283,5
580,11.049,0.55,16.6,5.0258,5
590,11.047,0.55,16.6,5.022,5
600,11.048,0.55,16.6,5.0178,5
610,11.05,0.55,16.6,5.0138,5
620,11.053,0.55,16.6,5.0103,5
630,11.056,0.55,16.6,5.0075,5
640,11.058,0.55,16.6,5.0053,5
650,11.06,0.55,16.6,5.0036,5
660,11.062,0.55,16.6,5.0025,5
670,11.063,0.55,16.6,5.0017,5
680,11.064,0.55,16.6,5.0012,5
690,11.065,0.55,16.6,5.0009,5
700,11.065,0.55,16.6,5.0007,5
710,11.065,0.55,16.6,5.0006,5
720,11.065,0.55,16.6,5.0006,5
730,11.065,0.55,16.6,5.0006,5
740,11.065,0.55,16.6,5.0006,5
750,11.065,0.55,16.6,5.0006,5
760,11.064,0.55,16.6,5.0006,5
770,11.064,0.55,16.6,5.0005,5
780,11.064,0.55,16.6,5.0005,5
790,11.063,0.55,16.6,5.0004,5
800,11.063,0.55,16.6,5.0002,5
810,11.858,0.55,16.6,5.0001,6
820,12.298,0.55,16.6,4.9998,6
830,12.496,0.55,16.6,5.0997,6
840,12.554,0.55,16.6,5.2273,6
850,12.548,0.55,16.6,5.3432,6
860,12.521,0.55,16.6,5.4371,6
870,12.493,0.55,16.6,5.5112,6
880,12.472,0.55,16.6,5.5698,6
890,12.458,0.55,16.6,5.6171,6
900,12.451,0.55,16.6,5.6559,6
910,12.45,0.55,16.6,5.6885,6
920,12.452,0.55,16.6,5.7163,6
930,12.457,0.55,16.6,5.7404,6
940,12.465,0.55,16.6,5.7615,6
950,12.473,0.55,16.6,5.7803,6
960,12.482,0.55,16.6,5.7972,6
970,12.491,0.55,16.6,5.8125,6
980,12.501,0.55,16.6,5.8264,6
990,12.511,0.55,16.6,5.8391,6
1000,12.52,0.55,16.6,5.8508,6
1010,12.529,0.55,16.6,5.8615,6
1020,12.538,0.55,16.6,5.8715,6
1030,12.546,0.55,16.6,5.8807,6
1040,12.554,0.55,16.6,5.8893,6
1050,12.562,0.55,16.6,5.8973,6
1060,12.569,0.55,16.6,5.9047,6
1070,12.576,0.55,16.6,5.9116,6
1080,12.582,0.55,16.6,5.9181,6
1090,12.588,0.55,16.6,5.9241,6
1100,12.593,0.55,16.6,5.9298,6
1110,12.598,0.55,16.6,5.935,6
1120,12.602,0.55,16.6,5.9399,6
1130,12.606,0.55,16.6,5.9445,6
1140,12.61,0.55,16.6,5.9487,6
1150,12.613,0.55,16.6,5.9527,6
1160,12.616,0.55,16.6,5.9564,6
1170,12.619,0.55,16.6,5.9598,6
1180,12.621,0.55,16.6,5.9629,6
1190,12.624,0.55,16.6,5.9659,6
1200,12.626,0.55,16.6,5.9686,6
1210,13.468,0.55,16.6,5.9712,7
1220,14.025,0.55,16.6,5.9735,7
1230,14.442,0.55,16.6,6.0068,7
1240,14.806,0.55,16.6,6.0558,7
1250,15.141,0.55,16.6,6.1129,7
1260,15.443,0.55,16.6,6.1747,7
1270,15.699,0.55,16.6,6.24,7
1280,15.905,0.55,16.6,6.3074,7
1290,16.061,0.55,16.6,6.376,7
1300,16.171,0.55,16.6,6.4447,7
1310,16.241,0.55,16.6,6.5127,7
1320,16.275,0.55,16.6,6.5793,7
1330,16.279,0.55,16.6,6.6438,7
1340,16.257,0.55,16.6,6.7056,7
1350,16.213,0.55,16.6,6.7639,7
1360,16.152,0.55,16.6,6.8181,7
1370,16.078,0.55,16.6,6.8672,7
1380,15.997,0.55,16.6,6.9106,7
1390,15.915,0.55,16.6,6.9473,7
1400,15.838,0.55,16.6,6.9772,7
1410,15.77,0.55,16.6,7.0001,7
1420,15.713,0.55,16.6,7.0167,7
1430,15.667,0.55,16.6,7.0276,7
1440,15.631,0.55,16.6,7.0341,7
1450,15.604,0.55,16.6,7.0372,7
1460,15.584,0.55,16.6,7.0377,7
1470,15.569,0.55,16.6,7.0366,7
1480,15.558,0.55,16.6,7.0344,7
1490,15.551,0.55,16.6,7.0316,7
1500,15.546,0.55,16.6,7.0284,7
1510,15.542,0.55,16.6,7.0252,7
1520,15.54,0.55,16.6,7.0221,7
1530,15.539,0.55,16.6,7.0191,7
1540,15.539,0.55,16.6,7.0164,7
1550,15.54,0.55,16.6,7.0139,7
1560,15.54,0.55,16.6,7.0118,7
1570,15.541,0.55,16.6,7.0098,7
1580,15.542,0.55,16.6,7.0082,7
1590,15.543,0.55,16.6,7.0068,7
1600,15.544,0.55,16.6,7.0056,7
1610,16.416,0.55,16.6,7.0046,8
1620,17.05,0.55,16.6,7.0037,8
1630,17.437,0.55,16.6,7.0547,8
1640,17.514,0.55,16.6,7.1475,8
1650,17.261,0.55,16.6,7.2778,8
1660,16.954,0.55,16.6,7.4346,8
1670,16.797,0.55,16.6,7.584,8
1680,16.719,0.55,16.6,7.6988,8
1690,16.668,0.55,16.6,7.7874,8
1700,16.628,0.55,16.6,7.8579,8
1710,16.595,0.55,16.6,7.9131,8
1720,16.568,0.55,16.6,7.9539,8
1730,16.548,0.55,16.6,7.9818,8
