t,u1,u2,u3,y,ysp
10,12.935,0.55,16.6,7,4
20,10.768,0.55,16.6,7.0015,4
30,8.9934,0.55,16.6,6.867,4
40,8.0334,0.55,16.6,6.6789,4
50,7.5916,0.55,16.6,6.4758,4
60,7.4096,0.55,16.6,6.2781,4
70,7.3004,0.55,16.6,6.0836,4
80,7.1809,0.55,16.6,5.8809,4
90,7.1464,0.55,16.6,5.6481,4
100,7.0811,0.55,16.6,5.3357,4
110,6.99,0.55,16.6,4.8502,4
120,7.0782,0.55,16.6,4.3704,4
130,7.2625,0.55,16.6,4.1075,4
140,7.4955,0.55,16.6,3.9538,4
150,7.757,0.55,16.6,3.8538,4
160,8.036,0.55,16.6,3.7852,4
170,8.3235,0.55,16.6,3.7372,4
180,8.611,0.55,16.6,3.7043,4
190,8.8908,0.55,16.6,3.6828,4
200,9.1561,0.55,16.6,3.6707,4
210,9.4016,0.55,16.6,3.6661,4
220,9.624,0.55,16.6,3.6679,4
230,9.8208,0.55,16.6,3.6752,4
240,9.9912,0.55,16.6,3.6872,4
250,10.135,0.55,16.6,3.7031,4
260,10.252,0.55,16.6,3.7223,4
270,10.344,0.55,16.6,3.7444,4
280,10.411,0.55,16.6,3.7686,4
290,10.456,0.55,16.6,3.7945,4
300,10.479,0.55,16.6,3.8214,4
310,10.485,0.55,16.6,3.8488,4
320,10.475,0.55,16.6,3.8759,4
330,10.454,0.55,16.6,3.9021,4
340,10.424,0.55,16.6,3.9269,4
350,10.389,0.55,16.6,3.9496,4
360,10.35,0.55,16.6,3.9699,4
370,10.311,0.55,16.6,3.9875,4
380,10.272,0.55,16.6,4.0023,4
390,10.235,0.55,16.6,4.0142,4
400,10.2,0.55,16.6,4.0234,4
410,10.964,0.55,16.6,4.0301,5
420,11.538,0.55,16.6,4.0345,5
430,11.843,0.55,16.6,4.0782,5
440,11.941,0.55,16.6,4.1568,5
450,11.931,0.55,16.6,4.2639,5
460,11.873,0.55,16.6,4.3933,5
470,11.799,0.55,16.6,4.538,5
480,11.714,0.55,16.6,4.6861,5
490,11.612,0.55,16.6,4.8212,5
500,11.498,0.55,16.6,4.9308,5
510,11.383,0.55,16.6,5.0112,5
520,11.277,0.55,16.6,5.0654,5
530,11.188,0.55,16.6,5.0981,5
540,11.12,0.55,16.6,5.1142,5
550,11.072,0.55,16.6,5.1183,5
560,11.043,0.55,16.6,5.1139,5
570,11.027,0.55,16.6,5.1043,5
580,11.022,0.55,16.6,5.092,5
590,11.023,0.55,16.6,5.0788,5
600,11.027,0.55,16.6,5.0661,5
610,11.033,0.55,16.6,5.0546,5
620,11.039,0.55,16.6,5.0447,5
630,11.044,0.55,16.6,5.0363,5
640,11.049,0.55,16.6,5.0295,5
650,11.053,0.55,16.6,5.0241,5
660,11.056,0.55,16.6,5.0198,5
670,11.058,0.55,16.6,5.0164,5
680,11.06,0.55,16.6,5.0137,5
690,11.061,0.55,16.6,5.0115,5
700,11.062,0.55,16.6,5.0098,5
710,11.063,0.55,16.6,5.0084,5
720,11.063,0.55,16.6,5.0073,5
730,11.063,0.55,16.6,5.0064,5
740,11.064,0.55,16.6,5.0056,5
750,11.064,0.55,16.6,5.0049,5
760,11.064,0.55,16.6,5.0043,5
770,11.064,0.55,16.6,5.0037,5
780,11.064,0.55,16.6,5.0033,5
790,11.064,0.55,16.6,5.0029,5
800,11.064,0.55,16.6,5.0025,5
810,11.859,0.55,16.6,5.0021,6
820,12.365,0.55,16.6,5.0018,6
830,12.731,0.55,16.6,5.1014,6
840,13.004,0.55,16.6,5.2354,6
850,13.203,0.55,16.6,5.3691,6
860,13.343,0.55,16.6,5.4892,6
870,13.433,0.55,16.6,5.5933,6
880,13.481,0.55,16.6,5.6825,6
890,13.496,0.55,16.6,5.7588,6
900,13.482,0.55,16.6,5.8239,6
910,13.444,0.55,16.6,5.8791,6
920,13.388,0.55,16.6,5.9256,6
930,13.317,0.55,16.6,5.9642,6
940,13.239,0.55,16.6,5.9957,6
950,13.158,0.55,16.6,6.0208,6
960,13.078,0.55,16.6,6.0401,6
970,13.002,0.55,16.6,6.0544,6
980,12.932,0.55,16.6,6.0642,6
990,12.869,0.55,16.6,6.0703,6
1000,12.813,0.55,16.6,6.0734,6
1010,12.764,0.55,16.6,6.0739,6
1020,12.723,0.55,16.6,6.0724,6
1030,12.689,0.55,16.6,6.0693,6
1040,12.661,0.55,16.6,6.0651,6
1050,12.638,0.55,16.6,6.0602,6
1060,12.62,0.55,16.6,6.0547,6
1070,12.607,0.55,16.6,6.049,6
1080,12.598,0.55,16.6,6.0433,6
1090,12.591,0.55,16.6,6.0376,6
1100,12.588,0.55,16.6,6.0322,6
1110,12.586,0.55,16.6,6.027,6
1120,12.587,0.55,16.6,6.0223,6
1130,12.589,0.55,16.6,6.018,6
1140,12.591,0.55,16.6,6.0141,6
1150,12.595,0.55,16.6,6.0107,6
1160,12.599,0.55,16.6,6.0077,6
1170,12.604,0.55,16.6,6.0052,6
1180,12.608,0.55,16.6,6.003,6
1190,12.613,0.55,16.6,6.0013,6
1200,12.617,0.55,16.6,5.9999,6
1210,13.471,0.55,16.6,5.9988,7
1220,14.202,0.55,16.6,5.998,7
1230,14.827,0.55,16.6,6.0283,7
1240,15.344,0.55,16.6,6.0807,7
1250,15.75,0.55,16.6,6.1475,7
1260,16.044,0.55,16.6,6.2228,7
1270,16.236,0.55,16.6,6.3022,7
1280,16.341,0.55,16.6,6.3827,7
1290,16.374,0.55,16.6,6.4619,7
1300,16.356,0.55,16.6,6.5382,7
1310,16.305,0.55,16.6,6.6103,7
1320,16.237,0.55,16.6,6.6772,7
1330,16.161,0.55,16.6,6.7382,7
1340,16.086,0.55,16.6,6.7929,7
1350,16.014,0.55,16.6,6.8411,7
1360,15.947,0.55,16.6,6.8828,7
1370,15.885,0.55,16.6,6.9181,7
1380,15.83,0.55,16.6,6.9475,7
1390,15.78,0.55,16.6,6.9712,7
1400,15.735,0.55,16.6,6.9899,7
1410,15.695,0.55,16.6,7.004,7
1420,15.661,0.55,16.6,7.0142,7
1430,15.632,0.55,16.6,7.0211,7
1440,15.607,0.55,16.6,7.0252,7
1450,15.587,0.55,16.6,7.0271,7
1460,15.571,0.55,16.6,7.0274,7
1470,15.559,0.55,16.6,7.0265,7
1480,15.55,0.55,16.6,7.0247,7
1490,15.543,0.55,16.6,7.0224,7
1500,15.539,0.55,16.6,7.0199,7
1510,15.536,0.55,16.6,7.0172,7
1520,15.535,0.55,16.6,7.0146,7
1530,15.535,0.55,16.6,7.0122,7
1540,15.536,0.55,16.6,7.01,7
1550,15.537,0.55,16.6,7.008,7
1560,15.538,0.55,16.6,7.0063,7
1570,15.54,0.55,16.6,7.0049,7
1580,15.542,0.55,16.6,7.0037,7
1590,15.543,0.55,16.6,7.0027,7
1600,15.545,0.55,16.6,7.002,7
1610,16.417,0.55,16.6,7.0014,8
1620,17.029,0.55,16.6,7.0009,8
1630,17.238,0.55,16.6,7.0521,8
1640,17.271,0.55,16.6,7.1433,8
1650,17.275,0.55,16.6,7.2556,8
1660,17.216,0.55,16.6,7.3814,8
1670,17.08,0.55,16.6,7.5244,8
1680,16.904,0.55,16.6,7.6815,8
1690,16.738,0.55,16.6,7.835,8
1700,16.614,0.55,16.6,7.956,8
1710,16.537,0.55,16.6,8.0272,8
1720,16.497,0.55,16.6,8.0546,8
1730,16.482,0.55,16.6,8.0545,8
1740,16.482,0.55,16.6,8.0418,8
1750,16.489,0.55,16.6,8.0259,8
1760,16.498,0.55,16.6,8.0121,8
1770,16.506,0.55,16.6,8.0022,8
1780,16.513,0.55,16.6,7.9963,8
1790,16.517,0.55,16.6,7.9936,8
1800,16.519,0.55,16.6,7.993,8
1810,16.519,0.55,16.6,7.9937,8
1820,16.519,0.55,16.6,7.9949,8
1830,16.518,0.55,16.6,7.9962,8
1840,16.518,0.55,16.6,7.9972,8
1850,16.517,0.55,16.6,7.998,8
1860,16.517,0.55,16.6,7.9985,8
1870,16.517,0.55,16.6,7.9987,8
1880,16.517,0.55,16.6,7.9989,8
1890,16.517,0.55,16.6,7.999,8
1900,16.517,0.55,16.6,7.9991,8
1910,16.517,0.55,16.6,7.9991,8
1920,16.517,0.55,16.6,7.9992,8
1930,16.517,0.55,16.6,7.9992,8
1940,16.517,0.55,16.6,7.9993,8
1950,16.517,0.55,16.6,7.9994,8
1960,16.517,0.55,16.6,7.9994,8
1970,16.517,0.55,16.6,7.9995,8
1980,16.517,0.55,16.6,7.9995,8
1990,16.517,0.55,16.6,7.9996,8
2000,16.517,0.55,16.6,7.9997,8
2010,17.204,0.55,16.6,7.9997,9
2020,17.47,0.55,16.6,7.9998,9
2030,17.568,0.55,16.6,8.2251,9
2040,17.578,0.55,16.6,8.5068,9
2050,17.537,0.55,16.6,8.7199,9
2060,17.468,0.55,16.6,8.8613,9
2070,17.383,0.55,16.6,8.9554,9
2080,17.293,0.55,16.6,9.018,9
2090,17.204,0.55,16.6,9.0583,9
2100,17.123,0.55,16.6,9.0821,9
2110,17.053,0.55,16.6,9.0932,9
2120,16.997,0.55,16.6,9.0947,9
2130,16.957,0.55,16.6,9.0889,9
2140,16.931,0.55,16.6,9.078,9
2150,16.918,0.55,16.6,9.0638,9
2160,16.917,0.55,16.6,9.0481,9
2170,16.924,0.55,16.6,9.0325,9
2180,16.936,0.55,16.6,9.018,9
2190,16.951,0.55,16.6,9.0058,9
2200,16.967,0.55,16.6,8.9962,9
2210,16.982,0.55,16.6,8.9895,9
2220,16.995,0.55,16.6,8.9855,9
2230,17.005,0.55,16.6,8.9838,9
2240,17.013,0.55,16.6,8.9839,9
2250,17.019,0.55,16.6,8.9854,9
2260,17.022,0.55,16.6,8.9877,9
2270,17.023,0.55,16.6,8.9904,9
2280,17.022,0.55,16.6,8.9931,9
2290,17.021,0.55,16.6,8.9956,9
2300,17.019,0.55,16.6,8.9978,9
2310,17.016,0.55,16.6,8.9995,9
2320,17.014,0.55,16.6,9.0008,9
2330,17.012,0.55,16.6,9.0016,9
2340,17.01,0.55,16.6,9.0021,9
2350,17.009,0.55,16.6,9.0022,9
2360,17.008,0.55,16.6,9.0021,9
2370,17.007,0.55,16.6,9.0018,9
2380,17.007,0.55,16.6,9.0015,9
2390,17.007,0.55,16.6,9.0011,9
2400,17.007,0.55,16.6,9.0007,9
2410,17.696,0.55,16.6,9.0004,10
2420,18.25,0.55,16.6,9.0001,10
2430,18.706,0.55,16.6,9.0776,10
2440,19.085,0.55,16.6,9.1863,10
2450,19.403,0.55,16.6,9.2979,10
2460,19.656,0.55,16.6,9.4011,10
2470,19.839,0.55,16.6,9.4931,10
2480,19.963,0.55,16.6,9.5733,10
