t,u1,u2,u3,y,ysp
10,12.935,0.55,16.6,7,4
20,10.555,0.55,16.6,7.0015,4
30,9.2197,0.55,16.6,6.867,4
40,8.3762,0.55,16.6,6.6709,4
50,7.8819,0.55,16.6,6.477,4
60,7.6267,0.55,16.6,6.29,4
70,7.5018,0.55,16.6,6.1047,4
80,7.43,0.55,16.6,5.9117,4
90,7.4978,0.55,16.6,5.6948,4
100,7.5499,0.55,16.6,5.4204,4
110,7.4615,0.55,16.6,5.0267,4
120,7.6966,0.55,16.6,4.5463,4
130,8.0788,0.55,16.6,4.2336,4
140,8.4663,0.55,16.6,4.0645,4
150,8.8265,0.55,16.6,3.9657,4
160,9.1451,0.55,16.6,3.9054,4
170,9.416,0.55,16.6,3.8689,4
180,9.6383,0.55,16.6,3.8486,4
190,9.8147,0.55,16.6,3.8396,4
200,9.9497,0.55,16.6,3.8388,4
210,10.049,0.55,16.6,3.8438,4
220,10.117,0.55,16.6,3.853,4
230,10.162,0.55,16.6,3.8648,4
240,10.186,0.55,16.6,3.8783,4
250,10.196,0.55,16.6,3.8924,4
260,10.196,0.55,16.6,3.9065,4
270,10.189,0.55,16.6,3.9201,4
280,10.178,0.55,16.6,3.9328,4
290,10.164,0.55,16.6,3.9443,4
300,10.15,0.55,16.6,3.9545,4
310,10.135,0.55,16.6,3.9634,4
320,10.122,0.55,16.6,3.9709,4
330,10.11,0.55,16.6,3.9772,4
340,10.1,0.55,16.6,3.9825,4
350,10.09,0.55,16.6,3.9867,4
360,10.083,0.55,16.6,3.9901,4
370,10.076,0.55,16.6,3.9928,4
380,10.071,0.55,16.6,3.9949,4
390,10.066,0.55,16.6,3.9965,4
400,10.062,0.55,16.6,3.9977,4
410,10.855,0.55,16.6,3.9986,5
420,11.534,0.55,16.6,3.9993,5
430,11.89,0.55,16.6,4.0378,5
440,12.02,0.55,16.6,4.1136,5
450,12.011,0.55,16.6,4.2193,5
460,11.938,0.55,16.6,4.3498,5
470,11.846,0.55,16.6,4.4986,5
480,11.738,0.55,16.6,4.6538,5
490,11.605,0.55,16.6,4.7974,5
500,11.463,0.55,16.6,4.9134,5
510,11.334,0.55,16.6,4.9955,5
520,11.228,0.55,16.6,5.0476,5
530,11.149,0.55,16.6,5.0766,5
540,11.095,0.55,16.6,5.0894,5
550,11.059,0.55,16.6,5.0913,5
560,11.039,0.55,16.6,5.0864,5
570,11.03,0.55,16.6,5.0777,5
580,11.028,0.55,16.6,5.0673,5
590,11.029,0.55,16.6,5.0566,5
600,11.034,0.55,16.6,5.0465,5
610,11.039,0.55,16.6,5.0376,5
620,11.044,0.55,16.6,5.03,5
630,11.049,0.55,16.6,5.0238,5
640,11.053,0.55,16.6,5.0188,5
650,11.056,0.55,16.6,5.0149,5
660,11.059,0.55,16.6,5.0119,5
670,11.061,0.55,16.6,5.0097,5
680,11.062,0.55,16.6,5.008,5
690,11.063,0.55,16.6,5.0067,5
700,11.064,0.55,16.6,5.0057,5
710,11.064,0.55,16.6,5.005,5
720,11.064,0.55,16.6,5.0044,5
730,11.065,0.55,16.6,5.0039,5
740,11.065,0.55,16.6,5.0035,5
750,11.064,0.55,16.6,5.0032,5
760,11.064,0.55,16.6,5.0028,5
770,11.064,0.55,16.6,5.0026,5
780,11.064,0.55,16.6,5.0023,5
790,11.064,0.55,16.6,5.002,5
800,11.064,0.55,16.6,5.0018,5
810,11.859,0.55,16.6,5.0015,6
820,12.455,0.55,16.6,5.0013,6
830,12.887,0.55,16.6,5.101,6
840,13.18,0.55,16.6,5.2441,6
