t,u1,u2,u3,y,ysp
10,12.829,0.55,16.6,7,4
20,10.633,0.55,16.6,7.0015,4
30,8.9302,0.55,16.6,6.8621,4
40,7.6334,0.55,16.6,6.6702,4
50,6.6488,0.55,16.6,6.467,4
60,5.9073,0.55,16.6,6.2577,4
70,5.3718,0.55,16.6,6.0311,4
80,5.0443,0.55,16.6,5.7581,4
90,5.0098,0.55,16.6,5.3519,4
100,5.5445,0.55,16.6,4.5877,4
110,6.3032,0.55,16.6,4.0975,4
120,7.0112,0.55,16.6,3.8889,4
130,7.6166,0.55,16.6,3.7774,4
140,8.1195,0.55,16.6,3.7121,4
150,8.5335,0.55,16.6,3.6733,4
160,8.8741,0.55,16.6,3.6513,4
170,9.1553,0.55,16.6,3.6409,4
180,9.3886,0.55,16.6,3.6389,4
190,9.5831,0.55,16.6,3.643,4
200,9.7459,0.55,16.6,3.6519,4
210,9.8824,0.55,16.6,3.6644,4
220,9.9967,0.55,16.6,3.6799,4
230,10.092,0.55,16.6,3.6977,4
240,10.17,0.55,16.6,3.7174,4
250,10.234,0.55,16.6,3.7386,4
260,10.284,0.55,16.6,3.7608,4
270,10.322,0.55,16.6,3.7838,4
280,10.349,0.55,16.6,3.8072,4
290,10.365,0.55,16.6,3.8308,4
300,10.372,0.55,16.6,3.8541,4
310,10.371,0.55,16.6,3.877,4
320,10.362,0.55,16.6,3.8989,4
330,10.347,0.55,16.6,3.9197,4
340,10.327,0.55,16.6,3.9391,4
350,10.304,0.55,16.6,3.9567,4
360,10.277,0.55,16.6,3.9725,4
370,10.249,0.55,16.6,3.9861,4
380,10.221,0.55,16.6,3.9976,4
390,10.192,0.55,16.6,4.007,4
400,10.166,0.55,16.6,4.0143,4
410,11.048,0.55,16.6,4.0197,5
420,11.757,0.55,16.6,4.0233,5
430,12.304,0.55,16.6,4.0715,5
440,12.694,0.55,16.6,4.1636,5
450,12.917,0.55,16.6,4.3096,5
460,12.94,0.55,16.6,4.531,5
470,12.734,0.55,16.6,4.8275,5
480,12.364,0.55,16.6,5.0958,5
490,11.94,0.55,16.6,5.2675,5
500,11.532,0.55,16.6,5.363,5
510,11.173,0.55,16.6,5.4064,5
520,10.876,0.55,16.6,5.4125,5
530,10.649,0.55,16.6,5.3899,5
540,10.494,0.55,16.6,5.344,5
550,10.411,0.55,16.6,5.2786,5
560,10.399,0.55,16.6,5.1976,5
570,10.454,0.55,16.6,5.1064,5
580,10.566,0.55,16.6,5.0133,5
590,10.718,0.55,16.6,4.9298,5
600,10.889,0.55,16.6,4.8668,5
610,11.053,0.55,16.6,4.8308,5
620,11.192,0.55,16.6,4.8226,5
630,11.292,0.55,16.6,4.8387,5
640,11.347,0.55,16.6,4.873,5
650,11.357,0.55,16.6,4.9176,5
660,11.329,0.55,16.6,4.9645,5
670,11.275,0.55,16.6,5.0069,5
680,11.206,0.55,16.6,5.0404,5
690,11.134,0.55,16.6,5.0631,5
700,11.067,0.55,16.6,5.0747,5
710,11.011,0.55,16.6,5.0762,5
720,10.971,0.55,16.6,5.0693,5
730,10.948,0.55,16.6,5.056,5
740,10.942,0.55,16.6,5.0388,5
750,10.951,0.55,16.6,5.0201,5
760,10.972,0.55,16.6,5.0022,5
770,10.999,0.55,16.6,4.9869,5
780,11.03,0.55,16.6,4.9758,5
790,11.06,0.55,16.6,4.9694,5
800,11.085,0.55,16.6,4.9678,5
810,12.011,0.55,16.6,4.9703,6
820,12.753,0.55,16.6,4.976,6
830,13.26,0.55,16.6,5.0987,6
840,13.547,0.55,16.6,5.2715,6
850,13.669,0.55,16.6,5.4367,6
860,13.686,0.55,16.6,5.5744,6
870,13.639,0.55,16.6,5.6848,6
880,13.558,0.55,16.6,5.7725,6
890,13.462,0.55,16.6,5.8421,6
900,13.36,0.55,16.6,5.8971,6
910,13.261,0.55,16.6,5.9402,6
920,13.167,0.55,16.6,5.9738,6
930,13.081,0.55,16.6,5.9994,6
940,13.004,0.55,16.6,6.0186,6
950,12.936,0.55,16.6,6.0325,6
960,12.876,0.55,16.6,6.0421,6
970,12.825,0.55,16.6,6.0483,6
980,12.782,0.55,16.6,6.0517,6
990,12.745,0.55,16.6,6.0529,6
1000,12.715,0.55,16.6,6.0525,6
1010,12.69,0.55,16.6,6.0508,6
1020,12.671,0.55,16.6,6.0482,6
1030,12.655,0.55,16.6,6.045,6
1040,12.643,0.55,16.6,6.0414,6
1050,12.633,0.55,16.6,6.0376,6
1060,12.627,0.55,16.6,6.0338,6
1070,12.622,0.55,16.6,6.03,6
1080,12.619,0.55,16.6,6.0264,6
1090,12.618,0.55,16.6,6.023,6
1100,12.618,0.55,16.6,6.0198,6
1110,12.618,0.55,16.6,6.0168,6
1120,12.619,0.55,16.6,6.0142,6
1130,12.62,0.55,16.6,6.0118,6
1140,12.622,0.55,16.6,6.0097,6
1150,12.624,0.55,16.6,6.0079,6
1160,12.626,0.55,16.6,6.0064,6
1170,12.628,0.55,16.6,6.005,6
1180,12.63,0.55,16.6,6.0039,6
1190,12.631,0.55,16.6,6.0029,6
1200,12.633,0.55,16.6,6.0021,6
1210,13.542,0.55,16.6,6.0015,7
1220,14.275,0.55,16.6,6.001,7
1230,14.855,0.55,16.6,6.0335,7
1240,15.307,0.55,16.6,6.0877,7
1250,15.651,0.55,16.6,6.1546,7
1260,15.909,0.55,16.6,6.2277,7
1270,16.097,0.55,16.6,6.3034,7
1280,16.228,0.55,16.6,6.3793,7
1290,16.314,0.55,16.6,6.4541,7
1300,16.361,0.55,16.6,6.5271,7
1310,16.377,0.55,16.6,6.5978,7
1320,16.367,0.55,16.6,6.6656,7
1330,16.334,0.55,16.6,6.7302,7
1340,16.284,0.55,16.6,6.791,7
1350,16.218,0.55,16.6,6.8472,7
1360,16.141,0.55,16.6,6.8982,7
1370,16.057,0.55,16.6,6.9431,7
1380,15.97,0.55,16.6,6.9812,7
1390,15.883,0.55,16.6,7.012,7
1400,15.801,0.55,16.6,7.0353,7
1410,15.725,0.55,16.6,7.0514,7
1420,15.658,0.55,16.6,7.0608,7
1430,15.603,0.55,16.6,7.0645,7
1440,15.559,0.55,16.6,7.0637,7
1450,15.525,0.55,16.6,7.0595,7
1460,15.502,0.55,16.6,7.053,7
1470,15.488,0.55,16.6,7.0453,7
1480,15.48,0.55,16.6,7.0372,7
1490,15.479,0.55,16.6,7.0292,7
1500,15.482,0.55,16.6,7.0218,7
1510,15.488,0.55,16.6,7.0151,7
1520,15.495,0.55,16.6,7.0095,7
1530,15.504,0.55,16.6,7.0049,7
1540,15.513,0.55,16.6,7.0012,7
1550,15.521,0.55,16.6,6.9985,7
1560,15.529,0.55,16.6,6.9966,7
1570,15.536,0.55,16.6,6.9954,7
1580,15.542,0.55,16.6,6.9947,7
1590,15.547,0.55,16.6,6.9946,7
1600,15.55,0.55,16.6,6.9947,7
1610,16.46,0.55,16.6,6.9952,8
1620,17.194,0.55,16.6,6.9957,8
1630,17.756,0.55,16.6,7.0497,8
1640,18.148,0.55,16.6,7.1528,8
1650,18.36,0.55,16.6,7.3135,8
1660,18.346,0.55,16.6,7.5667,8
1670,17.965,0.55,16.6,8.0246,8
1680,17.174,0.55,16.6,8.5996,8
1690,16.338,0.55,16.6,8.8491,8
1700,15.629,0.55,16.6,8.8948,8
1710,15.132,0.55,16.6,8.8,8
1720,14.955,0.55,16.6,8.5261,8
1730,15.24,0.55,16.6,8.0182,8
1740,15.772,0.55,16.6,7.6484,8
1750,16.33,0.55,16.6,7.4815,8
1760,16.82,0.55,16.6,7.4265,8
1770,17.2,0.55,16.6,7.4463,8
1780,17.444,0.55,16.6,7.5304,8
1790,17.52,0.55,16.6,7.6856,8
