t,u1,u2,u3,y,ysp
10,16.239,0.55,16.6,7,8.0423
20,16.833,0.55,16.6,7.0015,8.0423
30,17.331,0.55,16.6,7.0417,8.0423
40,17.728,0.55,16.6,7.1191,8.0423
50,18.016,0.55,16.6,7.2375,8.0423
60,18.176,0.55,16.6,7.4117,8.0423
70,18.161,0.55,16.6,7.6853,8.0423
80,17.858,0.55,16.6,8.1654,8.0423
90,17.301,0.55,16.6,8.6472,8.0423
100,16.696,0.55,16.6,8.8598,8.0423
110,16.138,0.55,16.6,8.9217,8.0423
120,15.677,0.55,16.6,8.8859,8.0423
130,15.355,0.55,16.6,8.753,8.0423
140,15.245,0.55,16.6,8.4758,8.0423
150,15.419,0.55,16.6,8.0391,8.0423
160,15.766,0.55,16.6,7.7138,8.0423
170,16.161,0.55,16.6,7.5489,8.0423
180,16.542,0.55,16.6,7.4789,8.0423
190,16.875,0.55,16.6,7.4721,8.0423
200,17.138,0.55,16.6,7.5168,8.0423
210,17.311,0.55,16.6,7.6126,8.0423
220,17.37,0.55,16.6,7.769,8.0423
230,17.28,0.55,16.6,8.002,8.0423
240,17.027,0.55,16.6,8.284,8.0423
250,16.679,0.55,16.6,8.4957,8.0423
260,16.323,0.55,16.6,8.5869,8.0423
270,16.024,0.55,16.6,8.573,8.0423
280,15.835,0.55,16.6,8.459,8.0423
290,15.804,0.55,16.6,8.2446,8.0423
300,15.932,0.55,16.6,7.9931,8.0423
310,16.157,0.55,16.6,7.8051,8.0423
320,16.415,0.55,16.6,7.6991,8.0423
330,16.661,0.55,16.6,7.6585,8.0423
340,16.867,0.55,16.6,7.6705,8.0423
350,17.01,0.55,16.6,7.7296,8.0423
360,17.071,0.55,16.6,7.8356,8.0423
370,17.03,0.55,16.6,7.9879,8.0423
380,16.885,0.55,16.6,8.1673,8.0423
390,16.664,0.55,16.6,8.3219,8.0423
400,16.422,0.55,16.6,8.4056,8.0423
410,16.211,0.55,16.6,8.407,8.0423
420,16.077,0.55,16.6,8.3292,8.0423
430,13.146,0.55,16.6,8.1859,3.6464
440,10.712,0.55,16.6,8.0204,3.6464
450,8.9682,0.55,16.6,7.3986,3.6464
460,7.6528,0.55,16.6,6.988,3.6464
470,6.615,0.55,16.6,6.6921,3.6464
480,5.7782,0.55,16.6,6.4424,3.6464
490,5.104,0.55,16.6,6.2037,3.6464
500,4.5833,0.55,16.6,5.9447,3.6464
510,4.248,0.55,16.6,5.6089,3.6464
520,4.2635,0.55,16.6,4.9909,3.6464
530,4.6915,0.55,16.6,4.2171,3.6464
540,5.1813,0.55,16.6,3.9057,3.6464
550,5.6404,0.55,16.6,3.745,3.6464
560,6.047,0.55,16.6,3.6456,3.6464
570,6.3995,0.55,16.6,3.5787,3.6464
580,6.7023,0.55,16.6,3.5317,3.6464
590,6.9621,0.55,16.6,3.4981,3.6464
600,7.1854,0.55,16.6,3.4739,3.6464
610,7.3783,0.55,16.6,3.4565,3.6464
620,7.5459,0.55,16.6,3.4442,3.6464
630,7.6926,0.55,16.6,3.436,3.6464
640,7.822,0.55,16.6,3.4309,3.6464
650,7.937,0.55,16.6,3.4283,3.6464
660,8.0399,0.55,16.6,3.4277,3.6464
670,8.1326,0.55,16.6,3.4288,3.6464
680,8.2167,0.55,16.6,3.4311,3.6464
690,8.2933,0.55,16.6,3.4346,3.6464
700,8.3635,0.55,16.6,3.4389,3.6464
710,8.4279,0.55,16.6,3.444,3.6464
720,8.4873,0.55,16.6,3.4497,3.6464
730,8.5421,0.55,16.6,3.4559,3.6464
740,8.5928,0.55,16.6,3.4626,3.6464
750,8.6395,0.55,16.6,3.4695,3.6464
760,8.6828,0.55,16.6,3.4767,3.6464
770,8.7227,0.55,16.6,3.484,3.6464
780,8.7594,0.55,16.6,3.4916,3.6464
790,8.7932,0.55,16.6,3.4991,3.6464
800,8.8242,0.55,16.6,3.5068,3.6464
810,8.8526,0.55,16.6,3.5144,3.6464
820,8.8784,0.55,16.6,3.5219,3.6464
830,8.9019,0.55,16.6,3.5294,3.6464
840,10.094,0.55,16.6,3.5368,5.4189
850,11.126,0.55,16.6,3.544,5.4189
