y,w1,w2,w3,w4,w5
3.07,0.98101,0.018987,1.1252e-08,1.546e-16,1.0755e-29
3.14,0.97327,0.026726,2.3099e-08,4.2401e-16,4.1941e-29
3.21,0.9625,0.037497,4.7269e-08,1.1592e-15,1.6304e-28
3.28,0.94762,0.052377,9.6299e-08,3.155e-15,6.3099e-28
3.35,0.92729,0.072714,1.9499e-07,8.5348e-15,2.4271e-27
3.42,0.89988,0.10011,3.9157e-07,2.2897e-14,9.2588e-27
3.49,0.86368,0.13632,7.7766e-07,6.0753e-14,3.4931e-26
3.56,0.81704,0.18296,1.5223e-06,1.5888e-13,1.2989e-25
3.63,0.75889,0.2411,2.9258e-06,4.0797e-13,4.7426e-25
3.7,0.6893,0.3107,5.4991e-06,1.0244e-12,1.6933e-24
3.77,0.60994,0.39005,1.0069e-05,2.5059e-12,5.8898e-24
3.84,0.5243,0.47568,1.791e-05,5.9548e-12,1.9901e-23
3.91,0.43721,0.56276,3.0904e-05,1.3727e-11,6.5235e-23
3.98,0.35382,0.64613,5.1752e-05,3.0711e-11,2.0752e-22
4.05,0.27846,0.72146,8.428e-05,6.6818e-11,6.42e-22
4.12,0.21384,0.78603,0.00013393,1.4185e-10,1.938e-21
4.19,0.16087,0.83893,0.00020848,2.9501e-10,5.7308e-21
4.26,0.11903,0.88065,0.0003192,6.0343e-10,1.6668e-20
4.33,0.086937,0.91258,0.00048243,1.2184e-09,4.7856e-20
4.4,0.062877,0.9364,0.000722,2.4361e-09,1.3605e-19
4.47,0.045141,0.95379,0.0010726,4.8351e-09,3.8396e-19
4.54,0.032231,0.96618,0.0015847,9.5438e-09,1.0777e-18
4.61,0.02292,0.97475,0.0023319,1.8761e-08,3.0123e-18
4.68,0.016247,0.98033,0.0034205,3.6767e-08,8.3939e-18
4.75,0.011489,0.98351,0.0050051,7.1874e-08,2.3332e-17
4.82,0.0081069,0.98458,0.007308,1.402e-07,6.4716e-17
4.89,0.0057087,0.98364,0.010649,2.7293e-07,1.7914e-16
4.96,0.0040109,0.98051,0.015482,5.3013e-07,4.9475e-16
5.03,0.0028105,0.97474,0.022448,1.0269e-06,1.3627e-15
5.1,0.0019624,0.9656,0.032433,1.9822e-06,3.7402e-15
5.17,0.0013637,0.95199,0.046638,3.808e-06,1.0217e-14
5.24,0.00094144,0.93243,0.066624,7.2675e-06,2.7726e-14
5.31,0.00064407,0.90503,0.094317,1.3745e-05,7.4562e-14
5.38,0.00043523,0.86766,0.13188,2.5677e-05,1.9806e-13
5.45,0.0002893,0.81826,0.1814,4.7184e-05,5.1751e-13
5.52,0.00018826,0.75546,0.24427,8.4884e-05,1.3238e-12
5.59,0.00011933,0.67935,0.32038,0.00014874,3.2983e-12
5.66,7.3329e-05,0.59228,0.40739,0.00025268,7.9673e-12
5.73,4.3543e-05,0.49897,0.50058,0.00041478,1.8597e-11
5.8,2.4954e-05,0.40569,0.59362,0.00065714,4.1894e-11
5.87,1.3819e-05,0.31874,0.68024,0.001006,9.1197e-11
5.94,7.4192e-06,0.24279,0.75571,0.0014932,1.9246e-10
6.01,3.8796e-06,0.18012,0.81772,0.0021585,3.9561e-10
6.08,1.9859e-06,0.13081,0.86614,0.0030544,7.9602e-10
6.15,9.9979e-07,0.09343,0.90232,0.0042511,1.5753e-09
6.22,4.9705e-07,0.0659,0.92826,0.0058427,3.0786e-09
6.29,2.448e-07,0.046046,0.946,0.0079549,5.96e-09
6.36,1.1971e-07,0.031948,0.9573,0.010754,1.1457e-08
6.43,5.8228e-08,0.022046,0.96349,0.014461,2.1905e-08
6.5,2.8198e-08,0.015147,0.96549,0.019359,4.1699e-08
6.57,1.3603e-08,0.010367,0.96381,0.025819,7.9076e-08
6.64,6.5386e-09,0.0070696,0.95862,0.034307,1.4941e-07
6.71,3.1307e-09,0.0048024,0.94979,0.045411,2.8121e-07
6.78,1.4925e-09,0.003248,0.93691,0.059846,5.2695e-07
6.85,7.0774e-10,0.0021852,0.91936,0.078455,9.8227e-07
6.92,3.3346e-10,0.0014607,0.89635,0.10219,1.8193e-06
6.99,1.5587e-10,0.00096871,0.86698,0.13205,3.3427e-06
7.06,7.2147e-11,0.00063614,0.83039,0.16897,6.082e-06
7.13,3.2999e-11,0.0004128,0.78592,0.21365,1.0935e-05
7.2,1.4881e-11,0.0002641,0.73337,0.26635,1.9384e-05
7.27,6.6011e-12,0.00016621,0.67317,0.32663,3.38e-05
7.34,2.8747e-12,0.00010269,0.60661,0.39323,5.7859e-05
7.41,1.2271e-12,6.2191e-05,0.53581,0.46403,9.7084e-05
7.48,5.1299e-13,3.6887e-05,0.46352,0.53628,0.00015954
7.55,2.1004e-13,2.1427e-05,0.39271,0.60701,0.00025677
7.62,8.4293e-14,1.22e-05,0.32612,0.67346,0.00040508
7.69,3.321e-14,6.8193e-06,0.26587,0.73349,0.00062733
7.76,1.287e-14,3.7494e-06,0.21321,0.78583,0.00095566
7.83,4.9172e-15,2.0324e-06,0.16856,0.83,0.0014353
7.9,1.8563e-15,1.0885e-06,0.13167,0.8662,0.0021298
7.97,6.9382e-16,5.7721e-07,0.10184,0.89503,0.0031292
8.04,2.5722e-16,3.036e-07,0.078126,0.91731,0.0045603
8.11,9.4724e-17,1.5862e-07,0.059534,0.93386,0.0066013
8.18,3.4687e-17,8.2409e-08,0.045112,0.94539,0.0095023
8.25,1.264e-17,4.2605e-08,0.034016,0.95237,0.013611
8.32,4.5852e-18,2.1927e-08,0.025534,0.95506,0.019409
8.39,1.6557e-18,1.1233e-08,0.019079,0.95337,0.027549
8.46,5.9485e-19,5.7257e-09,0.014184,0.94691,0.038907
8.53,2.1245e-19,2.9012e-09,0.010482,0.9349,0.054621
8.6,7.5311e-20,1.4591e-09,0.0076891,0.9162,0.076112
8.67,2.6444e-20,7.2688e-10,0.0055868,0.88936,0.10506
8.74,9.172e-21,3.5769e-10,0.0040097,0.85276,0.14323
8.81,3.1317e-21,1.7327e-10,0.002833,0.80493,0.19224
8.88,1.0485e-21,8.2305e-11,0.0019627,0.74503,0.25301
8.95,3.4285e-22,3.8182e-11,0.001328,0.67347,0.3252
9.02,1.0909e-22,1.7236e-11,0.00087437,0.59239,0.40674
9.09,3.3687e-23,7.5514e-12,0.00055872,0.50571,0.49373
9.16,1.0086e-23,3.2076e-12,0.00034615,0.41858,0.58108
