t,u1,u2,u3,y,ysp
10,11.234,0.55,16.6,7,5
20,9.314,0.55,16.6,7.0015,5
30,8.4913,0.55,16.6,6.7914,5
40,8.1664,0.55,16.6,6.5715,5
50,8.073,0.55,16.6,6.3735,5
60,8.1073,0.55,16.6,6.1916,5
70,8.257,0.55,16.6,6.0162,5
80,8.5739,0.55,16.6,5.8381,5
90,9.1214,0.55,16.6,5.6493,5
100,9.8222,0.55,16.6,5.4466,5
110,10.447,0.55,16.6,5.245,5
120,10.853,0.55,16.6,5.0862,5
130,11.052,0.55,16.6,4.9996,5
140,11.118,0.55,16.6,4.9714,5
150,11.12,0.55,16.6,4.9725,5
160,11.102,0.55,16.6,4.9823,5
170,11.083,0.55,16.6,4.9914,5
180,11.071,0.55,16.6,4.9971,5
190,11.065,0.55,16.6,4.9999,5
200,11.063,0.55,16.6,5.0008,5
210,11.063,0.55,16.6,5.0008,5
220,11.063,0.55,16.6,5.0005,5
230,11.064,0.55,16.6,5.0003,5
240,11.064,0.55,16.6,5.0001,5
250,11.065,0.55,16.6,5,5
260,11.065,0.55,16.6,5,5
270,11.065,0.55,16.6,5,5
280,11.065,0.55,16.6,5,5
290,11.065,0.55,16.6,5,5
300,11.065,0.55,16.6,5,5
310,17.161,0.55,16.6,5,8
320,19.58,0.55,16.6,5,8
330,20.569,0.55,16.6,5.558,8
340,21.01,0.55,16.6,5.9397,8
350,21.274,0.55,16.6,6.2264,8
360,21.468,0.55,16.6,6.4807,8
370,20.977,0.55,16.6,6.7435,8
380,18.381,0.55,16.6,7.0712,8
390,16.706,0.55,16.6,7.5791,8
400,16.346,0.55,16.6,8.0532,8
410,16.412,0.55,16.6,8.1079,8
420,16.493,0.55,16.6,8.0399,8
430,16.522,0.55,16.6,8.003,8
440,16.523,0.55,16.6,7.9956,8
450,16.519,0.55,16.6,7.9975,8
460,16.517,0.55,16.6,7.9995,8
470,16.517,0.55,16.6,8.0001,8
480,16.517,0.55,16.6,8.0001,8
490,16.517,0.55,16.6,8,8
500,16.517,0.55,16.6,8,8
510,16.517,0.55,16.6,8,8
520,16.517,0.55,16.6,8,8
530,16.517,0.55,16.6,8,8
540,16.517,0.55,16.6,8,8
550,16.517,0.55,16.6,8,8
560,16.517,0.55,16.6,8,8
570,16.517,0.55,16.6,8,8
580,16.517,0.55,16.6,8,8
590,16.517,0.55,16.6,8,8
600,16.517,0.55,16.6,8,8
610,16.517,0.55,16.6,8,8
620,16.517,0.55,16.6,8,8
630,16.517,0.55,16.6,8,8
640,16.517,0.55,16.6,8,8
650,16.517,0.55,16.6,8,8
660,16.517,0.55,16.6,8,8
670,16.517,0.55,16.6,8,8
680,16.517,0.55,16.6,8,8
690,16.517,0.55,16.6,8,8
700,16.517,0.55,16.6,8,8
710,10.002,0.55,16.6,8,4.5
720,7.4678,0.55,16.6,8,4.5
730,6.4034,0.55,16.6,7.1254,4.5
740,5.9048,0.55,16.6,6.7123,4.5
750,5.6238,0.55,16.6,6.4175,4.5
760,5.5308,0.55,16.6,6.1583,4.5
770,6.1981,0.55,16.6,5.8902,4.5
780,7.9421,0.55,16.6,5.5598,4.5
790,9.3816,0.55,16.6,5.0965,4.5
800,10.236,0.55,16.6,4.6623,4.5
810,10.659,0.55,16.6,4.4818,4.5
820,10.821,0.55,16.6,4.4324,4.5
830,10.846,0.55,16.6,4.4336,4.5
840,10.816,0.55,16.6,4.4518,4.5
850,10.775,0.55,16.6,4.4716,4.5
860,10.741,0.55,16.6,4.4865,4.5
870,10.72,0.55,16.6,4.4955,4.5
880,10.709,0.55,16.6,4.4998,4.5
890,10.705,0.55,16.6,4.5014,4.5
900,10.704,0.55,16.6,4.5015,4.5
910,10.705,0.55,16.6,4.5011,4.5
920,10.706,0.55,16.6,4.5006,4.5
930,10.706,0.55,16.6,4.5003,4.5
940,10.707,0.55,16.6,4.5001,4.5
950,10.707,0.55,16.6,4.5,4.5
960,10.707,0.55,16.6,4.5,4.5
970,10.707,0.55,16.6,4.5,4.5
980,10.707,0.55,16.6,4.5,4.5
990,10.707,0.55,16.6,4.5,4.5
1000,15.55,0.55,16.6,4.5,4.5
