t,u1,u2,u3,y,ysp
10,11.23,0.55,16.6,7,5
20,9.3068,0.55,16.6,7.0015,5
30,8.4799,0.55,16.6,6.7912,5
40,8.1515,0.55,16.6,6.5712,5
50,8.0645,0.55,16.6,6.3729,5
60,8.1457,0.55,16.6,6.1905,5
70,8.4613,0.55,16.6,6.0148,5
80,9.1351,0.55,16.6,5.8383,5
90,9.9829,0.55,16.6,5.6604,5
100,10.625,0.55,16.6,5.4986,5
110,10.957,0.55,16.6,5.3811,5
120,11.074,0.55,16.6,5.3133,5
130,11.088,0.55,16.6,5.2779,5
140,11.072,0.55,16.6,5.2557,5
150,11.056,0.55,16.6,5.2365,5
160,11.049,0.55,16.6,5.217,5
170,11.048,0.55,16.6,5.1973,5
180,11.05,0.55,16.6,5.1783,5
190,11.054,0.55,16.6,5.1606,5
200,11.057,0.55,16.6,5.1446,5
210,11.059,0.55,16.6,5.1303,5
220,11.06,0.55,16.6,5.1174,5
230,11.061,0.55,16.6,5.1059,5
240,11.062,0.55,16.6,5.0956,5
250,11.063,0.55,16.6,5.0863,5
260,11.063,0.55,16.6,5.0779,5
270,11.064,0.55,16.6,5.0703,5
280,11.064,0.55,16.6,5.0635,5
290,11.064,0.55,16.6,5.0573,5
300,11.064,0.55,16.6,5.0518,5
310,11.064,0.55,16.6,5.0468,5
320,11.065,0.55,16.6,5.0423,5
330,11.065,0.55,16.6,5.0382,5
340,11.065,0.55,16.6,5.0346,5
350,11.065,0.55,16.6,5.0313,5
360,11.065,0.55,16.6,5.0283,5
370,11.065,0.55,16.6,5.0256,5
380,11.065,0.55,16.6,5.0232,5
390,11.065,0.55,16.6,5.021,5
400,11.065,0.55,16.6,5.019,5
410,11.065,0.55,16.6,5.0172,5
420,11.065,0.55,16.6,5.0156,5
430,11.065,0.55,16.6,5.0141,5
440,11.065,0.55,16.6,5.0128,5
450,11.065,0.55,16.6,5.0116,5
460,11.065,0.55,16.6,5.0106,5
470,11.065,0.55,16.6,5.0096,5
480,11.065,0.55,16.6,5.0087,5
