t,u1,u2,u3,y,ysp
10,13.775,0.55,16.6,7,5
20,12.423,0.55,16.6,7.0015,5
30,11.346,0.55,16.6,6.9074,5
40,10.492,0.55,16.6,6.7743,5
50,9.8342,0.55,16.6,6.6307,5
60,9.3399,0.55,16.6,6.4869,5
70,8.9866,0.55,16.6,6.345,5
80,8.7923,0.55,16.6,6.2037,5
90,8.9067,0.55,16.6,6.0601,5
100,9.497,0.55,16.6,5.9114,5
110,10.077,0.55,16.6,5.7622,5
120,10.422,0.55,16.6,5.6328,5
130,10.616,0.55,16.6,5.5303,5
140,10.73,0.55,16.6,5.4478,5
150,10.801,0.55,16.6,5.3794,5
160,10.851,0.55,16.6,5.321,5
170,10.889,0.55,16.6,5.2705,5
180,10.92,0.55,16.6,5.2265,5
190,10.947,0.55,16.6,5.1884,5
200,10.97,0.55,16.6,5.1558,5
210,10.991,0.55,16.6,5.1283,5
220,11.009,0.55,16.6,5.1055,5
230,11.023,0.55,16.6,5.0868,5
240,11.035,0.55,16.6,5.0718,5
250,11.044,0.55,16.6,5.0599,5
260,11.052,0.55,16.6,5.0505,5
270,11.057,0.55,16.6,5.0431,5
280,11.06,0.55,16.6,5.0374,5
290,11.063,0.55,16.6,5.0328,5
300,11.064,0.55,16.6,5.0291,5
310,13.45,0.55,16.6,5.026,8
320,14.771,0.55,16.6,5.0235,8
330,15.393,0.55,16.6,5.2862,8
340,15.679,0.55,16.6,5.5501,8
350,15.889,0.55,16.6,5.7533,8
360,16.336,0.55,16.6,5.9115,8
370,17.101,0.55,16.6,6.0427,8
380,17.908,0.55,16.6,6.1661,8
390,18.599,0.55,16.6,6.2968,8
400,19.135,0.55,16.6,6.4396,8
410,19.515,0.55,16.6,6.5975,8
420,19.728,0.55,16.6,6.7775,8
430,19.652,0.55,16.6,6.9958,8
440,18.504,0.55,16.6,7.295,8
450,17.325,0.55,16.6,7.8229,8
460,16.687,0.55,16.6,8.4633,8
470,16.417,0.55,16.6,8.6368,8
480,16.331,0.55,16.6,8.6199,8
490,16.325,0.55,16.6,8.5337,8
500,16.359,0.55,16.6,8.4216,8
510,16.407,0.55,16.6,8.3105,8
520,16.453,0.55,16.6,8.2194,8
530,16.487,0.55,16.6,8.1553,8
540,16.507,0.55,16.6,8.115,8
550,16.517,0.55,16.6,8.0912,8
560,16.521,0.55,16.6,8.0771,8
570,16.521,0.55,16.6,8.0681,8
580,16.52,0.55,16.6,8.0613,8
590,16.519,0.55,16.6,8.0554,8
600,16.518,0.55,16.6,8.0499,8
610,16.517,0.55,16.6,8.0446,8
620,16.517,0.55,16.6,8.0396,8
630,16.517,0.55,16.6,8.035,8
640,16.516,0.55,16.6,8.0308,8
650,16.517,0.55,16.6,8.027,8
660,16.517,0.55,16.6,8.0237,8
670,16.517,0.55,16.6,8.0208,8
680,16.517,0.55,16.6,8.0182,8
690,16.517,0.55,16.6,8.016,8
700,16.517,0.55,16.6,8.0141,8
710,14.112,0.55,16.6,8.0124,4.5
720,13.394,0.55,16.6,8.0109,4.5
730,13.201,0.55,16.6,7.514,4.5
740,12.06,0.55,16.6,7.2182,4.5
750,10.72,0.55,16.6,7.0319,4.5
760,9.5502,0.55,16.6,6.8484,4.5
770,8.6249,0.55,16.6,6.6636,4.5
780,7.9206,0.55,16.6,6.4822,4.5
790,7.421,0.55,16.6,6.3025,4.5
800,7.2694,0.55,16.6,6.1179,4.5
810,8.045,0.55,16.6,5.9175,4.5
820,8.9225,0.55,16.6,5.6899,4.5
830,9.4367,0.55,16.6,5.4589,4.5
840,9.7713,0.55,16.6,5.2407,4.5
850,10.031,0.55,16.6,5.0336,4.5
860,10.251,0.55,16.6,4.8541,4.5
870,10.429,0.55,16.6,4.7216,4.5
880,10.561,0.55,16.6,4.6363,4.5
890,10.65,0.55,16.6,4.5863,4.5
900,10.706,0.55,16.6,4.5594,4.5
910,10.736,0.55,16.6,4.5465,4.5
920,10.75,0.55,16.6,4.5418,4.5
930,10.754,0.55,16.6,4.5412,4.5
940,10.751,0.55,16.6,4.5424,4.5
950,10.745,0.55,16.6,4.5439,4.5
960,10.739,0.55,16.6,4.5449,4.5
970,10.732,0.55,16.6,4.5451,4.5
980,10.726,0.55,16.6,4.5445,4.5
990,10.72,0.55,16.6,4.5431,4.5
1000,10.716,0.55,16.6,4.5411,4.5
1010,10.713,0.55,16.6,4.5387,4.5
1020,10.711,0.55,16.6,4.536,4.5
1030,10.709,0.55,16.6,4.5333,4.5
1040,10.708,0.55,16.6,4.5305,4.5
1050,10.708,0.55,16.6,4.5278,4.5
1060,10.707,0.55,16.6,4.5252,4.5
1070,10.707,0.55,16.6,4.5229,4.5
1080,10.707,0.55,16.6,4.5207,4.5
1090,10.708,0.55,16.6,4.5187,4.5
1100,10.708,0.55,16.6,4.517,4.5
1110,10.708,0.55,16.6,4.5154,4.5
1120,10.708,0.55,16.6,4.514,4.5
1130,10.708,0.55,16.6,4.5128,4.5
1140,10.708,0.55,16.6,4.5117,4.5
1150,10.708,0.55,16.6,4.5107,4.5
1160,10.708,0.55,16.6,4.5098,4.5
1170,10.708,0.55,16.6,4.509,4.5
1180,10.708,0.55,16.6,4.5083,4.5
1190,10.708,0.55,16.6,4.5076,4.5
1200,15.55,0.55,16.6,4.507,4.5
