t,u1,u2,u3,y,ysp
10,13.775,0.55,16.6,7,5
20,12.423,0.55,16.6,7.0015,5
30,11.346,0.55,16.6,6.9074,5
40,10.492,0.55,16.6,6.7743,5
50,9.8342,0.55,16.6,6.6307,5
60,9.3399,0.55,16.6,6.4869,5
70,8.9866,0.55,16.6,6.345,5
80,8.7923,0.55,16.6,6.2037,5
90,8.9067,0.55,16.6,6.0601,5
100,9.497,0.55,16.6,5.9114,5
110,10.077,0.55,16.6,5.7622,5
120,10.422,0.55,16.6,5.6328,5
130,10.616,0.55,16.6,5.5303,5
140,10.73,0.55,16.6,5.4478,5
150,10.801,0.55,16.6,5.3794,5
160,10.851,0.55,16.6,5.321,5
170,10.889,0.55,16.6,5.2705,5
180,10.92,0.55,16.6,5.2265,5
190,10.947,0.55,16.6,5.1884,5
200,10.97,0.55,16.6,5.1558,5
210,10.991,0.55,16.6,5.1283,5
220,11.009,0.55,16.6,5.1055,5
230,11.023,0.55,16.6,5.0868,5
240,11.035,0.55,16.6,5.0718,5
250,11.044,0.55,16.6,5.0599,5
260,11.052,0.55,16.6,5.0505,5
270,11.057,0.55,16.6,5.0431,5
280,11.06,0.55,16.6,5.0374,5
290,11.063,0.55,16.6,5.0328,5
300,11.064,0.55,16.6,5.0291,5
310,13.45,0.55,16.6,5.026,8
320,14.771,0.55,16.6,5.0235,8
330,15.393,0.55,16.6,5.2862,8
340,15.679,0.55,16.6,5.5501,8
350,15.889,0.55,16.6,5.7533,8
360,16.336,0.55,16.6,5.9115,8
370,17.101,0.55,16.6,6.0427,8
380,17.908,0.55,16.6,6.1661,8
390,18.599,0.55,16.6,6.2968,8
400,19.135,0.55,16.6,6.4396,8
410,19.515,0.55,16.6,6.5975,8
420,19.728,0.55,16.6,6.7775,8
430,19.652,0.55,16.6,6.9958,8
440,17.257,0.55,16.6,7.295,8
450,16.952,0.55,16.6,7.8229,8
460,16.759,0.55,16.6,8.0496,8
470,16.627,0.55,16.6,8.1874,8
480,16.548,0.55,16.6,8.2471,8
490,16.509,0.55,16.6,8.2549,8
500,16.495,0.55,16.6,8.2348,8
510,16.495,0.55,16.6,8.2036,8
520,16.5,0.55,16.6,8.1716,8
530,16.506,0.55,16.6,8.1434,8
540,16.511,0.55,16.6,8.1205,8
550,16.514,0.55,16.6,8.1024,8
560,16.516,0.55,16.6,8.0881,8
570,16.517,0.55,16.6,8.0767,8
580,16.517,0.55,16.6,8.0671,8
590,16.517,0.55,16.6,8.059,8
600,16.517,0.55,16.6,8.0519,8
610,16.517,0.55,16.6,8.0457,8
620,16.516,0.55,16.6,8.0402,8
630,16.517,0.55,16.6,8.0353,8
640,16.517,0.55,16.6,8.031,8
650,16.517,0.55,16.6,8.0272,8
660,16.517,0.55,16.6,8.0239,8
670,16.517,0.55,16.6,8.021,8
680,16.517,0.55,16.6,8.0184,8
690,16.517,0.55,16.6,8.0162,8
700,16.517,0.55,16.6,8.0143,8
710,14.112,0.55,16.6,8.0125,4.5
720,13.394,0.55,16.6,8.011,4.5
730,13.201,0.55,16.6,7.5141,4.5
740,12.06,0.55,16.6,7.2183,4.5
750,10.72,0.55,16.6,7.0319,4.5
760,9.5503,0.55,16.6,6.8484,4.5
770,8.6249,0.55,16.6,6.6636,4.5
780,7.9206,0.55,16.6,6.4822,4.5
790,7.4209,0.55,16.6,6.3025,4.5
800,7.2693,0.55,16.6,6.1179,4.5
810,8.0447,0.55,16.6,5.9175,4.5
820,8.9222,0.55,16.6,5.6899,4.5
830,9.4364,0.55,16.6,5.4589,4.5
840,9.771,0.55,16.6,5.2407,4.5
850,10.031,0.55,16.6,5.0335,4.5
860,10.251,0.55,16.6,4.854,4.5
870,10.429,0.55,16.6,4.7214,4.5
880,10.561,0.55,16.6,4.6362,4.5
890,10.65,0.55,16.6,4.5862,4.5
900,10.705,0.55,16.6,4.5593,4.5
910,10.736,0.55,16.6,4.5464,4.5
920,10.75,0.55,16.6,4.5416,4.5
930,10.754,0.55,16.6,4.5411,4.5
940,10.751,0.55,16.6,4.5423,4.5
950,10.745,0.55,16.6,4.5438,4.5
960,10.739,0.55,16.6,4.5448,4.5
970,10.732,0.55,16.6,4.5451,4.5
980,10.726,0.55,16.6,4.5445,4.5
990,10.72,0.55,16.6,4.5431,4.5
1000,10.716,0.55,16.6,4.5411,4.5
1010,10.713,0.55,16.6,4.5387,4.5
1020,10.711,0.55,16.6,4.536,4.5
1030,10.709,0.55,16.6,4.5332,4.5
1040,10.708,0.55,16.6,4.5304,4.5
1050,10.708,0.55,16.6,4.5278,4.5
1060,10.707,0.55,16.6,4.5252,4.5
1070,10.707,0.55,16.6,4.5228,4.5
1080,10.707,0.55,16.6,4.5207,4.5
1090,10.708,0.55,16.6,4.5187,4.5
1100,10.708,0.55,16.6,4.5169,4.5
1110,10.708,0.55,16.6,4.5154,4.5
1120,10.708,0.55,16.6,4.514,4.5
1130,10.708,0.55,16.6,4.5128,4.5
1140,10.708,0.55,16.6,4.5117,4.5
1150,10.708,0.55,16.6,4.5107,4.5
1160,10.708,0.55,16.6,4.5098,4.5
1170,10.708,0.55,16.6,4.509,4.5
1180,10.708,0.55,16.6,4.5083,4.5
1190,10.708,0.55,16.6,4.5076,4.5
1200,15.55,0.55,16.6,4.507,4.5
