t,u1,u2,u3,y,ysp
10,15.55,0.55,16.6,7,7
20,15.549,0.55,16.6,7.0015,7
30,15.548,0.55,16.6,7.0013,7
40,15.547,0.55,16.6,7.0011,7
50,15.547,0.55,16.6,7.0009,7
60,15.547,0.55,16.6,7.0007,7
70,15.547,0.55,16.6,7.0004,7
80,15.547,0.55,16.6,7.0002,7
90,15.548,0.55,16.6,7.0001,7
100,15.548,0.55,16.6,6.9999,7
110,16.436,0.55,16.6,6.9998,8
120,17.112,0.55,16.6,6.9997,8
130,17.564,0.55,16.6,7.0521,8
140,17.717,0.55,16.6,7.1493,8
150,16.973,0.55,16.6,7.2915,8
160,16.78,0.55,16.6,7.4766,8
170,16.745,0.55,16.6,7.5854,8
180,16.711,0.55,16.6,7.6675,8
190,16.678,0.55,16.6,7.744,8
200,16.646,0.55,16.6,7.8132,8
210,16.614,0.55,16.6,7.8728,8
220,16.585,0.55,16.6,7.9211,8
230,16.562,0.55,16.6,7.9573,8
240,16.544,0.55,16.6,7.9822,8
250,16.531,0.55,16.6,7.9976,8
260,16.524,0.55,16.6,8.0061,8
270,16.519,0.55,16.6,8.0098,8
280,16.517,0.55,16.6,8.0107,8
290,16.516,0.55,16.6,8.0101,8
300,16.516,0.55,16.6,8.0089,8
310,15.485,0.55,16.6,8.0075,6.5
320,15.178,0.55,16.6,8.0063,6.5
330,15.179,0.55,16.6,7.7435,6.5
340,15.19,0.55,16.6,7.5327,6.5
350,15.107,0.55,16.6,7.3967,6.5
360,14.947,0.55,16.6,7.3005,6.5
370,14.749,0.55,16.6,7.2205,6.5
380,14.543,0.55,16.6,7.1464,6.5
390,14.355,0.55,16.6,7.0749,6.5
400,14.2,0.55,16.6,7.0059,6.5
410,14.082,0.55,16.6,6.9403,6.5
420,14.001,0.55,16.6,6.8793,6.5
430,13.951,0.55,16.6,6.8236,6.5
440,13.926,0.55,16.6,6.7737,6.5
450,13.919,0.55,16.6,6.7295,6.5
460,13.925,0.55,16.6,6.6908,6.5
470,13.94,0.55,16.6,6.6573,6.5
480,13.96,0.55,16.6,6.6284,6.5
490,13.984,0.55,16.6,6.6038,6.5
500,14.008,0.55,16.6,6.5829,6.5
510,15.391,0.55,16.6,6.5654,8
520,16.506,0.55,16.6,6.5508,8
530,17.39,0.55,16.6,6.5864,8
540,18.072,0.55,16.6,6.6605,8
550,18.565,0.55,16.6,6.7672,8
560,18.849,0.55,16.6,6.9071,8
570,18.636,0.55,16.6,7.0896,8
580,16.725,0.55,16.6,7.3417,8
590,16.712,0.55,16.6,7.6945,8
600,16.687,0.55,16.6,7.7669,8
610,16.655,0.55,16.6,7.836,8
620,16.621,0.55,16.6,7.897,8
630,16.59,0.55,16.6,7.9465,8
640,16.564,0.55,16.6,7.9829,8
650,16.544,0.55,16.6,8.0068,8
660,16.531,0.55,16.6,8.0204,8
670,16.522,0.55,16.6,8.0264,8
680,16.518,0.55,16.6,8.0275,8
690,16.516,0.55,16.6,8.0259,8
700,15.55,0.55,16.6,8.0231,8
