t,u1,u2,u3,y,ysp
10,14.264,0.55,16.6,7,5
20,13.222,0.55,16.6,7.0015,5
30,12.353,0.55,16.6,6.932,5
40,11.622,0.55,16.6,6.8276,5
50,11.014,0.55,16.6,6.7101,5
60,10.516,0.55,16.6,6.5898,5
70,10.111,0.55,16.6,6.4704,5
80,9.7895,0.55,16.6,6.3526,5
90,9.5583,0.55,16.6,6.2355,5
100,9.4667,0.55,16.6,6.1176,5
110,9.6317,0.55,16.6,5.9972,5
120,10.013,0.55,16.6,5.8749,5
130,10.348,0.55,16.6,5.7577,5
140,10.565,0.55,16.6,5.6561,5
150,10.698,0.55,16.6,5.5711,5
160,10.78,0.55,16.6,5.4991,5
170,10.832,0.55,16.6,5.4367,5
180,10.868,0.55,16.6,5.3816,5
190,10.894,0.55,16.6,5.3321,5
200,10.915,0.55,16.6,5.2874,5
210,10.934,0.55,16.6,5.247,5
220,10.951,0.55,16.6,5.2107,5
230,10.968,0.55,16.6,5.1784,5
240,10.983,0.55,16.6,5.15,5
250,10.997,0.55,16.6,5.1253,5
260,11.01,0.55,16.6,5.1041,5
270,11.021,0.55,16.6,5.0863,5
280,11.031,0.55,16.6,5.0716,5
290,11.04,0.55,16.6,5.0594,5
300,11.047,0.55,16.6,5.0496,5
310,12.813,0.55,16.6,5.0417,8
320,13.936,0.55,16.6,5.0354,8
330,14.593,0.55,16.6,5.2323,8
340,14.97,0.55,16.6,5.46,8
350,15.213,0.55,16.6,5.6512,8
360,15.455,0.55,16.6,5.8053,8
370,15.866,0.55,16.6,5.933,8
380,16.455,0.55,16.6,6.0446,8
390,17.08,0.55,16.6,6.1518,8
400,17.65,0.55,16.6,6.2631,8
410,18.133,0.55,16.6,6.3817,8
420,18.523,0.55,16.6,6.5091,8
430,18.821,0.55,16.6,6.6478,8
440,19.014,0.55,16.6,6.8033,8
450,19.033,0.55,16.6,6.9862,8
460,18.538,0.55,16.6,7.2192,8
470,16.623,0.55,16.6,7.5582,8
480,16.623,0.55,16.6,8.0656,8
490,16.623,0.55,16.6,8.0921,8
500,16.607,0.55,16.6,8.1159,8
510,16.584,0.55,16.6,8.1372,8
520,16.562,0.55,16.6,8.1506,8
530,16.543,0.55,16.6,8.1548,8
540,16.53,0.55,16.6,8.151,8
550,16.521,0.55,16.6,8.1415,8
560,16.516,0.55,16.6,8.1287,8
570,16.514,0.55,16.6,8.1146,8
580,16.513,0.55,16.6,8.1006,8
590,16.514,0.55,16.6,8.0876,8
600,16.514,0.55,16.6,8.0759,8
610,16.515,0.55,16.6,8.0658,8
620,16.515,0.55,16.6,8.0571,8
630,16.516,0.55,16.6,8.0496,8
640,16.516,0.55,16.6,8.0432,8
650,16.516,0.55,16.6,8.0378,8
660,16.516,0.55,16.6,8.033,8
670,16.517,0.55,16.6,8.029,8
680,16.517,0.55,16.6,8.0254,8
690,16.517,0.55,16.6,8.0223,8
700,16.517,0.55,16.6,8.0196,8
710,14.694,0.55,16.6,8.0173,4.5
720,13.932,0.55,16.6,8.0152,4.5
730,13.675,0.55,16.6,7.6028,4.5
740,13.072,0.55,16.6,7.3109,4.5
750,12.094,0.55,16.6,7.1217,4.5
760,11.117,0.55,16.6,6.9598,4.5
770,10.264,0.55,16.6,6.7991,4.5
780,9.5527,0.55,16.6,6.6415,4.5
790,8.9697,0.55,16.6,6.4881,4.5
800,8.5062,0.55,16.6,6.3372,4.5
810,8.1998,0.55,16.6,6.1846,4.5
820,8.2764,0.55,16.6,6.0247,4.5
830,8.8585,0.55,16.6,5.8511,4.5
840,9.3501,0.55,16.6,5.6652,4.5
850,9.6633,0.55,16.6,5.4855,4.5
860,9.8775,0.55,16.6,5.3129,4.5
870,10.388,0.55,16.6,5.144,4.5
880,10.411,0.55,16.6,4.9835,4.5
890,10.449,0.55,16.6,4.8922,4.5
900,10.495,0.55,16.6,4.8101,4.5
910,10.543,0.55,16.6,4.7412,4.5
920,10.586,0.55,16.6,4.6865,4.5
930,10.624,0.55,16.6,4.6449,4.5
940,10.654,0.55,16.6,4.6141,4.5
950,10.676,0.55,16.6,4.5918,4.5
960,10.692,0.55,16.6,4.5758,4.5
970,10.704,0.55,16.6,4.5643,4.5
980,10.711,0.55,16.6,4.5561,4.5
990,10.715,0.55,16.6,4.5502,4.5
1000,10.717,0.55,16.6,4.5456,4.5
1010,10.717,0.55,16.6,4.5421,4.5
1020,10.717,0.55,16.6,4.5391,4.5
1030,10.716,0.55,16.6,4.5365,4.5
1040,10.715,0.55,16.6,4.5341,4.5
1050,10.714,0.55,16.6,4.5319,4.5
1060,10.713,0.55,16.6,4.5297,4.5
1070,10.712,0.55,16.6,4.5276,4.5
1080,10.711,0.55,16.6,4.5256,4.5
1090,10.71,0.55,16.6,4.5237,4.5
1100,10.71,0.55,16.6,4.5218,4.5
1110,10.709,0.55,16.6,4.5201,4.5
1120,10.709,0.55,16.6,4.5185,4.5
1130,10.709,0.55,16.6,4.517,4.5
1140,10.709,0.55,16.6,4.5156,4.5
1150,10.708,0.55,16.6,4.5143,4.5
1160,10.708,0.55,16.6,4.5131,4.5
1170,10.708,0.55,16.6,4.512,4.5
1180,10.708,0.55,16.6,4.511,4.5
1190,10.708,0.55,16.6,4.5101,4.5
1200,15.55,0.55,16.6,4.5092,4.5
