t,u1,u2,u3,y,ysp
10,15.55,0.55,16.6,7,7
20,15.549,0.55,16.6,7.0015,7
30,15.548,0.55,16.6,7.0013,7
40,15.548,0.55,16.6,7.0011,7
50,15.548,0.55,16.6,7.0009,7
60,15.548,0.55,16.6,7.0007,7
70,15.548,0.55,16.6,7.0005,7
80,15.548,0.55,16.6,7.0004,7
90,15.548,0.55,16.6,7.0002,7
100,15.548,0.55,16.6,7.0001,7
110,16.191,0.55,16.6,6.9999,8
120,16.712,0.55,16.6,6.9999,8
130,17.107,0.55,16.6,7.0373,8
140,17.348,0.55,16.6,7.1065,8
150,17.376,0.55,16.6,7.2057,8
160,16.623,0.55,16.6,7.334,8
170,16.623,0.55,16.6,7.4832,8
180,16.623,0.55,16.6,7.5392,8
190,16.623,0.55,16.6,7.5941,8
200,16.623,0.55,16.6,7.6478,8
210,16.623,0.55,16.6,7.6999,8
220,16.623,0.55,16.6,7.7504,8
230,16.621,0.55,16.6,7.7989,8
240,16.608,0.55,16.6,7.8452,8
250,16.591,0.55,16.6,7.8884,8
260,16.574,0.55,16.6,7.9253,8
270,16.558,0.55,16.6,7.9547,8
280,16.544,0.55,16.6,7.9764,8
290,16.534,0.55,16.6,7.9912,8
300,16.527,0.55,16.6,8.0005,8
310,15.74,0.55,16.6,8.0056,6.5
320,15.411,0.55,16.6,8.0079,6.5
330,15.328,0.55,16.6,7.8005,6.5
340,15.315,0.55,16.6,7.6035,6.5
350,15.276,0.55,16.6,7.4627,6.5
360,15.185,0.55,16.6,7.3616,6.5
370,15.052,0.55,16.6,7.2819,6.5
380,14.896,0.55,16.6,7.2124,6.5
390,14.736,0.55,16.6,7.1475,6.5
400,14.584,0.55,16.6,7.0852,6.5
410,14.451,0.55,16.6,7.0253,6.5
420,14.339,0.55,16.6,6.9682,6.5
430,14.25,0.55,16.6,6.9144,6.5
440,14.183,0.55,16.6,6.8645,6.5
450,14.134,0.55,16.6,6.8188,6.5
460,14.1,0.55,16.6,6.7773,6.5
470,14.078,0.55,16.6,6.7399,6.5
480,14.066,0.55,16.6,6.7065,6.5
490,14.061,0.55,16.6,6.6768,6.5
500,14.061,0.55,16.6,6.6506,6.5
510,15.046,0.55,16.6,6.6276,8
520,15.882,0.55,16.6,6.6074,8
530,16.584,0.55,16.6,6.6253,8
540,17.165,0.55,16.6,6.6731,8
550,17.633,0.55,16.6,6.7457,8
560,17.987,0.55,16.6,6.8416,8
570,18.202,0.55,16.6,6.9623,8
580,18.173,0.55,16.6,7.1138,8
590,16.623,0.55,16.6,7.3094,8
600,16.623,0.55,16.6,7.5647,8
610,16.623,0.55,16.6,7.619,8
620,16.623,0.55,16.6,7.672,8
630,16.623,0.55,16.6,7.7235,8
640,16.623,0.55,16.6,7.7731,8
650,16.623,0.55,16.6,7.8206,8
660,16.61,0.55,16.6,7.8658,8
670,16.592,0.55,16.6,7.9082,8
680,16.573,0.55,16.6,7.9442,8
690,16.557,0.55,16.6,7.9722,8
700,15.55,0.55,16.6,7.9922,8
